301306 西测测试 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/07/26	57.00	58.70	54.10	56.01	11915526	672826688.00
2022/07/27	57.00	59.69	55.11	59.19	10248577	591871424.00
2022/07/28	57.10	57.87	54.88	54.96	8878787	499103264.00
2022/07/29	54.00	54.20	51.41	51.53	7122858	372783360.00
2022/08/01	52.33	53.21	51.31	51.40	4654080	242986144.00
2022/08/02	51.61	53.97	51.61	52.20	6110672	322466624.00
2022/08/03	50.00	55.05	48.70	52.30	7033451	366264416.00
2022/08/04	52.72	54.86	51.12	53.14	5909801	314332160.00
2022/08/05	51.90	55.55	50.30	54.07	6227805	327395488.00
2022/08/08	53.80	56.20	53.30	55.25	5763757	316782176.00
2022/08/09	54.01	55.42	52.61	53.86	4790712	258288176.00
2022/08/10	54.88	61.50	54.60	57.14	8127643	464134240.00
2022/08/11	54.90	55.25	53.46	54.32	6074232	329807456.00
2022/08/12	54.45	54.67	51.75	51.80	4363137	230149936.00
2022/08/15	51.52	52.40	50.75	52.31	2386804	123074440.00
2022/08/16	51.80	52.40	50.93	51.14	2328339	120264080.00
2022/08/17	51.16	51.16	50.05	50.60	1922754	96923456.00
2022/08/18	50.58	51.72	50.38	51.60	1855567	94901184.00
2022/08/19	51.49	51.87	49.15	49.31	2293640	115537888.00
2022/08/22	49.03	50.69	48.80	50.60	1732035	86820184.00
2022/08/23	50.22	50.85	50.00	50.82	1140033	57572404.00
2022/08/24	50.80	50.84	48.18	48.23	1646431	81035744.00
2022/08/25	48.41	48.42	44.90	45.31	2094744	96651096.00
2022/08/26	45.77	45.77	44.45	44.67	1272802	57330572.00
2022/08/29	43.95	45.55	43.29	44.79	1052717	46937716.00
2022/08/30	44.36	45.43	44.36	44.97	945206	42449288.00
2022/08/31	45.00	45.11	43.08	43.31	1067518	46699388.00
2022/09/01	43.45	43.65	42.82	43.10	746557	32259494.00
2022/09/02	43.10	43.80	42.87	43.55	688002	29816046.00
2022/09/05	43.46	43.72	42.18	42.69	867267	37122352.00
2022/09/06	42.62	44.08	42.60	43.65	955002	41577572.00
2022/09/07	43.39	43.91	43.13	43.65	974436	42443456.00
2022/09/08	44.02	46.66	44.01	44.93	2408599	108725800.00
2022/09/09	44.39	47.78	44.39	47.32	3359790	154888336.00
2022/09/13	46.90	50.50	46.56	49.30	4227551	205376256.00
2022/09/14	48.00	48.90	47.01	48.22	2880953	137608064.00
2022/09/15	48.16	48.19	44.36	45.00	2911350	133068592.00
2022/09/16	44.44	46.59	44.38	45.27	2209560	101144176.00
2022/09/19	45.36	47.33	45.31	45.94	2054188	95413592.00
2022/09/20	45.96	46.46	44.77	45.03	1207200	54745912.00
2022/09/21	44.81	45.30	42.87	45.04	1070374	47559024.00
2022/09/22	44.67	47.36	44.51	46.33	1797243	83640904.00
2022/09/23	45.98	47.79	45.01	45.27	1606419	74786776.00
2022/09/26	44.56	44.99	42.57	43.03	1389117	60221080.00
2022/09/27	43.10	45.27	43.05	45.24	1250565	55586964.00
2022/09/28	45.23	45.23	42.28	42.30	1191046	51783728.00
2022/09/29	42.99	44.35	41.80	42.86	1428165	61700348.00
2022/09/30	42.69	43.39	38.58	38.80	2099575	84152280.00
2022/10/10	39.20	40.00	37.50	38.00	1114707	43362164.00
2022/10/11	38.20	38.57	37.62	38.40	570954	21725062.00
2022/10/12	38.40	39.55	37.45	39.46	1073313	41330916.00
2022/10/13	38.88	40.43	38.70	39.67	894496	35712620.00
2022/10/14	40.19	40.79	39.78	40.61	879978	35580380.00
2022/10/17	40.20	42.82	40.20	42.02	1090538	45684068.00
2022/10/18	41.70	42.36	41.34	41.67	654706	27269582.00
2022/10/19	41.53	41.78	40.70	40.70	669363	27568242.00
2022/10/20	40.58	41.50	40.30	41.07	662521	27137756.00
2022/10/21	41.55	41.55	40.26	40.63	579700	23663860.00
2022/10/24	41.26	44.75	40.86	42.75	2211890	95249640.00
2022/10/25	42.06	43.88	41.55	42.99	2375315	101893392.00
2022/10/26	42.66	44.62	41.88	43.98	2216612	96774128.00
2022/10/27	43.51	44.05	43.15	43.65	1497885	65349236.00
