301331 恩威医药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/09/21	42.00	50.10	42.00	43.73	10508779	475501312.00
2022/09/22	38.00	39.95	37.60	38.11	8632650	333499808.00
2022/09/23	39.29	44.98	39.24	41.68	9149172	383258368.00
2022/09/26	40.02	44.80	40.00	43.70	7243267	312476224.00
2022/09/27	44.31	51.83	43.05	50.78	8965135	423008064.00
2022/09/28	50.01	60.00	49.95	57.30	9627397	535564160.00
2022/09/29	56.00	56.30	46.90	47.01	9431817	482097024.00
2022/09/30	45.50	53.60	45.13	50.10	8338737	414781920.00
2022/10/10	50.10	54.50	49.88	51.36	7039980	368081216.00
2022/10/11	51.38	51.71	44.55	45.99	7716664	362171936.00
2022/10/12	46.50	48.10	44.31	46.60	6080124	281242336.00
2022/10/13	45.11	47.88	45.11	45.50	5816521	269224224.00
2022/10/14	45.50	49.86	45.11	48.42	6844115	328443232.00
2022/10/17	48.49	50.88	47.52	48.69	5750961	281090656.00
2022/10/18	48.07	49.88	45.49	48.50	5883599	280962464.00
2022/10/19	47.08	47.84	45.30	45.30	4988961	229794256.00
2022/10/20	45.00	48.85	45.00	46.08	5515332	259442752.00
2022/10/21	44.53	45.43	43.01	43.93	4576216	201473776.00
2022/10/24	44.00	44.98	42.53	42.88	3245930	141782704.00
2022/10/25	42.09	43.00	39.80	40.35	3249494	131934416.00
2022/10/26	40.30	42.42	40.12	41.56	3132353	130448264.00
2022/10/27	40.59	43.76	39.83	42.79	4421438	185394000.00
2022/10/28	41.97	43.55	40.12	40.38	3739841	155405344.00
2022/10/31	40.75	41.58	39.20	41.45	3358888	136839392.00
2022/11/01	41.36	42.99	40.50	42.85	4663052	194945296.00
2022/11/02	42.05	46.30	42.05	44.01	6764155	301015328.00
2022/11/03	42.25	43.50	42.25	42.56	4129713	176236448.00
2022/11/04	42.72	45.54	42.30	44.25	4710209	206663056.00
2022/11/07	44.26	48.18	44.26	47.18	6639956	308652000.00
2022/11/08	46.59	48.30	45.97	46.50	4801583	225326976.00
2022/11/09	46.25	53.68	46.25	52.85	7472757	377932960.00
2022/11/10	51.85	52.59	48.56	49.80	6620866	335221888.00
2022/11/11	50.10	54.43	46.30	47.83	8470414	431808800.00
2022/11/14	46.38	52.42	46.38	52.05	6997421	354812992.00
2022/11/15	52.10	52.10	49.01	50.62	5851231	294702912.00
2022/11/16	50.78	52.58	48.88	51.22	5350611	271056320.00
2022/11/17	50.04	55.00	49.91	52.70	6698904	353228032.00
2022/11/18	52.54	54.17	50.98	53.06	5606311	295145824.00
2022/11/21	52.11	53.80	50.38	50.90	4513239	234361520.00
2022/11/22	49.00	50.40	46.69	47.43	5454431	262257648.00
2022/11/23	48.50	48.78	45.56	46.26	4074633	192014880.00
2022/11/24	46.03	47.51	45.68	47.47	3672241	171794032.00
2022/11/25	46.28	46.65	44.31	45.61	3297869	150312288.00
2022/11/28	45.41	46.92	44.84	45.45	2813789	129125088.00
2022/11/29	44.90	47.00	44.90	46.52	3082494	143297728.00
2022/11/30	46.02	46.68	44.65	45.25	3045137	138298368.00
2022/12/01	45.57	45.86	43.40	43.76	3602723	158640544.00
2022/12/02	43.75	44.84	43.70	44.25	2630004	116458560.00
2022/12/05	45.32	48.21	44.70	46.53	5055619	234854992.00
2022/12/06	46.01	47.45	44.85	44.85	4066898	186359648.00
2022/12/07	44.40	46.66	43.51	46.64	4057502	184026768.00
2022/12/08	46.01	48.55	45.71	47.03	4914247	230783840.00
2022/12/09	46.51	48.50	46.25	47.56	4182525	199282608.00
2022/12/12	48.00	52.98	48.00	52.01	6263991	318405856.00
2022/12/13	51.00	53.68	48.96	53.12	5416980	275910592.00
2022/12/14	51.00	51.15	48.10	48.22	4169720	205690272.00
2022/12/15	48.02	49.94	48.02	48.44	3084187	150715568.00
2022/12/16	48.00	52.77	47.65	51.53	5540664	280370720.00
2022/12/19	51.51	51.72	47.01	47.35	4090992	198368704.00
2022/12/20	47.00	47.20	44.51	45.22	2593001	117981088.00
2022/12/21	45.26	46.39	44.29	44.76	2065800	93411344.00
2022/12/22	44.92	45.92	42.66	42.67	2782590	121132952.00
2022/12/23	42.51	44.88	42.51	43.75	2315590	101281528.00
2022/12/26	43.31	43.99	42.58	43.23	2107492	91113072.00
2022/12/27	43.00	43.19	39.90	41.13	2625812	107155112.00
2022/12/28	40.72	41.59	40.03	40.20	1717700	69880992.00
2022/12/29	39.70	40.96	39.70	40.51	1693034	68636528.00
2022/12/30	40.59	40.80	39.62	39.76	1640594	65651348.00
2023/01/03	39.89	41.29	39.83	41.28	1878011	76569648.00
2023/01/04	41.19	41.19	40.25	40.60	1824649	74091368.00
2023/01/05	40.65	40.96	40.14	40.89	1348500	54818392.00
2023/01/06	41.35	41.43	40.56	41.07	1935700	79298632.00
2023/01/09	41.20	41.30	40.38	40.79	1620216	66017276.00
2023/01/10	40.73	40.73	40.13	40.28	1105951	44600564.00
2023/01/11	40.29	40.54	39.71	39.76	1305122	52412336.00
2023/01/12	39.69	40.19	39.41	39.52	1065204	42326668.00
2023/01/13	39.53	39.88	39.42	39.69	684200	27155970.00
2023/01/16	39.82	40.85	39.63	40.59	1326200	53721832.00
2023/01/17	40.58	40.85	40.06	40.20	1036200	41844588.00
2023/01/18	40.44	42.00	40.44	41.40	2130406	88278424.00
2023/01/19	41.35	41.35	40.50	41.04	1186840	48574252.00
2023/01/20	41.37	41.37	40.84	41.17	901346	37062020.00
2023/01/30	41.20	41.55	40.80	41.37	1370160	56367044.00
2023/01/31	41.28	41.28	40.51	40.63	1170534	47654532.00
2023/02/01	40.63	41.15	40.40	41.10	1442383	58803964.00
2023/02/02	41.11	42.08	40.97	41.79	2063010	85819160.00
2023/02/03	41.73	41.96	41.22	41.60	1320900	54850384.00
2023/02/06	41.43	41.70	40.90	40.97	1164360	47977876.00
2023/02/07	41.01	41.25	40.70	41.09	811500	33236406.00
2023/02/08	41.43	42.27	41.41	41.88	2317963	96970672.00
2023/02/09	41.59	41.91	41.43	41.87	1350899	56321244.00
2023/02/10	41.95	42.25	41.38	41.53	1199605	50066784.00
2023/02/13	41.55	41.91	41.50	41.85	1051075	43851296.00
2023/02/14	42.15	42.15	41.61	42.01	1541510	64667936.00
2023/02/15	42.20	43.39	42.05	42.76	2509236	107414544.00
2023/02/16	42.70	43.87	41.90	42.38	2908039	125741808.00
2023/02/17	42.23	44.99	42.00	44.25	3922774	171172992.00
2023/02/20	43.90	43.97	42.36	43.17	2633225	112907704.00
2023/02/21	42.88	43.37	42.60	42.86	1392823	59673676.00
2023/02/22	42.85	43.40	42.60	42.88	1228749	52805900.00
2023/02/23	42.88	42.88	41.41	41.75	1819044	76503632.00
2023/02/24	41.74	41.94	40.72	40.94	1459013	60239868.00
2023/02/27	40.98	41.60	40.32	40.40	1101295	44951708.00
2023/02/28	40.42	41.40	40.41	41.34	1310500	53777296.00
2023/03/01	42.37	43.26	41.73	42.00	2619624	111343000.00
2023/03/02	41.50	41.97	40.71	40.95	1897263	78165560.00
2023/03/03	41.29	41.97	41.08	41.29	1455227	60376632.00
2023/03/06	41.00	41.40	40.68	41.25	787049	32322772.00
2023/03/07	41.17	41.26	40.41	40.48	1028000	41825832.00
2023/03/08	40.48	40.76	40.18	40.74	522142	21179916.00
2023/03/09	40.37	41.47	40.35	41.00	826944	33875844.00
2023/03/10	40.84	40.84	40.30	40.41	834642	33775788.00
2023/03/13	40.20	40.30	39.75	40.26	803836	32191836.00
2023/03/14	39.95	40.34	38.68	38.87	1116100	43895788.00
2023/03/15	39.19	40.23	39.00	39.90	1083800	43132448.00
2023/03/16	39.59	40.58	39.21	39.90	1080700	43355000.00
2023/03/17	40.15	40.50	39.50	39.76	847700	33752240.00
2023/03/20	39.76	39.80	38.91	39.27	559900	21964220.00
2023/03/21	39.20	39.79	39.20	39.74	460600	18244278.00
2023/03/22	39.90	40.50	39.70	40.45	777857	31252990.00
2023/03/23	40.17	40.51	39.96	40.14	549800	22083096.00
2023/03/24	40.30	40.49	39.35	39.45	873350	34730012.00
2023/03/27	39.41	39.44	38.90	39.35	577536	22634142.00
2023/03/28	39.77	39.84	39.29	39.61	760225	30083420.00
2023/03/29	39.37	39.80	39.03	39.67	688287	27189296.00
2023/03/30	39.65	39.79	39.03	39.28	616900	24264234.00
2023/03/31	39.36	39.70	39.09	39.45	642100	25366802.00
2023/04/03	39.17	39.43	39.04	39.16	877600	34356716.00
2023/04/04	39.10	39.25	38.75	38.75	763925	29791470.00
2023/04/06	38.68	39.17	38.42	38.85	896589	34801096.00
2023/04/07	38.89	39.27	38.78	39.26	751500	29404342.00
2023/04/10	39.25	39.37	38.24	38.63	826900	32053790.00
2023/04/11	38.68	38.80	38.41	38.66	396400	15300406.00
2023/04/12	38.66	38.82	38.35	38.35	585820	22566970.00
2023/04/13	38.48	38.48	37.76	38.11	694500	26524168.00
2023/04/14	38.11	38.70	38.03	38.21	579829	22208950.00
2023/04/17	38.28	38.28	37.82	38.09	513498	19503302.00
2023/04/18	38.11	38.37	37.85	38.11	420100	15988449.00
2023/04/19	38.10	38.31	37.55	37.62	534700	20213808.00
2023/04/20	37.52	37.72	36.36	36.46	758989	27881354.00
2023/04/21	36.50	37.48	36.46	36.70	857417	31738034.00
2023/04/24	37.99	41.38	37.99	41.24	4893418	196922592.00
2023/04/25	39.88	39.92	38.00	38.83	2959455	114751456.00
2023/04/26	38.18	39.70	38.17	39.08	2027440	78971776.00
2023/04/27	38.55	41.53	38.51	41.08	3372480	136693360.00
2023/04/28	40.50	40.93	39.90	40.80	2038290	82527336.00
2023/05/05	41.75	41.75	41.75	41.75	0	0.00
数据来源:通达信
