831305 海希通讯 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/07/17	5.00	5.00	5.00	5.00	243000	1215000.00
2015/07/21	5.00	5.00	5.00	5.00	500000	2500000.00
2015/07/28	5.00	5.00	5.00	5.00	700000	3500000.00
2015/09/07	9.99	9.99	9.99	9.99	1000	9990.00
2016/01/13	9.30	9.30	9.30	9.30	1000	9300.00
2016/01/14	8.85	8.85	8.85	8.85	1000	8850.00
2016/01/15	8.48	8.48	8.48	8.48	1000	8480.00
2016/01/19	8.18	8.18	8.18	8.18	1000	8180.00
2016/01/20	8.09	8.09	8.09	8.09	1000	8090.00
2016/01/22	7.72	7.72	7.72	7.72	2000	15440.00
2016/01/25	7.35	7.35	7.35	7.35	2000	14700.00
2016/01/26	7.04	7.04	7.04	7.04	2000	14080.00
2016/01/27	6.70	6.70	6.70	6.70	2000	13400.00
2016/01/28	6.38	6.50	6.38	6.50	3000	19260.00
2016/01/29	6.00	6.00	6.00	6.00	3000	18000.00
2016/03/02	6.46	6.46	6.46	6.46	1000	6460.00
2016/03/24	6.46	6.46	6.46	6.46	1000	6460.00
2016/03/29	6.46	6.46	6.46	6.46	2000	12920.00
2016/05/13	6.60	6.60	6.38	6.38	2000	12980.00
2016/06/06	6.60	6.60	6.38	6.46	3000	19440.00
2016/07/13	6.23	6.23	6.23	6.23	2000	12460.00
2016/09/14	6.32	6.40	6.32	6.40	5000	31760.00
2016/09/19	6.34	6.34	6.34	6.34	2000	12680.00
2016/09/20	6.35	6.35	6.35	6.35	2000	12700.00
2016/09/27	5.72	5.72	5.65	5.65	4000	22740.00
2016/09/29	5.70	5.70	5.70	5.70	1000	5700.00
2016/09/30	5.70	5.80	5.70	5.80	4000	23000.00
2016/10/10	5.70	5.70	5.61	5.61	3000	17010.00
2016/10/11	5.44	5.44	5.44	5.44	1000	5440.00
2016/10/13	5.61	5.61	5.61	5.61	1000	5610.00
2016/10/17	5.61	5.61	5.61	5.61	2000	11220.00
2016/10/18	5.62	5.62	5.62	5.62	3000	16860.00
2016/10/19	5.62	5.62	5.62	5.62	2000	11240.00
2016/10/20	5.62	5.62	5.62	5.62	2000	11240.00
2016/10/21	5.62	5.62	5.50	5.50	4000	22220.00
2016/10/24	5.61	5.61	5.61	5.61	2000	11220.00
2016/10/26	5.62	5.62	5.62	5.62	2000	11240.00
2016/10/27	5.62	5.62	5.62	5.62	2000	11240.00
2016/10/31	5.61	5.61	5.61	5.61	2000	11220.00
2016/11/01	5.62	5.62	5.62	5.62	2000	11240.00
2016/11/04	5.61	5.61	5.61	5.61	1000	5610.00
2016/11/07	5.62	5.68	5.62	5.66	8000	45290.00
2016/11/08	5.62	5.66	5.62	5.66	2000	11280.00
2016/11/09	5.62	5.66	5.62	5.65	13000	73440.00
2016/11/10	5.63	5.63	5.63	5.63	1000	5630.00
2016/11/11	5.63	5.67	5.63	5.67	9000	50890.00
2016/11/14	5.63	5.75	5.63	5.65	21000	118670.00
2016/11/15	5.63	5.65	5.63	5.65	12000	67700.00
2016/11/16	5.63	5.66	5.63	5.64	15000	84730.00
2016/11/17	5.63	5.66	5.60	5.66	26000	146730.00
2016/11/18	5.64	5.67	5.64	5.65	27000	152600.00
2016/11/21	5.65	5.66	5.64	5.66	25000	141250.00
2016/11/22	5.66	5.68	5.65	5.66	31000	175500.00
2016/11/23	5.67	5.67	5.65	5.65	31000	175470.00
2016/11/24	5.68	5.68	5.65	5.67	21000	118880.00
2016/11/25	5.68	5.68	5.65	5.68	25000	141640.00
2016/11/28	5.69	5.70	5.66	5.68	26000	147470.00
2016/11/29	5.66	5.68	5.66	5.68	26000	147420.00
2016/11/30	5.66	5.68	5.66	5.68	30000	170100.00
2016/12/01	5.66	5.70	5.66	5.68	32000	181480.00
2016/12/02	5.66	5.68	5.60	5.68	32000	181380.00
2016/12/05	5.78	5.93	5.66	5.66	34000	194610.00
2016/12/06	5.60	5.60	5.60	5.60	4000	22400.00
2016/12/07	5.68	5.68	5.66	5.66	2000	11340.00
2016/12/08	5.85	5.85	5.85	5.85	1000	5850.00
2016/12/09	5.90	5.90	5.70	5.72	9000	52160.00
2016/12/12	5.60	5.91	5.60	5.91	6000	34470.00
2016/12/13	6.00	6.18	5.81	5.94	70000	415980.00
2016/12/14	5.82	5.93	5.82	5.91	46000	271720.00
2016/12/15	5.96	5.98	5.96	5.96	36000	214960.00
2016/12/16	5.96	5.98	5.96	5.98	57000	340360.00
2016/12/19	5.90	6.10	5.20	6.00	92000	536640.00
2016/12/21	5.95	5.97	5.95	5.95	200000	1192000.00
2016/12/22	5.85	5.87	5.85	5.87	4000	23420.00
2016/12/23	5.75	5.75	5.75	5.75	2000	11500.00
2016/12/29	5.80	5.80	5.80	5.80	1000	5800.00
2016/12/30	6.11	6.15	6.10	6.15	10000	61210.00
2017/01/04	6.15	6.15	6.15	6.15	2000	12300.00
2017/01/16	6.10	6.10	6.10	6.10	2000	12200.00
2017/01/17	5.96	6.00	5.96	6.00	4000	23880.00
2017/01/18	6.25	6.25	6.25	6.25	1000	6250.00
