831961 创远信科 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/17	30.00	80.00	30.00	80.00	54000	3559710.00
2015/03/18	76.95	78.00	74.56	75.00	25000	1910370.00
2015/03/19	76.00	76.00	73.00	73.00	17000	1261530.00
2015/03/20	71.90	75.70	71.90	74.00	8000	588190.00
2015/03/23	73.00	74.00	71.94	72.64	21000	1527040.00
2015/03/24	72.59	72.98	71.00	72.98	6000	432830.00
2015/03/25	69.36	69.36	66.00	67.60	33000	2220420.00
2015/03/26	66.60	67.89	58.90	61.75	48000	3005210.00
2015/03/27	60.52	60.52	55.00	55.58	39000	2205770.00
2015/03/30	54.15	55.00	49.00	49.65	233000	11844840.00
2015/03/31	50.85	52.02	48.90	51.00	185000	9323900.00
2015/04/01	51.50	53.70	50.04	53.70	428000	22074190.00
2015/04/02	52.00	54.00	51.31	52.96	422000	22172880.00
2015/04/03	53.60	64.21	52.50	64.21	341000	19289270.00
2015/04/07	64.48	72.50	62.00	67.36	244000	16844240.00
2015/04/08	64.60	67.18	58.00	64.00	109000	6904200.00
2015/04/09	64.65	66.00	57.00	57.50	153000	9451360.00
2015/04/10	59.28	61.67	56.53	59.68	41000	2433230.00
2015/04/13	59.28	61.67	53.00	55.78	93000	5341430.00
2015/04/14	56.00	58.00	55.12	58.00	46000	2629190.00
2015/04/15	58.34	58.94	56.36	56.36	20000	1147570.00
2015/04/16	58.00	58.59	55.95	58.59	14000	808920.00
2015/04/17	59.63	59.63	59.63	59.63	8000	477040.00
2015/04/20	57.51	59.63	56.92	58.00	26000	1531720.00
2015/04/21	56.81	58.63	56.01	56.40	18000	1021620.00
2015/04/22	55.95	57.00	53.95	56.50	19000	1061570.00
2015/04/23	54.99	58.00	54.99	58.00	25000	1402360.00
2015/04/24	56.66	58.40	55.53	55.53	24000	1381810.00
2015/04/27	56.10	57.60	55.00	55.00	25000	1425110.00
2015/04/28	54.80	56.50	53.68	55.00	18000	989520.00
2015/04/29	54.51	56.83	54.15	56.83	7000	385050.00
2015/04/30	54.71	56.86	54.71	56.86	7000	390090.00
2015/05/04	54.91	59.00	54.67	56.05	30000	1721130.00
2015/05/05	56.56	57.00	54.91	55.50	9000	502030.00
2015/05/06	55.40	56.15	53.39	55.00	15000	822560.00
2015/05/07	53.78	54.18	50.95	51.70	35000	1843360.00
2015/05/08	49.91	51.88	49.00	50.07	29000	1448800.00
2015/05/11	48.40	48.40	44.65	47.72	31000	1458180.00
2015/05/12	45.80	47.49	45.32	45.55	13000	597100.00
2015/05/13	45.47	45.72	45.02	45.69	26000	1180410.00
2015/05/14	45.93	47.08	45.71	46.85	26000	1205580.00
2015/05/15	46.62	47.32	44.75	47.32	23000	1072760.00
2015/05/18	48.97	49.00	47.50	47.80	19000	911330.00
2015/05/19	47.34	48.73	47.03	48.00	25000	1195060.00
2015/05/20	46.87	48.00	46.87	46.87	10000	474280.00
2015/05/21	48.67	48.74	47.34	47.34	5000	240920.00
2015/05/22	48.74	48.74	47.34	47.34	4000	190760.00
2015/05/25	48.74	49.23	47.83	48.80	16000	780180.00
2015/05/26	47.81	49.20	19.20	48.00	19000	852110.00
2015/05/27	49.23	49.60	47.50	49.60	16000	778210.00
2015/05/28	48.50	49.00	48.00	48.00	5000	241500.00
2015/05/29	47.82	49.22	47.82	48.00	10000	479780.00
2015/06/01	47.35	48.75	46.88	46.88	18000	854160.00
2015/06/02	46.88	48.75	46.80	48.75	16000	753370.00
2015/06/03	46.88	46.88	46.88	46.88	2000	93760.00
2015/06/04	16.25	16.41	15.88	16.41	18000	293080.00
2015/06/05	16.58	16.65	16.06	16.17	11000	180440.00
2015/06/08	16.11	16.57	16.11	16.57	32000	520170.00
2015/06/09	16.11	16.75	15.95	16.57	44000	712360.00
2015/06/10	16.11	16.55	15.95	16.55	25000	402490.00
2015/06/11	15.95	16.51	15.91	16.51	23000	369010.00
2015/06/12	15.96	16.59	15.96	15.96	34000	554730.00
2015/06/15	16.59	16.59	15.96	16.59	29000	469450.00
2015/06/16	15.96	16.43	15.81	15.81	24000	382610.00
2015/06/17	16.44	16.52	15.96	16.40	20000	324950.00
2015/06/18	15.81	16.27	15.66	16.26	44000	700260.00
2015/06/19	16.29	16.47	15.67	16.29	33000	529610.00
2015/06/23	16.29	16.39	16.29	16.39	5000	81750.00
2015/06/24	16.46	16.46	16.46	16.46	1000	16460.00
2015/06/25	15.84	15.84	15.83	15.83	3000	47500.00
2015/06/26	15.83	16.00	15.69	15.85	30000	475760.00
2015/06/29	15.68	16.13	15.53	16.13	17000	267160.00
2015/06/30	16.10	16.10	15.44	15.96	72000	1147360.00
2015/07/01	15.86	15.86	15.72	15.86	19000	299390.00
2015/07/02	15.62	15.75	15.44	15.75	9000	140590.00
2015/07/03	15.18	15.20	12.73	13.89	86000	1174580.00
2015/07/06	13.89	14.10	13.50	14.03	60000	824930.00
2015/07/07	14.03	14.03	12.66	13.05	54000	721520.00
2015/07/08	12.56	12.56	9.60	11.10	171000	1826810.00
2015/07/09	10.99	12.80	10.99	12.80	56000	678870.00
2015/07/10	13.05	14.25	12.59	13.60	53000	706800.00
2015/07/13	14.10	14.66	13.68	14.11	35000	492790.00
2015/07/14	13.97	15.30	13.70	15.30	42000	595810.00
2015/07/15	14.52	16.20	13.84	14.94	64000	921720.00
2015/07/16	14.39	14.88	14.20	14.82	18000	261320.00
2015/07/17	14.20	15.68	14.20	15.68	20000	293850.00
2015/07/20	15.16	16.10	14.68	16.10	19000	289780.00
2015/07/21	14.83	15.80	14.73	15.80	36000	545680.00
2015/07/22	15.08	18.00	15.08	18.00	33000	518420.00
2015/07/23	15.92	17.67	15.49	17.67	58000	922630.00
2015/07/24	16.51	16.84	15.88	16.84	24000	393390.00
2015/07/27	15.88	16.63	15.41	16.63	12000	191140.00
2015/07/28	15.57	15.83	15.07	15.83	20000	308420.00
2015/07/29	15.11	15.94	15.00	15.55	13000	200400.00
2015/07/30	15.70	16.24	15.11	15.50	15000	234220.00
2015/07/31	15.50	16.10	15.35	15.90	8000	126030.00
2015/08/03	15.50	15.95	15.32	15.79	23000	355590.00
2015/08/05	15.79	16.20	15.19	15.63	29000	448300.00
2015/08/06	15.19	15.79	15.19	15.79	31000	479050.00
2015/08/07	15.79	19.20	15.19	19.20	34000	551240.00
2015/08/10	17.55	17.55	15.80	16.60	122000	2013450.00
2015/08/11	15.98	16.61	15.67	16.28	41000	660280.00
2015/08/12	16.29	16.76	15.16	15.20	71000	1114440.00
2015/08/13	15.80	15.96	15.75	15.96	10000	158210.00
2015/08/14	15.80	16.00	15.21	15.81	46000	718850.00
2015/08/17	15.23	15.81	15.21	15.81	43000	665510.00
2015/08/18	15.80	15.80	15.21	15.66	31000	478020.00
2015/08/19	15.20	16.05	15.20	15.80	49000	760820.00
2015/08/20	15.22	16.00	15.20	15.82	52000	810170.00
2015/08/21	15.22	15.82	15.22	15.81	22000	339590.00
2015/08/24	15.07	15.51	13.87	14.50	69000	997160.00
2015/08/25	13.87	14.26	13.45	14.13	35000	481730.00
2015/08/26	13.60	14.14	13.60	13.80	37000	513530.00
2015/08/27	13.80	14.35	13.53	13.92	27000	373560.00
2015/08/28	13.91	14.84	13.91	14.84	31000	444740.00
2015/08/31	14.76	15.72	14.76	15.20	23000	345730.00
2015/09/01	15.00	15.59	14.85	15.44	34000	513490.00
2015/09/02	15.28	15.44	14.85	15.40	28000	423920.00
2015/09/07	15.44	15.75	15.44	15.74	23000	358350.00
2015/09/08	15.75	16.22	15.62	16.21	56000	890940.00
2015/09/09	16.23	16.30	15.61	16.23	31000	494170.00
2015/09/10	15.61	16.30	15.61	16.23	19000	302230.00
2015/09/11	15.61	16.23	15.49	16.23	69000	1094710.00
2015/09/14	15.61	16.23	15.49	16.23	20000	315990.00
2015/09/15	15.61	16.55	15.61	16.55	13000	208410.00
2015/09/16	15.80	16.43	15.61	16.09	44000	700650.00
2015/09/17	15.49	16.20	15.47	15.94	24000	377180.00
2015/09/18	15.34	16.00	15.34	16.00	20000	311840.00
2015/09/21	15.79	16.00	15.35	15.79	16000	250830.00
2015/09/22	15.79	15.94	15.15	15.79	36000	556460.00
2015/09/23	15.79	16.42	15.79	16.42	8000	128820.00
2015/09/24	15.79	16.25	15.48	16.09	33000	521730.00
2015/09/25	16.09	16.09	15.33	15.93	38000	591240.00
2015/09/28	15.40	15.94	15.30	15.94	32000	496100.00
2015/09/29	15.33	15.78	15.18	15.62	36000	552060.00
2015/09/30	15.63	15.63	15.03	15.47	17000	258950.00
2015/10/08	15.47	15.48	14.88	15.47	23000	350580.00
