833509 同惠电子 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/15	10.00	10.00	10.00	10.00	1000	10000.00
2016/04/18	6.60	6.60	6.60	6.60	300000	1980000.00
2016/04/22	6.60	6.60	6.60	6.60	300000	1980000.00
2016/10/24	9.50	9.50	9.50	9.50	1000	9500.00
2016/12/21	6.00	6.00	6.00	6.00	100000	600000.00
2017/01/17	6.00	6.00	6.00	6.00	75000	450000.00
2017/12/04	3.00	3.00	3.00	3.00	1000	3000.00
2017/12/05	5.80	5.80	5.80	5.80	2800000	16240000.00
2018/01/05	5.80	5.80	5.80	5.80	350000	2030000.00
2018/02/13	5.80	5.80	5.80	5.80	350000	2030000.00
2018/03/12	6.00	6.00	6.00	6.00	2000000	12000000.00
2018/05/03	5.81	5.81	5.81	5.81	1000	5810.00
2018/05/04	5.80	5.80	5.80	5.80	149000	864200.00
2018/07/31	6.10	6.10	6.10	6.10	101000	656100.00
2018/08/03	5.50	5.50	5.50	5.50	1000	5500.00
2018/08/06	5.70	5.70	5.70	5.70	20000	114000.00
2018/08/15	5.70	5.70	5.70	5.70	15000	85500.00
2018/11/21	5.70	5.70	5.70	5.70	1800000	7200000.00
2019/05/17	5.70	5.70	5.70	5.70	175000	997500.00
2019/10/25	4.00	4.00	4.00	4.00	705000	2820000.00
2019/11/14	5.88	5.88	5.88	5.88	1000	5880.00
2019/11/15	6.03	6.03	6.03	6.03	1000	6030.00
2020/01/06	6.03	6.03	6.03	6.03	900000	2718000.00
2020/01/13	8.00	8.00	8.00	8.00	1000	8000.00
2020/01/17	6.01	6.01	6.01	6.01	10000	60100.00
2020/01/20	6.01	6.01	6.01	6.01	1000	6010.00
2020/01/21	6.01	6.01	6.01	6.01	1000	6010.00
2020/01/22	6.02	6.02	6.02	6.02	2000	12040.00
2020/02/24	6.02	6.02	6.02	6.02	1000	6020.00
2020/02/25	6.02	6.02	6.02	6.02	2000	12040.00
2020/02/26	6.02	6.08	6.02	6.08	3000	18120.00
2020/02/27	6.08	6.08	6.08	6.08	2000	12160.00
2020/02/28	6.10	6.10	6.02	6.02	8000	48720.00
2020/03/04	6.02	6.02	6.02	6.02	2000	12040.00
2020/03/05	6.02	6.02	6.02	6.02	2000	12040.00
2020/03/06	6.02	6.02	6.02	6.02	3000	18060.00
2020/03/11	6.02	6.02	6.02	6.02	3000	18060.00
2020/03/13	6.02	6.02	6.02	6.02	1000	6020.00
2020/03/17	6.02	6.02	6.02	6.02	2000	12040.00
2020/03/18	6.03	6.03	6.03	6.03	1000	6030.00
2020/03/19	6.03	6.03	6.03	6.03	1000	6030.00
2020/03/20	6.03	6.03	6.03	6.03	1000	6030.00
2020/03/23	6.03	6.03	6.03	6.03	1000	6030.00
2020/03/24	6.03	6.03	6.03	6.03	3000	18090.00
2020/03/27	6.03	6.03	6.03	6.03	1000	6030.00
2020/04/03	6.03	6.03	6.03	6.03	1000	6030.00
2020/04/10	6.03	6.03	6.03	6.03	1000	6030.00
2020/07/06	6.30	10.31	6.30	10.00	1700	15765.00
2020/07/07	11.05	11.78	11.05	11.78	2900	32706.00
2020/07/08	11.79	12.27	11.79	12.27	300	3604.00
2020/07/09	12.83	12.83	12.83	12.83	100	1283.00
2020/07/10	13.00	13.00	13.00	13.00	200	2600.00
2020/07/13	13.99	14.02	13.99	14.01	9900	138738.00
2020/07/14	14.00	14.02	14.00	14.02	19400	271982.00
2020/07/15	14.02	14.02	13.70	13.70	4800	66656.00
2020/07/16	13.70	13.71	13.50	13.70	11100	151678.00
2020/07/17	13.70	13.70	13.70	13.70	12200	167140.00
2020/07/21	13.70	13.70	13.70	13.70	100	1370.00
2020/07/24	12.80	12.80	12.80	12.80	23000	294400.00
2020/07/27	12.80	12.80	12.80	12.80	200	2560.00
2020/07/29	12.80	12.80	12.20	12.20	300	3779.00
2020/07/30	14.56	14.56	14.56	14.56	100	1456.00
2020/07/31	16.08	16.08	16.08	16.08	100	1608.00
2020/08/03	17.01	17.01	17.01	17.01	100	1701.00
2020/08/04	17.66	18.62	17.48	18.62	7300	129000.00
2020/08/05	18.62	18.80	17.00	18.59	36800	672356.00
2020/08/06	17.00	17.99	16.50	17.99	12300	207986.00
2020/08/07	20.20	20.20	16.00	16.00	16300	264940.00
2020/08/10	15.50	16.99	15.00	16.99	5000	76699.00
2020/08/11	15.50	19.60	15.50	19.60	2100	33460.00
2020/08/13	16.00	19.00	16.00	19.00	1100	17900.00
2020/08/18	15.50	18.80	15.00	18.80	3300	51380.00
2020/08/20	22.00	22.00	22.00	22.00	100	2200.00
2020/09/01	17.50	17.50	17.50	17.50	10200	178500.00
2020/09/02	20.02	20.02	20.02	20.02	900	18018.00
2021/01/11	6.25	6.33	6.00	6.27	5270500	32902888.00
2021/01/12	6.20	6.40	6.10	6.31	1657900	10435124.00
2021/01/13	6.26	6.31	6.22	6.30	376500	2354834.50
2021/01/14	6.30	6.32	6.22	6.30	352500	2204930.50
2021/01/15	6.27	6.31	6.25	6.26	125600	788999.00
2021/01/18	6.25	6.31	6.24	6.30	299500	1885139.38
2021/01/19	6.28	6.75	6.28	6.46	1293000	8363596.50
