838227 美登科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/28	20.69	21.74	19.99	21.50	2084956	43105760.00
2022/12/29	20.21	20.27	19.18	19.19	535861	10475606.00
2022/12/30	19.04	19.04	18.53	18.70	226164	4250275.00
2023/01/03	18.60	19.39	18.50	19.17	191054	3620083.00
2023/01/04	19.01	19.39	18.96	19.16	94813	1810127.75
2023/01/05	19.16	19.23	18.91	18.96	82096	1559354.25
2023/01/06	18.92	18.96	18.80	18.83	74068	1397007.00
2023/01/09	18.75	18.85	18.70	18.80	49947	938536.75
2023/01/10	18.68	18.70	18.63	18.66	58076	1083813.00
2023/01/11	18.66	18.87	18.66	18.70	57110	1071392.88
2023/01/12	18.80	18.80	18.60	18.68	25131	469408.75
2023/01/13	18.52	18.88	18.52	18.70	24690	460593.50
2023/01/16	18.60	19.10	18.60	19.03	56705	1076689.75
2023/01/17	19.01	19.04	18.92	19.03	28601	542926.25
2023/01/18	18.72	19.20	18.72	19.11	34788	663565.56
2023/01/19	19.11	19.15	18.75	18.97	62983	1193110.38
2023/01/20	18.91	19.21	18.91	19.21	66464	1270283.63
2023/01/30	19.28	19.36	19.24	19.30	68280	1316673.00
2023/01/31	19.27	20.33	19.25	20.17	297573	5957281.00
2023/02/01	20.94	20.94	19.70	20.20	268575	5470764.50
2023/02/02	20.46	20.46	20.03	20.06	109876	2212532.00
2023/02/03	20.08	20.16	19.72	20.16	93477	1863139.25
2023/02/06	20.15	20.25	19.85	19.97	63562	1270559.88
2023/02/07	20.14	20.25	19.88	19.99	79929	1608352.50
2023/02/08	19.92	20.00	19.81	19.87	59203	1174797.00
2023/02/09	19.72	20.08	19.72	20.03	37695	751513.06
2023/02/10	20.02	20.10	19.88	20.03	23703	472920.69
数据来源:通达信
