839725 惠丰钻石 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/07/18	31.60	32.90	29.18	29.20	6521813	202579680.00
2022/07/19	29.50	32.00	28.53	31.51	2784858	84701264.00
2022/07/20	32.53	40.20	32.53	38.12	3091682	112197840.00
2022/07/21	38.28	41.59	36.50	37.80	2480936	95989608.00
2022/07/22	38.78	40.50	37.52	40.24	1694617	66249184.00
2022/07/25	40.50	44.50	40.25	44.50	1758022	74013240.00
2022/07/26	44.40	56.66	44.03	54.30	2631105	132737256.00
2022/07/27	52.83	54.80	49.00	51.30	2269000	116216160.00
2022/07/28	52.00	54.88	49.56	53.20	1678179	87462688.00
2022/07/29	53.01	53.76	47.78	47.99	1574087	78232384.00
2022/08/01	47.70	50.30	46.50	47.45	1013838	48894192.00
2022/08/02	47.60	47.60	41.80	43.40	1871023	82469520.00
2022/08/03	47.00	53.50	45.80	50.69	2256001	110304672.00
2022/08/04	49.70	54.50	49.70	51.40	1374140	72159888.00
2022/08/05	52.00	52.29	48.90	51.30	1153355	57812724.00
2022/08/08	50.89	50.89	48.42	49.58	1001445	49512424.00
2022/08/09	49.68	49.72	47.70	47.80	956623	46277484.00
2022/08/10	48.15	50.39	46.58	49.51	1148173	56024868.00
2022/08/11	49.11	51.80	49.00	49.32	875198	43702232.00
2022/08/12	49.00	51.00	46.88	49.02	952325	47147776.00
2022/08/15	51.50	58.18	51.30	56.50	2169134	117595456.00
2022/08/16	53.81	55.80	53.48	54.31	1240199	67218896.00
2022/08/17	55.49	60.20	55.00	57.51	1601808	92653464.00
2022/08/18	56.69	60.87	56.62	59.60	1262331	74339088.00
2022/08/19	60.00	60.03	56.06	57.15	1078989	62182928.00
2022/08/22	56.74	56.77	54.36	55.13	666063	36729280.00
2022/08/23	54.86	57.70	54.50	56.37	520756	29388060.00
2022/08/24	56.25	56.25	51.50	52.64	877034	46606024.00
2022/08/25	52.65	53.75	51.71	52.55	358850	18901558.00
2022/08/26	53.00	53.37	51.98	52.00	441811	23210560.00
2022/08/29	52.27	54.93	50.03	54.04	577657	30544710.00
2022/08/30	52.85	53.86	51.15	52.46	511892	26751916.00
2022/08/31	52.99	54.48	51.01	51.33	400853	20912038.00
2022/09/01	52.20	52.20	48.19	48.39	701111	35008496.00
2022/09/02	48.74	49.30	47.00	47.73	406205	19498214.00
