870866 绿亨科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/09	6.78	7.48	6.71	7.15	9452257	67666648.00
2022/12/12	7.00	7.01	6.89	6.91	1817066	12581461.00
2022/12/13	6.95	6.95	6.89	6.90	664117	4589472.00
2022/12/14	6.90	6.90	6.76	6.77	960250	6519538.00
2022/12/15	6.76	6.85	6.74	6.78	546331	3702854.50
2022/12/16	6.81	6.82	6.67	6.69	688740	4627269.50
2022/12/19	6.74	6.74	6.47	6.47	681292	4463508.00
2022/12/20	6.56	6.56	6.36	6.43	499649	3191692.25
2022/12/21	6.36	6.48	6.36	6.40	198123	1271568.50
2022/12/22	6.40	6.41	6.29	6.29	455306	2884605.75
2022/12/23	6.29	6.29	6.16	6.18	374522	2328396.75
2022/12/26	6.15	6.25	6.14	6.18	418706	2581428.25
2022/12/27	6.14	6.53	6.14	6.43	806441	5125918.00
2022/12/28	6.39	6.39	6.29	6.30	243147	1538499.13
2022/12/29	6.25	6.26	6.17	6.20	227013	1407702.25
2022/12/30	6.27	6.28	6.17	6.22	214729	1332545.75
2023/01/03	6.19	6.26	6.18	6.24	324728	2017246.50
2023/01/04	6.18	6.25	6.18	6.24	125454	782105.63
2023/01/05	6.21	6.27	6.21	6.24	168075	1047523.69
2023/01/06	6.27	6.27	6.19	6.22	250696	1558701.25
2023/01/09	6.20	6.33	6.18	6.33	373089	2342227.50
2023/01/10	6.34	6.36	6.30	6.32	130859	827955.88
2023/01/11	6.36	6.36	6.27	6.34	395323	2497923.75
2023/01/12	6.34	6.34	6.18	6.22	225080	1402752.38
2023/01/13	6.27	6.28	6.20	6.26	153551	960416.13
2023/01/16	6.22	6.33	6.22	6.29	154453	972708.88
2023/01/17	6.29	6.32	6.27	6.30	134995	848927.13
2023/01/18	6.30	6.31	6.25	6.31	136790	860828.06
2023/01/19	6.30	6.32	6.29	6.31	158518	999104.50
2023/01/20	6.33	6.35	6.31	6.34	201954	1278938.88
2023/01/30	6.34	6.38	6.34	6.37	274485	1745491.25
2023/01/31	6.35	6.65	6.35	6.62	1110201	7274573.00
2023/02/01	6.62	6.66	6.55	6.64	841457	5553673.50
2023/02/02	6.61	6.65	6.60	6.64	434357	2877508.50
2023/02/03	6.64	6.65	6.56	6.56	424079	2800115.00
2023/02/06	6.63	6.63	6.52	6.53	157702	1034030.13
2023/02/07	6.52	6.71	6.52	6.66	724754	4820441.50
2023/02/08	6.62	6.62	6.54	6.57	370152	2434230.25
2023/02/09	6.55	6.61	6.54	6.56	334634	2197542.25
2023/02/10	6.56	6.86	6.54	6.67	730340	4898202.00
数据来源:通达信
