873339 恒太照明 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/11/17	6.75	6.98	6.28	6.29	13788217	90707224.00
2022/11/18	6.11	6.28	5.92	6.28	8832081	53692220.00
2022/11/21	6.18	6.18	6.08	6.08	2436608	14920407.00
2022/11/22	6.06	6.10	5.94	5.96	1664067	10016609.00
2022/11/23	5.95	5.99	5.87	5.98	1222253	7238225.50
2022/11/24	5.96	6.00	5.94	5.96	402681	2398985.00
2022/11/25	5.95	5.95	5.89	5.89	514897	3044299.00
2022/11/28	5.89	5.89	5.84	5.86	291816	1710749.88
2022/11/29	5.87	5.89	5.85	5.88	406552	2387101.25
2022/11/30	5.87	5.90	5.87	5.89	222347	1308019.88
2022/12/01	5.91	5.97	5.85	5.97	915542	5412394.50
2022/12/02	5.95	5.99	5.90	5.93	279175	1657906.38
2022/12/05	5.93	5.95	5.88	5.90	401079	2368924.50
2022/12/06	5.89	5.89	5.83	5.87	353386	2067263.00
2022/12/07	5.84	5.86	5.82	5.83	326231	1902547.63
2022/12/08	5.84	5.84	5.78	5.78	405481	2352894.50
2022/12/09	5.78	5.80	5.72	5.72	507158	2916533.50
2022/12/12	5.74	5.74	5.63	5.66	511232	2896389.25
2022/12/13	5.65	5.66	5.62	5.63	182263	1027060.50
2022/12/14	5.64	5.64	5.60	5.61	208563	1170301.00
2022/12/15	5.60	5.62	5.56	5.59	208273	1162022.00
2022/12/16	5.58	5.58	5.46	5.50	441793	2431563.50
2022/12/19	5.47	5.48	5.33	5.34	299826	1622933.50
2022/12/20	5.34	5.37	5.33	5.36	130079	695415.88
2022/12/21	5.35	5.37	5.30	5.31	279600	1489499.00
2022/12/22	5.33	5.36	5.19	5.19	450787	2370039.75
2022/12/23	5.20	5.20	5.02	5.07	495470	2520182.00
2022/12/26	5.04	5.07	5.00	5.05	253616	1278747.75
2022/12/27	5.04	5.07	5.03	5.04	157895	795631.31
2022/12/28	5.04	5.04	4.98	5.00	313850	1569049.25
2022/12/29	4.98	4.98	4.95	4.95	128153	636636.69
2022/12/30	4.96	5.03	4.96	5.01	77606	387653.31
2023/01/03	5.02	5.04	5.00	5.04	101764	510817.28
2023/01/04	5.04	5.12	5.03	5.11	410888	2087081.63
2023/01/05	5.11	5.13	5.09	5.13	129471	662136.25
2023/01/06	5.11	5.14	5.08	5.13	87285	445578.50
2023/01/09	5.13	5.13	5.06	5.09	87969	447569.50
2023/01/10	5.08	5.08	5.01	5.05	285893	1442200.50
2023/01/11	5.05	5.08	5.03	5.03	148290	747177.69
2023/01/12	5.03	5.04	5.01	5.03	132000	663516.00
2023/01/13	5.03	5.05	5.02	5.03	99215	499469.44
2023/01/16	5.03	5.07	5.00	5.07	462454	2322345.75
2023/01/17	5.06	5.06	5.02	5.05	93976	472992.44
2023/01/18	5.06	5.20	5.06	5.18	796174	4072713.50
2023/01/19	5.12	5.20	5.07	5.10	506561	2580181.75
2023/01/20	5.09	5.14	5.09	5.13	187955	961800.56
2023/01/30	5.19	5.20	5.15	5.17	233297	1206344.63
2023/01/31	5.20	5.49	5.17	5.47	1405155	7566292.00
2023/02/01	5.50	5.74	5.50	5.57	1903638	10738558.00
2023/02/02	5.60	5.61	5.40	5.41	1053797	5746992.00
2023/02/03	5.43	5.45	5.30	5.40	371808	1998635.63
2023/02/06	5.37	5.40	5.34	5.38	277878	1491541.88
2023/02/07	5.37	5.43	5.33	5.37	245663	1316532.38
2023/02/08	5.36	5.37	5.32	5.34	135241	723318.38
2023/02/09	5.35	5.40	5.35	5.40	141451	760925.19
2023/02/10	5.39	5.39	5.36	5.36	132053	709484.81
数据来源:通达信
