600009 上海机场 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	11.65	12.32	11.61	12.02	15730400	189582928.00
2009/01/09	11.98	12.54	11.96	12.47	15553200	190722432.00
2009/01/12	12.60	13.09	12.50	12.90	21083800	271325920.00
2009/01/13	12.65	12.84	12.42	12.66	9244600	116518184.00
2009/01/14	12.60	12.89	12.56	12.80	7899900	100935024.00
2009/01/15	12.75	12.75	12.47	12.55	18978200	238555184.00
2009/01/16	12.47	12.90	12.47	12.88	13717100	175224432.00
2009/01/19	12.99	13.35	12.50	12.67	17216100	224180496.00
2009/01/20	12.60	12.68	12.21	12.32	10018200	123940832.00
2009/01/21	12.29	12.78	12.29	12.69	10192500	127224392.00
2009/01/22	12.68	12.77	12.46	12.75	5771800	72817536.00
2009/01/23	12.76	12.80	12.52	12.64	8074800	102430864.00
2009/02/02	12.70	13.51	12.55	13.36	11899300	155673440.00
2009/02/03	13.38	13.76	13.25	13.62	20152600	272802688.00
2009/02/04	13.75	13.94	13.63	13.76	14525400	199572288.00
2009/02/05	13.80	13.81	13.35	13.45	14139000	191891568.00
2009/02/06	13.72	13.93	13.55	13.88	19309000	264451200.00
2009/02/09	13.97	14.20	13.72	13.95	24277000	337734720.00
2009/02/10	13.86	13.94	13.50	13.82	24912900	342377184.00
2009/02/11	13.60	14.45	13.45	14.36	32772500	454700096.00
2009/02/12	14.27	14.84	14.01	14.69	33881800	490385152.00
2009/02/13	14.67	15.07	14.42	14.91	26715300	395290464.00
2009/02/16	14.98	15.04	14.45	14.82	22684500	333869344.00
2009/02/17	14.85	14.88	14.16	14.23	21503200	310502880.00
2009/02/18	13.93	13.93	13.30	13.35	34832900	473539168.00
2009/02/19	13.50	13.62	13.08	13.26	21172500	280589696.00
2009/02/20	13.29	13.99	13.15	13.81	22466000	307017600.00
2009/02/23	13.70	14.10	13.56	13.96	16397100	227720832.00
2009/02/24	13.77	14.12	13.37	13.38	14401300	198400416.00
2009/02/25	13.58	13.64	12.89	13.31	14038900	185589488.00
2009/02/26	13.38	13.70	12.64	12.74	15956000	211212144.00
2009/02/27	12.58	12.72	12.05	12.56	19039300	235450128.00
2009/03/02	12.29	12.82	12.21	12.69	9021900	113863224.00
2009/03/03	12.45	12.82	12.34	12.73	7430300	93326504.00
2009/03/04	12.83	13.41	12.73	13.25	19170800	252394944.00
2009/03/05	13.39	13.41	12.95	13.15	18802300	248201968.00
2009/03/06	12.96	13.40	12.83	13.25	11435400	149662912.00
2009/03/09	13.25	13.46	12.70	12.82	8704600	113894592.00
2009/03/10	12.79	13.12	12.68	13.06	6038200	77842904.00
2009/03/11	13.26	13.34	12.91	12.97	6028700	79262344.00
2009/03/12	12.90	13.03	12.77	12.91	9086600	117125048.00
2009/03/13	12.99	13.10	12.75	12.82	4599900	59468132.00
2009/03/16	12.80	13.02	12.62	12.93	4029200	51701508.00
2009/03/17	12.95	13.33	12.90	13.28	8537700	112707264.00
2009/03/18	13.32	13.75	13.25	13.57	12236700	164888784.00
2009/03/19	13.52	14.15	13.52	13.85	14271800	198390656.00
2009/03/20	13.85	14.29	13.72	13.78	15110800	211276240.00
2009/03/23	13.75	14.08	13.74	13.93	11578800	161061472.00
2009/03/24	14.10	15.00	13.92	14.71	17539000	249149344.00
2009/03/25	14.39	14.88	14.18	14.22	14204500	206409040.00
2009/03/26	14.67	14.97	14.22	14.73	28502600	417019392.00
2009/03/27	14.74	14.79	14.45	14.51	17209000	251765824.00
2009/03/30	14.51	14.54	14.08	14.16	16754100	238066256.00
2009/03/31	13.97	14.23	13.65	14.21	13126700	182929744.00
2009/04/01	14.27	14.56	14.22	14.40	13094200	188933040.00
2009/04/02	14.48	14.78	14.40	14.50	14465100	211323584.00
2009/04/03	14.68	14.68	14.18	14.52	15840900	228945392.00
2009/04/07	14.50	14.67	14.00	14.21	13436200	191082688.00
2009/04/08	14.18	14.18	13.66	13.67	15267500	212075232.00
2009/04/09	13.71	13.86	13.55	13.75	11746200	160813200.00
2009/04/10	13.87	14.12	13.75	14.04	11763500	163921760.00
2009/04/13	14.15	14.30	14.04	14.28	19268000	273943808.00
2009/04/14	14.32	14.41	14.14	14.27	18966100	270386048.00
2009/04/15	14.16	14.35	14.06	14.27	13033100	185049568.00
2009/04/16	14.30	14.62	14.25	14.46	21659600	312343424.00
2009/04/17	14.47	14.59	14.18	14.20	21282100	305937504.00
2009/04/20	14.20	14.60	14.13	14.57	19181000	276600032.00
2009/04/21	14.36	14.77	14.30	14.75	22385300	325901248.00
2009/04/22	14.77	15.39	14.30	14.41	35133800	524629120.00
2009/04/23	14.35	14.44	14.05	14.38	12844600	183242944.00
2009/04/24	14.48	14.48	14.00	14.02	10771500	152921040.00
2009/04/27	14.10	14.20	13.69	13.73	9239900	128336832.00
2009/04/28	13.31	13.55	13.20	13.37	17224500	230187408.00
2009/04/29	13.15	13.65	13.15	13.55	21210400	284808832.00
2009/04/30	13.70	14.08	13.65	13.72	21794000	301606976.00
2009/05/04	13.87	14.29	13.72	14.23	18505600	259058896.00
2009/05/05	14.35	14.46	14.11	14.20	20524600	293292736.00
2009/05/06	14.24	14.66	14.18	14.45	25716800	371021024.00
2009/05/07	14.51	14.60	14.04	14.23	18178100	259724752.00
2009/05/08	14.19	14.27	13.89	14.19	17924200	252567136.00
2009/05/11	14.24	14.55	13.98	14.00	32436300	465321568.00
2009/05/12	13.89	14.17	13.82	14.15	15742800	220122064.00
2009/05/13	14.17	14.61	14.17	14.43	31728200	458317248.00
2009/05/14	14.35	14.94	14.30	14.70	28574600	419155616.00
2009/05/15	14.81	14.91	14.45	14.62	16210100	236736656.00
2009/05/18	14.64	14.64	14.25	14.61	17187700	248699904.00
2009/05/19	14.65	14.80	14.41	14.48	24481100	357948896.00
2009/05/20	14.54	14.60	14.12	14.15	23312700	333034016.00
2009/05/21	14.07	14.17	13.82	13.88	18037900	251785136.00
2009/05/22	13.86	13.98	13.67	13.95	21545549	297731168.00
2009/05/25	13.65	13.94	13.60	13.83	12594644	172839424.00
2009/05/26	13.87	14.03	13.72	13.95	13130529	182049712.00
2009/05/27	13.97	14.01	13.84	13.86	12360211	172139520.00
2009/06/01	13.93	14.14	13.85	13.99	19246058	269317920.00
2009/06/02	14.08	14.24	14.00	14.06	17120513	241992384.00
2009/06/03	14.19	14.26	13.99	14.23	28050230	396325152.00
2009/06/04	14.20	14.25	13.85	14.00	25392370	356155584.00
2009/06/05	14.08	14.09	13.81	13.85	19823676	275873888.00
2009/06/08	13.83	14.08	13.78	14.04	19419802	271642944.00
2009/06/09	14.04	14.22	13.82	14.20	18739803	262383632.00
2009/06/10	14.25	15.15	14.22	15.10	74686521	1103549824.00
2009/06/11	14.99	15.19	14.76	14.80	42130651	630056576.00
2009/06/12	14.70	14.90	14.15	14.33	29723403	430436672.00
2009/06/15	14.35	14.60	14.28	14.60	19311513	279387584.00
2009/06/16	14.50	15.06	14.41	14.93	38404130	568608384.00
2009/06/17	14.86	15.39	14.80	15.25	37778339	573638400.00
2009/06/18	15.32	15.44	15.02	15.21	28541189	433295712.00
2009/06/19	15.19	16.17	15.15	16.11	47588469	750703616.00
2009/06/22	16.18	16.23	15.71	15.74	26239686	419021984.00
