600056 中国医药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	9.94	10.37	9.89	10.24	3581100	36277840.00
2009/01/09	10.22	10.95	10.16	10.70	5785800	61734168.00
2009/01/12	10.70	10.86	10.56	10.60	3466100	37086976.00
2009/01/13	10.43	10.48	10.10	10.18	3014900	30933612.00
2009/01/14	10.12	10.56	10.12	10.54	2047000	21224770.00
2009/01/15	10.54	10.57	10.24	10.38	3375100	35095480.00
2009/01/16	10.47	10.59	10.23	10.27	4188900	43717036.00
2009/01/19	10.21	10.38	9.99	10.16	3014600	30668272.00
2009/01/20	10.16	10.50	10.14	10.49	2460800	25453764.00
2009/01/21	10.45	10.54	10.18	10.29	2569600	26646502.00
2009/01/22	10.56	10.79	10.46	10.70	5429100	57864052.00
2009/01/23	10.72	10.72	10.41	10.47	3217400	33724652.00
2009/02/02	10.52	10.65	10.38	10.61	2283500	24076848.00
2009/02/03	10.63	11.06	10.50	10.92	4721000	51004600.00
2009/02/04	10.93	11.14	10.83	11.11	4871500	53466316.00
2009/02/05	11.12	11.19	10.68	10.76	4773800	52013096.00
2009/02/06	10.74	11.15	10.74	11.11	5657000	62364828.00
2009/02/09	11.26	11.79	11.09	11.78	7692100	87717560.00
2009/02/10	11.75	11.93	11.45	11.85	5392600	62861448.00
2009/02/11	11.56	12.50	11.45	12.06	8782400	106944768.00
2009/02/12	11.95	12.18	11.39	12.03	5035900	59263052.00
2009/02/13	12.05	12.68	11.80	12.64	7804300	96054688.00
2009/02/16	12.75	12.88	12.48	12.72	6848600	86857944.00
2009/02/17	12.67	13.61	12.60	13.10	9539600	125202632.00
2009/02/18	12.80	13.31	12.70	13.24	6869500	90132384.00
2009/02/19	13.33	13.75	12.40	12.89	6220000	80518416.00
2009/02/20	12.66	13.24	12.64	13.20	4484900	58559784.00
2009/02/23	13.15	14.19	13.01	13.92	5469100	74966856.00
2009/02/24	13.66	13.90	12.96	13.03	6243600	83783816.00
2009/02/25	13.14	13.25	12.40	12.75	5092900	64814776.00
2009/02/26	12.64	12.92	11.49	11.63	3874900	47282068.00
2009/02/27	11.58	11.69	10.62	10.93	3638300	40210400.00
2009/03/02	10.95	11.48	10.93	11.25	2941200	33011312.00
2009/03/03	10.95	11.73	10.80	11.59	4243900	48804024.00
2009/03/04	11.67	12.38	11.60	12.30	4763800	57335164.00
2009/03/05	12.49	12.53	12.01	12.22	4421400	54262060.00
2009/03/06	11.97	12.14	11.80	12.01	2088800	25045348.00
2009/03/09	12.09	12.30	11.09	11.15	3477300	40492756.00
2009/03/10	11.00	11.46	10.91	11.45	1481100	16652747.00
2009/03/11	11.82	12.00	11.48	11.51	2828200	33294782.00
2009/03/12	11.43	11.82	11.24	11.78	2325300	27035700.00
2009/03/13	11.85	11.98	11.56	11.63	1855900	21762274.00
2009/03/16	11.50	11.89	11.50	11.86	1575800	18513918.00
2009/03/17	12.00	12.69	11.80	12.60	4195100	51831112.00
2009/03/18	12.70	13.73	12.70	12.95	9497200	125275272.00
2009/03/19	12.90	13.13	12.70	13.10	4557600	59062608.00
2009/03/20	13.09	13.09	12.69	12.85	3694800	47358892.00
2009/03/23	12.85	13.19	12.83	13.04	3873500	50276600.00
2009/03/24	13.19	13.30	12.85	13.22	3884500	50872756.00
2009/03/25	13.04	13.19	12.60	12.70	2813200	36395792.00
2009/03/27	13.10	13.19	12.88	12.96	3424300	44468272.00
2009/03/30	12.90	13.24	12.90	13.04	2794100	36558260.00
2009/03/31	12.60	12.74	12.03	12.70	5690500	70688024.00
2009/04/01	12.68	12.75	12.49	12.70	6519000	82210032.00
2009/04/02	12.80	12.96	12.61	12.75	4881600	62538872.00
2009/04/03	12.90	12.90	12.41	12.55	3767200	47493644.00
2009/04/07	12.76	13.10	12.62	12.85	4865500	62615760.00
2009/04/08	12.86	13.10	12.40	12.41	5290400	67766696.00
2009/04/09	12.25	12.48	12.05	12.36	3122300	38156056.00
2009/04/10	12.36	13.00	12.25	12.88	4776100	59851800.00
2009/04/13	12.85	13.33	12.80	13.00	6804100	88761456.00
2009/04/14	13.00	13.09	12.85	13.07	4101200	53182488.00
2009/04/15	13.00	13.54	12.78	13.49	8901400	117919032.00
2009/04/16	13.45	13.85	13.35	13.54	8204700	111593592.00
2009/04/17	13.54	14.08	13.33	14.04	11947500	165516080.00
2009/04/20	14.08	14.39	13.86	14.25	9272000	131385648.00
2009/04/21	14.00	14.00	13.50	13.79	5710600	78534968.00
2009/04/22	13.82	13.92	12.90	13.02	4849600	65430528.00
2009/04/23	13.00	13.00	12.55	12.81	3710000	47285400.00
2009/04/27	13.19	13.49	13.08	13.24	6404500	85130872.00
2009/04/28	13.28	14.56	13.25	14.56	13641900	193795792.00
2009/04/29	14.80	14.87	13.80	14.14	11461300	162418656.00
2009/04/30	14.14	14.80	13.82	14.51	10212100	146191776.00
2009/05/04	14.45	15.10	14.32	14.97	9466200	140109568.00
2009/05/05	14.97	15.00	14.45	14.67	6242200	91344344.00
2009/05/06	14.54	14.65	14.18	14.56	6067900	87440608.00
2009/05/07	14.54	14.58	14.06	14.23	5068400	72194272.00
2009/05/08	14.20	14.69	14.16	14.28	5099000	73653792.00
2009/05/11	14.42	14.76	14.02	14.13	6391600	92139344.00
2009/05/12	13.99	14.19	13.71	14.05	3687900	51286520.00
2009/05/13	14.07	14.26	14.00	14.24	3074300	43433076.00
2009/05/14	14.25	14.35	14.07	14.19	2918100	41566436.00
2009/05/15	14.20	14.50	14.15	14.41	3753200	53881760.00
2009/05/18	14.42	14.42	13.80	14.13	3033300	42553276.00
2009/05/19	14.20	14.32	14.07	14.13	2965500	42022988.00
2009/05/20	14.15	14.19	13.90	13.93	2905800	40740628.00
2009/05/21	13.86	14.25	13.81	14.04	3306800	46469740.00
2009/05/22	13.91	13.99	13.64	13.93	2586103	35626724.00
2009/05/25	13.60	13.90	13.30	13.75	2317125	31372244.00
2009/05/26	13.69	14.04	13.65	13.66	2144062	29738060.00
2009/05/27	13.70	13.87	13.52	13.69	1808271	24713640.00
2009/06/01	13.77	13.95	13.68	13.91	2572218	35536084.00
2009/06/02	13.91	14.23	13.89	14.01	2739601	38561712.00
2009/06/03	14.01	14.09	13.78	13.94	2769369	38469956.00
2009/06/04	13.92	14.17	13.81	14.14	3015419	42075404.00
2009/06/05	14.16	14.32	13.90	14.29	5108503	72240304.00
2009/06/08	14.30	14.60	14.20	14.50	5688880	82217584.00
2009/06/09	14.53	14.63	14.00	14.26	3372074	48148092.00
2009/06/10	14.30	14.33	14.02	14.27	2596297	36845636.00
2009/06/11	14.25	14.35	14.06	14.27	2521497	35871448.00
2009/06/12	14.31	14.62	14.03	14.17	5026005	72451392.00
2009/06/15	14.17	14.23	13.74	13.99	3673385	51195980.00
2009/06/16	13.90	14.08	13.80	13.95	1624933	22652368.00
2009/06/17	14.07	15.00	14.00	14.70	9078150	131989176.00
2009/06/18	14.83	15.34	14.70	15.02	9387863	141056144.00
2009/06/19	15.02	15.35	14.80	14.83	6413289	96442984.00
2009/06/22	14.85	14.85	14.32	14.33	4912434	71085976.00
2009/06/23	14.16	14.35	14.10	14.25	2540020	36114512.00
2009/06/24	14.25	14.38	14.08	14.35	2520324	35892812.00
2009/06/25	14.30	14.40	14.13	14.15	2298008	32656722.00
2009/06/26	14.20	14.40	14.16	14.37	2001194	28573166.00
2009/06/29	14.34	14.99	14.31	14.57	2869832	41924564.00
2009/06/30	14.65	14.78	14.34	14.41	2158017	31164152.00
2009/07/01	14.41	14.47	14.23	14.46	2037904	29272796.00
2009/07/02	14.50	14.77	14.42	14.70	3867994	56436008.00
2009/07/03	14.67	14.67	14.36	14.57	2587799	37478348.00
2009/07/06	14.62	14.95	14.48	14.61	3058662	44824480.00
2009/07/08	14.61	15.09	14.54	15.06	5732680	85095592.00
2009/07/09	15.03	15.60	14.99	15.40	8372755	129044720.00
2009/07/10	15.43	15.59	15.05	15.43	6803024	104110080.00
2009/07/13	15.39	15.68	15.18	15.50	5068556	78419656.00
2009/07/14	15.50	15.66	15.39	15.62	4140769	64278184.00
2009/07/15	15.63	16.20	15.52	15.61	6742306	106977224.00
2009/07/16	15.67	15.83	15.32	15.34	4630295	71349152.00
2009/07/17	15.39	15.47	15.24	15.35	2506993	38429976.00
2009/07/20	15.37	15.64	15.36	15.58	3611376	56101548.00
2009/07/21	15.65	15.85	15.15	15.18	4199447	65332524.00
2009/07/22	15.15	15.40	15.15	15.28	3722774	56688784.00
2009/07/23	15.30	15.49	15.20	15.45	2782630	42678508.00
2009/07/24	15.45	15.50	14.95	15.20	4578753	69763064.00
2009/07/27	15.23	15.46	15.15	15.41	4115845	63108284.00
2009/07/28	15.36	15.85	15.22	15.77	5401553	84021024.00
2009/07/29	15.78	15.78	14.38	14.76	5087840	77549064.00
2009/07/30	14.78	15.08	14.53	14.89	3021756	44822360.00
2009/07/31	14.91	15.23	14.75	15.19	3478372	52239248.00
2009/08/03	15.22	15.56	15.06	15.51	3859183	59364136.00
2009/08/04	15.57	15.61	15.20	15.60	3788610	58342624.00
2009/08/05	15.62	16.20	15.62	15.95	7351160	117294984.00
2009/08/06	15.82	16.07	15.42	15.71	4657113	73464776.00
2009/08/07	15.80	16.59	15.59	16.18	8217959	132355624.00
2009/08/10	16.26	17.28	16.26	17.18	11931024	201709712.00
2009/08/11	17.17	17.17	16.40	16.61	8562176	142516976.00
2009/08/12	16.46	16.50	15.10	15.42	7692791	121716936.00
2009/08/13	15.42	15.67	15.20	15.56	4358868	67430560.00
2009/08/14	15.56	15.56	14.81	14.86	4165034	62828300.00
2009/08/17	14.75	15.15	14.30	14.32	4096260	60561544.00
2009/08/18	14.21	14.77	14.19	14.73	2997500	43520128.00
2009/08/19	14.74	15.38	14.40	14.47	5420135	81167792.00
2009/08/20	14.52	14.97	14.30	14.91	3620999	53056668.00
2009/08/21	14.84	15.25	14.67	15.12	4084171	61201964.00
2009/08/24	15.19	15.95	15.02	15.89	6990655	109058728.00
2009/08/25	15.80	15.98	15.21	15.91	7071133	110381528.00
2009/08/26	15.79	16.35	15.60	16.00	7328245	117614944.00
2009/08/27	16.07	16.70	15.92	16.24	9256977	151550752.00
2009/08/28	16.10	16.15	15.24	15.28	5530111	85968792.00
2009/08/31	15.20	15.20	13.93	13.97	4784158	69017072.00
2009/09/01	13.88	14.32	13.77	14.01	3306944	46591040.00
2009/09/02	13.88	14.19	13.80	14.11	2492752	34938408.00
2009/09/03	14.16	14.87	14.06	14.71	3812334	55143988.00
2009/09/04	14.72	15.03	14.56	15.00	3796824	56378488.00
2009/09/07	15.12	15.85	15.12	15.42	7821632	121782800.00
2009/09/08	15.45	15.50	15.00	15.44	3662276	56039668.00
2009/09/09	15.42	15.42	15.11	15.31	3660621	55841056.00
2009/09/10	15.20	15.41	15.12	15.14	2225693	33944832.00
2009/09/11	15.15	15.48	15.15	15.44	3862732	59273352.00
2009/09/14	15.58	15.83	15.35	15.69	4872029	76027360.00
2009/09/16	15.60	15.94	15.51	15.78	5174852	81623424.00
2009/09/17	15.92	17.36	15.92	17.36	19488812	334691232.00
2009/09/18	17.88	19.10	17.61	19.10	26286256	489054144.00
2009/09/21	19.10	20.50	17.19	19.28	28522080	554053760.00
2009/09/22	18.98	19.23	18.20	18.34	14919138	278229280.00
2009/09/23	18.02	18.24	17.20	17.49	11956061	211275024.00
2009/09/24	17.45	18.65	17.30	18.20	12618927	226030688.00
2009/09/25	17.80	18.05	16.88	17.01	8521586	147599168.00
2009/09/28	17.10	17.49	16.31	16.39	6500538	109849904.00
2009/09/29	16.38	16.57	15.35	15.64	7617768	120438880.00
2009/09/30	15.81	16.35	15.75	16.25	6511097	104558672.00
2009/10/09	16.50	17.23	16.40	17.00	7116160	119833944.00
2009/10/12	17.06	17.19	16.50	17.02	5899171	99615800.00
2009/10/13	16.82	17.73	16.69	17.50	6183093	106927200.00
2009/10/14	17.89	17.99	17.28	17.48	7285898	128467056.00
2009/10/15	17.57	17.66	17.13	17.43	5197519	90379816.00
2009/10/16	17.54	17.97	17.21	17.68	6953619	122550576.00
2009/10/19	17.73	18.23	17.73	18.20	8156202	146446320.00
2009/10/20	18.21	18.21	17.80	17.98	6942664	124598024.00
2009/10/21	17.93	17.98	17.51	17.56	6390726	112853048.00
2009/10/22	17.54	17.54	17.20	17.21	5053793	87514984.00
2009/10/23	17.21	17.71	17.20	17.34	6371392	110926608.00
2009/10/26	17.56	19.07	17.56	19.07	18508585	346788064.00
2009/10/27	19.50	20.98	19.11	20.98	27540008	552356224.00
2009/10/28	21.50	22.50	20.48	21.36	26920043	580376128.00
2009/10/29	21.40	22.98	21.36	22.18	20880917	461648224.00
2009/10/30	22.00	22.89	21.11	22.20	17301049	380892992.00
2009/11/02	21.85	24.40	21.56	24.33	18002303	422265120.00
2009/11/03	24.50	24.80	23.30	23.71	14274137	340033376.00
2009/11/04	23.50	24.30	22.77	23.88	11445304	267777104.00
2009/11/05	23.10	24.20	23.10	23.68	7414525	175520960.00
2009/11/06	24.10	24.45	23.40	23.47	6797268	161424672.00
2009/11/09	23.52	24.00	23.00	23.47	5439757	127567248.00
2009/11/10	23.57	25.70	23.55	24.72	12135137	299735520.00
2009/11/11	24.70	25.07	24.08	24.51	6399906	156336864.00
2009/11/12	24.68	25.08	24.21	24.82	5974706	147209840.00
2009/11/13	24.63	25.67	24.53	25.25	6197973	155894992.00
2009/11/16	25.66	25.99	25.01	25.40	6971103	176886112.00
2009/11/17	25.50	27.94	25.11	27.94	14024050	376261280.00
2009/11/18	28.21	29.30	27.45	28.42	13251695	372956096.00
2009/11/19	28.00	29.00	27.60	28.55	8690578	246816544.00
2009/11/20	28.40	29.97	27.90	28.48	8708275	251768560.00
2009/11/23	28.18	29.01	27.55	28.97	6823244	192872016.00
2009/11/24	28.95	29.00	26.50	26.70	7046863	196542384.00
2009/11/25	26.59	28.28	25.80	28.16	7897646	213056016.00
2009/11/26	28.20	29.00	27.70	28.15	9618434	272825312.00
2009/11/27	27.70	28.90	26.63	27.05	6351220	176873216.00
2009/11/30	27.11	28.60	27.11	28.51	4888899	136851072.00
2009/12/01	28.82	30.45	28.70	30.14	13152602	391571584.00
2009/12/02	30.14	30.71	29.20	30.50	10655260	320536608.00
2009/12/03	30.69	33.00	30.20	31.34	10891427	345869472.00
2009/12/04	30.80	31.45	29.90	30.56	7617228	234290416.00
2009/12/07	30.30	31.00	30.01	30.68	3461628	106005200.00
2009/12/08	30.50	30.59	29.50	29.95	3967845	118616704.00
2009/12/09	29.70	30.10	28.63	28.79	5223731	152222736.00
2009/12/10	29.02	29.46	28.55	29.42	2796970	81255232.00
2009/12/11	29.30	30.78	29.30	30.12	4063226	122743480.00
2009/12/14	30.00	30.22	29.35	30.10	3785689	112651888.00
2009/12/15	30.20	30.40	29.53	29.76	2041831	60917332.00
2009/12/16	29.76	30.45	29.01	29.40	2893165	86279416.00
2009/12/17	29.15	29.39	27.39	27.71	5306682	148720752.00
2009/12/18	27.51	27.60	25.00	25.54	3744011	97619776.00
2009/12/21	25.54	26.68	25.54	26.60	3012337	79390600.00
2009/12/22	26.76	27.00	25.65	26.63	2654762	70327072.00
2009/12/23	26.63	26.76	26.00	26.29	1900943	50106652.00
2009/12/24	26.29	27.65	26.29	27.56	3120271	84558200.00
2009/12/25	27.66	27.70	27.07	27.48	1663836	45653688.00
2009/12/28	27.95	28.06	27.21	27.53	3193898	88006544.00
2009/12/29	27.93	27.93	26.65	27.28	3483967	94424976.00
2009/12/30	27.28	27.80	26.67	27.59	3735694	101387904.00
2009/12/31	27.21	27.98	27.11	27.85	4195354	115850840.00
2010/01/04	28.00	28.00	27.13	27.19	2962004	81201944.00
2010/01/05	26.90	27.35	26.66	26.96	2020163	54285868.00
2010/01/06	26.93	27.25	26.50	27.09	3273597	87614936.00
2010/01/07	27.06	27.30	26.53	26.72	2071089	55464024.00
2010/01/08	26.78	26.78	26.06	26.32	2273077	59778276.00
2010/01/11	26.32	26.50	25.96	26.04	2010096	52585712.00
2010/01/12	26.00	27.00	25.66	26.75	3139020	83439352.00
2010/01/13	26.42	27.73	25.90	27.04	4424217	119983712.00
2010/01/14	27.13	27.50	26.96	27.40	4790096	130584256.00
2010/01/15	27.57	28.14	27.51	27.94	4280533	119386160.00
2010/01/18	27.94	29.00	27.91	28.98	4704691	134584224.00
2010/01/19	29.28	29.28	28.36	28.56	3979723	114105712.00
2010/01/20	28.55	28.67	26.90	27.51	3399375	93981568.00
2010/01/21	27.11	27.72	26.89	27.39	1976646	53753572.00
2010/01/22	26.90	26.98	25.78	26.38	2770175	72792376.00
2010/01/25	26.20	26.23	25.50	25.67	2191720	56552156.00
2010/01/26	25.55	25.80	23.60	23.87	2477700	60916768.00
2010/01/27	23.90	24.10	23.29	23.60	2402643	56754892.00
2010/01/28	23.56	23.98	23.50	23.86	1841378	43839416.00
2010/01/29	23.86	24.80	23.76	24.11	2283447	55571724.00
2010/02/01	24.00	24.28	23.18	23.70	2436239	57465376.00
2010/02/02	23.80	24.40	23.62	23.70	1310475	31403534.00
2010/02/03	23.70	24.25	23.00	23.92	1948894	45989856.00
2010/02/04	23.98	24.35	23.43	24.14	2424302	58451944.00
2010/02/05	23.00	23.72	22.80	23.12	2155678	50099828.00
2010/02/08	23.19	23.19	22.50	22.89	1239666	28255550.00
2010/02/09	22.80	22.90	22.48	22.63	2794957	63306052.00
2010/02/10	22.90	23.06	22.58	23.05	1809746	41177544.00
2010/02/11	23.06	23.18	22.86	23.15	1441803	33174220.00
2010/02/12	23.16	23.68	23.16	23.57	1405443	32922946.00
2010/02/22	23.48	23.85	23.30	23.70	1495579	35288700.00
2010/02/23	23.60	23.77	23.03	23.62	1327419	30925114.00
2010/02/24	23.49	24.71	23.40	24.62	2995544	72629728.00
2010/02/25	24.68	25.10	24.61	24.81	2603171	64566472.00
2010/02/26	24.81	25.50	24.52	25.04	2741182	69091864.00
2010/03/01	25.01	25.38	24.88	25.12	2401368	60079628.00
2010/03/02	25.15	25.19	24.50	24.81	2120748	52475624.00
2010/03/03	24.80	25.18	24.48	25.04	2301070	57064660.00
2010/03/04	25.06	25.26	24.50	24.50	2763350	68916008.00
2010/03/05	24.50	24.73	24.20	24.63	1767650	43206136.00
2010/03/08	24.68	25.16	24.68	25.00	1827329	45662044.00
2010/03/09	25.20	25.25	24.88	25.13	2574949	64591032.00
2010/03/10	25.10	25.10	24.27	24.39	1925700	47405560.00
2010/03/11	24.44	24.46	23.51	23.66	2150880	51308740.00
2010/03/12	23.43	23.92	23.43	23.58	1314764	31096608.00
2010/03/15	23.58	23.80	22.93	23.72	1604530	37209592.00
2010/03/16	23.73	23.73	23.15	23.34	1547972	36163968.00
2010/03/17	23.43	23.90	23.39	23.83	1433063	33953680.00
2010/03/18	23.99	24.32	23.79	24.10	2036395	48875244.00
2010/03/19	24.05	24.68	23.96	24.59	2263049	55044412.00
2010/03/22	24.65	24.99	24.30	24.42	1867312	45896272.00
2010/03/23	24.50	24.53	23.96	23.98	1608982	38891992.00
2010/03/24	23.92	24.20	23.50	23.82	1469466	35031572.00
2010/03/25	23.81	23.81	23.28	23.30	1408203	33029638.00
2010/03/26	23.30	23.56	23.20	23.48	1518585	35537936.00
2010/03/29	23.56	23.85	23.50	23.80	1583550	37575336.00
2010/03/30	23.90	23.96	23.70	23.80	1856679	44220956.00
2010/03/31	23.98	24.32	23.75	24.21	2673313	64633684.00
2010/04/01	24.25	24.86	24.16	24.71	3410278	83902176.00
2010/04/02	24.88	24.88	24.42	24.56	2703802	66471964.00
2010/04/06	24.78	24.83	24.35	24.73	2444875	60046528.00
