600070 浙江富润 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.57	3.57	3.41	3.49	1629100	5673313.00
2009/01/09	3.54	3.63	3.48	3.62	1942100	6908511.00
2009/01/12	3.62	3.70	3.59	3.63	2274700	8282201.50
2009/01/13	3.60	3.61	3.48	3.50	1843100	6536485.50
2009/01/14	3.47	3.63	3.47	3.62	1629000	5815230.00
2009/01/15	3.58	3.68	3.55	3.65	2743300	9985307.00
2009/01/16	3.68	3.75	3.64	3.65	2292600	8494291.00
2009/01/19	3.68	3.70	3.59	3.65	2076800	7560889.00
2009/01/20	3.66	3.78	3.63	3.76	2456800	9082669.00
2009/01/21	3.73	3.81	3.67	3.73	2747100	10269703.00
2009/01/22	3.74	3.77	3.69	3.77	1938000	7241642.50
2009/01/23	3.73	3.78	3.70	3.73	1429000	5352528.00
2009/02/02	3.77	3.82	3.73	3.81	2021800	7654792.50
2009/02/03	3.86	3.98	3.81	3.97	5493200	21595238.00
2009/02/04	3.96	4.11	3.90	4.10	4966300	19815634.00
2009/02/05	4.08	4.09	3.91	3.93	4810700	19337620.00
2009/02/06	3.93	4.27	3.93	4.24	5965600	24401476.00
2009/02/09	4.21	4.46	4.14	4.45	7881100	33950668.00
2009/02/10	4.58	4.68	4.44	4.56	14402300	65474284.00
2009/02/11	4.47	4.55	4.38	4.45	7106900	31675872.00
2009/02/12	4.44	4.49	4.33	4.48	3990100	17694024.00
2009/02/13	4.50	4.60	4.43	4.57	6433500	29211076.00
2009/02/16	4.59	4.73	4.54	4.70	6213500	28730572.00
2009/02/17	4.70	4.72	4.41	4.44	4960800	22533972.00
2009/02/18	4.33	4.39	4.20	4.21	3683600	15879266.00
2009/02/19	4.25	4.32	4.20	4.27	2064300	8772930.00
2009/02/20	4.28	4.43	4.22	4.43	2338300	10195526.00
2009/02/23	4.40	4.60	4.40	4.59	3224800	14628468.00
2009/02/24	4.55	4.61	4.37	4.38	4160700	18694938.00
2009/02/25	4.42	4.68	4.40	4.60	6056300	27612396.00
2009/02/26	4.60	4.70	4.17	4.21	4982500	22499756.00
2009/02/27	4.19	4.24	3.90	3.90	4090100	16419689.00
2009/03/02	3.90	4.12	3.89	4.06	2870500	11558780.00
2009/03/03	3.97	4.11	3.93	4.07	2138200	8645725.00
2009/03/04	4.07	4.34	4.07	4.29	2953900	12463661.00
2009/03/05	4.29	4.40	4.25	4.37	2900400	12545943.00
2009/03/06	4.33	4.57	4.30	4.55	4677000	20965770.00
2009/03/09	4.59	4.59	4.29	4.39	3912200	17322530.00
2009/03/10	4.37	4.65	4.31	4.64	3960700	17908320.00
2009/03/11	4.82	5.10	4.68	4.74	15527800	76528016.00
2009/03/12	4.73	4.90	4.50	4.79	5939900	28036934.00
2009/03/13	4.81	4.81	4.57	4.57	2721200	12723679.00
2009/03/16	4.48	4.78	4.42	4.76	2580400	11795867.00
2009/03/17	4.67	4.93	4.66	4.88	5307400	25720680.00
2009/03/18	4.82	4.99	4.77	4.90	6206400	30429244.00
2009/03/19	4.87	4.92	4.76	4.90	5557100	26938264.00
2009/03/20	4.86	4.86	4.69	4.75	3332100	15899145.00
2009/03/23	4.70	4.82	4.64	4.76	4080500	19322946.00
2009/03/24	4.78	4.84	4.71	4.81	3106500	14865190.00
2009/03/25	4.80	4.80	4.60	4.62	3060600	14409569.00
2009/03/26	4.67	4.78	4.57	4.76	2558100	11977413.00
2009/03/27	4.76	4.85	4.70	4.82	3543200	16925050.00
2009/03/30	4.82	4.96	4.81	4.88	4231200	20663432.00
2009/03/31	4.80	5.13	4.71	5.09	4809700	23561510.00
2009/04/01	5.07	5.14	5.00	5.12	6108800	30902472.00
2009/04/02	5.07	5.11	4.91	4.97	5638800	28316924.00
2009/04/03	4.99	5.00	4.82	4.87	3079600	15047450.00
2009/04/07	4.87	4.95	4.84	4.92	1847200	9048577.00
2009/04/08	4.90	4.94	4.73	4.75	2138800	10386184.00
2009/04/09	4.73	4.84	4.61	4.82	2403100	11356658.00
2009/04/10	4.84	4.95	4.78	4.91	2536200	12383229.00
2009/04/13	4.91	5.03	4.90	4.99	4178100	20733674.00
2009/04/14	4.98	5.05	4.92	5.03	3160900	15801305.00
2009/04/15	5.03	5.09	4.94	5.07	3817300	19174360.00
2009/04/16	5.08	5.28	5.03	5.24	6397600	32995546.00
2009/04/17	5.20	5.23	5.00	5.06	4123100	20939190.00
2009/04/20	5.04	5.57	4.95	5.57	8701900	46766156.00
2009/04/21	5.61	5.79	5.42	5.49	16801400	94756072.00
2009/04/22	5.48	5.68	5.21	5.57	11149000	61192888.00
2009/04/23	5.50	6.13	5.34	6.01	19121000	110470568.00
2009/04/24	5.93	5.93	5.63	5.67	12338600	71196432.00
2009/04/27	5.60	5.75	5.20	5.29	7853300	43202908.00
2009/04/29	5.30	5.54	5.30	5.51	5437500	29574678.00
2009/04/30	5.52	5.68	5.44	5.68	5372700	29814528.00
2009/05/04	5.69	5.87	5.69	5.81	6045300	35046932.00
2009/05/05	5.82	6.16	5.82	5.98	10135800	61171648.00
2009/05/06	6.01	6.01	5.79	5.95	6574100	38898720.00
2009/05/07	5.96	5.98	5.75	5.86	4525600	26523818.00
2009/05/08	5.80	6.25	5.78	6.14	8156700	49622428.00
2009/05/11	6.14	6.20	5.76	5.76	6195800	37179308.00
2009/05/12	5.74	5.98	5.70	5.98	2711900	15870123.00
2009/05/13	5.98	6.03	5.90	5.98	3796100	22662346.00
2009/05/14	5.90	5.99	5.80	5.93	3295300	19380124.00
2009/05/15	5.83	5.88	5.73	5.84	3114700	18089410.00
2009/05/18	5.80	6.03	5.76	6.01	4068700	24091818.00
2009/05/19	6.04	6.09	5.97	6.02	3887000	23357670.00
2009/05/20	6.05	6.24	6.00	6.12	5487500	33740792.00
2009/05/21	6.07	6.11	5.80	5.83	4623200	27418652.00
2009/05/22	5.81	5.93	5.77	5.85	2210391	12936614.00
2009/05/25	5.52	5.75	5.52	5.74	4384956	24738298.00
2009/05/26	5.71	6.31	5.71	6.31	9665686	58732708.00
2009/05/27	6.38	6.60	6.20	6.35	16100717	103299000.00
2009/06/01	6.35	6.99	6.29	6.99	20014563	135210672.00
2009/06/02	6.90	6.97	6.69	6.77	14187390	96614328.00
2009/06/03	6.72	6.84	6.57	6.75	7646672	50970464.00
2009/06/04	6.70	6.70	6.41	6.53	6387477	41881132.00
2009/06/05	6.53	6.63	6.38	6.52	3960934	25983534.00
2009/06/08	6.55	6.74	6.42	6.69	5054221	33557876.00
2009/06/09	6.65	6.68	6.45	6.67	3030719	19997862.00
2009/06/10	6.65	6.83	6.62	6.76	4710167	31744074.00
2009/06/11	6.66	6.78	6.54	6.55	4329470	28696482.00
2009/06/12	6.50	6.59	6.31	6.42	3397068	21900248.00
