600081 东风科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.73	3.80	3.59	3.77	2918700	10708274.00
2009/01/09	3.68	3.86	3.63	3.82	4895300	18415434.00
2009/01/12	3.77	3.85	3.71	3.81	3379800	12792141.00
2009/01/13	3.78	3.98	3.76	3.86	5103200	19689968.00
2009/01/14	3.86	4.09	3.70	4.05	6972200	27169394.00
2009/01/15	4.00	4.14	3.92	4.10	5435200	21780362.00
2009/01/16	4.06	4.24	4.06	4.21	6477800	26913778.00
2009/01/19	4.24	4.28	4.06	4.16	4172500	17232860.00
2009/01/20	4.14	4.14	3.97	4.12	2767500	11176495.00
2009/01/21	4.05	4.13	3.98	4.06	2129500	8603043.00
2009/01/22	4.40	4.47	4.02	4.26	6111200	26115406.00
2009/01/23	4.16	4.16	3.83	3.83	18513500	71670632.00
2009/02/02	3.80	3.86	3.75	3.86	6140800	23506242.00
2009/02/03	3.85	3.99	3.84	3.99	9712600	38070284.00
2009/02/04	3.99	4.06	3.95	4.03	8755600	35070300.00
2009/02/05	4.04	4.19	3.99	4.08	11275700	46235188.00
2009/02/06	4.11	4.33	4.11	4.30	12415000	52260440.00
2009/02/09	4.35	4.39	4.21	4.32	11912800	51011112.00
2009/02/10	4.32	4.36	4.21	4.34	9294500	39741704.00
2009/02/11	4.29	4.48	4.21	4.45	12274600	53792816.00
2009/02/12	4.50	4.53	4.18	4.36	7765300	33705836.00
2009/02/13	4.34	4.69	4.33	4.63	14405000	65002572.00
2009/02/16	4.60	4.76	4.50	4.67	11057800	50938276.00
2009/02/17	4.64	4.64	4.35	4.40	6677000	29835382.00
2009/02/18	4.28	4.60	4.25	4.47	10603400	47711732.00
2009/02/19	4.55	4.80	4.35	4.41	13539300	61942640.00
2009/02/20	4.70	4.79	4.55	4.75	12566000	58420156.00
2009/02/23	4.69	4.89	4.55	4.83	13108500	61700676.00
2009/02/24	4.72	4.83	4.45	4.46	8069900	37562768.00
2009/02/25	4.53	4.65	4.35	4.59	6071900	27403142.00
2009/02/26	4.56	4.68	4.13	4.25	6142100	27585720.00
2009/02/27	4.12	4.20	3.83	3.83	4953000	19446924.00
