600152 维科技术 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.16	3.16	3.04	3.08	2472400	7675291.00
2009/01/09	3.06	3.17	3.05	3.16	2401800	7493566.00
2009/01/12	3.39	3.48	3.37	3.48	21194300	73225376.00
2009/01/13	3.38	3.44	3.24	3.27	10748600	35832340.00
2009/01/14	3.26	3.40	3.21	3.38	6417700	21372228.00
2009/01/15	3.35	3.58	3.32	3.55	13851500	48426988.00
2009/01/16	3.56	3.64	3.42	3.48	11849900	41654100.00
2009/01/19	3.51	3.52	3.36	3.39	5518900	18819872.00
2009/01/20	3.43	3.43	3.33	3.42	2914100	9849599.00
2009/01/21	3.38	3.49	3.36	3.40	4972500	17139200.00
2009/01/22	3.42	3.44	3.36	3.42	3865000	13141572.00
2009/01/23	3.40	3.41	3.32	3.34	3283800	11042746.00
2009/02/02	3.35	3.44	3.35	3.43	2749000	9335204.00
2009/02/03	3.42	3.60	3.42	3.57	8301300	29382496.00
2009/02/04	3.54	3.71	3.50	3.64	13103500	47475304.00
2009/02/05	3.64	3.68	3.46	3.49	10442300	37328740.00
2009/02/06	3.48	3.68	3.48	3.66	11084200	39975640.00
2009/02/09	3.70	4.03	3.65	4.03	21272000	82195376.00
2009/02/10	4.11	4.43	4.05	4.43	25892300	108461784.00
2009/02/11	4.30	4.42	4.10	4.23	20621800	88566336.00
2009/02/12	4.23	4.23	3.98	4.16	10777900	44368752.00
2009/02/13	4.16	4.30	4.10	4.28	12188000	51442232.00
2009/02/16	4.29	4.31	4.12	4.29	12121800	51246268.00
2009/02/17	4.38	4.68	4.29	4.30	19244400	86386648.00
2009/02/18	4.10	4.25	3.87	3.89	10354600	42263172.00
2009/02/19	3.94	4.03	3.89	3.99	5591100	22142640.00
2009/02/20	3.93	4.22	3.92	4.20	8332800	34291848.00
2009/02/23	4.19	4.32	4.08	4.29	8455300	35767816.00
2009/02/24	4.23	4.29	4.02	4.07	8017900	33257292.00
2009/02/25	4.11	4.25	4.01	4.24	7973000	32963112.00
2009/02/26	4.31	4.43	3.85	3.92	12697400	54141012.00
2009/02/27	3.84	3.86	3.53	3.53	7439700	26934976.00
2009/03/02	3.41	3.64	3.41	3.61	3727700	13249038.00
2009/03/03	3.49	3.64	3.45	3.58	3182800	11299052.00
2009/03/04	3.57	3.80	3.54	3.79	5833400	21679572.00
2009/03/05	3.83	3.98	3.74	3.92	8114600	31185066.00
2009/03/06	3.82	4.03	3.76	3.93	6306700	24654334.00
2009/03/09	3.95	4.00	3.62	3.63	5311500	20147160.00
2009/03/10	3.60	3.73	3.58	3.72	3203400	11769171.00
2009/03/11	3.76	3.83	3.71	3.79	4785500	18063808.00
2009/03/12	3.79	3.90	3.66	3.88	5557700	21168104.00
2009/03/13	3.98	3.98	3.74	3.85	5612400	21696908.00
2009/03/16	3.80	3.96	3.78	3.94	4455900	17326842.00
2009/03/17	3.96	4.08	3.90	4.06	7749300	30978426.00
2009/03/18	4.05	4.13	4.01	4.01	7507400	30510218.00
2009/03/19	4.00	4.09	3.98	4.08	5722600	23087990.00
2009/03/20	4.07	4.07	3.89	3.97	6725200	26702450.00
2009/03/23	3.95	4.09	3.93	4.05	6260100	25241930.00
2009/03/24	4.09	4.27	4.07	4.24	14522900	60891536.00
2009/03/25	4.25	4.31	4.04	4.05	16156300	68223816.00
2009/03/26	4.05	4.23	4.03	4.20	8667900	35577420.00
2009/03/27	4.26	4.48	4.24	4.37	15171500	66192996.00
2009/03/30	4.39	4.52	4.30	4.42	11740600	52160616.00
2009/03/31	4.30	4.40	4.13	4.39	10522400	44995040.00
2009/04/01	4.43	4.47	4.34	4.37	9828500	43040516.00
2009/04/02	4.36	4.66	4.27	4.64	17836700	79200632.00
2009/04/03	4.67	5.01	4.46	4.53	28206300	134328272.00
2009/04/07	4.40	4.56	4.36	4.50	10067200	44827900.00
2009/04/08	4.50	4.54	4.18	4.20	10221500	44773532.00
2009/04/09	4.22	4.38	4.14	4.36	5874700	24881024.00
2009/04/10	4.37	4.50	4.30	4.48	9598000	42512776.00
2009/04/13	4.43	4.50	4.37	4.42	10626300	46919172.00
2009/04/14	4.39	4.45	4.34	4.45	8010400	35307316.00
2009/04/15	4.43	4.53	4.36	4.51	10564600	47212872.00
2009/04/16	4.49	4.96	4.44	4.96	28697800	137347952.00
2009/04/17	5.00	5.18	4.75	4.75	35285100	174370320.00
2009/04/21	4.70	5.15	4.65	5.04	22800000	111527592.00
2009/04/22	5.08	5.13	4.54	4.62	19665500	96632816.00
2009/04/23	4.61	4.65	4.40	4.58	8476900	38391996.00
2009/04/24	4.61	4.98	4.43	4.85	14323700	67592336.00
2009/04/27	4.90	4.96	4.75	4.88	20405300	99368568.00
2009/04/28	4.88	4.94	4.64	4.88	13465700	65014724.00
2009/04/29	4.87	5.14	4.82	5.07	20600300	103086312.00
2009/04/30	5.09	5.09	4.91	4.98	13372100	66679128.00
2009/05/04	5.03	5.15	4.95	5.10	16204100	82001104.00
2009/05/05	5.10	5.34	4.96	5.19	20354100	104806280.00
2009/05/06	5.14	5.18	5.02	5.13	12874200	65719544.00
2009/05/07	5.15	5.50	5.06	5.37	25075500	131324440.00
2009/05/08	5.30	5.47	5.21	5.32	17859800	95205232.00
2009/05/11	5.29	5.30	4.88	4.92	12981700	66518692.00
2009/05/12	4.92	5.10	4.88	5.09	5982900	30009286.00
2009/05/13	5.10	5.53	5.01	5.47	17604000	93431376.00
2009/05/14	5.39	5.44	5.27	5.30	14476200	77380096.00
2009/05/18	5.32	5.55	5.24	5.45	17192100	93190192.00
2009/05/19	5.60	5.60	5.41	5.45	21280200	116680880.00
2009/05/20	5.50	5.54	5.34	5.39	11390800	61789068.00
2009/05/21	5.32	5.53	5.25	5.43	10868200	58502872.00
2009/05/22	5.35	5.70	5.35	5.59	22367206	125124920.00
2009/05/25	5.45	5.64	5.22	5.60	12573605	68577352.00
2009/05/26	5.57	5.93	5.52	5.66	19719248	113961272.00
2009/05/27	5.70	5.80	5.49	5.69	12095209	67994552.00
2009/06/01	5.71	5.77	5.61	5.73	11147972	63493120.00
2009/06/02	5.75	5.75	5.58	5.71	10245890	57902976.00
2009/06/03	5.67	5.70	5.55	5.60	9291095	52141884.00
2009/06/04	5.59	5.65	5.49	5.62	8380845	46587472.00
2009/06/05	5.60	5.66	5.45	5.46	7777477	43008392.00
2009/06/08	5.45	5.57	5.34	5.39	6882812	37667108.00
2009/06/09	5.41	5.44	5.22	5.42	7195991	38369608.00
2009/06/10	5.40	5.57	5.33	5.54	8183975	44942548.00
2009/06/11	5.51	5.64	5.36	5.42	6756278	37276184.00
2009/06/12	5.40	5.42	5.05	5.19	9058678	47406892.00
2009/06/15	5.15	5.31	5.13	5.30	4354473	22760350.00
2009/06/16	5.27	5.32	5.20	5.25	3274081	17200958.00
2009/06/17	5.27	5.38	5.24	5.35	3705258	19678134.00
2009/06/18	5.35	5.39	5.30	5.32	4189748	22326216.00
2009/06/19	5.36	5.36	5.23	5.31	5319167	28104396.00
2009/06/22	5.30	5.34	5.18	5.22	4877607	25618314.00
2009/06/23	5.16	5.27	5.16	5.21	3353424	17497914.00
2009/06/24	5.20	5.32	5.17	5.31	4958779	26023562.00
2009/06/25	5.28	5.38	5.22	5.27	4662830	24677958.00
2009/06/26	5.23	5.30	5.18	5.23	3472306	18182574.00
2009/06/29	5.25	5.33	5.19	5.31	5125245	27076174.00
2009/06/30	5.30	5.35	5.16	5.18	4991257	26094740.00
2009/07/01	5.15	5.29	5.15	5.28	5470462	28634742.00
2009/07/02	5.30	5.81	5.29	5.81	18707824	106290760.00
2009/07/03	6.04	6.39	5.80	6.20	46133539	280620768.00
2009/07/06	6.08	6.57	5.92	6.32	29553483	186238976.00
2009/07/07	6.27	6.28	5.98	6.05	21063520	128285800.00
2009/07/08	6.01	6.34	5.99	6.23	16934830	104803896.00
2009/07/09	6.25	6.47	6.03	6.23	18510698	116178224.00
2009/07/10	6.18	6.28	6.05	6.20	11287530	69700224.00
2009/07/13	6.15	6.28	6.12	6.15	11516533	71194728.00
2009/07/14	6.17	6.39	6.13	6.29	11435993	71839224.00
2009/07/15	6.35	6.80	6.24	6.61	21135332	136451792.00
2009/07/16	6.53	6.61	6.26	6.32	17540663	111954256.00
2009/07/17	6.27	6.33	6.08	6.19	11435004	71163312.00
2009/07/20	6.22	6.39	6.13	6.29	8556549	53771012.00
2009/07/21	6.29	6.29	6.00	6.04	9791318	60228644.00
2009/07/22	6.04	6.29	6.04	6.12	8077074	49565712.00
2009/07/23	6.10	6.22	6.04	6.18	7078372	43397632.00
2009/07/24	6.22	6.25	6.02	6.08	7684581	47103236.00
2009/07/27	6.10	6.18	6.06	6.16	7062688	43277588.00
2009/07/28	6.18	6.58	6.16	6.48	18111415	115534672.00
2009/07/29	6.40	6.45	5.83	5.95	13019518	80532688.00
2009/07/30	5.95	6.08	5.63	5.86	7499402	43779332.00
2009/07/31	5.86	6.03	5.83	6.02	5906729	35083528.00
2009/08/03	6.08	6.18	5.93	6.13	7481323	45154004.00
2009/08/04	6.16	6.17	5.96	6.09	7043665	42544116.00
2009/08/05	6.09	6.14	5.97	6.12	6690902	40588340.00
2009/08/06	6.09	6.16	5.84	6.06	8148844	49078420.00
2009/08/07	6.04	6.12	5.84	5.88	6466821	38773148.00
2009/08/10	5.93	5.97	5.76	5.86	3716411	21781348.00
2009/08/11	5.89	5.95	5.80	5.95	3185069	18707920.00
2009/08/12	6.16	6.48	6.16	6.24	35290992	223166512.00
2009/08/13	6.03	6.18	5.65	6.01	15386689	90640200.00
2009/08/14	5.96	5.96	5.41	5.41	10208492	57751796.00
2009/08/17	5.30	5.30	4.87	4.87	7786282	39066044.00
2009/08/18	4.88	5.00	4.70	4.94	4959780	24200358.00
2009/08/19	4.97	4.97	4.45	4.51	6085579	28479708.00
2009/08/20	4.51	4.66	4.47	4.65	5756426	26353360.00
2009/08/21	4.64	4.77	4.55	4.75	5696499	26689266.00
2009/08/24	4.80	4.88	4.69	4.85	5985030	28639302.00
2009/08/25	4.83	4.83	4.54	4.67	5524057	25840992.00
2009/08/26	4.63	4.99	4.63	4.92	7044330	34332320.00
2009/08/27	4.92	5.07	4.86	5.02	7417095	36884912.00
2009/08/28	5.00	5.00	4.72	4.88	5267229	25545658.00
2009/08/31	4.82	4.82	4.47	4.48	4016122	18514550.00
2009/09/01	4.48	4.63	4.46	4.55	2727896	12414221.00
2009/09/02	4.50	4.76	4.48	4.71	6250346	29285186.00
2009/09/03	4.71	5.01	4.68	4.99	9728687	47780588.00
2009/09/04	5.00	5.15	4.90	5.11	8847636	44758948.00
2009/09/07	5.12	5.20	5.05	5.11	7004240	35895632.00
2009/09/08	5.13	5.18	4.99	5.11	14476656	73429632.00
2009/09/09	5.10	5.16	4.99	5.12	8739030	44262284.00
2009/09/10	5.09	5.38	5.05	5.26	14411831	75527720.00
2009/09/11	5.17	5.29	5.11	5.22	7938419	41241116.00
2009/09/14	5.19	5.39	5.17	5.34	9373860	49382592.00
2009/09/15	5.28	5.35	5.18	5.32	7967059	42080056.00
2009/09/16	5.26	5.34	5.18	5.29	6685589	35180092.00
2009/09/17	5.30	5.48	5.30	5.40	10208585	55141052.00
2009/09/18	5.42	5.55	5.17	5.24	10068665	54611340.00
2009/09/21	5.18	5.38	5.00	5.30	6529886	33511174.00
2009/09/22	5.25	5.55	5.05	5.44	16428154	88628432.00
2009/09/23	5.35	5.45	5.15	5.24	7359250	39004100.00
2009/09/24	5.13	5.20	4.95	5.06	5555063	28193374.00
2009/09/25	5.05	5.11	4.96	4.99	3513030	17694716.00
2009/09/28	5.00	5.10	4.71	4.74	3202026	15826727.00
2009/09/29	4.76	4.82	4.59	4.70	3004045	14155727.00
2009/09/30	4.72	4.89	4.72	4.77	1988881	9501027.00
2009/10/09	4.83	4.97	4.81	4.96	2686917	13225079.00
2009/10/12	4.96	5.13	4.92	5.06	3093290	15565563.00
2009/10/13	5.05	5.20	5.01	5.19	3968332	20234978.00
2009/10/14	5.14	5.24	5.12	5.18	4196954	21751710.00
2009/10/15	5.16	5.24	5.10	5.14	3421153	17632084.00
2009/10/16	5.15	5.18	5.00	5.11	3773339	19191322.00
2009/10/19	5.08	5.27	5.06	5.27	5783841	30083018.00
2009/10/20	5.25	5.47	5.25	5.43	11418676	61241148.00
2009/10/21	5.45	5.56	5.35	5.36	15776134	86087832.00
2009/10/22	5.31	5.42	5.23	5.38	6545851	34807980.00
2009/10/23	5.40	5.56	5.35	5.45	9267228	50670876.00
2009/10/26	5.57	5.57	5.33	5.40	4896399	26555192.00
2009/10/27	5.38	5.38	5.14	5.19	4974901	26187008.00
2009/10/28	5.18	5.37	5.15	5.35	3844218	20293220.00
2009/10/29	5.30	5.37	5.17	5.20	3374705	17702650.00
2009/10/30	5.30	5.37	5.23	5.28	3536634	18755372.00
2009/11/02	5.25	5.69	5.23	5.61	13585426	74670488.00
2009/11/03	5.62	5.76	5.55	5.69	11673327	66114716.00
2009/11/04	5.70	5.72	5.56	5.65	7963041	44855636.00
2009/11/05	5.62	6.00	5.61	5.89	14037007	81920184.00
2009/11/06	5.89	5.92	5.78	5.82	9152305	53389716.00
2009/11/09	5.88	6.10	5.82	6.05	13299258	79550288.00
2009/11/10	6.01	6.06	5.90	5.95	7522471	44847236.00
2009/11/11	5.94	6.00	5.82	5.98	8014902	47522128.00
2009/11/12	5.98	6.18	5.91	6.10	12155385	73806368.00
2009/11/13	6.07	6.45	6.06	6.39	19214366	121426136.00
2009/11/16	6.45	6.70	6.37	6.42	20358508	133061488.00
2009/11/17	6.42	7.06	6.40	7.06	29561612	201518928.00
2009/11/18	7.06	7.09	6.81	6.96	17086068	118341592.00
2009/11/19	6.93	7.00	6.78	6.96	12945824	89373160.00
2009/11/20	6.94	7.18	6.80	7.09	12234617	85995104.00
2009/11/23	7.25	7.25	6.84	7.08	14077566	98613760.00
2009/11/24	7.03	7.07	6.42	6.51	13707476	93539768.00
2009/11/25	6.51	6.88	6.46	6.80	9936866	66636984.00
2009/11/26	6.81	6.82	6.37	6.38	11134151	73361048.00
2009/11/27	6.28	6.46	6.19	6.29	7069086	44598660.00
2009/11/30	6.39	6.92	5.84	6.85	15687297	105981672.00
2009/12/01	6.93	7.30	6.90	7.11	21466051	152521904.00
2009/12/02	7.11	7.16	6.94	7.13	15230973	107163064.00
2009/12/03	7.08	7.33	7.08	7.30	16928195	122254424.00
2009/12/04	7.33	7.35	6.82	6.94	13941054	97977480.00
2009/12/07	6.90	7.05	6.90	7.01	7047130	49095492.00
2009/12/08	7.03	7.05	6.88	6.99	4985390	34752756.00
2009/12/09	6.98	6.98	6.80	6.84	4062932	27903628.00
2009/12/11	7.00	7.07	6.83	6.84	4669109	32457422.00
2009/12/14	6.84	6.86	6.58	6.73	5158381	34537152.00
2009/12/15	6.75	6.83	6.70	6.79	3004735	20334708.00
2009/12/16	6.73	6.82	6.60	6.66	3676365	24653346.00
2009/12/17	6.60	6.72	6.40	6.41	3235550	21020992.00
2009/12/18	6.39	6.39	6.14	6.17	3393877	21201422.00
2009/12/21	6.24	6.42	6.08	6.41	3111168	19606850.00
2009/12/22	6.36	6.41	6.14	6.18	2184415	13711835.00
2009/12/23	6.18	6.32	6.15	6.30	1824157	11421230.00
2009/12/24	6.18	6.93	6.18	6.93	11722220	79761888.00
2009/12/25	6.90	6.94	6.74	6.83	7571679	51821336.00
2009/12/28	6.86	6.97	6.77	6.94	5965161	41022412.00
2009/12/29	6.90	7.00	6.81	6.98	5728667	39708068.00
2009/12/30	6.97	7.05	6.80	6.87	4513732	31131734.00
2009/12/31	6.88	7.28	6.82	7.18	13309667	94264016.00
2010/01/04	7.23	7.24	7.05	7.07	5747853	40828992.00
2010/01/05	7.08	7.23	6.90	7.14	6736224	47506488.00
2010/01/06	7.15	7.15	6.94	6.98	5767485	40525172.00
2010/01/08	6.76	6.86	6.68	6.84	4546251	30767004.00
2010/01/11	6.90	6.95	6.74	6.89	3470626	23707314.00
2010/01/12	6.89	7.03	6.80	7.03	4193433	29124912.00
2010/01/13	6.87	7.02	6.80	6.83	3559809	24485896.00
2010/01/14	6.83	6.94	6.79	6.93	4475778	30758130.00
2010/01/15	6.99	7.37	6.94	7.13	9205430	65903424.00
2010/01/18	7.11	7.55	7.10	7.39	11487257	84954600.00
2010/01/19	7.46	7.49	7.14	7.29	7141376	51791440.00
2010/01/20	7.23	7.29	6.85	6.97	7944027	56043424.00
2010/01/21	6.95	7.04	6.85	6.96	3734881	25927544.00
2010/01/22	6.89	6.89	6.53	6.69	5329671	35665532.00
2010/01/25	6.65	6.76	6.65	6.70	1830287	12282836.00
2010/01/26	6.70	6.74	6.45	6.67	3525500	23171564.00
2010/01/27	6.66	6.93	6.55	6.88	3746699	25362128.00
2010/01/28	6.89	7.00	6.72	6.98	4954361	34042532.00
2010/01/29	6.92	7.03	6.83	6.85	3806639	26368796.00
2010/02/01	6.83	6.83	6.46	6.48	4508880	29506502.00
2010/02/02	6.49	6.62	6.45	6.46	2469049	16126717.00
2010/02/03	6.47	6.58	6.28	6.52	2464986	15873743.00
2010/02/04	6.52	6.59	6.42	6.55	2542830	16594525.00
2010/02/05	6.42	6.54	6.34	6.38	1956042	12527167.00
2010/02/08	6.39	6.55	6.36	6.48	1704013	10988131.00
