600163 中闽能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	2.88	2.88	2.75	2.79	3473400	9783775.00
2009/01/09	2.79	2.93	2.78	2.92	4737100	13637975.00
2009/01/12	2.92	3.04	2.87	3.00	5962700	17752828.00
2009/01/13	3.00	3.07	2.91	2.92	8597000	25728686.00
2009/01/14	2.88	2.99	2.88	2.99	3618800	10681125.00
2009/01/15	2.98	3.06	2.95	3.01	5938200	17848018.00
2009/01/16	3.01	3.07	2.99	3.03	6138700	18649752.00
2009/01/19	3.05	3.07	2.99	3.00	4214500	12701901.00
2009/01/20	2.99	3.00	2.94	2.99	2476900	7342898.00
2009/01/21	2.97	3.01	2.94	3.00	3028400	9026726.00
2009/01/22	3.00	3.01	2.94	2.99	5254900	15633284.00
2009/01/23	2.99	3.04	2.98	3.03	5773700	17359804.00
2009/02/02	3.04	3.11	3.04	3.10	8884500	27374876.00
2009/02/03	3.09	3.35	3.05	3.34	19268100	62268184.00
2009/02/04	3.30	3.47	3.25	3.40	16036000	53595804.00
2009/02/05	3.42	3.43	3.26	3.27	11803400	39151152.00
2009/02/06	3.25	3.43	3.25	3.40	14962500	50298612.00
2009/02/09	3.44	3.53	3.38	3.49	15984500	55465572.00
2009/02/10	3.50	3.71	3.42	3.69	14165100	50339120.00
2009/02/11	3.63	3.85	3.57	3.74	14562200	54511392.00
2009/02/12	3.78	4.05	3.75	3.97	16102600	62497312.00
2009/02/13	3.97	4.10	3.88	4.05	13893600	55555368.00
2009/02/16	4.09	4.35	3.97	4.12	15923200	65737204.00
2009/02/17	4.08	4.09	3.82	3.84	12455100	49169828.00
2009/02/18	3.75	3.88	3.60	3.64	8413600	31416484.00
2009/02/19	3.65	3.79	3.65	3.77	5717900	21232668.00
2009/02/20	3.78	3.98	3.70	3.96	7613400	29122954.00
2009/02/23	3.96	4.31	3.85	4.29	16510800	68384800.00
2009/02/24	4.24	4.54	4.12	4.14	15130500	65032800.00
2009/02/25	4.21	4.35	4.08	4.29	12052100	51013148.00
2009/02/26	4.32	4.39	3.86	4.13	11370300	48255384.00
2009/02/27	4.05	4.11	3.72	3.72	8496300	32448556.00
2009/03/02	3.60	4.09	3.56	4.09	10946000	43228972.00
2009/03/03	4.08	4.27	3.86	4.18	11512800	47873480.00
2009/03/04	4.15	4.49	4.13	4.41	13377900	58255092.00
2009/03/05	4.48	4.65	4.35	4.52	14550900	65481996.00
2009/03/06	4.42	4.70	4.36	4.60	12813700	58996072.00
2009/03/09	4.61	4.67	4.23	4.34	12953700	57064308.00
2009/03/10	4.25	4.45	4.24	4.44	4905700	21380986.00
2009/03/11	4.49	4.54	4.29	4.31	5283900	23298328.00
2009/03/12	4.25	4.51	4.20	4.44	6947200	30335302.00
2009/03/13	4.44	4.77	4.35	4.65	11650400	53025288.00
2009/03/16	4.60	4.99	4.54	4.85	16905100	80846552.00
2009/03/17	4.80	5.03	4.75	4.88	12002800	58772240.00
2009/03/18	4.82	5.20	4.82	4.97	12434000	62833948.00
2009/03/19	4.96	5.10	4.87	5.01	7900500	39428528.00
2009/03/20	5.01	5.25	4.90	5.20	12397700	63253880.00
2009/03/23	5.11	5.30	5.00	5.09	13096100	66956864.00
2009/03/24	5.09	5.13	4.91	5.04	9264700	46241672.00
2009/03/25	4.98	5.06	4.90	4.92	6173000	30651410.00
2009/03/26	4.92	5.00	4.77	4.96	6289100	30820586.00
2009/03/27	4.73	5.02	4.73	4.79	58333000	280000960.00
2009/03/30	4.60	4.90	4.58	4.87	51583300	243674016.00
2009/03/31	4.75	4.86	4.70	4.78	29482600	140858592.00
