600196 复星医药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	10.50	10.72	10.50	10.54	7631900	80781656.00
2009/01/09	10.51	10.80	10.51	10.71	6758900	72015112.00
2009/01/12	10.69	11.25	10.65	11.15	15807700	174839344.00
2009/01/13	11.07	11.33	10.76	10.80	15088900	167509616.00
2009/01/14	10.75	11.05	10.52	11.03	9894700	107457792.00
2009/01/15	11.00	11.10	10.70	10.98	9505300	103907312.00
2009/01/16	11.09	11.55	11.01	11.53	18199600	206616480.00
2009/01/19	11.53	11.73	10.97	11.20	13960600	159455568.00
2009/01/20	11.09	11.52	11.00	11.50	8389300	94411912.00
2009/01/21	11.25	11.84	11.20	11.45	10318200	119672520.00
2009/01/22	11.65	11.92	11.51	11.60	12417900	145724208.00
2009/01/23	11.72	11.82	11.58	11.61	7233500	84578312.00
2009/02/02	11.62	11.79	11.49	11.71	4074300	47550912.00
2009/02/03	11.71	11.93	11.61	11.78	7231900	85143248.00
2009/02/04	11.80	12.01	11.69	11.86	10172900	120343096.00
2009/02/05	11.74	12.00	11.50	11.68	11745400	138078416.00
2009/02/06	11.70	12.05	11.67	12.03	15697300	186116096.00
2009/02/09	12.23	12.40	11.90	12.38	14188100	172376240.00
2009/02/10	12.25	13.08	12.11	12.76	14313300	181271520.00
2009/02/11	12.50	12.97	12.38	12.41	12376700	156854704.00
2009/02/12	12.45	13.10	12.18	13.09	16792300	212428544.00
2009/02/13	13.00	13.40	12.90	13.32	10726900	141284096.00
2009/02/17	13.52	14.06	13.11	13.13	17883400	242511024.00
2009/02/18	12.93	13.50	12.85	13.03	14617000	193180784.00
2009/02/19	13.28	13.77	13.18	13.50	17437500	235134016.00
2009/02/20	13.54	14.02	13.32	13.79	12996100	178858480.00
2009/02/23	13.80	15.17	13.65	14.75	25271800	372350368.00
2009/02/24	14.51	15.15	14.28	14.53	18000600	262610240.00
2009/02/25	14.70	14.78	13.80	14.22	15004600	212839424.00
2009/02/26	14.19	14.35	12.80	12.80	19141100	255455232.00
2009/02/27	12.40	12.79	11.60	12.40	15636400	189677936.00
2009/03/02	12.30	12.88	12.20	12.70	10123100	128166576.00
2009/03/03	12.35	13.40	12.31	13.04	17918100	233731872.00
2009/03/04	13.12	14.00	13.12	13.86	15334400	209439360.00
2009/03/05	13.88	14.18	13.26	13.58	21884600	300171680.00
2009/03/06	13.38	13.55	12.85	12.99	11859100	155694480.00
2009/03/09	13.05	13.35	12.75	13.01	16538100	215407728.00
2009/03/10	12.90	13.15	12.63	13.14	6000700	77465992.00
2009/03/11	13.30	13.41	12.83	13.08	10475600	136503504.00
2009/03/12	13.07	13.12	12.50	12.93	8198500	104744248.00
2009/03/13	13.03	13.08	12.60	12.64	6189600	79630744.00
2009/03/16	12.60	12.86	12.49	12.65	4974800	63110216.00
2009/03/17	12.70	13.16	12.67	13.15	15263900	197689904.00
2009/03/18	13.31	13.65	13.20	13.27	22178300	298115040.00
2009/03/19	13.28	13.40	13.08	13.35	19921500	263900256.00
2009/03/20	13.35	13.35	12.83	13.04	12603500	164471648.00
2009/03/23	13.05	13.33	12.80	12.90	32584000	424418336.00
2009/03/24	13.08	13.81	12.56	13.74	61053800	804019904.00
2009/03/25	13.50	13.70	13.21	13.23	30800900	414944128.00
2009/03/26	13.19	13.58	13.10	13.49	22427800	299426560.00
2009/03/27	13.50	13.70	13.34	13.61	40359100	545894272.00
2009/03/30	13.62	14.24	13.57	13.96	34498900	480844064.00
2009/03/31	13.86	13.95	13.40	13.92	26190200	357700832.00
2009/04/01	13.98	14.18	13.70	13.90	24741800	343431808.00
2009/04/02	14.10	14.38	13.83	14.02	30952300	437939648.00
2009/04/03	14.10	14.15	13.50	13.79	24720700	340710560.00
2009/04/07	14.03	14.42	13.78	13.90	32194600	453435648.00
2009/04/08	13.80	13.80	12.88	12.93	28304500	377069376.00
2009/04/09	12.95	13.25	12.85	13.11	16419100	214998960.00
2009/04/10	13.20	13.38	12.96	13.32	20179300	266532016.00
2009/04/13	13.40	13.61	13.28	13.38	19420800	260796704.00
2009/04/14	13.37	13.70	13.22	13.58	19001500	255748048.00
2009/04/15	13.56	13.69	13.37	13.50	20556100	277879552.00
2009/04/16	13.52	13.58	13.22	13.40	18287600	244726368.00
2009/04/17	13.40	13.78	13.27	13.39	19296900	262136816.00
2009/04/20	13.31	13.69	13.25	13.66	18283100	247141536.00
2009/04/21	13.51	14.16	13.41	14.15	35156400	491781088.00
2009/04/22	14.20	14.30	13.23	13.26	26759800	368529824.00
2009/04/24	13.40	13.50	12.86	12.90	16151500	210962976.00
2009/04/27	13.01	13.25	12.35	12.48	13181600	168828608.00
2009/04/28	12.52	13.40	12.52	13.28	18692800	242307664.00
2009/04/29	13.45	13.46	12.83	12.99	17577000	228366240.00
2009/04/30	13.01	13.33	13.00	13.16	12568600	165578096.00
2009/05/04	13.21	13.35	13.02	13.31	20015400	263877376.00
2009/05/05	13.40	13.46	13.11	13.28	17499600	231866928.00
2009/05/06	13.28	13.40	13.22	13.37	17217100	229045648.00
