600255 鑫科材料 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.25	3.27	3.13	3.15	6703600	21375642.00
2009/01/09	3.11	3.29	3.11	3.27	5879100	19025462.00
2009/01/12	3.27	3.44	3.23	3.34	8288200	27801002.00
2009/01/13	3.27	3.32	3.19	3.22	5120200	16623008.00
2009/01/14	3.20	3.40	3.17	3.37	8589700	28514380.00
2009/01/15	3.34	3.46	3.28	3.39	9750200	32989152.00
2009/01/16	3.39	3.54	3.36	3.42	10285400	35539240.00
2009/01/19	3.48	3.55	3.39	3.54	13251400	46005656.00
2009/01/20	3.56	3.59	3.41	3.48	6656800	23213414.00
2009/01/21	3.40	3.49	3.37	3.48	6769600	23205636.00
2009/01/22	3.50	3.59	3.48	3.51	9621900	34043836.00
2009/01/23	3.52	3.54	3.41	3.43	5073300	17536240.00
2009/02/02	3.44	3.53	3.41	3.52	5127500	17825968.00
2009/02/03	3.53	3.70	3.51	3.64	11703700	42342324.00
2009/02/04	3.75	4.00	3.74	4.00	11788800	46720476.00
2009/02/05	4.12	4.21	3.81	3.88	35723300	144600064.00
2009/02/06	3.85	4.09	3.83	4.07	18287200	73173016.00
2009/02/09	4.12	4.46	4.05	4.36	27493800	116354288.00
2009/02/10	4.30	4.45	4.18	4.42	22799600	98806704.00
2009/02/11	4.37	4.75	4.25	4.46	24929400	113134952.00
2009/02/12	4.43	4.64	4.21	4.44	15863900	70180664.00
2009/02/13	4.45	4.57	4.40	4.54	18208000	81756608.00
2009/02/16	4.56	4.95	4.45	4.83	25902700	120720256.00
2009/02/17	4.70	4.80	4.51	4.52	19631900	91453144.00
2009/02/18	4.40	4.50	4.11	4.16	14608700	62990652.00
2009/02/19	4.18	4.30	4.15	4.24	8274500	34908776.00
2009/02/20	4.24	4.63	4.20	4.54	14199100	63487892.00
2009/02/23	4.50	4.94	4.42	4.81	22600600	106908112.00
2009/02/24	4.81	4.90	4.52	4.62	21731200	102571728.00
2009/02/25	4.69	4.98	4.58	4.97	27985200	134683968.00
2009/02/26	5.10	5.12	4.47	4.48	26631800	129130208.00
2009/02/27	4.30	4.34	4.03	4.04	13911600	57628060.00
2009/03/02	3.94	4.20	3.80	4.15	9317100	37694556.00
2009/03/03	4.05	4.22	3.95	4.09	7029700	28879234.00
2009/03/04	4.15	4.43	4.14	4.40	11982300	51526764.00
2009/03/05	4.45	4.60	4.31	4.45	14774600	66194200.00
2009/03/06	4.37	4.55	4.30	4.44	9099800	40607328.00
2009/03/09	4.54	4.54	4.16	4.17	7831100	33799080.00
2009/03/10	4.14	4.35	4.08	4.31	5212100	21995824.00
2009/03/11	4.35	4.38	4.21	4.29	7209800	31107356.00
2009/03/12	4.14	4.35	4.14	4.28	4835100	20518446.00
2009/03/13	4.30	4.37	4.23	4.25	5124000	22048048.00
2009/03/16	4.26	4.35	4.20	4.31	4195000	17908896.00
2009/03/17	4.31	4.56	4.28	4.53	12839500	57566228.00
2009/03/18	4.59	4.98	4.50	4.98	40197400	196490784.00
2009/03/19	5.01	5.31	4.92	5.14	52870600	268854592.00
2009/03/20	5.36	5.65	5.14	5.65	75772300	411547552.00
2009/03/23	6.18	6.22	5.64	6.22	48529100	291391040.00
2009/03/24	6.48	6.84	6.28	6.43	83453400	545943616.00
2009/03/25	6.26	6.70	6.20	6.30	62683400	405865952.00
2009/03/26	6.34	6.50	5.90	6.49	56560800	352145600.00
2009/03/27	6.35	6.47	6.20	6.39	41554100	263013232.00
2009/03/30	6.31	6.42	6.10	6.26	29297500	183341456.00
2009/03/31	6.10	6.55	6.03	6.39	40225800	255059536.00
2009/04/01	6.40	6.70	6.28	6.36	39927800	259294064.00
2009/04/02	6.36	6.56	6.21	6.44	33435400	214271712.00
2009/04/03	6.60	6.60	5.98	6.09	39113100	243064144.00
2009/04/07	6.10	6.18	5.88	6.10	22267600	134105576.00
2009/04/08	6.16	6.16	5.81	5.81	20338500	120917832.00
2009/04/09	5.90	6.02	5.80	6.00	15399500	91198672.00
2009/04/10	6.12	6.40	6.03	6.33	40079300	251211744.00
2009/04/13	6.33	6.39	6.16	6.27	31442600	196644000.00
2009/04/14	6.29	6.29	6.05	6.18	23517900	144465504.00
2009/04/15	6.16	6.76	6.07	6.58	52447600	338231712.00
