600280 中央商场 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	7.00	7.10	6.82	7.08	2110600	14708319.00
2009/01/09	7.03	7.30	7.03	7.29	3526900	25440158.00
2009/01/12	7.28	7.39	7.20	7.30	2105700	15357108.00
2009/01/13	7.20	7.30	7.05	7.07	1383700	9897847.00
2009/01/14	7.01	7.31	7.00	7.30	2026500	14496411.00
2009/01/15	7.20	7.35	7.12	7.22	1764500	12755301.00
2009/01/16	7.23	7.66	7.23	7.42	4717800	35165788.00
2009/01/19	7.49	7.76	7.31	7.75	3875400	29349256.00
2009/01/20	7.69	7.75	7.46	7.63	2190500	16602709.00
2009/01/21	7.46	7.63	7.33	7.42	1865100	13969512.00
2009/01/22	7.58	7.58	7.41	7.52	1685900	12621767.00
2009/01/23	7.52	7.66	7.38	7.43	2086700	15702886.00
2009/02/02	7.45	7.63	7.40	7.58	1501100	11296647.00
2009/02/03	7.52	7.90	7.52	7.87	2635500	20431144.00
2009/02/04	7.91	8.08	7.79	7.99	2952000	23406206.00
2009/02/05	7.91	8.27	7.90	8.13	3986900	32259194.00
2009/02/06	8.13	8.56	8.05	8.53	2980300	24796632.00
2009/02/09	8.62	8.72	8.45	8.71	3840500	32947748.00
2009/02/10	8.60	9.11	8.44	8.99	3298500	28794790.00
2009/02/11	8.85	9.39	8.72	9.25	3592700	32465960.00
2009/02/12	9.31	9.45	8.97	9.43	2403900	22071116.00
2009/02/13	9.43	9.59	9.25	9.46	1953300	18416658.00
2009/02/16	9.50	9.55	9.00	9.27	3928500	36231980.00
2009/02/17	9.31	9.31	8.83	8.86	2511200	22575614.00
2009/02/18	8.60	8.86	8.35	8.40	1994600	17196660.00
2009/02/19	8.50	8.83	8.50	8.77	1903200	16477264.00
2009/02/20	8.87	9.00	8.58	8.99	3404100	29915162.00
2009/02/23	8.99	9.30	8.83	9.24	3570200	32590228.00
2009/02/24	9.42	10.16	9.33	10.16	4954300	49579104.00
2009/02/25	10.51	10.71	9.73	9.99	9601300	98136928.00
2009/02/26	9.98	10.12	8.99	9.02	4347300	41812604.00
2009/02/27	8.87	9.30	8.36	8.39	3721800	32106432.00
2009/03/02	8.41	8.59	8.34	8.55	1654000	14012379.00
2009/03/03	8.28	8.56	8.03	8.55	2443500	20284264.00
2009/03/04	8.49	9.08	8.49	9.03	2261700	19957354.00
2009/03/05	9.10	9.20	8.75	8.96	2682500	24106832.00
2009/03/06	8.78	8.93	8.60	8.91	1564000	13748845.00
2009/03/09	8.88	9.14	8.32	8.35	2371300	20762490.00
2009/03/10	8.35	8.58	8.30	8.56	893300	7548773.00
2009/03/11	8.63	8.80	8.50	8.52	1488300	12839729.00
2009/03/12	8.55	8.60	8.22	8.47	1140600	9572183.00
2009/03/13	8.47	8.58	8.30	8.33	1000700	8441908.00
2009/03/16	8.33	8.54	8.22	8.49	756000	6354174.00
2009/03/17	8.55	8.96	8.55	8.90	2019500	17842902.00
2009/03/18	8.91	9.19	8.90	8.96	2012300	18152780.00
2009/03/19	8.95	9.36	8.95	9.21	2900000	26755716.00
2009/03/20	9.26	9.32	9.06	9.25	1739800	16003560.00
2009/03/23	9.30	10.14	9.29	9.79	6717100	65198592.00
2009/03/24	9.81	10.10	9.62	9.68	3788300	37110220.00
2009/03/25	9.68	10.08	9.58	9.81	4216800	41664304.00
2009/03/26	9.81	10.14	9.75	9.99	3325600	33031702.00
2009/03/27	10.02	10.39	9.95	10.28	3129500	31852788.00
2009/03/30	10.37	10.38	9.80	9.85	2068800	20745916.00
2009/03/31	9.65	9.93	9.58	9.87	1874500	18375578.00
2009/04/01	9.99	10.10	9.83	9.97	1933900	19302330.00
2009/04/02	10.05	10.20	9.86	10.10	2151200	21636186.00
2009/04/03	10.09	10.36	9.68	9.70	2201600	21839812.00
2009/04/07	9.72	9.80	9.56	9.70	2200500	21199786.00
2009/04/08	9.70	9.84	9.49	9.50	1606200	15520788.00
2009/04/09	9.50	10.06	9.46	10.04	1778400	17278110.00
2009/04/10	10.08	10.55	9.95	10.48	3864100	40001008.00
2009/04/13	10.48	10.58	10.28	10.42	2155900	22401832.00
2009/04/14	10.45	10.45	10.17	10.37	2895200	29853172.00
2009/04/15	10.37	11.09	10.15	10.99	6507700	68632176.00
2009/04/16	10.81	11.44	10.71	11.20	4741300	52688744.00
2009/04/17	11.15	12.03	11.00	11.44	5568600	63820792.00
2009/04/20	11.42	12.13	11.23	12.06	3979100	46922828.00
2009/04/21	11.90	12.38	11.70	12.13	2847000	34466160.00
2009/04/22	12.16	12.30	11.24	11.52	3334100	39253736.00
2009/04/23	11.59	12.01	11.30	11.99	2135400	24904828.00
2009/04/24	11.94	13.19	11.78	13.07	6170600	79321816.00
2009/04/27	12.80	12.88	12.40	12.51	2852400	35957860.00
2009/04/28	12.30	12.59	11.50	11.70	3247900	38491976.00
2009/04/29	11.57	12.18	11.20	12.13	2051800	24034040.00
2009/04/30	12.02	12.30	11.90	12.20	1327700	16132347.00
2009/05/04	12.20	12.45	12.05	12.35	1215500	14914971.00
2009/05/05	12.45	12.55	12.11	12.43	1330400	16412783.00
2009/05/06	12.32	12.54	12.30	12.36	1212100	15029278.00
2009/05/07	12.36	13.29	12.36	13.24	3044200	39370484.00
2009/06/01	14.30	14.56	13.61	13.79	5029130	70805152.00
2009/06/02	13.82	15.17	13.71	15.17	6516351	96087872.00
2009/06/03	15.63	16.69	15.59	16.69	7939591	129079528.00
2009/06/04	16.90	17.40	15.55	16.90	10584656	175395680.00
2009/06/05	16.42	16.60	15.82	16.21	3617043	58495152.00
2009/06/08	16.00	16.08	15.35	15.74	5521180	86420752.00
2009/06/09	15.20	16.49	15.20	16.47	3689053	59278664.00
2009/06/10	16.25	16.44	15.80	16.00	1574102	25203316.00
2009/06/11	16.10	16.10	15.40	15.86	1159701	18304316.00
2009/06/12	15.77	16.10	15.53	15.66	1012873	16050080.00
2009/06/15	15.66	16.30	15.46	16.12	1800431	28835222.00
2009/06/16	16.00	16.00	15.51	15.92	878042	13869438.00
2009/06/17	15.88	15.97	15.51	15.89	806764	12752624.00
2009/06/18	15.79	16.40	15.79	16.09	1454956	23512378.00
2009/06/19	16.00	16.45	15.79	15.86	1115280	17879480.00
2009/06/22	15.78	16.40	15.66	16.05	983083	15748442.00
2009/06/23	15.88	16.99	15.75	16.61	1953941	32159826.00
2009/06/24	16.50	16.60	16.08	16.38	1297674	21133704.00
2009/06/25	16.58	16.58	16.06	16.21	685914	11086554.00
2009/06/26	16.34	16.34	15.58	15.61	1038774	16506164.00
2009/06/29	15.52	16.00	15.40	15.58	941257	14707577.00
2009/06/30	15.60	15.94	15.53	15.92	775734	12246217.00
2009/07/01	15.92	16.09	15.41	16.03	896523	14282896.00
2009/07/02	16.03	16.09	15.76	15.86	747817	11874466.00
2009/07/03	15.77	16.10	15.53	15.92	1144260	18201672.00
2009/07/06	16.09	16.67	15.71	15.78	1668018	26945174.00
2009/07/07	15.77	16.12	15.53	15.83	874519	13916547.00
2009/07/08	15.80	16.27	15.71	16.00	1818557	29040548.00
2009/07/09	16.15	16.38	15.73	16.36	2595607	41702772.00
2009/07/10	16.36	17.00	16.20	16.74	3735707	62360008.00
2009/07/13	16.65	18.15	16.52	17.63	3637302	63273036.00
2009/07/14	17.58	17.99	17.01	17.78	2109791	36720540.00
2009/07/15	17.80	17.99	17.10	17.36	1947413	33895412.00
2009/07/16	17.35	17.40	16.70	16.97	2949466	49812516.00
2009/07/17	17.05	17.09	16.43	16.58	1587240	26460928.00
2009/07/20	16.51	16.96	16.50	16.60	2336772	38914856.00
2009/07/21	16.58	16.59	15.80	16.00	4038427	65059296.00
2009/07/22	15.96	16.17	15.70	15.85	2386354	37930796.00
2009/07/23	16.00	16.56	15.82	16.29	3077259	50176048.00
2009/07/24	16.50	16.66	15.89	16.03	2054507	33249074.00
2009/07/27	16.20	16.46	16.00	16.34	2733946	44694088.00
2009/07/28	16.31	16.37	15.95	16.24	2061481	33267790.00
2009/07/29	16.24	16.47	14.95	15.99	2524140	40404976.00
2009/07/30	15.83	16.10	15.43	15.86	1407485	22225840.00
2009/07/31	15.90	16.48	15.90	16.47	3301058	53789696.00
2009/08/03	16.65	17.18	16.51	16.76	4703954	79112936.00
2009/08/04	16.70	16.70	16.05	16.26	2517874	41211568.00
2009/08/05	16.15	16.70	15.80	16.64	3235739	52962244.00
2009/08/06	16.59	17.19	16.20	17.02	3935451	66417736.00
2009/08/07	17.20	17.71	17.00	17.25	4533960	78943344.00
2009/08/10	17.30	17.78	17.15	17.46	2421899	42158520.00
2009/08/11	17.48	19.20	17.17	18.28	4851622	88507992.00
2009/08/12	18.30	19.08	16.45	17.17	3813669	69502168.00
2009/08/13	17.00	17.58	16.51	16.53	2327119	39274000.00
2009/08/14	16.56	16.85	15.50	15.62	1601408	25753408.00
2009/08/17	15.20	15.60	14.30	14.72	1424581	21312210.00
2009/08/18	14.70	15.78	14.66	15.30	1765967	27003870.00
2009/08/19	15.26	15.58	14.00	14.15	1446729	21698250.00
2009/08/20	14.13	15.48	14.05	15.38	2363465	35623368.00
2009/08/21	15.50	15.90	15.07	15.88	2242658	35004036.00
2009/08/24	15.90	16.66	15.10	16.43	1783323	29018894.00
2009/08/25	16.50	17.18	16.02	16.79	2365552	39601200.00
2009/08/26	16.50	17.45	16.50	17.21	1792413	30741328.00
2009/08/27	17.18	17.58	16.65	16.98	1869885	32148744.00
2009/08/28	17.01	17.08	16.40	16.85	967708	16172710.00
2009/08/31	16.85	16.85	15.21	15.41	1488183	23886162.00
2009/09/01	15.12	15.50	14.71	15.08	1179581	17907126.00
2009/09/02	14.82	15.91	14.81	15.69	798133	12399190.00
2009/09/03	15.90	16.68	15.35	16.65	1374035	22309272.00
2009/09/04	16.65	17.19	16.45	16.94	1084896	18296806.00
2009/09/07	16.97	17.60	16.82	17.43	1832583	31750572.00
2009/09/08	17.38	18.10	17.00	17.58	1901956	33760044.00
2009/09/09	17.28	17.80	17.05	17.36	1291401	22330464.00
2009/09/10	17.40	17.40	16.82	17.16	813906	13969668.00
2009/09/11	17.15	17.99	16.85	17.80	1218311	21230332.00
2009/09/14	17.80	18.40	17.62	17.78	2510986	44896056.00
2009/09/15	17.88	18.30	17.66	18.21	1724884	31186958.00
2009/09/16	18.22	18.22	17.56	17.74	1260265	22543304.00
