600321 正源股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.97	5.30	4.91	5.29	4947400	25252772.00
2009/01/09	5.26	5.66	5.25	5.46	10683900	58099524.00
2009/01/12	5.48	5.56	5.33	5.37	5101800	27907798.00
2009/01/13	5.30	5.37	5.07	5.09	3602500	18729034.00
2009/01/14	5.05	5.39	5.05	5.37	3226500	16985120.00
2009/01/15	5.31	5.68	5.28	5.64	7557800	41861484.00
2009/01/16	5.73	5.75	5.51	5.53	7426800	41758900.00
2009/01/19	5.55	5.60	5.38	5.48	4296500	23560068.00
2009/01/20	5.51	5.67	5.46	5.61	4558900	25359202.00
2009/01/21	5.55	5.72	5.47	5.53	4973700	27797286.00
2009/01/22	5.53	5.60	5.44	5.50	3238600	17845652.00
2009/02/02	5.57	5.62	5.46	5.59	3582700	19896336.00
2009/02/03	5.60	5.78	5.52	5.76	6794800	38701040.00
2009/02/04	5.81	5.96	5.69	5.90	6729600	39151232.00
2009/02/05	5.85	5.87	5.62	5.64	6349600	36591748.00
2009/02/06	5.67	5.92	5.67	5.88	6426200	37483272.00
2009/02/09	6.02	6.28	5.98	6.16	10356100	63534520.00
2009/02/10	6.13	6.34	6.03	6.30	6982400	42933128.00
2009/02/11	6.20	6.79	6.15	6.77	14675000	95721536.00
2009/02/12	6.68	7.08	6.62	6.93	17984000	124152384.00
2009/02/13	6.92	7.09	6.82	7.05	10466400	72814616.00
2009/02/16	7.02	7.25	6.78	7.04	9403800	65599204.00
2009/02/17	6.96	7.26	6.70	7.17	14204200	100100352.00
2009/02/18	6.95	7.45	6.90	7.00	14518700	104239496.00
2009/02/19	7.00	7.39	6.86	7.37	12320300	88203080.00
2009/02/20	7.44	8.09	7.33	7.81	18474900	143537168.00
2009/02/23	7.86	8.59	7.75	8.59	14990800	124415408.00
2009/02/24	8.65	9.00	8.35	8.38	19534800	168486208.00
2009/02/25	8.41	9.22	8.17	9.22	26175000	230525840.00
2009/02/26	9.27	9.68	8.30	8.30	22185900	201219056.00
2009/02/27	8.05	8.57	7.50	8.24	18847800	151539024.00
2009/03/02	8.09	8.90	7.94	8.79	12190100	104062416.00
2009/03/03	8.68	9.16	8.21	8.45	12730200	111110584.00
2009/03/04	8.34	9.15	8.29	9.10	19376700	171359920.00
2009/03/05	9.19	9.75	9.03	9.34	16561800	154871600.00
2009/03/06	9.18	9.40	8.95	9.23	10065600	91897328.00
2009/03/09	9.23	9.39	8.31	8.31	9637900	85128520.00
2009/03/10	8.08	8.30	7.80	8.29	6311300	50922740.00
2009/03/11	8.44	8.51	8.15	8.21	5522100	45818024.00
2009/03/12	8.15	8.15	7.70	8.01	5264600	41513036.00
