600391 航发科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	13.90	14.64	13.72	14.48	2546100	36360104.00
2009/01/09	14.56	14.97	14.26	14.70	2514700	36789464.00
2009/01/12	14.65	15.27	14.45	14.94	2850200	42522084.00
2009/01/13	15.00	15.01	13.73	13.81	2332500	33214370.00
2009/01/14	13.80	14.44	13.63	14.41	1503800	21267890.00
2009/01/15	14.30	14.80	14.20	14.52	1399400	20339414.00
2009/01/16	14.79	14.95	14.48	14.60	1803200	26567488.00
2009/01/19	14.80	14.98	14.30	14.55	1151600	16838304.00
2009/01/20	14.48	14.85	14.48	14.77	701300	10261638.00
2009/01/21	14.60	15.48	14.50	15.27	2128400	32405974.00
2009/01/22	15.40	15.83	15.29	15.63	1548700	24093938.00
2009/01/23	15.60	15.70	15.13	15.20	1143100	17477372.00
2009/02/02	15.50	16.00	15.23	15.79	1262900	19839686.00
2009/02/03	15.80	16.14	15.61	15.87	1640500	25913224.00
2009/02/04	15.93	15.99	15.45	15.79	2002500	31288828.00
2009/02/05	15.68	15.84	15.19	15.31	2122500	32787794.00
2009/02/06	15.43	16.10	15.40	16.05	3024000	47948188.00
2009/02/09	16.06	17.16	15.92	17.14	3503700	58048576.00
2009/02/10	16.80	16.98	16.35	16.94	2700800	44980120.00
2009/02/11	16.55	17.54	16.52	16.78	2608700	44196800.00
2009/02/12	16.85	17.90	16.12	17.38	3462900	59051700.00
2009/02/13	17.28	18.00	17.05	17.68	3168300	56095544.00
2009/02/16	17.68	17.90	17.20	17.61	2060300	36075712.00
2009/02/17	17.50	17.61	16.85	16.92	1956600	33595084.00
2009/02/18	16.69	17.28	16.59	16.71	2068400	34945412.00
2009/02/19	16.95	18.38	16.69	18.38	4426300	77661360.00
2009/02/20	18.01	20.09	17.82	20.00	6385000	121451736.00
2009/02/23	19.88	20.47	19.36	20.27	3592600	72130520.00
2009/02/24	20.01	21.38	19.60	20.61	3623800	74769216.00
2009/02/25	20.86	22.50	20.71	21.45	4632000	99725192.00
2009/02/26	21.01	21.95	19.31	19.33	4533700	93410840.00
2009/02/27	18.55	19.09	17.40	17.46	4520900	80982848.00
2009/03/02	16.99	18.38	16.92	18.18	2207300	39510056.00
2009/03/03	17.80	20.00	17.50	19.93	4951100	94740864.00
2009/03/04	20.00	21.30	19.70	20.64	4414300	90747168.00
2009/03/05	20.71	22.70	20.35	21.70	10387900	229131696.00
2009/03/06	21.47	23.00	21.00	22.28	6030500	133173616.00
2009/03/10	20.99	21.71	20.05	21.53	6067000	125504216.00
2009/03/11	21.00	21.58	19.70	20.60	5415400	112254672.00
2009/03/12	20.33	20.33	18.92	19.91	3630000	71549680.00
2009/03/13	19.95	20.31	19.41	19.87	2040700	40648408.00
2009/03/16	19.92	20.34	19.70	20.30	1407200	28204226.00
2009/03/17	20.30	21.30	19.85	20.89	2677600	55348224.00
2009/03/18	20.91	21.25	20.65	20.74	3614100	75596000.00
2009/03/19	20.56	21.50	20.35	21.46	3932600	81984712.00
2009/03/20	21.30	22.08	20.84	21.48	3105300	66427280.00
2009/03/23	21.46	21.78	21.32	21.38	3712500	79800096.00
2009/03/24	21.40	21.70	20.93	21.48	3415100	73012376.00
2009/03/25	21.20	21.22	20.21	20.25	3310800	68498504.00
2009/03/26	20.23	20.50	19.38	20.35	3861000	76991856.00
2009/03/27	20.37	20.50	19.85	20.12	3524900	70538688.00
2009/03/30	20.00	20.12	19.70	19.72	2471100	49045640.00
2009/04/01	19.90	20.60	19.90	20.18	3008100	60786708.00
2009/04/02	20.30	21.69	20.30	21.19	5938500	124401824.00
2009/04/03	21.13	21.68	20.67	21.23	5690000	120496096.00
2009/04/07	21.23	21.45	20.75	21.07	2554600	53719720.00
2009/04/08	20.98	21.39	19.78	19.80	3654900	76269360.00
2009/04/09	19.50	20.09	18.60	19.94	4159700	80039424.00
2009/04/10	19.92	20.29	19.35	20.21	3295100	65653516.00
2009/04/13	20.21	20.28	19.80	19.95	3268600	65100196.00
2009/04/14	20.54	20.59	19.92	20.03	3658300	73747728.00
2009/04/15	20.08	20.65	19.41	20.40	4114300	83302936.00
2009/04/16	20.39	21.50	20.39	21.45	6284000	133149640.00
2009/04/17	21.03	21.43	19.88	20.23	3610200	74049888.00
2009/04/20	19.95	20.70	19.81	20.50	2083700	42325268.00
2009/04/21	20.23	20.45	19.50	19.99	2358800	47103900.00
2009/04/22	20.05	20.52	18.80	18.85	3091800	61253284.00
2009/04/23	18.70	19.59	18.00	19.16	2459000	45839616.00
2009/04/24	19.10	19.15	18.20	18.29	2493100	46755128.00
2009/04/27	18.20	18.29	17.35	17.51	2551900	45190584.00
2009/04/28	17.47	17.91	17.10	17.41	3218900	56234812.00
2009/04/29	17.43	17.92	17.35	17.90	2540800	44706000.00
2009/04/30	17.87	18.49	17.79	18.23	1789600	32632006.00
2009/05/04	18.24	19.00	18.24	18.99	1384200	26073100.00
2009/05/05	19.30	19.40	18.90	19.21	1720900	33021454.00
2009/05/06	19.06	19.28	18.91	19.04	2128400	40585196.00
2009/05/07	19.04	19.50	18.70	18.98	1974200	37721680.00
2009/05/08	18.98	19.24	18.60	18.79	1731000	32670132.00
2009/05/11	18.90	19.07	17.98	18.17	2196800	40420140.00
