600398 海澜之家 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	2.80	3.18	2.77	3.12	44467100	133500152.00
2009/01/09	3.08	3.18	2.88	3.05	47952700	145610000.00
2009/01/12	3.00	3.02	2.92	3.02	20960800	62487124.00
2009/01/13	2.96	2.98	2.87	2.88	13271100	38655808.00
2009/01/14	2.87	2.97	2.86	2.95	11399600	33254048.00
2009/01/15	2.92	2.96	2.89	2.93	13858500	40501092.00
2009/01/16	2.93	3.05	2.93	2.97	17974300	53568824.00
2009/01/19	2.97	3.01	2.92	2.95	9690600	28602956.00
2009/01/20	2.94	2.96	2.89	2.94	6565400	19173512.00
2009/01/21	2.91	3.00	2.89	2.94	8250600	24423244.00
2009/01/22	2.95	2.96	2.92	2.95	7421100	21830060.00
2009/01/23	2.97	2.97	2.92	2.92	6097000	17927234.00
2009/02/02	2.95	3.12	2.92	3.08	22354600	67942208.00
2009/02/03	3.08	3.17	3.04	3.14	29647400	92887496.00
2009/02/04	3.14	3.37	3.09	3.28	38212800	122735952.00
2009/02/05	3.27	3.35	3.11	3.14	28488200	91632592.00
2009/02/06	3.14	3.27	3.13	3.24	22344800	71725320.00
2009/02/09	3.25	3.36	3.23	3.35	31342700	103172904.00
2009/02/10	3.33	3.41	3.26	3.40	25992600	86632600.00
2009/02/11	3.35	3.49	3.31	3.37	33876200	115415560.00
2009/02/12	3.38	3.42	3.25	3.40	22060300	73937344.00
2009/02/13	3.40	3.66	3.40	3.64	34329800	120574024.00
2009/02/16	3.66	3.72	3.57	3.69	34541300	126308712.00
2009/02/17	3.72	3.86	3.60	3.60	41666500	156244112.00
2009/02/18	3.51	3.63	3.36	3.37	23742200	83509024.00
2009/02/19	3.40	3.49	3.35	3.43	16222700	55304648.00
2009/02/20	3.42	3.54	3.37	3.53	14481000	50099472.00
2009/02/23	3.50	3.66	3.44	3.63	18128700	64879192.00
2009/02/24	3.60	3.74	3.43	3.46	25930000	92798744.00
2009/02/25	3.51	3.57	3.38	3.57	16966900	59130040.00
2009/02/26	3.57	3.71	3.35	3.48	31484700	113503496.00
2009/02/27	3.44	3.44	3.13	3.18	22493000	72801136.00
2009/03/02	3.13	3.25	3.11	3.22	8176100	26211864.00
2009/03/03	3.15	3.28	3.10	3.24	10181800	32629870.00
2009/03/04	3.28	3.42	3.24	3.41	17465400	58626776.00
2009/03/05	3.44	3.58	3.38	3.54	26461700	91838720.00
2009/03/06	3.46	3.52	3.41	3.45	12989100	45016740.00
2009/03/09	3.49	3.59	3.41	3.47	21255600	74388008.00
2009/03/10	3.45	3.58	3.40	3.57	22641200	79298984.00
2009/03/12	3.53	3.53	3.35	3.47	14330400	49069812.00
2009/03/13	3.48	3.49	3.34	3.34	10600400	36003288.00
2009/03/16	3.31	3.38	3.27	3.36	7787300	25931954.00
2009/03/17	3.36	3.46	3.32	3.45	12524800	42754956.00
2009/03/18	3.47	3.58	3.47	3.50	19710100	69537648.00
2009/03/19	3.50	3.60	3.47	3.58	18338800	65051164.00
2009/03/20	3.61	3.62	3.44	3.49	13809500	48375580.00
2009/03/23	3.45	3.56	3.45	3.53	17504200	61565000.00
2009/03/24	3.57	3.75	3.48	3.69	36862000	132969688.00
2009/03/25	3.71	3.88	3.60	3.70	54743800	205292272.00
2009/03/26	3.70	3.79	3.64	3.78	33532000	125077096.00
2009/03/27	3.78	3.84	3.68	3.71	25783100	96464032.00
2009/03/30	3.71	3.73	3.65	3.66	14688800	54032628.00
2009/03/31	3.61	3.65	3.55	3.65	13991200	50378096.00
2009/04/01	3.66	3.75	3.65	3.70	18238500	67449432.00
2009/04/02	3.70	3.75	3.66	3.68	20098900	74420208.00
2009/04/03	3.70	3.72	3.57	3.60	14997500	54462680.00
2009/04/07	3.60	3.66	3.58	3.65	9311000	33743488.00
