600449 宁夏建材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	19.40	19.95	19.00	19.82	3613300	70694544.00
2009/01/09	19.72	20.24	19.50	19.77	3080600	60931832.00
2009/01/12	19.80	19.80	19.00	19.03	3061000	59147876.00
2009/01/13	18.70	18.96	18.18	18.25	3172800	58838228.00
2009/01/14	18.15	19.18	18.10	19.04	2101300	39456832.00
2009/01/15	18.80	20.05	18.80	19.37	3461800	67884072.00
2009/01/16	19.42	19.59	18.70	18.97	2960600	56670780.00
2009/01/19	19.26	19.48	18.66	18.89	2092800	39886928.00
2009/01/20	18.78	19.09	18.60	18.92	1269900	23851522.00
2009/01/21	18.72	19.18	18.66	18.79	1473900	27914488.00
2009/01/22	18.90	19.63	18.80	19.60	2629400	50665760.00
2009/01/23	20.18	21.56	19.83	21.56	7303500	153760112.00
2009/02/02	22.19	22.70	21.23	21.34	7197700	157419424.00
2009/02/03	21.30	23.09	21.18	22.84	6630100	146718832.00
2009/02/04	22.70	22.70	22.10	22.26	4915000	109593624.00
2009/02/05	22.16	22.65	21.05	21.39	5007900	109217064.00
2009/02/06	21.37	21.98	21.24	21.92	3780500	81852576.00
2009/02/09	22.14	22.88	21.48	22.57	6110600	134162968.00
2009/02/10	22.02	22.54	21.58	22.50	4460500	98535400.00
2009/02/11	22.00	24.40	21.91	22.95	7396500	172398384.00
2009/02/12	22.71	24.15	21.89	23.98	6325500	145615296.00
2009/02/13	23.81	26.00	23.58	25.54	7011400	174912144.00
2009/02/16	25.30	26.20	24.90	25.97	6694500	170799840.00
2009/02/17	25.70	25.70	24.68	24.88	4366400	109228920.00
2009/02/18	24.25	25.38	24.25	24.97	5203600	130115384.00
2009/02/19	24.95	27.47	24.95	27.20	8376100	225350192.00
2009/02/20	26.75	28.30	26.70	26.89	5258900	144233104.00
2009/02/23	26.55	28.80	26.51	28.57	3559300	99975120.00
2009/02/24	28.28	29.98	28.00	28.78	4854200	141242592.00
2009/02/25	29.10	30.38	28.00	28.08	5824900	169877744.00
2009/02/26	28.10	28.75	25.27	25.62	6252100	166675984.00
2009/02/27	25.31	26.65	24.60	25.76	5482900	141350736.00
2009/03/02	25.40	28.34	25.30	28.34	5599500	153157424.00
2009/03/03	27.90	29.30	27.45	28.04	6820200	193569360.00
2009/03/04	28.00	29.20	27.87	29.05	8656100	249110752.00
2009/03/05	29.60	30.24	27.89	28.39	7702200	223374224.00
2009/03/06	27.85	29.35	27.79	28.94	4769100	136975872.00
2009/03/09	29.35	29.72	26.66	27.17	4784300	133931792.00
2009/03/10	26.80	27.98	26.70	27.74	2559000	70140200.00
2009/03/11	28.33	28.53	27.12	27.17	2931800	80910672.00
2009/03/12	26.00	27.45	25.28	27.22	9847300	257967552.00
2009/03/13	26.90	27.26	26.15	26.24	3689800	98608288.00
2009/03/16	25.43	26.18	24.90	25.91	5416900	137792656.00
2009/03/17	25.85	27.65	25.62	27.49	4820400	129408008.00
2009/03/18	28.18	28.18	26.75	27.39	3938500	107436136.00
2009/03/19	27.40	27.57	26.90	27.39	3258400	88641536.00
2009/03/20	27.43	27.43	26.20	26.86	3364400	89793208.00
2009/03/23	26.85	27.74	26.22	27.39	4884900	131499400.00
2009/03/24	27.59	28.80	27.36	27.91	6362400	178793344.00
2009/03/25	27.80	28.10	26.40	26.44	4234000	115732504.00
2009/03/26	26.25	26.58	24.90	26.17	8687500	222363040.00
2009/03/27	26.10	26.54	25.25	26.23	6405600	166641984.00
2009/03/30	26.20	27.27	25.88	25.92	3418800	90685688.00
2009/03/31	25.30	26.10	25.21	26.03	2480200	63667304.00
2009/04/01	26.22	26.46	25.65	25.89	4860100	125904392.00
2009/04/03	26.26	26.50	25.60	25.98	4987700	130265168.00
2009/04/07	26.01	26.38	25.72	26.36	3586700	93651624.00
2009/04/08	26.10	27.28	26.10	26.75	6405800	172418352.00
2009/04/09	26.83	29.38	26.83	29.12	11344500	324069344.00
2009/04/10	29.47	30.10	29.00	29.85	9893400	292466016.00
2009/04/13	30.00	30.76	29.30	29.59	7044600	211527952.00
2009/04/14	29.57	32.05	29.51	31.84	8244400	254929408.00
2009/04/15	31.54	31.72	30.38	31.38	3466100	107430632.00
2009/04/16	31.29	31.29	29.50	29.88	4438300	133488184.00
2009/04/17	29.90	29.95	27.68	28.47	6782500	192796688.00
2009/04/20	28.11	29.20	27.90	28.94	2620700	75516264.00
2009/04/21	28.55	28.99	28.01	28.78	1943300	55070248.00
2009/04/22	28.95	29.00	26.61	26.74	6968000	191453712.00
2009/04/23	26.66	27.59	26.50	27.15	2769500	74854712.00
2009/04/24	27.35	27.99	26.90	26.93	2712200	74430320.00
2009/04/27	26.93	27.18	25.09	25.41	3977000	103062872.00
2009/04/28	25.10	25.80	25.06	25.56	2522000	64296224.00
2009/04/29	25.62	26.50	25.62	26.08	4263000	111269168.00
2009/04/30	26.30	27.52	26.30	27.40	5092900	138822768.00
2009/05/04	27.65	28.28	27.38	27.92	3635000	101029784.00
2009/05/05	28.08	28.20	27.27	27.68	2693600	74260424.00
2009/05/06	27.48	28.33	27.28	27.98	6191700	170580400.00
2009/05/07	27.90	27.98	26.50	26.55	5737100	154677392.00
2009/05/11	26.55	26.99	25.30	25.36	5927700	154199488.00
2009/05/12	25.36	25.81	25.30	25.50	4121700	105086624.00
2009/05/13	25.50	25.80	24.80	24.92	9783100	244438768.00
2009/05/14	24.90	25.35	24.80	25.31	5235400	131250208.00
2009/05/15	25.50	25.86	25.40	25.78	5535900	141844384.00
2009/05/18	25.78	25.78	24.90	25.18	5755800	144414000.00
2009/05/19	25.44	25.49	24.86	25.07	8348000	208900208.00
2009/05/20	25.00	25.26	24.83	24.90	5462700	136261472.00
2009/05/21	24.89	25.15	24.20	24.40	5886500	144917344.00
2009/05/22	24.21	24.39	23.74	24.07	6367321	153089088.00
2009/05/25	23.57	24.45	22.89	24.42	5053593	119162416.00
2009/05/26	24.08	24.47	24.00	24.13	3595707	87170024.00
2009/05/27	24.29	24.33	23.50	23.63	2998751	71288616.00
2009/06/01	23.71	24.39	23.66	24.28	3669606	88509440.00
2009/06/02	24.28	24.68	24.12	24.59	4326913	105994320.00
2009/06/03	24.64	24.70	24.30	24.43	2945977	72073352.00
2009/06/04	24.36	25.00	23.80	24.96	8050779	195887248.00
2009/06/05	24.78	24.80	24.15	24.18	3864729	94762680.00
2009/06/08	24.10	24.18	22.95	23.23	5885599	138579968.00
2009/06/09	23.12	23.30	22.26	22.73	6050802	136813968.00
2009/06/10	22.80	24.20	22.61	23.78	7521448	177955648.00
2009/06/11	23.70	23.70	23.09	23.17	3758862	87719576.00
2009/06/12	23.17	23.70	22.94	23.06	2330159	54328028.00
2009/06/15	23.08	23.38	22.99	23.23	2014230	46574388.00
2009/06/16	23.01	23.47	23.00	23.14	2247033	52116312.00
2009/06/17	23.15	23.76	23.08	23.69	3027768	71118128.00
2009/06/18	23.71	25.30	23.71	24.78	8580354	212374816.00
2009/06/19	24.90	24.91	24.41	24.71	4690531	115654352.00
2009/06/22	24.90	25.08	24.38	24.46	4030086	99321784.00
2009/06/23	24.29	26.20	23.96	25.61	13924212	353727648.00
2009/06/24	25.64	27.51	25.44	27.37	12920267	345751680.00
2009/06/25	27.31	27.34	26.51	26.79	5632667	151536736.00
2009/06/26	26.80	26.99	26.21	26.71	4472217	118733136.00
2009/06/29	26.78	28.14	26.72	27.84	6635062	184175552.00
2009/07/01	27.29	27.70	26.84	27.39	4380993	118778184.00
2009/07/02	27.40	27.40	26.12	26.53	6242521	165964512.00
2009/07/03	26.40	26.75	25.68	25.72	5907871	153279968.00
2009/07/06	25.65	26.47	25.12	26.17	5545241	143853488.00
2009/07/07	26.04	26.44	25.30	26.24	6530125	169209392.00
2009/07/08	26.00	26.91	25.81	26.20	4994847	131866208.00
2009/07/09	26.35	27.25	26.35	26.93	7582381	204235984.00
2009/07/10	27.02	27.98	26.99	27.38	6200868	170309088.00
2009/07/13	27.40	28.25	27.20	28.09	6355838	177809456.00
2009/07/14	28.27	28.28	27.60	27.98	4324191	120755872.00
2009/07/15	28.17	28.99	28.17	28.87	5368978	153473920.00
2009/07/16	30.31	30.78	28.86	29.05	13240580	394082528.00
2009/07/17	28.97	29.12	27.60	28.15	9902800	280009184.00
2009/07/20	28.15	28.70	27.98	28.51	7234007	204928512.00
2009/07/21	28.50	28.63	27.31	27.37	8686620	241315872.00
2009/07/22	27.33	27.84	27.08	27.39	8022837	219766992.00
2009/07/23	27.37	27.39	26.62	26.93	10037979	270482688.00
2009/07/24	27.05	27.33	26.45	26.87	10504407	282970880.00
2009/07/27	27.16	28.34	27.15	28.15	11653599	325607904.00
2009/07/28	28.38	28.57	27.76	28.11	7574814	212509616.00
2009/07/29	28.13	28.30	25.88	26.51	8915037	243876928.00
2009/07/30	26.72	27.10	25.68	26.39	5633088	148397312.00
2009/07/31	26.62	28.03	26.41	27.92	8776137	239716448.00
2009/08/03	28.12	28.89	27.91	28.02	7918374	224309456.00
2009/08/04	28.18	28.30	27.36	28.00	6339298	175732688.00
2009/08/05	28.10	29.00	28.03	28.61	9419514	269515040.00
2009/08/06	28.50	28.58	27.41	27.89	8254365	230247344.00
2009/08/07	27.98	28.46	27.41	27.45	6519878	181350096.00
2009/08/10	27.90	28.80	27.70	28.66	10103303	285741664.00
2009/08/11	28.77	29.40	28.40	28.50	7258532	209575920.00
2009/08/12	28.40	28.40	27.05	27.10	6524577	180024176.00
2009/08/13	27.20	27.85	27.13	27.39	3943557	108112240.00
2009/08/14	27.35	27.38	26.00	26.21	6137434	162985616.00
2009/08/17	25.84	26.77	25.40	25.42	5785742	151028048.00
2009/08/18	25.70	26.47	24.52	26.42	4958020	126151744.00
2009/08/19	26.18	27.08	25.98	26.15	7057859	186387600.00
2009/08/20	25.00	26.44	24.52	26.18	9990220	254806096.00
2009/08/21	26.22	27.19	26.21	26.60	9019355	240761040.00
2009/08/24	26.60	26.75	25.83	26.35	9157449	240313088.00
2009/08/25	26.23	26.23	24.64	25.03	6723032	170324288.00
2009/08/26	25.05	26.07	24.85	25.66	5967183	152784672.00
2009/08/27	25.64	26.18	25.41	25.68	4749099	122755104.00
2009/08/28	25.68	25.97	24.84	24.97	3680878	92401720.00
2009/08/31	24.71	24.74	22.56	22.61	5762176	135426208.00
2009/09/01	22.43	23.11	22.32	22.63	3250937	73914096.00
2009/09/02	22.49	23.02	22.30	22.75	3643120	82412384.00
2009/09/03	22.75	23.86	22.55	23.78	5522220	128889752.00
2009/09/04	23.60	24.08	23.50	23.78	3986537	94868464.00
2009/09/07	24.00	24.18	23.64	23.80	5536498	132588400.00
2009/09/09	24.48	24.93	24.38	24.79	8682921	214673728.00
2009/09/10	24.50	25.53	24.49	25.29	8538790	214316064.00
2009/09/11	25.28	25.42	24.84	25.34	5717378	143959776.00
2009/09/14	25.65	25.77	25.40	25.64	5742340	146901008.00
2009/09/15	25.83	25.83	25.43	25.57	5157559	132248000.00
2009/09/16	25.63	25.85	25.11	25.40	5216341	132774400.00
2009/09/17	25.57	25.84	25.45	25.69	4637600	119076120.00
2009/09/18	25.80	25.87	24.13	24.47	6291031	157920992.00
2009/09/21	24.20	24.67	23.88	24.65	3417843	82880520.00
2009/09/22	24.58	24.96	24.25	24.27	2720365	67034656.00
2009/09/23	24.15	24.40	23.66	23.67	2864193	68872488.00
2009/09/24	23.68	24.14	22.97	23.83	3021936	71279104.00
2009/09/25	23.80	24.19	23.56	23.82	2391872	57091872.00
2009/09/28	23.88	24.20	23.21	23.34	1721282	40938968.00
2009/09/29	23.68	23.68	22.78	23.36	1904209	44197480.00
2009/09/30	23.52	23.90	23.45	23.71	2035369	48235728.00
