600470 六国化工 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.77	6.84	6.60	6.69	4860200	32693204.00
2009/01/09	6.69	6.99	6.67	6.94	4940600	33974464.00
2009/01/12	6.89	7.35	6.88	7.20	9038000	64778448.00
2009/01/13	7.09	7.25	6.88	6.91	7468700	52716320.00
2009/01/14	6.90	7.25	6.89	7.24	6692500	47638456.00
2009/01/15	7.15	7.43	7.09	7.31	11095100	81058664.00
2009/01/16	7.38	7.50	7.26	7.32	9223300	68314112.00
2009/01/19	7.36	7.57	7.30	7.47	8261600	61452244.00
2009/01/20	7.46	7.47	7.23	7.44	5902400	43445500.00
2009/01/21	7.31	7.81	7.29	7.62	12327600	93957992.00
2009/01/22	7.74	8.10	7.58	8.02	16006100	125618600.00
2009/01/23	8.10	8.26	7.93	8.24	17163400	138777008.00
2009/02/02	8.48	8.80	8.10	8.79	18989900	160660784.00
2009/02/03	8.60	8.97	8.56	8.80	21679600	190213200.00
2009/02/04	8.86	9.07	8.75	8.95	19604800	174443456.00
2009/02/05	8.98	8.98	8.46	8.53	24072000	208784416.00
2009/02/06	8.57	8.92	8.56	8.87	16402600	143709120.00
2009/02/09	8.95	9.69	8.76	9.61	24285100	221175120.00
2009/02/10	9.38	10.10	9.18	10.02	22120800	212648048.00
2009/02/11	9.77	10.40	9.69	10.18	24412100	245159776.00
2009/02/12	10.17	10.42	9.78	10.28	15298300	154443536.00
2009/02/13	10.23	10.54	10.13	10.41	16961800	176417408.00
2009/02/16	10.41	10.89	10.00	10.40	17028100	175977232.00
2009/02/17	10.28	10.28	9.69	9.75	14201000	141238288.00
2009/02/18	9.60	10.12	9.51	9.78	12645400	123907384.00
2009/02/19	9.88	10.08	9.53	9.80	9334000	91572464.00
2009/02/20	9.88	10.03	9.71	10.00	12070800	119523688.00
2009/02/23	9.97	10.37	9.80	10.29	14096000	142675120.00
2009/02/24	10.10	10.28	9.70	9.76	13257900	132943632.00
2009/02/25	9.90	9.97	9.41	9.78	8179800	79541184.00
2009/02/26	9.73	9.91	8.80	8.80	8743500	81596728.00
2009/02/27	8.69	8.80	8.00	8.06	8269900	68454712.00
2009/03/02	8.01	8.34	7.93	8.25	5127000	42115516.00
2009/03/03	8.00	8.58	7.90	8.44	6953400	57778600.00
2009/03/04	8.54	9.17	8.48	9.08	8453000	74682000.00
2009/03/05	9.20	9.62	9.03	9.46	13460500	126042272.00
2009/03/06	9.25	9.47	9.18	9.24	5780100	53820800.00
2009/03/09	9.29	9.48	8.71	8.74	5611700	51019724.00
2009/03/10	8.60	8.95	8.52	8.93	4029200	35288204.00
2009/03/11	9.11	9.16	8.75	8.77	4406200	39669128.00
2009/03/12	8.82	9.19	8.67	9.16	5436100	48690716.00
2009/03/13	9.16	9.25	8.91	8.92	4564000	41468720.00
2009/03/16	8.90	9.14	8.82	9.11	3694900	33266978.00
2009/03/17	9.03	9.50	9.03	9.48	6472000	60348168.00
2009/03/18	9.47	9.76	9.42	9.50	7334200	70479688.00
2009/03/19	9.45	9.84	9.45	9.80	6973100	67717352.00
2009/03/20	9.79	10.30	9.63	10.11	14841700	149758864.00
2009/03/23	9.70	10.27	9.40	10.00	30461900	297996960.00
2009/03/24	9.97	9.98	9.68	9.71	16876800	165868576.00
2009/03/25	9.61	9.80	9.24	9.25	9497300	90935984.00
2009/03/26	9.25	9.50	9.08	9.48	7367900	68547400.00
2009/03/27	9.48	9.50	9.25	9.35	9277500	86680024.00
2009/03/30	9.33	9.57	9.33	9.55	6493700	61283348.00
2009/03/31	9.46	9.53	9.21	9.47	5659500	53111100.00
2009/04/01	9.54	9.85	9.50	9.75	11142000	108227296.00
2009/04/02	9.75	10.46	9.67	10.21	26456600	268624736.00
2009/04/03	10.27	10.36	9.92	10.18	23348200	238152368.00
2009/04/07	10.11	10.26	9.98	10.10	9272600	93266296.00
2009/04/08	10.09	10.09	9.30	9.36	11057600	106999440.00
2009/04/09	9.30	9.49	9.10	9.35	8204300	76291008.00
2009/04/13	9.62	9.78	9.44	9.48	10133900	97079808.00
2009/04/14	9.47	9.70	9.36	9.69	7886500	75339480.00
2009/04/15	9.71	9.72	9.44	9.62	8394500	80446712.00
2009/04/16	9.67	10.00	9.67	9.96	13222100	130321696.00
2009/04/17	9.91	9.93	9.52	9.56	8024200	77707056.00
2009/04/20	9.50	9.90	9.47	9.89	7752900	75550704.00
2009/04/21	9.74	10.10	9.66	10.07	11749100	116580080.00
2009/04/22	10.21	10.38	9.43	9.52	16493800	165424144.00
2009/04/23	9.35	9.38	8.97	9.22	11802500	107829352.00
2009/04/24	9.15	9.28	9.00	9.02	5388200	49049668.00
2009/04/27	9.10	9.11	8.71	8.72	4408700	39187140.00
2009/04/28	8.72	8.93	8.70	8.87	3092400	27288304.00
2009/04/29	8.81	9.08	8.80	9.07	4120900	36977468.00
2009/04/30	9.08	9.29	8.98	9.14	5199200	47369832.00
2009/05/04	9.11	9.40	9.11	9.39	5653800	52586020.00
2009/05/05	9.43	9.47	9.29	9.37	6417200	60067656.00
2009/05/06	9.37	9.64	9.28	9.60	8568500	81178192.00
2009/05/07	9.67	9.91	9.30	9.87	14387500	139251952.00
2009/05/08	9.86	9.97	9.66	9.84	12402700	122101720.00
2009/05/11	9.90	10.15	9.55	9.67	12012500	117934688.00
2009/05/12	9.56	9.90	9.46	9.89	10475400	101853096.00
2009/05/13	9.97	10.27	9.94	10.15	19870900	200646544.00
2009/05/14	10.14	10.28	9.82	10.12	14054600	141680816.00
2009/05/15	10.11	10.26	9.95	10.09	9253500	93325952.00
2009/05/18	10.08	10.40	9.75	10.38	20078200	204754624.00
2009/05/19	10.45	10.55	10.25	10.31	21560700	224102928.00
2009/05/20	10.30	10.50	9.97	10.32	21342700	217062048.00
2009/05/21	10.18	10.83	10.08	10.80	27604200	289741248.00
2009/05/22	10.60	10.90	10.42	10.64	17107656	182061776.00
2009/05/25	10.33	10.81	10.08	10.64	12590865	131482424.00
2009/05/26	10.68	10.70	10.01	10.04	13186755	137022976.00
2009/05/27	10.10	10.20	9.82	9.90	9316247	92681392.00
2009/06/01	10.05	10.23	9.95	10.10	8290284	83730256.00
2009/06/02	10.09	10.70	9.98	10.55	16461919	171893792.00
2009/06/03	10.50	10.74	10.39	10.66	13497388	143077424.00
2009/06/04	10.66	10.66	10.20	10.23	9871702	102188864.00
2009/06/05	10.29	10.36	10.01	10.03	8558650	86942368.00
2009/06/08	9.98	10.21	9.84	9.99	5895734	59002828.00
2009/06/09	9.92	10.03	9.62	9.83	7070132	69211392.00
2009/06/10	9.89	9.95	9.73	9.94	7482899	73727768.00
2009/06/11	9.93	9.93	9.72	9.74	7165889	70356072.00
2009/06/12	9.80	9.80	9.26	9.37	9522273	90512136.00
2009/06/15	9.37	9.46	9.29	9.45	6527967	61011872.00
2009/06/16	9.39	9.56	9.31	9.52	4783876	45116488.00
2009/06/17	9.48	9.60	9.38	9.58	4507369	42783876.00
2009/06/18	9.62	9.62	9.48	9.53	5850309	55769264.00
2009/06/19	9.52	9.62	9.45	9.53	4754145	45256172.00
2009/06/22	9.60	9.64	9.48	9.50	5833654	55852240.00
2009/06/23	9.55	9.79	9.55	9.61	8368555	80859432.00
2009/06/24	9.54	9.69	9.50	9.67	5092281	49000180.00
2009/06/25	9.66	9.67	9.38	9.46	6536550	62229312.00
2009/06/26	9.45	9.50	9.36	9.41	4773933	44919148.00
2009/06/29	9.42	9.47	9.32	9.43	4080889	38277200.00
2009/06/30	9.43	9.43	9.21	9.23	4947823	46084432.00
2009/07/01	9.23	9.38	9.23	9.34	3558701	33149962.00
2009/07/02	9.36	9.43	9.24	9.43	6499677	60537400.00
2009/07/03	9.37	9.40	9.27	9.36	5330736	49747372.00
2009/07/06	9.40	9.59	9.36	9.56	8804665	83558016.00
2009/07/07	9.49	9.71	9.43	9.61	9119699	87346496.00
2009/07/08	9.56	9.64	9.46	9.58	6062185	57846840.00
2009/07/09	9.62	9.87	9.53	9.80	11033617	106941560.00
2009/07/10	9.77	10.20	9.77	10.07	18062261	181369280.00
2009/07/13	10.10	10.20	9.93	9.94	11396714	114615984.00
2009/07/14	9.96	10.12	9.91	10.08	8294204	83095584.00
2009/07/15	10.08	10.16	9.99	10.09	10420999	104916512.00
2009/07/16	10.17	10.36	10.01	10.10	11275703	115052088.00
2009/07/17	10.10	10.16	9.92	10.06	9609315	96394792.00
2009/07/20	10.07	10.44	10.07	10.41	17276096	178724976.00
2009/07/21	10.43	10.63	10.11	10.15	14095881	146114144.00
2009/07/22	10.15	11.17	10.13	11.17	31845291	344420320.00
2009/07/23	11.55	12.05	11.17	11.46	46798584	539801024.00
2009/07/24	11.37	11.75	11.09	11.60	24039669	274810112.00
2009/07/27	11.52	12.26	11.35	12.00	26295111	310132064.00
2009/07/28	12.08	12.10	11.65	11.83	17045976	202116720.00
2009/07/29	11.83	11.83	10.65	10.65	16920712	189268128.00
2009/07/30	10.70	11.06	10.37	10.90	15041629	161628048.00
2009/07/31	11.01	11.25	10.82	11.22	13692134	151606176.00
2009/08/03	11.24	11.87	11.24	11.83	17666419	205765344.00
2009/08/04	11.83	12.60	11.83	11.92	24848398	303981888.00
2009/08/05	11.89	12.15	11.50	12.01	15120882	179132528.00
2009/08/06	11.90	12.52	11.65	12.32	18293791	221245136.00
2009/08/07	12.22	13.36	12.20	12.54	25948731	331765184.00
2009/08/10	12.40	12.88	11.60	12.11	16180453	198599920.00
2009/08/11	12.15	12.15	11.62	11.83	7937444	93791928.00
2009/08/12	11.78	11.78	10.82	10.89	11045397	122974640.00
2009/08/13	11.00	11.15	10.80	10.96	5920683	65057200.00
2009/08/14	10.87	11.06	10.38	10.43	6503412	69465344.00
2009/08/17	10.25	10.62	10.09	10.13	9197140	95272096.00
2009/08/18	10.12	11.14	10.10	10.92	9761253	103980232.00
2009/08/19	10.75	11.19	10.10	10.45	9000602	95943776.00
2009/08/20	10.45	10.90	10.20	10.87	7282260	77811808.00
2009/08/21	10.75	11.44	10.68	11.34	11487714	127274928.00
2009/08/24	11.27	11.64	11.00	11.25	13006567	146885936.00
2009/08/25	11.07	11.08	10.30	10.58	10422007	111069600.00
2009/08/26	10.44	11.07	10.40	10.80	7307263	79085160.00
2009/08/27	10.80	11.15	10.63	11.04	8146596	89249120.00
2009/08/28	10.90	10.99	10.44	10.52	6313311	67123928.00
2009/08/31	10.40	10.40	9.47	9.47	8377179	81173272.00
2009/09/01	9.29	9.41	9.01	9.12	4716528	43420232.00
2009/09/03	9.33	9.69	9.13	9.66	6393784	60454692.00
2009/09/04	9.60	9.85	9.50	9.76	5817015	56468124.00
2009/09/07	9.82	9.97	9.67	9.79	6116419	59986228.00
2009/09/08	9.74	10.03	9.48	9.96	6444872	63411228.00
2009/09/09	9.87	10.07	9.80	10.05	5781722	57410352.00
2009/09/10	9.98	10.00	9.69	9.76	4924933	48393248.00
2009/09/11	9.68	10.05	9.62	9.95	4869556	48304728.00
2009/09/14	9.99	10.36	9.90	10.29	7571576	76989584.00
2009/09/15	10.29	10.50	10.10	10.37	8324172	86008360.00
2009/09/16	10.37	10.40	10.16	10.31	4921309	50622740.00
2009/09/17	10.29	10.80	10.28	10.78	7010605	74035032.00
2009/09/18	10.71	10.92	10.20	10.30	7440358	78960608.00
2009/09/21	10.00	10.30	9.80	10.27	4708008	47098596.00
2009/09/22	10.13	10.30	9.82	9.83	3782109	38143388.00
2009/09/23	9.81	9.94	9.36	9.57	3966785	38166564.00
2009/09/24	9.44	9.70	9.30	9.51	2503189	23778516.00
2009/09/25	9.47	9.68	9.40	9.52	2161296	20604956.00
2009/09/28	9.58	9.62	9.10	9.18	2291085	21548778.00
2009/09/29	9.28	9.28	8.86	8.95	2336185	21076214.00
2009/09/30	9.00	9.17	9.00	9.11	1561417	14199300.00
2009/10/09	9.25	9.57	9.22	9.53	2273428	21481656.00
2009/10/12	9.48	9.68	9.38	9.55	2153436	20498888.00
2009/10/13	9.48	9.80	9.46	9.66	2031357	19578384.00
2009/10/14	9.78	9.83	9.61	9.69	3489428	33951744.00
2009/10/15	9.80	9.93	9.69	9.74	3252507	31916558.00
2009/10/16	9.80	9.81	9.51	9.64	2386366	22974668.00
2009/10/19	9.72	9.92	9.61	9.91	4265537	41832252.00
2009/10/20	9.93	10.23	9.85	10.18	5269879	53009380.00
2009/10/21	10.17	10.43	10.01	10.20	7760981	79656368.00
2009/10/22	10.26	10.94	10.16	10.80	15053981	159848304.00
2009/10/23	10.90	11.50	10.89	11.34	21250529	238682768.00
2009/10/26	11.44	11.44	10.88	11.14	11253666	124625456.00
2009/10/27	11.05	11.05	10.58	10.61	7552503	81802056.00
2009/10/28	10.50	10.99	10.48	10.95	5531438	59454752.00
2009/10/29	10.78	10.85	10.61	10.71	5169348	55465072.00
2009/10/30	10.90	11.25	10.75	10.89	8554860	94564376.00
