600526 菲达环保 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	9.31	9.78	9.26	9.60	4925900	47226676.00
2009/01/09	9.53	10.12	9.50	9.93	5354600	52321600.00
2009/01/12	9.79	10.03	9.71	9.73	4251900	41889772.00
2009/01/13	9.62	9.62	9.11	9.27	3426500	32118796.00
2009/01/14	9.15	9.59	9.15	9.58	2572100	24274496.00
2009/01/15	9.39	10.08	9.39	9.95	5966200	58830196.00
2009/01/16	9.87	10.35	9.87	10.15	7721800	78042472.00
2009/01/19	10.11	10.56	10.00	10.26	5910500	60654584.00
2009/01/20	10.23	10.80	10.20	10.54	9514400	100231320.00
2009/01/21	10.44	10.87	10.00	10.75	9788200	102509080.00
2009/01/22	10.77	11.83	10.77	11.35	16928000	193923904.00
2009/01/23	11.20	11.20	10.22	10.22	13640800	143771360.00
2009/02/02	10.30	10.43	10.06	10.40	4512200	46461676.00
2009/02/03	10.40	10.63	10.38	10.60	7529800	79337128.00
2009/02/04	10.63	10.94	10.52	10.92	7541000	81134112.00
2009/02/05	10.92	10.98	10.70	10.77	7681600	83137248.00
2009/02/06	10.70	11.35	10.69	11.25	8517700	94513120.00
2009/02/09	11.34	11.50	11.12	11.39	7915500	89231928.00
2009/02/10	11.34	11.85	11.08	11.81	9224600	105396304.00
2009/02/11	11.66	12.60	11.51	11.85	11804400	141433168.00
2009/02/12	11.85	11.90	11.16	11.45	5773100	66212476.00
2009/02/13	11.45	12.40	11.40	11.89	7103800	84936552.00
2009/02/16	11.95	12.08	11.60	11.93	5319500	62983360.00
2009/02/17	11.92	12.45	11.80	11.85	7614100	92673768.00
2009/02/18	11.79	12.34	11.51	12.10	8258200	99731520.00
2009/02/19	12.29	12.79	12.11	12.22	9570800	118904640.00
2009/02/20	12.13	12.59	11.69	12.57	6799900	83012416.00
2009/02/23	12.50	13.04	12.36	12.93	7908600	101230032.00
2009/02/24	12.80	12.88	12.13	12.22	6670700	83324064.00
2009/02/25	12.50	12.53	11.64	12.16	4535300	54659020.00
2009/02/26	12.06	12.30	10.94	11.03	4619900	53266236.00
2009/02/27	10.88	11.12	10.05	10.38	4027600	42570928.00
2009/03/02	10.25	10.84	10.25	10.81	3291300	34974760.00
2009/03/03	10.47	11.06	10.40	10.96	3376500	36582484.00
2009/03/04	11.05	11.51	10.91	11.44	5004600	56349664.00
2009/03/05	11.46	11.58	10.96	11.26	5096500	57674516.00
2009/03/06	10.98	11.10	10.80	10.95	2549500	27926414.00
2009/03/09	11.08	11.10	10.45	10.50	2769000	29665130.00
2009/03/10	10.33	10.73	10.25	10.71	1919500	20145990.00
2009/03/11	10.88	11.02	10.46	10.98	2916400	31332118.00
