600560 金自天正 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	8.45	8.51	8.25	8.31	1255900	10530204.00
2009/01/09	8.39	8.80	8.31	8.79	2068300	17872404.00
2009/01/12	8.90	8.93	8.70	8.72	1853800	16359262.00
2009/01/13	8.68	8.70	8.32	8.44	1507600	12858624.00
2009/01/14	8.48	8.90	8.41	8.86	1407400	12316544.00
2009/01/15	8.80	8.96	8.62	8.81	1473300	12986437.00
2009/01/16	8.85	9.05	8.79	8.83	1665900	14849311.00
2009/01/20	8.85	8.98	8.66	8.93	1075900	9520999.00
2009/01/21	8.87	9.06	8.77	8.96	1161100	10396436.00
2009/01/22	8.96	9.06	8.90	9.03	1136800	10218030.00
2009/01/23	9.02	9.05	8.85	8.87	929800	8291241.00
2009/02/02	8.97	9.01	8.87	8.99	1069300	9550772.00
2009/02/03	9.00	9.28	8.95	9.23	1574200	14433858.00
2009/02/04	9.25	9.29	9.15	9.26	1395800	12877388.00
2009/02/05	9.29	9.50	9.06	9.15	2038900	18999666.00
2009/02/06	9.20	9.47	9.16	9.43	1501100	14051616.00
2009/02/09	9.45	9.83	9.40	9.67	2098200	20104134.00
2009/02/10	9.64	9.79	9.48	9.78	1707600	16389277.00
2009/02/11	9.67	10.28	9.60	10.02	3022100	30492898.00
2009/02/12	10.02	10.18	9.67	10.14	1827900	18150202.00
2009/02/13	10.15	10.62	10.15	10.50	2355400	24522380.00
2009/02/16	10.63	10.70	10.15	10.51	2391300	24816366.00
2009/02/17	10.50	10.50	9.98	9.99	2009000	20408424.00
2009/02/18	9.85	10.13	9.73	9.76	1750600	17395088.00
2009/02/19	9.82	10.12	9.80	9.97	1166200	11598458.00
2009/02/20	10.03	10.41	9.94	10.40	1692200	17339726.00
2009/02/23	10.39	10.75	10.34	10.67	1978000	20916538.00
2009/02/24	10.55	10.67	10.00	10.15	2142400	22299194.00
2009/02/25	10.20	10.50	9.99	10.37	1777100	18246544.00
2009/02/26	10.38	11.20	10.00	10.20	4638600	49819356.00
2009/02/27	9.98	10.15	9.18	9.19	3221200	30427044.00
2009/03/02	9.13	9.41	8.80	9.36	1282500	11756415.00
2009/03/03	9.02	9.59	9.02	9.44	1365900	12742548.00
2009/03/04	9.49	10.18	9.45	10.07	1978100	19442540.00
2009/03/05	10.14	10.74	10.07	10.35	2357900	24335666.00
2009/03/06	10.23	10.94	10.10	10.74	2810800	29822170.00
2009/03/09	10.78	11.00	10.31	10.37	3187300	34264480.00
2009/03/10	10.35	11.15	10.32	11.12	2304000	24691274.00
2009/03/11	11.35	11.40	10.66	10.86	2851300	31616672.00
2009/03/12	10.93	11.15	10.41	11.09	2741300	29419186.00
2009/03/13	11.11	11.32	10.79	10.85	2335000	25715856.00
2009/03/16	10.71	10.95	10.50	10.88	992400	10635669.00
2009/03/17	10.88	11.17	10.70	11.08	1729900	19092442.00
2009/03/18	11.14	11.62	11.03	11.16	3515100	39888600.00
2009/03/19	11.06	11.58	11.06	11.45	2154100	24536766.00
2009/03/20	11.39	11.53	11.09	11.33	1699500	19203540.00
2009/03/23	11.30	11.70	11.28	11.55	1804200	20797752.00
2009/03/24	11.61	11.67	11.32	11.37	1803100	20654728.00
2009/03/25	11.32	11.64	11.26	11.37	1230500	14063593.00
2009/03/26	11.45	11.53	11.10	11.41	1502700	17037294.00
2009/03/27	11.52	11.80	11.33	11.61	2187900	25212372.00
2009/03/30	11.70	12.33	11.50	12.03	2982400	35875948.00
2009/03/31	11.90	12.30	11.68	12.21	1734900	20620284.00
2009/04/01	12.18	12.64	12.00	12.45	2053100	25450018.00
2009/04/02	12.55	12.55	11.96	12.06	2960700	36001540.00
2009/04/03	11.80	11.81	11.35	11.45	5343100	61698644.00
2009/04/07	11.59	11.72	11.45	11.66	2291300	26596092.00
2009/04/08	11.65	11.65	11.01	11.06	3319000	37269172.00
2009/04/09	11.05	11.31	11.00	11.30	1623800	18043040.00
2009/04/10	11.36	11.60	11.26	11.59	2488700	28584756.00
2009/04/13	11.70	11.72	11.41	11.60	2821000	32618132.00
2009/04/14	11.61	11.77	11.40	11.70	3336700	38608108.00
2009/04/15	11.67	12.20	11.57	12.13	4904000	58706776.00
2009/04/16	12.09	12.29	11.76	12.14	3694700	44491448.00
2009/04/17	12.10	12.11	11.63	11.69	2651400	31268126.00
2009/04/20	11.65	12.08	11.60	11.91	2747900	32762680.00
2009/04/21	11.82	12.25	11.74	12.20	3139000	37535036.00
2009/04/22	12.27	12.75	11.66	11.76	4677700	57478348.00
2009/04/23	11.60	11.70	11.20	11.42	2373000	27164366.00
2009/04/24	11.42	11.73	11.42	11.47	1570900	18202056.00
2009/04/27	11.35	11.58	10.84	10.88	1909700	21071904.00
2009/04/29	11.01	11.47	11.01	11.46	1814400	20598330.00
2009/04/30	11.50	11.65	11.35	11.50	1479400	17036986.00
2009/05/04	11.50	11.95	11.43	11.85	1740200	20417816.00
2009/05/05	11.85	11.95	11.69	11.83	1626000	19234746.00
2009/05/06	11.82	12.29	11.80	12.27	2816300	34089056.00
