600612 老凤祥 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	7.80	8.22	7.64	7.72	2478700	19613430.00
2009/01/09	7.75	7.90	7.69	7.88	1846000	14428163.00
2009/01/12	7.98	8.50	7.89	8.31	4142700	34253900.00
2009/01/13	8.18	8.28	8.01	8.03	2469600	20060560.00
2009/01/14	7.94	8.41	7.94	8.36	2271000	18739908.00
2009/01/15	8.29	8.70	8.21	8.59	3250200	27506672.00
2009/01/16	8.63	9.45	8.63	9.03	9975000	92333664.00
2009/01/19	8.91	9.15	8.74	8.79	3152300	28001128.00
2009/01/20	8.74	9.12	8.72	9.00	2274500	20392504.00
2009/01/21	8.85	9.09	8.75	8.84	2003500	17820326.00
2009/01/22	8.88	8.98	8.80	8.90	1724300	15325123.00
2009/01/23	8.73	8.73	8.42	8.45	4017600	34371564.00
2009/02/02	8.58	8.81	8.37	8.80	3356700	28903986.00
2009/02/03	8.74	9.64	8.71	9.40	7953300	74006720.00
2009/02/04	9.50	10.34	9.50	10.34	11797900	118442568.00
2009/02/05	10.20	10.21	9.77	9.90	6593000	65865604.00
2009/02/06	9.92	10.47	9.92	10.37	6444200	66017232.00
2009/02/09	10.70	11.33	10.00	11.20	7247600	79035808.00
2009/02/10	10.98	11.24	10.58	11.14	4897500	53757984.00
2009/02/11	11.01	11.54	10.71	11.29	5790000	64781664.00
2009/02/12	11.46	11.66	10.92	11.19	4894600	55394036.00
2009/02/13	11.10	11.51	10.85	11.48	5045700	57030724.00
2009/02/16	11.68	12.09	11.30	11.51	5709900	66628056.00
2009/02/17	11.45	11.94	10.85	11.71	8058900	92256504.00
2009/02/18	11.40	11.69	10.88	10.91	2933000	33047178.00
2009/02/19	10.92	11.18	10.53	10.67	3480600	37497336.00
2009/02/20	10.69	11.48	10.65	11.44	4205400	46422040.00
2009/02/23	11.65	12.53	11.61	12.25	6061700	73262672.00
2009/02/24	12.18	12.69	12.05	12.22	6391700	78807472.00
2009/02/25	12.10	12.90	11.87	12.86	6749900	83762744.00
2009/02/26	13.02	13.51	11.57	11.62	5928400	75708408.00
2009/02/27	11.05	11.60	10.46	10.46	4540900	49514128.00
2009/03/02	10.15	10.77	10.10	10.75	2618500	27723020.00
2009/03/03	10.45	10.76	10.33	10.62	1669000	17637648.00
2009/03/04	10.71	11.54	10.53	11.44	7242000	79722224.00
2009/03/05	11.30	11.47	10.94	11.15	5848300	65835100.00
2009/03/06	11.02	11.74	10.90	11.41	4832800	55357532.00
2009/03/09	11.39	11.63	10.50	10.53	3027400	33409434.00
2009/03/10	10.35	10.77	10.11	10.76	1693200	17751368.00
2009/03/11	10.97	11.26	10.72	10.86	2186200	24045620.00
2009/03/12	10.70	10.90	10.18	10.60	2427400	25313208.00
2009/03/13	10.64	10.74	10.32	10.35	1653800	17360460.00
2009/03/16	10.35	10.59	10.30	10.54	1410000	14735787.00
2009/03/17	10.58	10.94	10.43	10.89	2376900	25576296.00
2009/03/18	10.95	11.39	10.86	11.15	3418700	38382460.00
2009/03/19	11.16	11.60	11.16	11.45	3004200	34372828.00
2009/03/20	11.80	12.26	11.37	12.03	5729400	67769536.00
2009/03/23	11.96	12.65	11.71	12.19	5409300	66199292.00
2009/03/24	12.18	12.19	11.77	11.90	4678000	55676548.00
2009/03/25	11.80	12.19	11.66	11.69	2602800	31035030.00
2009/03/26	11.68	12.15	11.68	11.91	2975900	35478508.00
2009/03/27	12.07	12.10	11.78	11.85	2266200	27031318.00
2009/03/30	11.95	11.99	11.68	11.91	2126700	25125620.00
2009/03/31	11.70	11.99	11.40	11.89	2102700	24764190.00
2009/04/01	11.96	12.26	11.90	12.09	3607400	43787956.00
2009/04/02	12.09	12.36	11.77	11.84	3833800	46335140.00
2009/04/03	11.80	11.90	11.52	11.59	3056800	35686208.00
2009/04/07	11.54	12.75	11.54	12.75	7707900	94780528.00
2009/04/08	12.74	13.18	12.18	12.79	8826200	113265744.00
2009/04/09	12.78	13.40	12.45	13.36	5018100	64798432.00
2009/04/10	13.36	13.48	12.92	13.26	6069500	80074248.00
2009/04/13	13.29	13.60	13.00	13.24	4503700	59627260.00
2009/04/14	13.10	13.25	12.82	13.11	3362100	43865952.00
2009/04/15	13.15	14.25	13.10	13.92	6809800	93452680.00
2009/04/16	13.80	14.10	13.62	13.74	3661700	50530436.00
2009/04/17	13.75	13.75	13.14	13.34	4123600	55247352.00
2009/04/20	13.25	13.98	13.25	13.93	3855100	52927256.00
2009/04/21	13.62	14.44	13.60	14.41	5483000	78000256.00
2009/04/22	14.40	14.87	13.94	14.06	5056200	72165512.00
2009/04/23	13.88	14.20	13.60	14.18	2759700	38475556.00
2009/04/24	14.35	14.59	14.10	14.19	2774400	39843736.00
2009/04/27	14.21	14.45	13.21	13.25	2507000	34479576.00
2009/04/28	13.30	14.30	13.21	13.99	4222300	57635352.00
2009/04/29	13.75	14.40	13.75	14.15	1966900	27880292.00
2009/04/30	14.16	15.36	14.16	14.85	3435800	51014552.00
2009/05/04	14.78	15.61	14.77	15.31	2477700	37644356.00
2009/05/05	15.40	15.49	15.13	15.28	1579800	24120558.00
2009/05/06	15.26	15.88	15.18	15.38	2689200	41836032.00
2009/05/07	15.69	16.92	15.65	16.92	10137200	166156592.00
2009/06/05	18.61	18.61	18.60	18.61	8110391	150933776.00
2009/06/08	19.17	20.25	18.35	18.59	14046899	270644864.00
2009/06/09	18.38	18.38	16.73	17.38	9973353	173036112.00
2009/06/10	17.26	17.34	16.70	17.12	5277802	89750320.00
2009/06/11	17.00	17.85	16.86	17.18	4939347	86047120.00
2009/06/15	16.97	16.97	16.38	16.68	3200041	53032860.00
2009/06/16	16.67	18.15	16.38	17.65	5239311	91557424.00
2009/06/17	17.48	18.10	17.16	17.53	5410648	95760040.00
2009/06/18	17.58	17.79	17.22	17.26	3320711	57677440.00
2009/06/19	17.13	17.57	17.12	17.41	3282833	56800140.00
2009/06/22	17.58	17.85	17.28	17.39	2761388	48382564.00
2009/06/23	17.10	17.10	16.78	16.86	2397598	40552592.00
2009/06/24	16.95	17.20	16.82	17.19	2116307	36045192.00
2009/06/25	17.19	17.36	17.03	17.25	1879271	32248074.00
2009/06/26	17.26	17.45	17.08	17.34	2154166	37274108.00
2009/06/29	17.34	17.38	17.08	17.25	2430326	41759096.00
2009/06/30	17.25	17.77	17.11	17.58	3565385	62522928.00
2009/07/01	17.44	17.84	17.25	17.42	2966686	52031544.00
2009/07/02	17.59	17.59	17.00	17.20	4635978	79744392.00
2009/07/03	17.49	18.85	17.35	18.20	8954292	163648976.00
2009/07/06	17.86	18.52	17.68	18.22	4842592	87804936.00
2009/07/07	18.09	18.10	17.65	17.72	4395472	78137424.00
2009/07/08	17.58	17.65	17.38	17.56	3201398	55937268.00
2009/07/09	17.56	17.88	17.50	17.77	2308421	40813848.00
2009/07/10	17.81	18.20	17.61	18.08	3945625	70920408.00
2009/07/13	17.91	18.48	17.90	18.14	3902635	71282376.00
2009/07/14	18.18	18.50	18.17	18.38	4026405	73885248.00
2009/07/15	18.55	18.60	18.20	18.59	3966240	72915824.00
2009/07/16	18.62	20.00	18.62	19.35	7834247	152938912.00
2009/07/17	19.04	19.49	18.68	18.91	4137455	78584984.00
2009/07/20	18.98	19.45	18.78	19.30	3763058	71811680.00
2009/07/21	19.35	19.38	18.49	18.54	4412865	83270176.00
2009/07/22	18.51	18.89	18.49	18.61	3122989	58125628.00
2009/07/23	18.50	18.60	18.23	18.40	2540751	46651980.00
2009/07/24	18.42	18.50	18.10	18.23	2655618	48612804.00
2009/07/27	18.24	19.44	18.24	19.08	4828973	91013752.00
2009/07/28	18.91	19.02	18.51	18.72	3121134	58273344.00
2009/07/29	18.65	19.00	17.00	17.63	3795929	69253600.00
2009/07/30	17.67	17.97	17.03	17.45	2939887	51151244.00
2009/07/31	17.51	18.53	17.51	18.34	3008283	54133480.00
2009/08/03	18.61	18.80	18.11	18.42	4118947	75576808.00
2009/08/04	18.58	18.78	17.90	18.10	3340115	60747728.00
2009/08/05	18.48	19.91	18.43	19.91	13378034	262012960.00
2009/08/06	20.42	21.90	19.98	21.90	16452766	349887232.00
2009/08/07	22.80	24.09	21.90	24.09	11175347	261722176.00
2009/08/10	25.61	26.40	23.02	23.12	18483322	456438496.00
2009/08/11	22.86	25.09	22.83	24.88	14909160	361109920.00
2009/08/12	24.00	24.75	22.85	22.88	8946159	212402592.00
2009/08/13	23.00	23.44	21.50	22.08	9073223	200106016.00
2009/08/14	22.01	23.00	21.20	22.37	10153846	226460352.00
2009/08/17	21.57	22.00	20.54	20.75	6866932	145663616.00
2009/08/18	20.63	21.73	20.40	21.41	5886709	124611288.00
2009/08/19	21.18	21.97	20.70	21.09	7158798	152923280.00
2009/08/20	21.10	22.28	20.80	21.97	7666146	166389008.00
2009/08/21	21.80	24.17	21.54	24.17	10618352	246750480.00
2009/08/24	24.85	26.59	24.80	26.59	11359578	293407840.00
2009/08/25	27.38	27.58	25.08	26.65	17358420	458428032.00
2009/08/26	26.62	27.64	25.70	26.26	11712212	312083232.00
2009/08/27	25.90	27.20	25.11	25.26	9247377	240385408.00
2009/08/28	24.76	25.79	24.16	24.78	7076546	176094240.00
2009/08/31	24.58	24.77	22.30	22.30	6905806	160835472.00
2009/09/01	21.56	22.65	20.70	20.94	5226550	113351464.00
