600613 神奇制药 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.44	6.60	6.31	6.42	1832000	11817000.00
2009/01/09	6.49	6.67	6.44	6.59	2169300	14234000.00
2009/01/12	6.59	7.00	6.46	6.90	2780000	18668000.00
2009/01/13	6.67	6.75	6.58	6.62	2057800	13701000.00
2009/01/14	6.59	6.80	6.56	6.75	2098700	14046000.00
2009/01/15	6.70	6.81	6.61	6.70	1911500	12843000.00
2009/01/16	6.70	6.95	6.61	6.71	2010000	13662000.00
2009/01/19	6.68	6.81	6.48	6.53	1402500	9271000.00
2009/01/20	6.51	6.68	6.47	6.68	963600	6330000.00
2009/01/21	6.64	6.80	6.50	6.70	1299000	8699000.00
2009/01/22	6.83	7.36	6.72	7.31	4377400	30948000.00
2009/01/23	7.20	7.36	7.00	7.28	4815400	34923000.00
2009/02/02	7.28	7.48	7.10	7.32	2875500	21012000.00
2009/02/03	7.33	7.59	7.25	7.57	4043300	29899000.00
2009/02/04	7.53	7.64	7.41	7.56	2599900	19589000.00
2009/02/05	7.56	7.56	7.17	7.24	2751400	20270000.00
2009/02/06	7.25	7.52	7.25	7.49	2155500	15956000.00
2009/02/09	7.56	7.83	7.39	7.76	3073900	23461000.00
2009/02/10	7.65	8.08	7.62	8.03	2954000	23427000.00
2009/02/11	7.92	8.31	7.75	8.18	2947500	23855000.00
2009/02/12	8.23	8.23	7.77	8.06	2010100	16132000.00
2009/02/13	8.13	8.28	7.90	8.25	2544100	20670000.00
2009/02/16	8.17	8.65	8.17	8.50	2447500	20470000.00
2009/02/17	8.34	8.47	8.03	8.05	1869600	15352000.00
2009/02/18	8.00	8.00	7.55	7.58	1214400	9502000.00
2009/02/19	7.56	7.86	7.55	7.77	1694700	13011000.00
2009/02/20	7.78	7.93	7.67	7.84	1372900	10724000.00
2009/02/23	7.80	8.15	7.80	8.08	1872000	15040000.00
2009/02/24	7.99	8.22	7.76	7.96	2366100	18833000.00
2009/02/25	7.99	8.60	7.90	8.39	3213500	26366000.00
2009/02/26	8.40	9.23	7.92	9.23	8406500	73314000.00
2009/02/27	8.88	10.15	8.31	9.96	11578800	108830000.00
2009/03/02	9.50	10.25	8.96	9.59	7615800	72976000.00
2009/03/03	9.10	9.70	9.00	9.19	4365000	40638000.00
2009/03/04	9.15	9.98	9.13	9.85	5828400	55727000.00
2009/03/05	9.86	9.98	9.35	9.54	4628200	44676000.00
2009/03/06	9.30	9.50	9.00	9.09	2987900	27441000.00
2009/03/09	9.20	9.44	8.18	8.19	3636900	32197000.00
2009/03/10	7.94	8.58	7.90	8.56	3305400	27091000.00
2009/03/11	8.62	8.75	8.28	8.30	2860400	24240000.00
2009/03/12	8.32	8.45	8.00	8.37	1943700	16030000.00
