600682 南京新百 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.78	4.79	4.63	4.65	2045900	9640807.00
2009/01/09	4.65	4.79	4.64	4.75	1932100	9099783.00
2009/01/12	4.73	4.90	4.70	4.89	4148900	20012728.00
2009/01/13	4.83	4.91	4.75	4.78	2825700	13659501.00
2009/01/14	4.81	4.98	4.73	4.97	3364900	16462756.00
2009/01/15	4.91	5.17	4.90	5.05	5736800	28773930.00
2009/01/16	5.05	5.17	5.05	5.07	4652700	23718410.00
2009/01/19	5.15	5.18	5.00	5.07	2655700	13511595.00
2009/01/20	5.10	5.10	4.98	5.06	1730300	8706434.00
2009/01/21	5.00	5.13	4.97	5.06	2850800	14400088.00
2009/01/22	5.06	5.24	5.03	5.23	5032300	25935994.00
2009/01/23	5.20	5.34	5.18	5.22	4126200	21734482.00
2009/02/02	5.24	5.32	5.17	5.32	2670500	14052354.00
2009/02/03	5.31	5.43	5.26	5.40	4086300	21963442.00
2009/02/04	5.47	5.59	5.35	5.53	5272800	28810340.00
2009/02/05	5.50	5.86	5.46	5.66	8604700	48735404.00
2009/02/06	5.75	6.18	5.70	6.16	15620300	91869288.00
2009/02/09	6.30	6.50	6.03	6.36	12357300	76847320.00
2009/02/10	6.38	6.71	6.26	6.61	11813400	76574664.00
2009/02/11	6.43	6.61	6.30	6.45	11685000	75337288.00
2009/02/12	6.45	6.49	6.18	6.43	7037200	44568120.00
2009/02/13	6.50	6.61	6.39	6.58	9790500	63732792.00
2009/02/16	6.65	6.85	6.58	6.77	8745900	58658284.00
2009/02/17	6.77	6.86	6.47	6.53	9320600	61956600.00
2009/02/18	6.38	6.98	6.31	6.68	17963500	121428488.00
2009/02/19	6.75	7.35	6.75	7.35	15473900	111184928.00
2009/03/23	8.09	8.09	8.09	8.09	442800	3582834.50
2009/03/24	8.90	8.90	8.90	8.90	226300	2014443.75
2009/03/25	9.65	9.65	9.02	9.22	30437000	282206208.00
2009/03/26	9.30	9.47	9.02	9.28	19914600	184354720.00
2009/03/27	9.20	9.44	8.79	8.94	19733800	177905056.00
2009/03/30	8.82	8.93	8.60	8.75	9858500	86132768.00
2009/03/31	8.60	8.86	8.55	8.65	9552100	83094800.00
2009/04/01	8.61	8.82	8.50	8.72	12552100	108562032.00
2009/04/02	8.67	8.75	8.35	8.58	22209800	188907808.00
2009/04/03	8.51	8.58	8.30	8.42	13739600	116238064.00
2009/04/07	8.45	8.50	8.22	8.38	9936600	82964912.00
2009/04/08	8.35	8.48	8.13	8.16	9522700	78911744.00
2009/04/09	8.26	8.59	8.15	8.55	18166000	152192848.00
2009/04/10	8.54	8.75	8.40	8.64	18854500	161497328.00
