600707 彩虹股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.18	3.30	3.16	3.29	5874900	18932546.00
2009/01/09	3.31	3.42	3.21	3.29	7602700	25083258.00
2009/01/12	3.30	3.36	3.26	3.30	4629800	15380261.00
2009/01/13	3.27	3.29	3.10	3.12	5578100	17720622.00
2009/01/15	3.25	3.37	3.22	3.25	9116400	29975370.00
2009/01/16	3.22	3.38	3.22	3.27	8139500	26959072.00
2009/01/19	3.29	3.35	3.27	3.30	4722800	15554772.00
2009/01/20	3.31	3.36	3.26	3.34	3828600	12687593.00
2009/01/21	3.33	3.43	3.30	3.41	7826800	26442168.00
2009/01/22	3.43	3.44	3.34	3.38	5062700	17127334.00
2009/01/23	3.40	3.40	3.29	3.30	5202300	17288200.00
2009/02/02	3.34	3.43	3.30	3.42	7378100	24913048.00
2009/02/03	3.40	3.67	3.38	3.55	14408700	50760700.00
2009/02/04	3.56	3.77	3.48	3.70	13402300	48195188.00
2009/02/05	3.72	3.74	3.53	3.57	13037600	47632436.00
2009/02/06	3.58	3.83	3.58	3.82	13909400	52112988.00
2009/02/09	3.85	3.92	3.74	3.85	14420300	55075568.00
2009/02/10	3.82	3.91	3.76	3.90	8925300	34176380.00
2009/02/11	3.85	4.00	3.81	3.89	13159200	51560260.00
2009/02/12	3.90	3.99	3.81	3.99	9646700	37760352.00
2009/02/13	4.05	4.19	4.05	4.16	15217600	62577436.00
2009/02/16	4.19	4.33	4.10	4.32	20466800	85908920.00
2009/02/17	4.28	4.38	4.11	4.15	12195800	51400696.00
2009/02/18	4.08	4.18	3.93	3.97	8659500	35078940.00
2009/02/19	4.15	4.37	4.03	4.37	27731700	117694336.00
2009/02/20	4.38	4.57	4.30	4.32	31363600	138764064.00
2009/02/23	4.26	4.39	4.13	4.37	17420000	74206664.00
2009/02/24	4.28	4.35	4.08	4.11	15145800	63495844.00
2009/02/25	4.13	4.18	3.93	4.15	10145100	41385996.00
2009/02/26	4.16	4.22	3.78	3.85	9639400	39215060.00
2009/02/27	3.78	3.80	3.50	3.58	7458800	27202110.00
2009/03/02	3.52	3.70	3.51	3.67	4609500	16788032.00
2009/03/03	3.59	3.73	3.55	3.69	4350000	15987925.00
2009/03/04	3.61	3.93	3.61	3.90	7436600	28457426.00
2009/03/05	3.93	4.29	3.87	4.29	21455100	88146952.00
2009/03/06	4.31	4.50	4.18	4.33	34998100	152192720.00
2009/03/09	4.34	4.42	3.98	4.03	17153900	72303840.00
2009/03/10	4.00	4.35	3.88	4.26	21747100	92088888.00
2009/03/11	4.27	4.41	4.20	4.26	18750100	80248656.00
2009/03/12	4.14	4.20	3.97	4.12	10318300	42161476.00
2009/03/13	4.15	4.22	3.99	4.16	9975500	40965392.00
2009/03/16	4.16	4.25	4.11	4.21	9624900	40304336.00
2009/03/17	4.21	4.34	4.15	4.29	12455200	53177208.00
2009/03/18	4.31	4.37	4.25	4.27	13229700	57058788.00
2009/03/19	4.28	4.34	4.26	4.32	10447600	44975828.00
2009/03/20	4.33	4.35	4.12	4.20	11487600	48289208.00
2009/03/23	4.20	4.24	4.16	4.22	10091000	42453672.00
2009/03/24	4.26	4.39	4.19	4.31	12759500	54632332.00
2009/03/25	4.28	4.52	4.26	4.34	19542400	86238112.00
2009/03/26	4.32	4.50	4.20	4.45	13016000	56620772.00
2009/03/27	4.43	4.58	4.40	4.41	16265000	73028336.00
2009/03/30	4.43	4.48	4.33	4.38	8697000	38258664.00
2009/03/31	4.30	4.82	4.25	4.82	31896600	148158000.00
2009/04/01	4.85	5.18	4.71	4.96	38756200	190861552.00
2009/04/02	4.96	5.02	4.78	4.82	19748900	96183208.00
2009/04/03	4.85	4.87	4.65	4.68	12318500	58386644.00
2009/04/07	4.67	4.98	4.67	4.93	15027800	73479312.00
2009/04/08	4.88	5.06	4.75	4.76	17976900	88726808.00
2009/04/09	4.74	4.97	4.70	4.97	12433200	60675740.00
2009/04/10	5.01	5.17	4.91	5.05	21385900	107776088.00
2009/04/13	5.06	5.56	4.92	5.56	35788500	190586208.00
2009/04/14	5.40	6.12	5.37	5.79	49084400	286905248.00
2009/04/16	5.66	6.15	5.40	5.97	39539700	231522560.00
2009/04/17	5.88	6.10	5.70	5.73	22905000	134902128.00
2009/04/20	5.71	5.81	5.60	5.79	11856400	67728784.00
2009/04/21	5.69	5.78	5.56	5.68	11209000	63229208.00
2009/04/22	5.67	5.73	5.12	5.17	14041200	76405904.00
2009/04/23	5.10	5.20	4.97	5.14	10001900	50640816.00
2009/04/24	5.13	5.23	5.04	5.10	6324000	32471122.00
2009/04/27	5.09	5.12	4.69	4.70	8911300	43111472.00
2009/04/29	4.70	5.04	4.66	4.99	8500000	41915588.00
2009/04/30	5.00	5.08	4.88	5.07	6316700	31526892.00
2009/05/04	5.07	5.45	5.07	5.39	10008800	53137076.00
2009/05/05	5.37	5.40	5.20	5.31	8638900	45769552.00
2009/05/06	5.30	5.60	5.22	5.47	11441600	62781496.00
2009/05/07	5.48	5.49	5.23	5.40	8441200	45213896.00
2009/05/08	5.35	5.59	5.25	5.52	8438600	45725976.00
2009/05/11	5.51	5.58	5.15	5.17	7292100	38814520.00
2009/05/12	5.10	5.26	5.08	5.26	4020400	20858914.00
2009/05/13	5.23	5.34	5.23	5.28	4913000	25916740.00
2009/05/14	5.24	5.27	5.14	5.22	4285700	22304086.00
2009/05/15	5.26	5.43	5.21	5.42	7436900	39570280.00
2009/05/18	5.41	5.44	5.26	5.43	5250300	28136836.00
2009/05/19	5.43	5.55	5.38	5.52	9562600	52441824.00
2009/05/20	5.53	5.58	5.41	5.44	13954300	76980752.00
2009/05/21	5.40	5.63	5.33	5.47	13220600	72844112.00
2009/05/22	5.40	5.56	5.38	5.56	11192384	61564092.00
2009/05/25	5.49	5.93	5.32	5.85	19547930	111374384.00
2009/05/26	5.83	5.96	5.70	5.87	15378809	90225000.00
2009/05/27	5.89	6.00	5.75	5.93	11634293	68550040.00
2009/06/01	6.00	6.03	5.80	5.97	12914875	76484560.00
2009/06/02	5.95	5.99	5.72	5.76	11116613	64843396.00
2009/06/03	5.74	5.81	5.57	5.64	10133279	57336292.00
2009/06/04	5.64	5.76	5.60	5.69	6603617	37492292.00
2009/06/05	5.69	5.72	5.50	5.51	6652652	37164576.00
2009/06/08	5.51	5.58	5.40	5.47	6086430	33461114.00
2009/06/09	5.47	5.65	5.45	5.65	7276282	40564516.00
2009/06/10	5.66	5.69	5.56	5.66	8396408	47213436.00
2009/06/11	5.65	5.65	5.46	5.49	7906925	43786156.00
2009/06/12	5.49	5.49	5.21	5.27	8210423	43763516.00
2009/06/15	5.27	5.41	5.27	5.37	4159736	22261804.00
2009/06/16	5.35	5.48	5.30	5.46	3939419	21291238.00
2009/06/17	5.43	5.55	5.35	5.50	5301216	28933078.00
2009/06/18	5.46	5.69	5.46	5.65	17364621	97437136.00
2009/06/19	5.66	5.75	5.54	5.55	18984292	107416544.00
2009/06/22	5.47	5.54	5.38	5.44	6661775	36258012.00
2009/06/23	5.38	5.67	5.34	5.64	18342675	102268704.00
2009/06/24	5.64	5.75	5.55	5.64	20947781	118476720.00
2009/06/25	5.66	5.85	5.64	5.72	18864959	107688968.00
2009/06/26	5.67	5.70	5.52	5.60	8114448	45468712.00
2009/06/29	5.67	5.69	5.44	5.49	11151847	61332012.00
2009/06/30	5.52	5.61	5.45	5.50	7304162	40364556.00
2009/07/01	5.50	5.51	5.40	5.46	7047220	38438860.00
2009/07/02	5.46	5.68	5.43	5.65	16375393	91535992.00
2009/07/03	5.66	5.77	5.62	5.68	19849684	112964792.00
2009/07/06	5.62	5.72	5.48	5.60	8678846	48371652.00
2009/07/07	5.58	5.89	5.54	5.79	20044604	114881728.00
2009/07/08	5.68	6.37	5.65	6.37	48785638	296374176.00
2009/07/09	6.25	6.55	6.20	6.28	29567610	188934912.00
2009/07/10	6.31	6.65	6.19	6.43	18980600	122579784.00
2009/07/13	6.43	6.74	6.39	6.48	17309716	114152792.00
2009/07/14	6.52	6.94	6.41	6.90	25587557	169137520.00
2009/07/15	6.78	7.17	6.70	6.83	29995039	206352560.00
2009/07/16	6.81	7.10	6.70	7.02	24267379	167673584.00
2009/07/17	7.02	7.49	6.93	7.40	24458506	177188144.00
2009/07/20	7.36	7.60	7.28	7.40	19467097	144427536.00
2009/07/21	7.40	7.60	6.94	7.13	24994933	180980912.00
2009/07/22	7.19	7.50	7.15	7.42	18221216	133790288.00
2009/07/23	7.44	8.16	7.25	8.00	29145110	227327904.00
2009/07/24	7.90	8.46	7.81	8.32	25371654	207414512.00
2009/07/27	8.28	8.28	7.76	8.08	27442921	220142096.00
2009/07/28	8.04	8.04	7.58	7.82	29221734	226056960.00
2009/07/29	7.72	7.97	7.04	7.26	21208216	160366848.00
2009/07/30	7.24	7.45	6.96	7.28	13182813	94980064.00
2009/07/31	7.29	7.67	7.18	7.51	18894769	141063520.00
2009/08/03	7.50	7.76	7.46	7.66	12500654	95379264.00
2009/08/04	7.65	7.70	7.33	7.45	12860484	95948640.00
2009/08/05	7.46	7.68	7.38	7.53	10771798	80901136.00
2009/08/06	7.45	7.50	7.11	7.20	9537814	69212408.00
2009/08/07	7.17	7.34	7.12	7.19	7011340	50750768.00
2009/08/10	7.24	7.34	7.06	7.21	5265871	37985516.00
2009/08/11	7.23	7.46	7.14	7.45	6012729	43863840.00
2009/08/12	7.40	7.43	6.90	7.02	6702055	48052436.00
2009/08/13	7.10	7.21	6.89	7.13	6933106	48928456.00
2009/08/14	7.20	7.20	6.55	6.58	6717538	46110536.00
2009/08/17	6.49	6.73	6.06	6.19	9238883	60285828.00
2009/08/18	6.20	6.36	6.15	6.30	3594903	22554612.00
2009/08/19	6.30	6.38	5.71	5.80	4897417	29711556.00
2009/08/20	5.81	5.99	5.72	5.96	4389231	25733704.00
2009/08/21	6.00	6.16	5.90	6.09	6050502	36484728.00
2009/08/24	6.10	6.70	6.05	6.70	6998523	45829312.00
2009/08/25	6.70	7.25	6.70	7.06	23610049	166822400.00
2009/08/26	7.06	7.56	7.05	7.29	17019631	125184272.00
2009/08/27	7.30	7.55	7.25	7.48	14694062	109564016.00
2009/08/28	7.58	7.70	7.30	7.39	9743841	72818560.00
2009/08/31	7.39	7.39	6.65	6.65	12286574	83590648.00
2009/09/01	6.52	6.93	6.41	6.78	8245916	55612656.00
2009/09/02	6.78	6.91	6.58	6.78	6596194	44439908.00
2009/09/03	6.80	7.26	6.68	7.12	8733962	61516268.00
2009/09/04	7.03	7.83	7.03	7.55	19155983	145638288.00
2009/09/07	7.55	7.88	7.50	7.62	15915467	123313120.00
2009/09/08	7.51	7.95	7.42	7.89	13177076	102492264.00
2009/09/09	7.88	8.41	7.81	8.31	18509789	149860080.00
2009/09/10	8.28	8.44	7.90	7.99	16687261	135944800.00
2009/09/11	8.00	8.29	7.95	8.25	13238529	107884168.00
2009/09/21	9.08	9.08	7.48	8.48	39753545	331631296.00
2009/09/22	9.18	9.33	8.80	9.33	24722960	226372736.00
2009/09/23	9.60	9.70	8.61	8.92	34337401	320678240.00
2009/09/24	8.64	8.85	8.08	8.22	22044194	186093616.00
2009/09/25	8.40	8.78	8.15	8.22	18913943	159972368.00
2009/09/28	8.22	8.43	7.80	8.09	14447482	118017752.00
2009/09/29	8.09	8.15	7.40	7.58	13844337	106456840.00
2009/09/30	7.62	7.84	7.31	7.70	14179356	107807864.00
2009/10/09	7.82	8.08	7.68	7.99	13113785	103298792.00
2009/10/12	7.98	8.18	7.90	7.94	12473955	99914872.00
2009/10/13	7.94	7.96	7.72	7.84	12542551	97828416.00
2009/10/14	7.85	8.35	7.80	8.33	17048390	136763760.00
2009/10/15	8.18	8.39	8.06	8.21	15263667	125510344.00
2009/10/16	8.29	8.48	8.11	8.41	11817372	98367800.00
2009/10/19	8.42	8.53	8.26	8.46	10819495	90977000.00
2009/10/20	8.49	8.49	8.31	8.43	10199671	85550912.00
2009/10/21	8.40	8.88	8.33	8.55	12929334	112104624.00
2009/10/22	8.55	8.68	8.37	8.42	11195406	94954616.00
2009/10/23	8.42	8.70	8.39	8.64	11915517	101749728.00
2009/10/26	8.65	8.92	8.55	8.66	10692189	93055024.00
2009/10/27	8.66	8.66	8.13	8.16	9830314	81899296.00
2009/10/28	8.13	8.35	8.13	8.24	5536652	45478668.00
2009/10/29	8.10	8.23	7.91	8.12	5820979	47035244.00
2009/10/30	8.18	8.32	8.11	8.17	5135028	42144640.00
2009/11/02	8.09	8.37	7.81	8.28	6107993	49922428.00
2009/11/03	8.29	8.70	8.29	8.50	11962904	102184552.00
2009/11/04	8.50	8.99	8.43	8.97	13031995	113879808.00
2009/11/05	8.97	8.98	8.70	8.86	9750063	85990608.00
