600740 山西焦化 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	5.37	5.51	5.17	5.39	43685500	233586944.00
2009/01/09	5.35	5.61	5.32	5.41	42570900	233098608.00
2009/01/12	5.35	5.86	5.30	5.63	43553900	244398272.00
2009/01/13	5.50	5.54	5.24	5.27	27476200	147374080.00
2009/01/14	5.26	5.64	5.26	5.63	26799000	146709424.00
2009/01/15	5.48	5.64	5.43	5.50	27657700	152777296.00
2009/01/16	5.53	5.83	5.51	5.60	43728700	249449760.00
2009/01/19	5.55	5.60	5.30	5.37	41869400	227913728.00
2009/01/20	5.28	5.37	5.20	5.32	21132700	111424136.00
2009/01/21	5.22	5.39	5.20	5.30	14266500	75937168.00
2009/01/22	5.34	5.57	5.26	5.52	29494300	161034864.00
2009/01/23	5.50	5.54	5.33	5.39	17651900	95296000.00
2009/02/02	5.44	5.45	5.27	5.41	13795500	74057016.00
2009/02/03	5.41	5.95	5.37	5.95	81756400	477334336.00
2009/02/04	5.95	6.19	5.88	6.17	81069800	488953632.00
2009/02/05	6.17	6.29	5.95	6.02	54757100	335843552.00
2009/02/06	6.02	6.36	6.02	6.25	44004700	271487712.00
2009/02/09	6.30	6.58	6.27	6.50	51928300	333718944.00
2009/02/10	6.47	6.61	6.29	6.60	39551600	254708640.00
2009/02/11	6.47	6.64	6.34	6.44	45137800	292345152.00
2009/02/12	6.43	6.48	6.04	6.27	34756800	216082160.00
2009/02/13	6.24	6.58	6.15	6.52	44847200	286124256.00
2009/02/16	6.67	6.83	6.51	6.79	49842600	332073920.00
2009/02/17	6.83	7.47	6.83	7.18	97712100	708497024.00
2009/02/18	6.96	7.08	6.57	6.62	50980700	348018272.00
2009/02/19	6.76	6.79	6.45	6.66	32914800	217466672.00
2009/02/20	6.73	7.12	6.64	7.07	41089600	282896480.00
2009/02/24	6.84	7.17	6.70	6.71	56187200	387808096.00
2009/02/25	6.75	6.85	6.25	6.44	37622400	242847216.00
2009/02/26	6.45	6.62	5.80	5.93	24983200	156866336.00
2009/02/27	5.84	5.98	5.38	5.45	24749700	138279792.00
2009/03/02	5.31	5.59	5.30	5.57	15162400	83536192.00
2009/03/03	5.41	5.58	5.30	5.50	16115200	87630864.00
