600848 上海临港 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	5.85	6.06	5.62	5.67	3749700	21892642.00
2009/01/09	5.67	5.85	5.58	5.81	2892200	16578878.00
2009/01/12	5.81	6.13	5.69	5.93	4138800	24814820.00
2009/01/13	5.90	6.16	5.80	5.97	4285300	25808326.00
2009/01/14	6.01	6.57	5.91	6.57	5905800	37917832.00
2009/01/15	6.71	7.23	6.71	7.00	16840100	118982848.00
2009/01/16	6.85	7.00	6.63	6.71	8529900	58215200.00
2009/01/19	6.73	6.88	6.63	6.82	4354900	29373682.00
2009/01/20	6.81	6.87	6.58	6.83	3039600	20399536.00
2009/01/21	6.79	6.88	6.65	6.75	2207100	14957922.00
2009/01/22	6.75	6.86	6.67	6.85	2623800	17816334.00
2009/01/23	6.76	7.16	6.67	6.70	4672500	32435510.00
2009/02/02	6.67	6.90	6.45	6.87	3453600	23147366.00
2009/02/03	6.91	7.48	6.85	7.38	8746700	63438976.00
2009/02/04	7.46	7.69	7.23	7.35	6015600	44228212.00
2009/02/05	7.40	7.42	7.02	7.14	6652200	47830384.00
2009/02/06	7.13	7.56	7.13	7.46	7197100	53038852.00
2009/02/09	7.46	8.00	7.37	7.74	7204600	55467368.00
2009/02/10	7.66	7.81	7.46	7.80	4563700	34805644.00
2009/02/11	7.59	8.16	7.53	7.70	5555200	43351892.00
2009/02/12	7.70	8.00	7.33	7.99	5194500	39917892.00
2009/02/13	7.99	8.43	7.90	8.34	6681100	55249020.00
2009/02/16	8.34	9.09	8.34	8.81	7282500	63806512.00
2009/02/17	8.68	8.76	8.10	8.11	6647300	55336892.00
2009/02/18	7.90	8.11	7.50	7.54	3984500	31275862.00
2009/02/19	7.78	7.87	7.40	7.74	2990400	22909712.00
2009/02/20	7.69	8.04	7.62	7.96	2465200	19476212.00
2009/02/23	7.96	8.34	7.76	8.19	3480700	28258628.00
2009/02/24	8.08	8.51	7.87	7.88	6016200	49137036.00
2009/02/25	8.04	8.11	7.25	7.67	4604400	35320984.00
2009/02/26	7.63	7.75	6.90	6.97	5534400	40411184.00
2009/02/27	6.97	6.97	6.27	6.48	4565500	29788570.00
2009/03/02	6.45	6.80	6.31	6.70	3764500	24730568.00
2009/03/03	6.65	7.04	6.53	7.03	6768700	46181908.00
2009/03/04	7.18	7.40	7.00	7.37	6853000	49298436.00
2009/03/05	7.37	7.50	7.01	7.18	5648800	41024096.00
2009/03/06	7.12	7.13	6.86	6.96	3276400	22897208.00
2009/03/09	7.05	7.15	6.65	6.73	2462300	17048390.00
2009/03/10	6.85	7.36	6.80	7.35	5752900	41160132.00
2009/03/11	7.21	7.40	7.01	7.10	4617600	33452878.00
2009/03/12	6.86	7.25	6.81	7.07	2617500	18345650.00
2009/03/13	7.08	7.28	7.00	7.04	2087700	14867794.00
2009/03/16	7.04	7.13	6.90	7.10	1912400	13414534.00
2009/03/17	7.14	7.40	7.05	7.39	4063300	29473136.00
2009/03/18	7.51	7.78	7.39	7.53	6794400	51781740.00
2009/03/19	7.58	8.05	7.45	7.92	6507800	50605456.00
2009/03/20	7.90	7.90	7.58	7.74	3831200	29555412.00
2009/03/23	7.85	8.04	7.70	8.01	4563700	35866772.00
2009/03/24	8.01	8.30	7.87	8.10	5553700	45030728.00
2009/03/25	8.05	8.45	7.98	8.10	6213700	51197180.00
2009/03/26	8.15	8.49	8.00	8.29	5251700	43402304.00
2009/03/27	8.30	8.75	8.28	8.72	10870300	92970056.00
2009/03/30	8.72	9.55	8.52	9.19	11117800	102307992.00
2009/03/31	8.80	9.70	8.65	9.50	9802300	89629256.00
2009/04/01	9.44	9.93	9.25	9.59	11373100	110224624.00
2009/04/02	9.59	9.69	9.36	9.41	6560800	62211676.00
2009/04/03	9.30	9.50	8.93	8.98	7284700	66649476.00
2009/04/07	8.76	9.21	8.76	9.20	4802900	42838960.00
2009/04/08	9.10	9.29	8.79	8.80	4643400	42379056.00
2009/04/09	8.81	8.95	8.49	8.84	3658500	31782930.00
2009/04/10	8.88	9.24	8.75	9.15	5886900	53540188.00
2009/04/13	9.17	9.38	9.01	9.14	5514000	50465912.00
