600926 杭州银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/27	17.27	20.72	17.27	20.72	379856	7844051.00
2016/10/28	22.79	22.79	22.79	22.79	263624	6007991.00
2016/10/31	25.07	25.07	25.07	25.07	7957939	199505536.00
2016/11/01	26.50	27.58	26.18	27.58	95521601	2599904000.00
2016/11/02	28.21	30.29	27.86	29.06	140100239	4070404608.00
2016/11/03	28.00	28.49	27.60	27.76	79948334	2232413184.00
2016/11/04	27.80	27.98	26.66	26.93	63667111	1723018624.00
2016/11/07	26.67	27.16	26.21	26.76	36354494	967753792.00
2016/11/08	26.86	26.93	26.47	26.72	31665944	845769216.00
2016/11/09	26.50	26.59	25.51	25.75	45996900	1197431424.00
2016/11/10	26.09	27.20	25.62	26.73	63473902	1690276480.00
2016/11/11	26.50	26.87	26.25	26.57	44095247	1169257472.00
2016/11/14	26.45	27.79	26.30	26.99	52252696	1414187392.00
2016/11/15	26.78	26.79	26.50	26.67	25997867	691544704.00
2016/11/16	26.77	26.91	26.50	26.53	22179318	590323392.00
2016/11/17	26.40	26.50	25.92	26.05	23211852	606093312.00
2016/11/18	26.01	26.02	25.56	25.59	25491189	656070784.00
2016/11/21	25.52	25.80	25.31	25.45	19088361	486854752.00
2016/11/22	25.38	25.60	25.33	25.53	18114835	461331296.00
2016/11/23	25.54	25.94	25.38	25.45	23190006	595691392.00
2016/11/24	25.36	25.37	24.71	24.75	28386713	708961152.00
2016/11/25	24.75	24.97	24.37	24.63	14842160	365052416.00
2016/11/28	24.64	24.96	24.52	24.76	14752874	365805568.00
2016/11/29	24.62	24.64	23.94	23.95	23490292	569283072.00
2016/11/30	23.92	23.95	23.23	23.29	17481605	411369408.00
2016/12/01	23.30	23.65	23.30	23.46	11214541	263348480.00
2016/12/02	23.40	23.46	23.12	23.16	12129588	281883584.00
2016/12/05	23.10	23.35	22.93	23.33	9585203	222560704.00
2016/12/06	23.27	23.62	23.24	23.45	9643609	226438416.00
2016/12/07	23.39	23.52	23.16	23.50	9155777	213667872.00
2016/12/08	23.50	24.29	23.45	24.01	27902136	669726464.00
2016/12/09	23.88	24.27	23.75	23.97	18767412	452174368.00
2016/12/12	23.85	24.24	22.70	22.75	20128486	470803936.00
2016/12/13	22.58	22.70	21.81	22.32	17034098	377255520.00
2016/12/14	22.30	22.49	22.12	22.15	10606553	236248112.00
2016/12/15	22.09	22.33	21.99	22.24	9640535	213972192.00
2016/12/16	22.14	22.29	22.01	22.16	8575243	190056384.00
2016/12/19	22.14	22.22	21.74	21.77	8366011	183379872.00
2016/12/20	21.70	21.88	21.41	21.54	7994103	172963440.00
2016/12/21	21.63	21.94	21.50	21.83	9958199	216232800.00
2016/12/22	21.75	21.77	21.51	21.61	6310354	136401456.00
2016/12/23	21.53	21.75	21.37	21.38	6986125	150530096.00
2016/12/26	21.21	21.48	20.82	21.45	9294161	196242368.00
2016/12/27	21.36	21.42	21.18	21.21	5229911	111334976.00
2016/12/28	21.29	21.29	20.98	21.03	4926000	104004992.00
2016/12/29	21.03	21.23	20.95	21.01	4879056	102818784.00
2016/12/30	21.01	21.13	20.90	20.95	5957698	125049184.00
2017/01/03	20.95	21.25	20.94	21.13	6194919	130966176.00
2017/01/04	21.15	21.32	21.12	21.31	7954356	168892128.00
2017/01/05	21.33	21.33	21.18	21.20	5993224	127263488.00
2017/01/06	21.17	21.23	20.85	20.88	8366693	175746528.00
2017/01/09	20.82	20.97	20.73	20.94	5252655	109507176.00
2017/01/10	20.88	20.93	20.77	20.78	4956306	103202136.00
2017/01/11	20.81	20.81	20.28	20.29	9644373	197620864.00
2017/01/12	20.27	20.33	19.93	19.96	7198518	144967424.00
2017/01/13	19.97	19.99	19.52	19.64	8750652	172751776.00
2017/01/16	19.53	19.98	19.17	19.63	11627980	226680720.00
2017/01/17	19.50	19.78	19.23	19.72	8629084	168430176.00
2017/01/18	19.60	19.68	19.37	19.38	6228772	121677392.00
2017/01/19	19.30	19.69	19.04	19.45	8573878	166378640.00
2017/01/20	19.36	19.86	19.32	19.74	9288431	182862624.00
2017/01/23	19.70	19.93	19.67	19.76	7818031	154741776.00
2017/01/24	19.77	19.78	19.62	19.69	3994088	78658976.00
2017/01/25	19.63	19.75	19.60	19.70	3283230	64640788.00
