600962 国投中鲁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	8.02	8.10	7.80	7.86	2180300	17416138.00
2009/01/09	7.81	8.65	7.81	8.65	11249500	93298784.00
2009/01/12	8.52	8.93	8.41	8.74	8189900	71251296.00
2009/01/13	8.55	8.64	8.22	8.23	3925800	33051818.00
2009/01/14	8.15	8.67	8.15	8.61	3411000	28871346.00
2009/01/15	8.50	8.96	8.45	8.71	5888500	51575412.00
2009/01/16	8.76	9.00	8.69	8.71	5054300	44645444.00
2009/01/19	8.81	8.83	8.56	8.62	3472600	30145834.00
2009/01/20	8.63	8.72	8.50	8.69	2158300	18606440.00
2009/01/21	8.51	9.14	8.51	9.02	6461200	57899976.00
2009/01/22	9.03	9.18	8.83	9.02	3768800	33809300.00
2009/01/23	9.05	9.16	8.78	8.80	3011200	26943862.00
2009/02/02	9.03	9.15	8.82	9.13	5449000	49208792.00
2009/02/03	9.13	9.60	9.01	9.54	7229600	67863000.00
2009/02/04	9.64	9.64	9.37	9.61	6339500	60182368.00
2009/02/05	9.60	9.74	9.40	9.49	6024300	57557852.00
2009/02/06	9.50	10.02	9.50	9.90	8953700	88080016.00
2009/02/09	10.02	10.58	10.02	10.39	9427600	97080736.00
2009/02/10	10.39	11.16	10.20	11.10	10353500	111429240.00
2009/02/11	10.77	11.40	10.60	10.80	10170700	111146936.00
2009/02/12	10.88	10.89	10.14	10.74	8481800	88956296.00
2009/02/13	10.73	11.81	10.49	11.53	16865300	188886992.00
2009/02/16	11.45	11.70	11.12	11.65	9962200	113653296.00
2009/02/17	11.50	11.50	10.85	10.86	9165000	101933384.00
2009/02/18	10.55	10.79	10.04	10.07	7260300	75315352.00
2009/02/19	10.30	10.40	10.06	10.31	4229400	43335212.00
2009/02/20	10.35	10.64	10.02	10.60	5591400	58279284.00
2009/02/23	10.58	11.21	10.44	11.19	6972000	76107592.00
2009/02/24	11.07	11.56	10.78	10.86	9924800	110796912.00
2009/02/25	10.97	11.66	10.76	11.51	11963200	133692864.00
2009/02/26	11.68	11.75	10.36	10.60	10388100	115545264.00
2009/02/27	10.36	10.55	9.54	9.54	7309900	71883728.00
2009/03/02	9.30	9.72	9.15	9.64	3021800	28884126.00
2009/03/03	9.34	9.74	9.20	9.54	3753200	35585332.00
2009/03/04	9.95	10.41	9.66	10.25	9317100	93993344.00
2009/03/05	10.38	10.42	9.90	10.21	5908500	60196436.00
2009/03/06	9.95	10.41	9.82	10.30	5676500	57576932.00
2009/03/09	10.36	10.46	9.68	9.72	4040700	40673460.00
2009/03/10	9.68	10.08	9.40	10.00	2498300	24310910.00
2009/03/11	10.20	10.25	9.83	9.86	4207000	42520796.00
2009/03/12	9.83	9.83	9.48	9.71	3507500	33816004.00
2009/03/13	9.71	9.88	9.52	9.54	2116000	20468812.00
2009/03/16	9.50	9.50	9.15	9.40	2991000	27955772.00
2009/03/17	9.39	10.01	9.31	9.88	4592800	44355496.00
2009/03/18	9.95	10.20	9.86	10.06	5745900	57663000.00
2009/03/19	10.20	10.70	10.20	10.59	9123200	95787648.00
2009/03/20	10.43	10.55	10.20	10.32	5543400	57339376.00
2009/03/23	10.33	10.70	10.30	10.66	6523000	68372744.00
2009/03/24	10.82	10.89	10.52	10.62	5947400	63363480.00
2009/03/25	10.50	10.65	10.17	10.19	4250800	44373020.00
2009/03/26	10.00	10.50	10.00	10.47	4418200	45349980.00
2009/03/27	10.60	10.90	10.55	10.75	6800900	72923408.00
2009/03/30	10.78	10.88	10.40	10.70	4933700	52583416.00
2009/03/31	10.41	10.86	10.28	10.85	5001100	53132692.00
2009/04/01	10.89	11.73	10.81	11.34	9367500	104358704.00
2009/04/02	11.39	11.76	11.21	11.66	13019700	149879872.00
2009/04/03	11.68	12.04	11.22	11.74	13650600	159591312.00
2009/04/07	11.80	12.16	11.47	11.65	8925300	104732520.00
2009/04/08	11.70	11.88	11.24	11.30	10664600	123698144.00
2009/04/09	11.48	11.64	11.15	11.39	8569900	97616936.00
2009/04/10	11.46	11.85	11.30	11.80	9474200	110375872.00
2009/04/13	11.89	12.14	11.55	11.80	10487300	124154528.00
2009/04/14	11.69	11.98	11.60	11.77	7041600	83019696.00
2009/04/15	11.60	11.60	11.23	11.48	10801200	123096712.00
2009/04/16	11.43	11.59	11.23	11.47	6934500	79218632.00
2009/04/17	11.50	12.05	11.44	11.83	12783100	150391184.00
2009/04/20	11.82	12.51	11.60	12.25	14143400	171312736.00
2009/04/21	11.98	12.65	11.90	12.38	11323800	138835024.00
2009/04/22	12.35	12.85	11.40	11.48	13341800	164079136.00
2009/04/23	11.39	11.74	11.22	11.49	6045600	69474216.00
2009/04/24	11.58	11.75	11.24	11.35	6259500	72053248.00
2009/04/27	11.00	11.11	10.22	10.22	6952000	73142248.00
2009/04/28	10.20	10.28	9.96	10.18	3762500	37990452.00
