600980 北矿科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.14	6.55	6.10	6.37	5245200	33597912.00
2009/01/09	6.29	6.47	6.25	6.44	3936800	25111354.00
2009/01/12	6.40	6.70	6.30	6.43	4248800	27671408.00
2009/01/13	6.27	6.32	6.05	6.06	3106500	19129162.00
2009/01/14	6.06	6.38	6.06	6.37	2848400	17870588.00
2009/01/15	6.27	6.75	6.25	6.53	5529200	36124808.00
2009/01/16	6.53	6.73	6.42	6.46	4404000	28995032.00
2009/01/19	6.43	6.60	6.31	6.36	2085900	13453701.00
2009/01/20	6.36	6.68	6.31	6.67	3510900	22915904.00
2009/01/21	6.55	6.85	6.54	6.60	4246900	28312124.00
2009/01/22	6.60	6.77	6.54	6.69	3018700	20102424.00
2009/01/23	6.74	6.98	6.58	6.60	4289000	29098964.00
2009/02/02	6.64	6.73	6.52	6.72	2751000	18305946.00
2009/02/03	6.74	6.95	6.65	6.91	4271500	29308370.00
2009/02/04	6.90	7.07	6.82	7.05	4945700	34377712.00
2009/02/05	6.95	7.45	6.86	6.95	6012600	43070596.00
2009/02/06	6.93	7.35	6.93	7.27	5374300	38727620.00
2009/02/09	7.38	7.54	7.24	7.49	6268200	46480864.00
2009/02/10	7.49	7.70	7.28	7.60	5594100	41743336.00
2009/02/11	7.44	8.10	7.43	7.77	8385300	65324604.00
2009/02/12	8.01	8.05	7.43	7.90	8585300	66411800.00
2009/02/13	7.75	8.69	7.66	8.66	11526000	93632760.00
2009/02/16	8.70	9.02	8.70	8.90	15702500	139116992.00
2009/02/17	8.80	8.95	8.36	8.50	7140500	61483712.00
2009/02/18	8.28	8.34	7.80	7.85	4570400	37164360.00
2009/02/19	7.83	8.19	7.77	8.02	3161000	25172974.00
2009/02/20	8.00	8.20	7.80	8.19	2835000	22801514.00
2009/02/23	8.08	8.53	8.02	8.41	3659400	30399754.00
2009/02/24	8.42	8.68	8.00	8.01	4267000	35608140.00
2009/02/25	8.05	8.24	7.77	8.07	2846200	22787874.00
2009/02/26	8.08	8.24	7.26	7.29	2950400	23132388.00
2009/02/27	7.31	7.46	6.67	6.80	2904100	20097504.00
2009/03/02	6.70	7.48	6.61	7.48	3058200	21716044.00
2009/03/03	7.30	7.80	7.12	7.64	5221100	39671004.00
2009/03/04	7.60	8.00	7.50	7.91	4775200	37211480.00
2009/03/05	7.91	8.20	7.69	7.87	3819200	30348312.00
2009/03/06	7.63	7.87	7.61	7.64	2015400	15549322.00
2009/03/09	7.63	7.82	7.18	7.21	1862200	13990739.00
2009/03/10	7.13	7.48	7.13	7.46	1292600	9443070.00
2009/03/11	7.51	7.76	7.40	7.41	1894800	14323403.00
2009/03/12	7.35	7.43	7.15	7.42	1342400	9802112.00
2009/03/13	7.53	7.53	7.28	7.30	1293900	9609871.00
2009/03/16	7.25	7.46	7.20	7.42	1236400	9115095.00
2009/03/17	7.41	7.72	7.38	7.71	2364200	18060204.00
2009/03/18	7.73	7.98	7.68	7.78	2980700	23381578.00
2009/03/19	7.81	8.10	7.71	7.97	3549900	28139536.00
2009/03/20	8.01	8.66	7.87	8.39	6433700	52987816.00
2009/03/23	8.28	8.53	8.14	8.31	5169500	42890600.00
2009/03/24	8.33	8.40	8.14	8.17	3464000	28446668.00
2009/03/25	8.18	8.38	8.00	8.01	3885800	32009208.00
2009/03/26	8.02	8.25	7.91	8.24	3066900	24845646.00
2009/03/27	8.30	8.35	8.15	8.16	3052500	25105286.00
2009/03/30	8.19	8.56	8.03	8.47	4895900	41031384.00
2009/03/31	8.16	8.65	8.10	8.59	4489900	37872012.00
2009/04/01	8.56	8.64	8.40	8.48	4185900	35710980.00
2009/04/02	8.49	8.56	8.29	8.33	3487800	29278804.00
2009/04/03	8.34	8.64	8.32	8.45	5346500	45488628.00
2009/04/07	8.50	8.51	8.22	8.29	2993000	24871082.00
2009/04/08	8.27	8.30	7.81	7.83	3426900	27628540.00
2009/04/09	7.80	8.00	7.80	7.99	2005600	15842357.00
2009/04/10	8.07	8.27	7.95	8.24	2819800	22996266.00
2009/04/13	8.25	8.40	8.16	8.38	3356400	27672636.00
2009/04/14	8.35	8.95	8.28	8.68	8793900	76586176.00
2009/04/15	8.45	8.75	8.39	8.66	4701700	40309112.00
2009/04/17	8.72	9.44	8.58	9.14	10328400	93260808.00
2009/04/20	9.18	9.96	9.01	9.44	8755200	83286320.00
2009/04/21	9.25	9.35	8.90	9.09	4902900	44587052.00
2009/04/22	9.10	9.20	8.25	8.41	4800200	42018376.00
2009/04/23	8.40	8.63	8.31	8.59	2994600	25379608.00
2009/04/24	8.62	8.62	8.27	8.28	2459000	20703214.00
2009/04/27	8.16	8.16	7.71	7.78	2912000	23057678.00
2009/04/28	7.75	8.04	7.75	7.95	1691400	13458802.00
2009/04/29	7.95	8.14	7.90	8.13	1814400	14588767.00
2009/04/30	8.15	8.32	8.05	8.20	2106300	17253216.00
2009/05/04	8.33	8.50	8.26	8.45	2090300	17557842.00
2009/05/05	8.50	8.56	8.37	8.50	2505800	21157316.00
2009/05/06	8.48	8.70	8.39	8.62	3325200	28437942.00
2009/05/07	8.64	8.68	8.25	8.36	3027500	25484462.00
2009/05/08	8.27	8.65	8.27	8.59	3242300	27535476.00
2009/05/11	8.59	8.86	8.41	8.44	4831200	41847056.00
2009/05/12	8.32	8.45	8.05	8.44	3385200	27892278.00
2009/05/13	8.43	8.89	8.32	8.72	4496000	38705456.00
2009/05/14	8.70	8.72	8.48	8.65	3043000	26204940.00
2009/05/15	8.67	9.20	8.61	9.11	8830200	79379232.00
2009/05/18	9.11	9.11	8.68	8.97	4102000	36383088.00
2009/05/19	9.02	9.04	8.84	8.93	3371800	30099026.00
2009/05/20	8.93	9.03	8.66	8.68	2930400	25842456.00
2009/05/21	8.65	8.87	8.53	8.77	2537900	21956230.00
2009/05/22	8.66	9.17	8.53	9.05	4896131	43558840.00
2009/05/25	8.94	9.40	8.86	9.34	8969239	82316440.00
2009/05/26	9.20	9.36	9.05	9.06	4597252	42253984.00
2009/05/27	9.10	9.28	8.81	8.91	2712311	24302690.00
2009/06/01	8.96	9.17	8.90	9.02	2699064	24343540.00
2009/06/02	9.04	9.16	8.81	8.86	2662723	23815046.00
2009/06/03	8.85	9.19	8.85	9.10	3603420	32541810.00
2009/06/04	9.12	9.80	9.01	9.49	8995793	84556592.00
2009/06/05	9.45	9.65	9.26	9.46	5949370	56452124.00
2009/06/08	9.50	9.90	9.28	9.81	8245308	79296016.00
2009/06/09	9.89	10.12	9.61	9.71	7470727	73190752.00
2009/06/10	9.72	9.95	9.55	9.71	5579916	54050252.00
2009/06/11	9.51	9.90	9.51	9.74	6298045	61329220.00
2009/06/12	9.90	10.02	9.40	9.50	6321127	61636788.00
2009/06/15	9.35	9.79	9.20	9.58	3096032	29344424.00
2009/06/16	9.45	9.69	9.36	9.42	2242336	21236084.00
2009/06/17	9.55	9.55	9.20	9.39	2352627	21908598.00
2009/06/18	9.40	9.48	9.30	9.44	2339665	21968176.00
2009/06/19	9.43	9.48	9.31	9.40	2360028	22165152.00
2009/06/22	9.40	9.51	9.19	9.38	2782404	25974074.00
2009/06/23	9.30	10.31	9.18	10.23	5842758	57242240.00
2009/06/24	10.40	10.58	9.91	10.16	13528522	139666320.00
2009/06/25	10.00	10.15	9.72	9.90	5628664	55520188.00
2009/06/26	9.81	9.98	9.75	9.76	2210674	21744330.00
2009/06/29	9.74	9.92	9.71	9.75	2273470	22239030.00
2009/06/30	9.76	9.80	9.50	9.52	2231101	21344052.00
2009/07/01	9.52	9.67	9.42	9.58	1725419	16490653.00
2009/07/02	9.51	9.87	9.51	9.76	2832395	27516228.00
2009/07/03	9.72	9.72	9.50	9.57	2156660	20664368.00
2009/07/06	9.55	9.67	9.32	9.44	2334066	22069066.00
2009/07/07	9.47	9.62	9.47	9.59	1757106	16794744.00
2009/07/08	9.60	9.75	9.50	9.74	2283098	21962328.00
2009/07/09	9.74	9.92	9.63	9.77	3071923	30065890.00
2009/07/10	9.72	9.91	9.72	9.84	2917339	28657002.00
2009/07/13	9.75	9.85	9.66	9.84	2877253	28094204.00
2009/07/14	9.86	10.09	9.80	9.95	3736125	37186364.00
2009/07/15	9.91	10.04	9.82	10.02	3556837	35289404.00
2009/07/16	10.02	10.33	9.98	10.13	6357746	64689124.00
2009/07/17	10.12	10.13	9.84	9.96	3174978	31678388.00
2009/07/20	9.96	10.26	9.96	10.23	4678125	47515176.00
2009/07/21	10.29	10.31	9.71	9.85	4375579	43410132.00
2009/07/22	9.88	10.22	9.71	10.11	4012589	40011816.00
2009/07/23	10.07	10.64	9.93	10.55	9328271	96829608.00
2009/07/24	10.68	11.05	10.13	10.55	9609898	100774880.00
2009/07/27	10.63	10.87	10.49	10.69	9344013	98977368.00
2009/07/28	10.57	11.10	10.40	10.98	9597920	103379984.00
2009/07/29	10.98	10.98	9.88	9.89	7526710	77682560.00
2009/07/30	9.86	10.19	9.37	9.68	4177025	40456868.00
2009/07/31	9.70	9.98	9.60	9.91	3255430	32022912.00
2009/08/03	9.98	10.17	9.86	10.06	2927516	29390332.00
2009/08/04	10.09	10.09	9.80	9.99	2919967	28924728.00
2009/08/05	10.00	10.37	9.95	10.30	4806812	49121476.00
2009/08/06	10.10	10.30	9.80	9.95	3000022	30053786.00
2009/08/07	9.95	10.01	9.64	9.90	3218726	31658182.00
2009/08/10	9.98	10.20	9.82	10.19	4012717	40215308.00
2009/08/11	10.20	10.20	9.86	10.04	2275702	22754142.00
2009/08/12	10.03	10.03	9.53	9.64	2510410	24311398.00
2009/08/13	9.51	9.85	9.28	9.75	2126571	20408874.00
2009/08/14	9.70	9.89	9.34	9.69	1815766	17304352.00
2009/08/17	9.47	9.96	8.90	9.71	5713477	54241844.00
2009/08/18	9.83	10.07	9.15	9.70	8853293	87261888.00
2009/08/19	9.50	9.50	8.73	8.73	4668548	42413672.00
2009/08/20	8.58	8.84	7.95	8.74	4064730	34107192.00
2009/08/21	8.49	8.74	8.41	8.61	2441594	20963210.00
2009/08/24	8.55	8.82	8.50	8.72	2432327	21096776.00
