601002 晋亿实业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	5.76	5.76	5.41	5.56	5794700	32253226.00
2009/01/09	5.58	5.66	5.50	5.63	4311200	24107622.00
2009/01/12	5.63	5.76	5.55	5.68	4415500	25125960.00
2009/01/13	5.61	5.61	5.31	5.35	4565900	24904210.00
2009/01/14	5.39	5.63	5.38	5.59	4420000	24351402.00
2009/01/15	5.49	5.94	5.44	5.92	13033600	75734936.00
2009/01/16	5.95	6.14	5.85	5.92	13794400	82508504.00
2009/01/19	5.95	6.00	5.71	5.81	7750700	44984228.00
2009/01/20	5.81	5.83	5.54	5.75	9449100	53415752.00
2009/01/21	5.66	5.79	5.60	5.65	8201800	46713704.00
2009/01/22	5.73	5.95	5.71	5.94	12689700	73834880.00
2009/01/23	5.90	5.95	5.71	5.75	7602000	44182560.00
2009/02/02	5.81	5.96	5.70	5.95	7993500	47023048.00
2009/02/03	5.96	6.24	5.90	6.16	14927300	90624192.00
2009/02/04	6.15	6.21	6.00	6.17	13959100	85113024.00
2009/02/05	6.17	6.39	6.06	6.19	17205200	106818136.00
2009/02/06	6.25	6.38	6.23	6.32	14509300	91635656.00
2009/02/09	6.36	6.43	6.22	6.39	14880800	94027016.00
2009/02/10	6.34	6.45	6.18	6.37	13719400	86720352.00
2009/02/11	6.30	6.90	6.22	6.62	21051300	138156944.00
2009/02/12	6.57	6.68	6.20	6.47	13628800	87349312.00
2009/02/13	6.45	6.76	6.36	6.68	17379300	115204088.00
2009/02/16	6.68	6.98	6.54	6.91	17216000	116067040.00
2009/02/17	6.87	7.16	6.76	6.81	20282700	141814480.00
2009/02/18	6.55	6.83	6.23	6.29	13514100	88233488.00
2009/02/19	6.34	6.57	6.26	6.44	10029900	64289672.00
2009/02/20	6.45	6.62	6.30	6.57	8657300	56150268.00
2009/02/23	6.53	6.76	6.38	6.67	10193700	67211040.00
2009/02/24	6.60	6.64	6.12	6.16	14415500	91933816.00
2009/02/25	6.25	6.33	5.96	6.18	9098800	55758764.00
2009/02/26	6.20	6.35	5.60	5.73	8028100	49017700.00
2009/02/27	5.73	5.78	5.27	5.39	7985100	43356028.00
2009/03/02	5.40	5.70	5.34	5.59	5929600	33051130.00
2009/03/03	5.45	5.87	5.40	5.85	9930300	56759056.00
2009/03/04	5.88	6.18	5.88	6.14	15330600	91887328.00
2009/03/05	6.13	6.33	6.02	6.32	14624700	89806472.00
2009/03/06	6.18	6.27	6.09	6.16	5442000	33618680.00
2009/03/09	6.12	6.22	5.73	5.76	5229600	31355264.00
2009/03/10	5.60	6.06	5.58	6.04	4690000	27333330.00
2009/03/11	6.18	6.39	6.05	6.30	14233300	89138536.00
2009/03/12	6.30	6.42	6.15	6.40	11756700	74367904.00
2009/03/13	6.45	6.75	6.25	6.26	15914800	104119416.00
2009/03/16	6.29	6.65	6.27	6.62	11737900	76575536.00
2009/03/17	6.69	6.89	6.58	6.75	22293400	150428128.00
2009/03/18	6.75	7.31	6.63	7.11	26653300	186324048.00
2009/03/19	7.20	7.20	6.96	7.17	13480800	95678360.00
2009/03/20	7.10	7.17	6.86	7.00	10921500	76548888.00
2009/03/23	7.07	7.52	6.98	7.47	16492300	119037408.00
2009/03/24	7.46	7.52	7.24	7.34	11133000	82102976.00
2009/03/25	7.29	7.36	6.90	6.94	12142400	86619816.00
2009/03/26	6.94	7.12	6.83	7.12	7058600	49514028.00
2009/03/27	7.15	7.27	6.98	7.03	8519500	60540236.00
2009/03/30	7.00	7.09	6.92	6.96	5328500	37270764.00
2009/03/31	6.81	7.10	6.73	7.03	5929800	41128112.00
2009/04/01	7.07	7.44	7.02	7.41	12015900	86967368.00
2009/04/02	7.35	7.42	7.15	7.16	11208000	81227152.00
2009/04/03	7.19	7.20	6.90	6.93	8549600	59891336.00
2009/04/07	6.93	7.07	6.93	7.07	4145500	29070586.00
2009/04/08	7.03	7.15	6.67	6.69	7063800	48831776.00
2009/04/09	6.75	6.84	6.66	6.83	5224300	35232964.00
2009/04/10	6.88	7.50	6.85	7.30	15591400	113103072.00
2009/04/13	7.30	7.75	7.30	7.56	20869100	158300576.00
2009/04/14	7.55	7.59	7.31	7.46	11259900	84039536.00
2009/04/15	7.42	7.58	7.30	7.50	8260200	61319160.00
2009/04/16	7.51	7.80	7.39	7.65	12449700	95074040.00
2009/04/17	7.56	7.66	7.26	7.34	9950700	74193952.00
2009/04/20	7.27	7.55	7.27	7.41	16762800	123905144.00
2009/04/21	7.35	8.15	7.30	8.15	25698600	200095056.00
2009/04/22	8.20	8.30	7.50	7.60	22211800	175978032.00
2009/04/23	7.40	8.05	7.40	7.80	16729900	130729368.00
2009/04/24	7.82	8.30	7.76	8.16	19204200	156476672.00
2009/04/27	8.32	8.40	7.73	7.93	14014200	113031312.00
2009/04/28	7.75	8.02	7.62	7.96	9091000	71058424.00
2009/04/29	7.94	8.76	7.85	8.60	19621200	168168320.00
2009/04/30	8.55	8.67	8.40	8.60	9466100	80756904.00
2009/05/05	8.92	9.15	8.67	8.71	13579600	120679384.00
2009/05/06	8.71	8.97	8.57	8.86	8163900	71920448.00
2009/05/07	8.93	9.00	8.44	8.64	10006000	86259000.00
2009/05/08	8.55	8.86	8.45	8.71	7260000	63039752.00
2009/05/11	8.71	8.77	8.20	8.28	10551900	88740000.00
2009/05/12	8.28	8.45	8.01	8.31	6942800	57068488.00
2009/05/13	8.32	8.55	8.11	8.49	8454700	70123496.00
2009/05/14	8.37	8.40	8.20	8.39	6517400	53969444.00
2009/05/15	8.32	8.47	8.23	8.29	5173200	43023548.00
2009/05/18	8.20	8.51	8.20	8.49	6512400	54761388.00
2009/05/19	8.54	8.68	8.42	8.50	7026900	59989040.00
2009/05/20	8.52	8.55	8.23	8.29	6304100	52430160.00
2009/05/21	8.25	8.34	8.00	8.09	6259200	50621924.00
2009/05/22	7.80	8.13	7.80	8.00	3853778	30619126.00
2009/05/25	7.73	7.99	7.68	7.91	4124682	32315734.00
2009/05/26	7.86	8.12	7.86	7.94	4081429	32636246.00
2009/05/27	8.00	8.18	7.85	7.95	3363623	26738818.00
2009/06/01	7.99	8.17	7.98	8.16	7100291	57269276.00
2009/06/02	8.17	8.22	8.00	8.07	6537736	52765520.00
2009/06/03	8.04	8.12	7.88	8.01	6090310	48514896.00
2009/06/04	8.00	8.17	7.96	8.10	6018490	48519108.00
2009/06/05	8.09	8.15	7.99	8.10	5552023	44783708.00
2009/06/08	8.13	8.14	7.70	7.89	9433280	75018344.00
2009/06/09	7.80	7.88	7.41	7.65	9629164	73350344.00
2009/06/10	7.67	8.14	7.56	8.01	13804459	109248176.00
2009/06/11	7.99	7.99	7.64	7.74	10668069	82998280.00
2009/06/12	7.69	7.75	7.40	7.57	8594274	65094584.00
2009/06/15	7.56	7.64	7.50	7.60	3408576	25804262.00
2009/06/16	7.50	7.67	7.48	7.55	3869772	29190804.00
2009/06/17	7.51	7.60	7.45	7.60	4456739	33593668.00
2009/06/18	7.58	7.75	7.53	7.70	6856179	52574912.00
2009/06/19	7.70	8.04	7.69	8.02	16478763	130363664.00
2009/06/22	8.03	8.05	7.81	7.88	8783303	69319184.00
2009/06/23	7.75	7.84	7.70	7.78	5086917	39498060.00
2009/06/24	7.80	7.97	7.75	7.92	7273761	57427896.00
2009/06/25	7.90	7.96	7.62	7.70	8256206	64025252.00
2009/06/26	7.71	7.75	7.57	7.64	5217619	39796924.00
2009/06/29	7.60	7.68	7.56	7.64	5567130	42295328.00
2009/06/30	7.64	7.65	7.45	7.53	5890530	44244884.00
2009/07/01	7.53	7.75	7.47	7.65	6752344	51437436.00
2009/07/02	7.65	7.70	7.50	7.58	7471156	56445976.00
2009/07/03	7.49	7.65	7.44	7.56	10020660	75562680.00
2009/07/06	7.70	7.90	7.62	7.84	17538321	136157936.00
2009/07/07	7.84	7.90	7.69	7.72	10980216	85433848.00
2009/07/09	7.84	7.94	7.73	7.90	11542228	90420576.00
2009/07/10	7.93	8.01	7.82	7.90	10027753	79474952.00
2009/07/13	7.90	7.97	7.86	7.95	9613010	76276648.00
2009/07/14	7.88	7.89	7.60	7.86	23608859	183414000.00
2009/07/15	7.84	7.93	7.78	7.92	16588316	130428024.00
2009/07/16	7.95	7.98	7.82	7.83	11753381	92596920.00
2009/07/17	7.99	8.25	7.80	8.22	27473501	219916048.00
2009/07/20	8.16	8.39	8.10	8.30	22758059	187571728.00
2009/07/21	8.27	8.27	7.85	7.87	16056211	129241312.00
2009/07/22	7.82	7.98	7.82	7.91	9216054	72759360.00
2009/07/23	7.93	7.93	7.80	7.90	7284717	57248256.00
2009/07/24	7.92	8.00	7.59	7.72	12065223	94023000.00
2009/07/27	7.71	7.83	7.65	7.80	9411131	72910840.00
2009/07/28	7.79	7.97	7.66	7.95	12957583	101535136.00
2009/07/29	7.94	8.07	7.16	7.39	13684822	106312576.00
2009/07/30	7.37	7.54	7.07	7.29	8877838	64669412.00
2009/07/31	7.32	7.54	7.23	7.49	9199381	67968960.00
2009/08/03	7.49	7.59	7.43	7.59	7638979	57467408.00
2009/08/04	7.60	7.89	7.34	7.82	11066694	83515416.00
2009/08/05	7.74	8.30	7.65	8.18	35209146	284097440.00
2009/08/06	8.00	8.04	7.71	7.89	14431571	113932880.00
2009/08/07	7.85	7.95	7.50	7.52	10484340	80693672.00
2009/08/10	7.55	7.66	7.40	7.56	5696220	42865852.00
2009/08/11	7.57	7.66	7.52	7.60	3860998	29333544.00
2009/08/12	7.56	7.60	7.09	7.14	5705181	41806432.00
