601003 柳钢股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.24	3.25	3.13	3.19	3409000	10872748.00
2009/01/09	3.19	3.28	3.17	3.27	2771400	8952433.00
2009/01/12	3.25	3.33	3.21	3.27	2960600	9684229.00
2009/01/13	3.24	3.38	3.20	3.28	4934000	16374414.00
2009/01/14	3.28	3.37	3.25	3.37	5342300	17766082.00
2009/01/15	3.39	3.44	3.33	3.35	6674600	22628196.00
2009/01/16	3.35	3.43	3.34	3.35	4936700	16699408.00
2009/01/19	3.37	3.42	3.28	3.33	4191400	14076752.00
2009/01/20	3.32	3.39	3.25	3.34	3684700	12233166.00
2009/01/21	3.30	3.32	3.25	3.29	3217600	10557391.00
2009/01/22	3.32	3.33	3.26	3.28	2794500	9164250.00
2009/01/23	3.27	3.40	3.26	3.38	6128500	20500438.00
2009/02/02	3.40	3.48	3.35	3.46	6942300	23757406.00
2009/02/03	3.46	3.54	3.41	3.52	8250000	28817230.00
2009/02/04	3.52	3.87	3.52	3.87	31462900	120787880.00
2009/02/05	3.87	4.20	3.80	4.01	39335800	158153392.00
2009/02/06	3.99	4.10	3.90	4.10	21698000	87593872.00
2009/02/09	4.12	4.19	4.01	4.12	19724300	81000712.00
2009/02/10	4.10	4.12	4.00	4.10	16668900	67521664.00
2009/02/11	4.03	4.36	4.00	4.17	20575100	86599744.00
2009/02/12	4.17	4.24	3.98	4.10	12853900	52264312.00
2009/02/13	4.11	4.30	4.05	4.26	21322300	89062520.00
2009/02/16	4.33	4.69	4.33	4.69	16023300	72710224.00
2009/02/17	5.16	5.16	4.86	4.88	53173300	268492224.00
2009/02/18	4.68	4.83	4.40	4.43	25043500	115350920.00
2009/02/19	4.48	4.87	4.48	4.87	35848800	171920688.00
2009/02/20	4.99	5.36	4.87	5.36	42909400	222067760.00
2009/02/23	5.40	5.40	5.08	5.36	36948800	195093120.00
2009/02/24	5.30	5.30	5.02	5.06	27666500	142260416.00
2009/02/25	5.10	5.19	4.72	5.00	19362900	95845920.00
2009/02/26	4.99	5.00	4.50	4.61	15746200	75236808.00
2009/02/27	4.55	4.55	4.20	4.23	13884700	59490832.00
2009/03/02	4.23	4.58	4.12	4.54	15047800	67218000.00
2009/03/03	4.40	4.85	4.29	4.68	15469000	71081312.00
2009/03/04	4.60	4.95	4.58	4.93	17785500	85703296.00
2009/03/05	4.95	5.05	4.70	4.80	18077900	87930912.00
2009/03/06	4.70	4.75	4.60	4.67	8770700	40954640.00
2009/03/09	4.69	4.91	4.50	4.57	10156900	47856692.00
2009/03/10	4.55	4.68	4.46	4.68	5848800	26673544.00
2009/03/11	4.78	4.99	4.70	4.73	11890700	57484620.00
2009/03/12	4.73	4.73	4.52	4.66	6471200	29793936.00
2009/03/13	4.70	4.74	4.52	4.56	4987000	23019410.00
2009/03/16	4.53	4.69	4.52	4.62	4319200	19898200.00
2009/03/17	4.67	4.81	4.67	4.79	10999300	52295540.00
2009/03/18	4.79	4.95	4.79	4.83	12804600	62427312.00
2009/03/19	4.82	4.89	4.70	4.85	13608800	65253232.00
2009/03/20	4.85	5.09	4.76	4.96	22374600	111172608.00
2009/03/23	4.99	5.35	4.99	5.18	25158700	130762304.00
2009/03/24	5.23	5.27	5.02	5.16	17461000	89339344.00
2009/03/25	5.13	5.13	4.89	4.90	15137200	75673016.00
2009/03/26	4.88	5.02	4.80	5.01	11161300	54863716.00
2009/03/27	5.06	5.25	4.95	5.09	21609600	111014848.00
2009/03/30	5.09	5.10	4.93	4.95	11444000	56844240.00
2009/03/31	4.87	4.94	4.80	4.90	8053300	39103852.00
2009/04/01	4.94	5.02	4.88	4.96	14788000	73188944.00
2009/04/02	4.99	5.10	4.94	5.06	17056700	85519384.00
2009/04/03	5.07	5.09	4.89	4.90	11180500	55279960.00
2009/04/07	4.90	4.94	4.83	4.88	6581500	32087702.00
2009/04/08	4.86	4.86	4.64	4.64	10624900	50323840.00
2009/04/09	4.63	4.72	4.55	4.71	6022900	28032744.00
2009/04/10	4.76	4.79	4.67	4.79	7442900	35273820.00
2009/04/13	4.80	5.00	4.75	4.98	16367300	80108576.00
2009/04/14	4.98	4.98	4.85	4.90	12160100	59503968.00
