601106 中国一重 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/02/09	5.48	5.67	5.34	5.52	168348984	929111360.00
2010/02/10	5.50	5.58	5.42	5.55	67665301	371751936.00
2010/02/11	5.52	5.54	5.47	5.51	43408672	238836256.00
2010/02/12	5.54	5.58	5.49	5.52	50412479	279067168.00
2010/02/22	5.49	5.57	5.47	5.52	35470632	195828864.00
2010/02/23	5.50	5.55	5.48	5.54	30834976	170101488.00
2010/02/24	5.50	5.62	5.45	5.60	52665378	292397600.00
2010/02/25	5.59	5.80	5.56	5.68	141919037	806230976.00
2010/02/26	5.60	5.64	5.53	5.56	60360310	336501312.00
2010/03/01	5.57	5.63	5.54	5.61	31155082	173834544.00
2010/03/02	5.62	5.65	5.53	5.56	28868744	161470144.00
2010/03/03	5.56	5.69	5.49	5.68	63483123	357052288.00
2010/03/04	5.79	5.80	5.56	5.58	81102111	462527360.00
2010/03/05	5.58	5.64	5.54	5.58	31859876	177861904.00
2010/03/08	5.57	5.61	5.53	5.57	23768397	132357752.00
2010/03/09	5.55	5.59	5.51	5.55	22040909	122377824.00
2010/03/10	5.54	5.58	5.48	5.51	24034509	132580848.00
2010/03/11	5.52	5.53	5.46	5.49	17214044	94516736.00
2010/03/12	5.49	5.49	5.41	5.42	17957855	97901672.00
2010/03/15	5.43	5.44	5.35	5.37	15604453	83943176.00
2010/03/16	5.36	5.39	5.35	5.39	12079648	64874140.00
2010/03/17	5.40	5.46	5.31	5.46	31170643	167770816.00
2010/03/18	5.43	5.48	5.41	5.46	19480988	106034888.00
2010/03/19	5.45	5.50	5.41	5.47	17608627	96155096.00
2010/03/22	5.45	5.49	5.42	5.43	15710465	85710888.00
2010/03/23	5.42	5.43	5.36	5.37	14191805	76476136.00
2010/03/24	5.37	5.44	5.37	5.41	14412704	77861656.00
2010/03/25	5.38	5.39	5.31	5.34	12766565	68330760.00
2010/03/26	5.33	5.40	5.30	5.38	13980755	74865000.00
2010/03/29	5.37	5.69	5.36	5.51	60823761	337658976.00
2010/03/30	5.45	5.47	5.41	5.45	24641719	134021536.00
2010/03/31	5.46	5.46	5.37	5.38	16713225	90283672.00
2010/04/01	5.39	5.68	5.38	5.59	68643061	381510624.00
2010/04/02	5.58	5.75	5.53	5.66	87248541	494719872.00
2010/04/06	5.69	5.70	5.60	5.63	34995545	197558064.00
2010/04/07	5.61	5.72	5.58	5.68	47782487	271260128.00
2010/04/08	5.66	5.69	5.53	5.56	44463914	248225648.00
2010/04/09	5.55	5.59	5.54	5.58	17500812	97384624.00
2010/04/12	5.58	5.58	5.44	5.48	31521899	173290672.00
2010/04/13	5.49	5.69	5.45	5.62	60122201	336220224.00
2010/04/14	5.59	5.60	5.50	5.55	34160128	188967968.00
2010/04/15	5.54	5.58	5.46	5.50	23327269	128705776.00
2010/04/16	5.50	5.53	5.46	5.50	16707042	91688768.00
2010/04/19	5.44	5.46	5.34	5.35	34674649	186843232.00
2010/04/20	5.35	5.38	5.27	5.32	22680636	120382760.00
2010/04/21	5.32	5.39	5.30	5.37	27599042	147828992.00
2010/04/22	5.35	5.38	5.31	5.34	17555065	93993440.00
2010/04/23	5.32	5.42	5.32	5.40	18266587	98179632.00
2010/04/26	5.37	5.47	5.37	5.40	16225365	88055776.00
2010/04/27	5.38	5.40	5.27	5.36	21371742	114234528.00
2010/04/28	5.33	5.36	5.27	5.31	12715927	67544960.00
2010/04/29	5.33	5.37	5.30	5.31	10487300	55927420.00
2010/04/30	5.31	5.32	5.18	5.22	19905206	103911120.00
2010/05/04	5.16	5.17	5.05	5.09	16684577	85246032.00
2010/05/05	5.04	5.36	5.00	5.27	21945114	113717648.00
2010/05/06	5.15	5.22	5.09	5.10	17889416	92350720.00
2010/05/07	5.02	5.27	5.01	5.20	43742456	227315568.00
2010/05/10	5.10	5.65	5.08	5.51	194658529	1067229440.00
2010/05/11	5.55	5.61	5.37	5.51	77189268	426123616.00
2010/05/12	5.42	5.65	5.41	5.60	73202351	406765536.00
2010/05/13	5.56	5.64	5.49	5.55	47707393	266115680.00
2010/05/14	5.53	5.72	5.51	5.64	78549293	444161664.00
2010/05/17	5.57	5.64	5.43	5.48	50493926	279669312.00
2010/05/18	5.49	5.50	5.03	5.41	43430039	230496800.00
2010/05/19	5.29	5.47	5.20	5.30	21199682	113594216.00
2010/05/21	5.10	5.45	5.01	5.44	34167415	182191024.00
2010/05/24	5.40	5.58	5.40	5.54	36842782	203403280.00
2010/05/25	5.48	5.50	5.27	5.30	25393829	136184704.00
2010/05/26	5.32	5.75	5.28	5.63	85668889	481270624.00
2010/05/27	5.57	5.70	5.48	5.66	60616721	340178176.00
2010/05/28	5.65	5.74	5.58	5.62	54657104	310030752.00
2010/05/31	5.57	5.60	5.33	5.35	29902699	164283680.00
2010/06/01	5.35	5.50	5.29	5.49	34494370	185893696.00
2010/06/02	5.41	5.54	5.37	5.51	28858441	157287520.00
2010/06/03	5.50	5.82	5.47	5.68	141946456	811699968.00
2010/06/04	5.67	5.78	5.62	5.77	75261458	430552960.00
2010/06/07	5.69	5.84	5.64	5.79	65792083	378319744.00
2010/06/08	5.76	5.82	5.72	5.77	69014708	398665280.00
2010/06/09	5.76	5.83	5.67	5.81	91337548	526096384.00
2010/06/10	5.78	5.93	5.76	5.79	79289367	463112896.00
2010/06/11	5.78	5.82	5.60	5.64	54125439	308050784.00
2010/06/17	5.66	5.74	5.62	5.63	34329435	195049456.00
2010/06/18	5.63	5.82	5.61	5.69	50114814	286926752.00
2010/06/21	5.74	5.85	5.61	5.80	57909263	333565856.00
2010/06/22	5.78	5.96	5.77	5.87	78588486	462813440.00
2010/06/23	5.82	5.85	5.71	5.83	38466902	222629072.00
2010/06/24	5.80	5.87	5.75	5.79	21129810	122707296.00
2010/06/25	5.76	5.80	5.66	5.77	23046870	132129688.00
2010/06/28	5.75	5.79	5.61	5.63	24101285	137043088.00
2010/06/29	5.65	5.67	5.34	5.38	46925079	256964288.00
2010/06/30	5.34	5.41	5.30	5.37	25118873	134917696.00
2010/07/01	5.37	5.47	5.36	5.38	22215315	120203048.00
2010/07/02	5.39	5.48	5.26	5.45	30563870	165012928.00
2010/07/05	5.37	5.45	5.34	5.40	16242927	87535128.00
2010/07/06	5.37	5.46	5.32	5.45	48873047	263660064.00
2010/07/07	5.42	5.54	5.30	5.47	31055049	169282032.00
2010/07/08	5.51	5.52	5.37	5.40	21163033	114740928.00
2010/07/09	5.41	5.52	5.32	5.47	39140942	212417328.00
2010/07/12	5.45	5.51	5.42	5.46	33086236	181085360.00
2010/07/13	5.42	5.44	5.30	5.32	31119947	166265712.00
2010/07/14	5.32	5.44	5.32	5.36	25461117	136768320.00
2010/07/15	5.37	5.38	5.17	5.19	38264129	201811360.00
2010/07/16	5.10	5.22	5.04	5.14	39290312	200554400.00
2010/07/19	5.06	5.21	5.06	5.17	42411733	218043920.00
2010/07/20	5.17	5.27	5.14	5.24	47454964	247860592.00
2010/07/21	5.28	5.41	5.23	5.28	71404510	379847872.00
2010/07/22	5.25	5.30	5.24	5.28	55040192	289609568.00
2010/07/23	5.29	5.32	5.22	5.27	32618327	171693392.00
2010/07/26	5.28	5.45	5.26	5.42	77544502	418194432.00
2010/07/27	5.43	5.46	5.37	5.39	33251658	179910480.00
2010/07/28	5.37	5.48	5.36	5.46	49009246	266555072.00
2010/07/29	5.46	5.52	5.40	5.47	46454464	253372352.00
2010/07/30	5.46	5.46	5.36	5.38	33676440	181812880.00
2010/08/02	5.39	5.43	5.36	5.40	48018304	258813216.00
2010/08/03	5.41	5.42	5.28	5.29	46364469	248078560.00
2010/08/04	5.27	5.31	5.20	5.29	33234112	174648928.00
2010/08/05	5.29	5.33	5.22	5.27	34894963	183891440.00
2010/08/06	5.26	5.39	5.24	5.38	46483837	247727264.00
2010/08/09	5.40	5.40	5.33	5.38	39690268	212838368.00
2010/08/10	5.37	5.38	5.19	5.20	53517579	282043936.00
2010/08/11	5.18	5.23	5.15	5.20	23276351	120768040.00
2010/08/12	5.16	5.29	5.12	5.22	42072740	219837280.00
2010/08/13	5.20	5.25	5.13	5.24	26254507	136700032.00
