601168 西部矿业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.72	6.93	6.67	6.68	40323200	272866048.00
2009/01/09	6.67	7.00	6.67	6.92	36324800	249895968.00
2009/01/12	6.95	7.56	6.93	7.27	75243000	548878144.00
2009/01/13	7.04	7.22	6.89	6.91	53767500	378523456.00
2009/01/14	6.95	7.30	6.93	7.29	56920600	407380544.00
2009/01/15	7.18	7.76	7.14	7.56	103512700	772366656.00
2009/01/16	7.65	8.00	7.52	7.79	99931900	775280384.00
2009/01/19	7.85	8.03	7.46	7.70	69584600	541034368.00
2009/01/20	7.65	7.71	7.50	7.70	41447300	315413280.00
2009/01/21	7.54	7.65	7.46	7.50	43431600	327846048.00
2009/01/22	7.56	8.05	7.53	7.96	92377800	717193344.00
2009/01/23	7.87	8.06	7.80	7.87	74984600	594283712.00
2009/02/02	7.95	8.05	7.83	8.00	64175800	510462080.00
2009/02/03	8.01	8.47	7.92	8.34	81741000	677020224.00
2009/02/04	8.41	9.17	8.35	9.17	144421100	1261412224.00
2009/02/05	9.16	9.55	8.90	8.98	137088300	1268771072.00
2009/02/06	9.13	9.85	9.13	9.70	103942300	984957568.00
2009/02/09	10.00	10.51	9.91	10.49	133126100	1361315840.00
2009/02/10	10.28	10.78	10.20	10.71	127669600	1341775104.00
2009/02/12	10.44	10.45	9.64	9.98	170338200	1690834176.00
2009/02/13	9.92	10.20	9.74	10.15	128754600	1285251456.00
2009/02/16	10.10	10.38	9.77	10.29	128335800	1291541504.00
2009/02/17	10.20	10.58	9.71	9.99	155288600	1578963712.00
2009/02/18	9.66	9.88	9.16	9.20	112119600	1066940416.00
2009/02/19	9.26	9.39	8.99	9.20	72543400	666298688.00
2009/02/20	9.24	9.82	9.12	9.78	94351100	896974144.00
2009/02/23	9.62	10.09	9.53	9.93	103242600	1020414656.00
2009/02/24	9.76	9.93	9.26	9.31	99620000	955032384.00
2009/02/25	9.57	9.66	9.05	9.37	71966800	673917952.00
2009/02/26	9.47	9.61	8.48	8.70	78285900	716949312.00
2009/02/27	8.60	8.61	7.96	8.06	75978900	622669504.00
2009/03/02	8.00	8.26	7.90	8.20	39556900	321738528.00
2009/03/03	7.98	8.35	7.90	8.19	49452700	402695808.00
2009/03/04	8.28	8.88	8.26	8.81	79717100	687904512.00
2009/03/05	9.12	9.33	8.76	8.97	91958300	834466112.00
2009/03/06	8.78	8.95	8.66	8.79	50313800	441543616.00
2009/03/09	8.86	8.96	8.26	8.29	53019300	454861472.00
2009/03/10	8.01	8.55	8.01	8.49	43419500	362074816.00
2009/03/11	8.72	8.77	8.35	8.40	42249700	362923680.00
2009/03/12	8.30	8.44	8.13	8.40	30461100	252199696.00
2009/03/13	8.41	8.63	8.30	8.44	39291400	332734368.00
2009/03/16	8.36	8.64	8.25	8.62	41277100	350874016.00
2009/03/17	8.70	9.48	8.65	9.48	161762000	1507380096.00
2009/03/18	9.55	10.43	9.49	10.10	227405800	2275690752.00
2009/03/19	10.10	10.49	9.96	10.24	154123500	1575435392.00
2009/03/20	10.60	11.25	10.25	11.09	218780800	2364131584.00
2009/03/23	11.08	11.88	10.68	11.19	211040400	2375387136.00
2009/03/24	11.08	11.34	10.86	10.93	134303700	1484665088.00
2009/03/25	10.69	11.50	10.60	10.84	162758000	1796091776.00
2009/03/26	10.82	11.85	10.50	11.60	167868200	1862693120.00
2009/03/27	11.59	12.37	11.41	12.29	200800000	2368379136.00
2009/03/31	11.70	12.07	11.45	11.77	133424400	1572699264.00
2009/04/01	12.03	12.95	12.03	12.95	114091400	1454719360.00
2009/04/02	13.15	13.46	12.80	13.01	205477900	2694164480.00
2009/04/03	13.25	13.40	12.25	12.40	123106900	1573417088.00
2009/04/07	12.36	13.03	12.20	12.87	111687000	1407502720.00
2009/04/08	12.70	12.77	12.00	12.02	97527400	1206044544.00
2009/04/09	12.03	12.65	12.02	12.59	91774400	1130531968.00
2009/04/10	12.90	13.85	12.63	13.85	196320600	2627081472.00
2009/04/13	14.10	14.47	13.85	14.19	155990100	2199004160.00
2009/04/14	13.98	14.19	13.64	14.09	89082200	1238488448.00
2009/04/15	13.85	14.97	13.68	14.80	110417000	1599405952.00
2009/04/16	15.00	16.12	14.60	15.86	139122300	2125852032.00
2009/04/17	15.40	15.83	14.90	15.29	102803700	1573942656.00
2009/04/20	15.00	15.65	14.71	15.60	105062400	1591178752.00
2009/04/21	14.80	15.50	14.59	15.24	140342700	2092317440.00
2009/04/22	15.10	15.31	13.72	13.72	159416700	2268996864.00
2009/04/23	13.35	14.25	12.97	13.81	117939700	1580934400.00
2009/04/24	13.59	13.80	13.11	13.33	88797800	1193127936.00
2009/04/27	13.24	13.41	12.66	12.93	76007900	986471168.00
2009/04/28	12.81	13.45	12.76	13.32	73261700	968616768.00
2009/04/29	13.18	13.72	13.03	13.59	96743100	1297137280.00
2009/04/30	13.83	14.05	13.52	13.69	86884400	1200996736.00
2009/05/04	14.00	14.80	13.91	14.55	91248100	1303705216.00
2009/05/05	14.54	14.98	14.33	14.39	71365700	1047805568.00
2009/05/06	14.37	14.80	14.18	14.51	75804900	1094082944.00
2009/05/07	15.00	15.37	14.60	14.77	105814800	1589464576.00
2009/05/08	14.51	14.66	13.95	14.29	74663900	1064906944.00
