601187 厦门银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/10/27	8.05	9.66	8.05	9.41	134661461	1225382272.00
2020/10/28	8.95	8.95	8.47	8.47	49741526	427544736.00
2020/10/29	7.70	8.03	7.62	7.79	97443920	759110144.00
2020/10/30	7.68	7.94	7.58	7.61	66910363	517226080.00
2020/11/02	7.58	7.73	7.43	7.46	49104188	369355776.00
2020/11/03	7.49	8.21	7.35	8.09	105177784	835719360.00
2020/11/04	8.05	8.29	7.82	8.12	82892501	667026432.00
2020/11/05	8.12	8.12	7.83	7.95	56733208	450999264.00
2020/11/06	7.90	8.28	7.76	8.28	64519421	516576960.00
2020/11/09	8.40	9.11	8.12	9.11	110836228	952475584.00
2020/11/10	9.60	10.02	8.87	8.92	154866084	1486316672.00
2020/11/11	8.47	9.81	8.35	9.81	130854152	1171379840.00
2020/11/12	9.58	9.80	9.10	9.18	109031018	1023590656.00
2020/11/13	8.91	9.41	8.83	8.98	72681778	661408768.00
2020/11/16	9.10	9.19	8.76	9.02	66366893	598627392.00
2020/11/17	8.91	9.50	8.65	9.21	89246904	806296832.00
2020/11/18	9.18	10.13	9.08	10.13	139460653	1385527936.00
2020/11/19	10.24	11.14	9.96	10.79	178779361	1891674752.00
2020/11/20	10.42	10.52	9.85	10.20	118166194	1199488256.00
2020/11/23	10.00	11.09	9.95	10.55	118086737	1236308096.00
2020/11/24	10.25	10.53	10.12	10.26	75810243	781053696.00
2020/11/25	10.23	10.57	10.06	10.28	64746671	668810624.00
2020/11/26	10.10	10.44	10.00	10.33	57755178	591814464.00
2020/11/27	10.28	11.36	10.27	11.36	120606845	1301827200.00
2020/11/30	12.15	12.50	11.55	11.69	170057981	2085948288.00
2020/12/01	11.81	12.86	11.31	12.86	157074489	1905318784.00
2020/12/02	13.30	14.15	13.05	14.15	160007981	2194199040.00
2020/12/03	14.02	15.48	13.46	14.29	163053074	2373706752.00
2020/12/04	13.37	13.69	12.86	12.86	124050309	1626752000.00
