601555 东吴证券 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/12/12	8.06	8.18	7.23	7.35	229661972	1746653696.00
2011/12/13	7.44	7.76	7.28	7.52	149097093	1122589696.00
2011/12/14	7.46	7.67	7.09	7.61	105105769	778380480.00
2011/12/15	7.43	7.96	7.29	7.33	136738370	1041247104.00
2011/12/16	7.20	7.60	7.11	7.57	109401517	800084864.00
2011/12/19	7.38	7.88	7.21	7.79	104497300	784525376.00
2011/12/20	7.74	7.84	7.39	7.41	79518409	605343040.00
2011/12/21	7.52	7.68	7.15	7.19	71841316	533717408.00
2011/12/22	6.88	7.02	6.53	6.74	81459359	551361216.00
2011/12/23	6.66	6.92	6.53	6.58	69452181	465116384.00
2011/12/26	6.48	6.63	6.33	6.34	46210834	298420992.00
2011/12/27	6.29	6.77	6.18	6.36	76457149	494367040.00
2011/12/28	6.19	6.72	6.11	6.58	79053355	506495680.00
2011/12/29	6.41	6.55	6.35	6.36	47479569	305869632.00
2011/12/30	6.43	6.81	6.38	6.57	58644638	388631456.00
2012/01/04	6.60	6.60	6.26	6.30	40568491	261376544.00
2012/01/05	6.21	6.49	6.16	6.22	36926046	233433984.00
2012/01/06	6.26	6.64	6.15	6.50	58041776	373152768.00
2012/01/09	6.44	6.82	6.34	6.80	74724816	496014784.00
2012/01/10	6.75	7.04	6.69	6.92	77497426	531473952.00
2012/01/11	6.89	7.06	6.83	6.93	53595579	371952736.00
2012/01/12	6.82	6.86	6.66	6.70	50663474	342416096.00
2012/01/13	6.68	6.77	6.37	6.41	38061557	248152240.00
2012/01/16	6.33	6.47	6.23	6.29	24446045	154847824.00
2012/01/17	6.33	6.76	6.23	6.72	43586098	284705408.00
2012/01/18	6.72	7.35	6.60	6.67	70445569	487665920.00
2012/01/19	6.63	7.02	6.52	6.85	46669956	317489216.00
2012/01/20	6.86	6.90	6.69	6.85	31948318	217668752.00
2012/01/30	6.81	6.84	6.67	6.71	25261805	170269072.00
2012/01/31	6.73	6.77	6.60	6.76	18055530	121078416.00
2012/02/01	6.73	6.78	6.55	6.57	22458590	149724736.00
2012/02/02	6.62	6.72	6.48	6.71	25337875	167288560.00
2012/02/03	6.68	6.76	6.56	6.72	26998839	180264928.00
2012/02/06	6.75	6.94	6.66	6.79	34514997	234721120.00
2012/02/07	6.69	6.69	6.48	6.52	24301249	159566448.00
2012/02/08	6.53	6.97	6.48	6.82	38198540	257753824.00
2012/02/09	6.77	6.90	6.73	6.80	36483464	247668736.00
2012/02/10	6.76	7.05	6.70	6.84	45066611	310895904.00
2012/02/13	6.74	6.89	6.68	6.82	27721922	188419024.00
2012/02/14	6.81	6.96	6.75	6.86	27767046	190529232.00
2012/02/15	6.82	7.15	6.80	6.97	58600599	409422240.00
2012/02/16	6.93	7.00	6.78	6.90	34900701	240509904.00
2012/02/17	6.92	6.97	6.83	6.88	23470177	161923376.00
2012/02/20	7.00	7.04	6.81	6.83	30020131	207929184.00
2012/02/21	6.81	6.87	6.69	6.86	25617357	173937264.00
2012/02/22	6.83	7.55	6.81	7.55	106810610	783579968.00
2012/02/23	7.58	7.75	7.48	7.64	85459262	650342528.00
2012/02/24	7.75	8.16	7.69	7.88	99852171	790404352.00
2012/02/27	7.79	8.67	7.74	8.46	116590792	969966528.00
2012/02/28	8.41	8.65	8.31	8.47	70536945	596774528.00
2012/02/29	8.40	8.44	8.16	8.28	49773694	411632928.00
2012/03/01	8.28	8.40	8.09	8.18	55067739	453959392.00
2012/03/02	8.20	8.43	8.16	8.37	54184826	449920192.00
2012/03/05	8.39	8.49	8.18	8.25	49124506	408844736.00
2012/03/06	8.20	8.56	8.14	8.37	61207461	513518400.00
2012/03/07	8.22	8.37	8.00	8.16	48159707	393566112.00
2012/03/08	8.20	8.73	8.16	8.30	65891112	554958784.00
2012/03/09	8.22	8.40	8.15	8.29	41108961	339313600.00
2012/03/12	8.16	8.24	7.93	8.08	146322019	1179679232.00
2012/03/13	8.05	8.24	7.96	8.22	84714968	684231552.00
2012/03/14	8.22	8.79	7.89	8.08	183153550	1543881984.00
2012/03/15	8.10	8.28	7.90	8.18	89461968	726166272.00
2012/03/16	8.18	8.38	7.97	8.28	77552074	637654912.00
2012/03/19	8.21	8.59	8.14	8.56	81782913	684108480.00
2012/03/20	8.50	8.51	8.08	8.09	79426425	655828288.00
2012/03/21	8.19	8.22	7.89	8.05	57095240	459154240.00
2012/03/22	8.00	8.20	7.92	8.07	34219900	275853728.00
2012/03/23	8.00	8.05	7.58	7.65	58777661	459205504.00
2012/03/26	7.61	7.69	7.42	7.59	39973446	301539328.00
2012/03/27	7.66	7.70	7.47	7.50	31691180	240438768.00
2012/03/28	7.46	7.56	7.22	7.31	50293236	372483296.00
2012/03/29	7.21	7.30	6.97	7.03	46478739	330670880.00
2012/03/30	7.08	7.26	7.00	7.15	50584906	360680256.00
2012/04/05	7.16	7.64	7.13	7.47	58240069	431623712.00
2012/04/06	7.40	7.56	7.37	7.47	37402982	278855296.00
2012/04/09	7.42	7.46	7.21	7.22	29363133	215423328.00
2012/04/10	7.20	7.36	6.97	7.35	38322577	274537504.00
2012/04/11	7.23	7.48	7.18	7.32	32181180	235330816.00
2012/04/12	7.34	7.95	7.30	7.79	77265132	590365376.00
2012/04/13	7.79	8.03	7.70	7.80	72086568	566868544.00
2012/04/16	7.72	8.03	7.72	7.91	54163642	427537440.00
2012/04/17	7.90	7.95	7.57	7.60	46927360	362823104.00
2012/04/18	7.65	8.36	7.61	8.36	136943266	1120695168.00
2012/04/19	8.46	9.01	8.40	8.76	207370166	1797498496.00
2012/04/20	8.65	9.64	8.63	9.64	198959546	1829385216.00
2012/04/23	10.00	10.37	9.58	9.92	185154357	1829617920.00
2012/04/24	9.70	9.92	9.23	9.68	165041530	1583457920.00
2012/04/25	9.60	10.20	9.42	9.52	158124145	1554317568.00
2012/04/26	9.46	10.47	9.31	10.46	190056029	1899937024.00
2012/04/27	10.10	10.28	9.72	9.80	113725363	1139023360.00
2012/05/02	10.06	10.29	9.78	9.82	135194544	1352309760.00
2012/05/03	9.65	10.38	9.54	10.20	122663821	1227540224.00
2012/05/04	10.00	10.18	9.80	9.95	86379556	860342400.00
2012/05/07	9.92	10.15	9.48	9.73	80021891	786704064.00
2012/05/08	9.76	9.79	9.32	9.44	74068145	699493120.00
2012/05/09	9.32	9.61	9.22	9.39	59070458	556777536.00
2012/05/10	9.39	9.62	9.20	9.45	61573965	579895488.00
2012/05/11	9.44	9.64	9.29	9.38	55820575	529578656.00
2012/05/14	9.50	9.81	9.42	9.49	82855919	796424896.00
2012/05/16	9.58	9.98	9.50	9.55	76034731	740698624.00
2012/05/17	9.60	10.51	9.54	10.39	140085983	1411601408.00
2012/05/18	10.11	10.32	9.93	10.06	99685537	1008603968.00
2012/05/21	9.87	9.88	9.24	9.42	85635539	815989184.00
2012/05/22	9.45	9.66	9.42	9.60	47324052	451693376.00
2012/05/23	9.50	9.93	9.46	9.79	60496787	587873344.00
2012/05/24	9.71	9.81	9.42	9.52	44247836	425161856.00
2012/05/25	9.52	9.67	9.33	9.42	31337401	297315776.00
2012/05/28	9.29	9.41	8.80	9.33	49808722	453347840.00
2012/05/29	9.28	9.80	9.17	9.61	57690562	551812736.00
2012/05/30	9.54	9.76	9.50	9.62	39368750	379016096.00
2012/05/31	9.50	9.84	9.47	9.65	43202865	419520704.00
2012/06/01	9.75	10.08	9.68	9.81	53763082	530067744.00
2012/06/04	9.50	9.96	9.41	9.43	50171726	485377760.00
2012/06/05	9.46	9.55	9.05	9.22	40702526	376150432.00
2012/06/06	9.20	9.33	9.05	9.14	21519832	197752320.00
2012/06/07	9.29	9.39	9.02	9.10	27197693	250756608.00
2012/06/08	9.26	9.43	9.05	9.18	38872027	360275840.00
2012/06/11	9.20	9.40	9.07	9.38	31896424	295133824.00
2012/06/12	9.29	9.35	9.18	9.20	20775553	192267488.00
2012/06/13	9.28	9.87	9.28	9.68	68371236	657097152.00
2012/06/14	9.59	9.69	9.48	9.55	39945093	382791296.00
2012/06/15	9.60	9.83	9.47	9.67	43733318	423383584.00
2012/06/18	9.78	9.83	9.64	9.73	33081492	322251104.00
2012/06/19	9.70	9.72	9.47	9.54	24195468	232094256.00
2012/06/20	9.60	9.75	9.47	9.48	26289983	251791616.00
2012/06/21	9.37	9.37	9.04	9.08	26863518	245139520.00
2012/06/25	8.95	8.95	8.51	8.53	32285283	279730208.00
2012/06/26	8.41	8.70	8.35	8.61	23746399	204043408.00
2012/06/27	8.61	8.65	8.45	8.46	16508154	141159136.00
2012/06/28	8.53	8.58	8.31	8.33	17647684	149467552.00
2012/06/29	8.28	8.95	8.22	8.84	46108453	400161184.00
2012/07/02	8.78	8.91	8.72	8.76	24003226	211549840.00
2012/07/03	8.76	8.93	8.68	8.75	21879921	192725936.00
2012/07/04	8.74	8.80	8.61	8.64	17018936	147799056.00
2012/07/05	8.56	8.56	8.26	8.34	21390024	179222432.00
2012/07/06	8.50	8.85	8.31	8.75	27748705	238035008.00
2012/07/09	8.61	8.77	8.35	8.40	20935813	179378976.00
2012/07/10	8.34	8.45	8.28	8.42	18567241	155406992.00
2012/07/11	8.38	8.55	8.31	8.53	17989203	151956080.00
2012/07/12	8.40	8.85	8.26	8.68	35274747	303242336.00
2012/07/13	8.62	8.85	8.57	8.65	21153560	183900224.00
2012/07/16	8.67	8.70	8.31	8.33	20843580	175464624.00
2012/07/17	8.28	8.70	8.24	8.50	24859544	211063904.00
2012/07/18	8.42	8.67	8.25	8.64	32074833	271440448.00
2012/07/19	8.56	9.06	8.52	8.78	58847475	520188768.00
2012/07/20	8.69	8.83	8.61	8.68	26715137	232670592.00
2012/07/23	8.59	8.70	8.39	8.58	19587622	167409120.00
2012/07/24	8.47	8.89	8.45	8.78	32369999	282838976.00
2012/07/25	8.70	8.85	8.58	8.65	19828954	172768880.00
2012/07/26	8.66	8.84	8.58	8.64	19575677	170775360.00
2012/07/27	8.70	8.74	8.43	8.57	22354018	191692704.00
2012/07/30	8.58	8.66	8.28	8.31	19798635	166408816.00
2012/07/31	8.28	8.42	8.19	8.23	15180885	125798248.00
2012/08/01	8.22	8.56	8.20	8.40	17297052	145327472.00
2012/08/02	8.39	8.40	8.14	8.24	17115901	141179408.00
2012/08/03	8.35	8.44	8.25	8.43	16652842	138956512.00
2012/08/06	8.37	8.69	8.31	8.66	31698007	270740064.00
2012/08/07	8.66	8.72	8.57	8.65	20341428	175826464.00
2012/08/08	8.71	8.83	8.62	8.65	24892795	216844384.00
2012/08/09	8.60	8.75	8.44	8.71	24434316	210399408.00
2012/08/10	8.62	8.67	8.51	8.53	15121967	129699856.00
2012/08/13	8.51	8.52	7.70	7.80	50390257	408193696.00
2012/08/14	7.79	7.81	7.45	7.74	28741056	218749568.00
2012/08/15	7.66	7.72	7.54	7.55	13173152	100399200.00
2012/08/16	7.57	7.70	7.53	7.58	12014852	91530304.00
2012/08/17	7.56	7.61	7.48	7.58	10046842	75705744.00
2012/08/20	7.48	7.60	7.38	7.53	11066960	82605640.00
2012/08/21	7.57	7.70	7.49	7.61	15646029	119328752.00
2012/08/22	7.63	7.64	7.43	7.46	11708652	88022984.00
2012/08/23	7.56	7.64	7.48	7.53	13837617	104635216.00
2012/08/24	7.50	7.58	7.38	7.39	10686948	79807864.00
2012/08/27	7.36	7.36	6.89	6.90	18513051	130557048.00
2012/08/28	6.91	7.18	6.88	7.07	15568740	109526024.00
2012/08/29	7.01	7.05	6.88	6.89	11618160	80835120.00
2012/08/30	6.89	7.36	6.84	7.17	31131295	221597968.00
2012/08/31	7.10	7.18	7.04	7.11	13793594	98051744.00
2012/09/03	7.11	7.37	7.03	7.31	26320160	191022096.00
