601958 金钼股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	10.91	11.00	10.55	10.65	22076700	238021808.00
2009/01/09	10.64	11.45	10.63	11.22	29958400	333475968.00
2009/01/12	11.35	12.09	11.24	11.71	47161900	554847680.00
2009/01/13	11.46	11.95	11.30	11.35	33482200	388716832.00
2009/01/14	11.38	12.31	11.38	12.30	44696000	534628992.00
2009/01/15	12.04	12.84	11.93	12.32	52305600	643600000.00
2009/01/16	12.37	12.91	12.30	12.37	41380800	521617216.00
2009/01/19	12.44	12.67	11.88	12.37	37303900	456483360.00
2009/01/20	12.21	12.76	12.15	12.65	25508200	318785504.00
2009/01/21	12.39	12.87	12.30	12.53	25636100	323480992.00
2009/01/22	12.60	13.13	12.56	13.08	27945800	360763136.00
2009/01/23	13.06	13.06	12.71	12.76	21874600	281304448.00
2009/02/02	12.85	13.24	12.76	13.14	20330700	264646176.00
2009/02/03	13.07	13.42	12.99	13.17	24608800	324139424.00
2009/02/04	13.23	13.50	12.90	13.46	55193700	724321472.00
2009/02/05	13.31	13.44	12.77	12.89	51426500	674276032.00
2009/02/06	12.95	13.88	12.95	13.60	54986000	736411136.00
2009/02/09	13.82	14.58	13.66	14.33	63280700	895607424.00
2009/02/10	14.18	14.57	14.00	14.48	47968500	686633216.00
2009/02/11	14.20	15.46	14.05	14.78	67515000	1002175296.00
2009/02/12	14.97	14.97	13.83	14.31	52100300	742049600.00
2009/02/13	14.18	14.60	14.10	14.52	43408800	623837376.00
2009/02/16	14.60	14.80	14.12	14.69	41573600	599916800.00
2009/02/17	14.72	15.45	14.15	14.55	54608100	809199808.00
2009/02/18	14.20	14.54	13.58	13.60	40049700	563415488.00
2009/02/19	13.78	13.96	13.33	13.67	26614700	363754176.00
2009/02/20	13.68	14.32	13.44	14.31	34737300	481103136.00
2009/02/23	14.08	14.78	13.94	14.50	36200500	522409728.00
2009/02/24	14.25	14.57	13.55	13.57	42422600	595808448.00
2009/02/25	13.85	13.94	13.05	13.53	34036500	460603712.00
2009/02/26	13.68	13.77	12.20	12.47	30246800	398224096.00
2009/02/27	12.40	12.40	11.40	11.60	30978000	366806496.00
2009/03/02	11.45	12.05	11.44	11.93	19927000	235642672.00
2009/03/03	11.59	11.96	11.50	11.71	20793900	243964384.00
2009/03/04	11.80	12.85	11.78	12.78	36763900	455398016.00
2009/03/05	12.99	13.45	12.70	12.98	42978500	562728320.00
2009/03/06	12.60	12.94	12.55	12.71	19854000	252567904.00
2009/03/09	12.65	12.95	11.92	11.97	24674800	306220832.00
2009/03/10	11.81	12.45	11.81	12.36	16660600	203402576.00
2009/03/11	12.67	12.93	12.38	12.45	21557700	273086080.00
2009/03/12	12.24	12.56	12.06	12.56	14342400	176058192.00
2009/03/13	12.69	12.80	12.38	12.40	15265200	192059312.00
2009/03/16	12.44	12.83	12.29	12.78	15710800	198266128.00
2009/03/17	12.86	13.77	12.73	13.64	51727300	697067328.00
2009/03/18	13.67	14.25	13.55	13.76	48349900	672761088.00
2009/03/19	13.85	14.26	13.59	14.07	39240500	548343936.00
2009/03/20	14.25	15.36	14.25	15.06	96601200	1424679296.00
2009/03/23	15.21	15.97	14.78	15.16	88739700	1360606336.00
2009/03/24	15.27	15.37	14.89	14.96	46945900	707353536.00
2009/03/25	14.77	15.70	14.65	14.86	52643400	800265664.00
2009/03/26	15.00	15.49	14.42	15.40	46259400	695323072.00
2009/03/27	15.50	15.50	14.89	15.02	46765000	710164416.00
2009/03/30	14.89	14.89	14.54	14.62	28316700	416068736.00
2009/03/31	14.19	14.75	14.10	14.74	26601700	384652768.00
2009/04/01	14.83	16.21	14.82	15.99	89534900	1425843968.00
2009/04/02	15.75	16.20	15.58	15.89	71829600	1136539264.00
2009/04/03	16.20	16.33	15.58	15.65	45818200	728383488.00
2009/04/07	15.49	15.92	15.41	15.89	33202700	520960640.00
2009/04/08	15.81	15.83	14.91	14.93	37705000	579326656.00
2009/04/09	14.94	15.20	14.70	15.19	25526000	383307616.00
2009/04/10	15.38	16.15	15.23	15.90	48348700	760471680.00
2009/04/13	16.05	16.48	15.80	16.23	62698400	1008881600.00
2009/04/14	16.24	16.33	15.93	16.06	37386800	602323264.00
2009/04/15	15.99	16.96	15.85	16.93	61850900	1026594176.00
2009/04/16	17.08	17.79	16.70	17.67	63167900	1081728896.00
2009/04/17	17.40	17.41	16.76	16.79	49686100	847687616.00
2009/04/20	16.50	17.16	16.41	17.02	41572400	702562432.00
2009/04/21	16.70	17.20	16.20	16.99	45627600	759288640.00
2009/04/22	17.02	17.07	15.90	15.91	48368300	798772992.00
2009/04/24	16.30	16.35	15.85	15.87	24206400	389253984.00
2009/04/27	15.70	15.75	14.65	14.97	31983800	484248704.00
2009/04/28	15.10	15.17	14.80	15.09	20384700	306423264.00
2009/04/29	14.78	15.31	14.45	15.11	37961700	568235008.00
2009/04/30	15.17	15.30	15.01	15.12	30007700	454196992.00
2009/05/04	15.24	15.84	15.14	15.67	31503600	489119616.00
2009/05/05	15.81	15.85	15.43	15.55	26835700	418471744.00
2009/05/06	15.48	15.77	15.27	15.65	26499000	410891200.00
2009/05/07	15.81	16.70	15.81	16.04	45138400	732048832.00
2009/05/08	16.04	16.04	15.49	15.87	23555600	371744416.00
2009/05/11	15.95	15.96	15.10	15.12	23971700	372380160.00
2009/05/12	15.00	15.40	14.91	15.39	12350000	188318816.00
2009/05/13	15.65	16.34	15.65	16.20	38564300	622108352.00
2009/05/14	15.98	16.31	15.91	16.20	19877200	321159872.00
2009/05/15	16.30	16.64	16.11	16.27	21389100	349208416.00
2009/05/18	16.27	16.52	15.90	16.42	23297100	379362336.00
2009/05/19	13.68	14.00	13.21	13.85	31398700	427342688.00
2009/05/20	13.69	13.78	13.35	13.38	28796700	390438208.00
2009/05/21	13.13	13.54	13.09	13.21	25373600	337654592.00
2009/05/22	13.19	13.26	12.86	12.98	26258434	341650784.00
2009/05/25	12.55	13.37	12.51	13.30	27062610	350399136.00
2009/05/26	13.30	13.68	13.20	13.20	30069463	403365152.00
2009/05/27	13.30	13.39	13.04	13.21	16579938	219230352.00
2009/06/01	13.42	14.20	13.41	14.16	68999543	958405440.00
2009/06/02	14.30	14.55	13.96	14.05	60621146	866314752.00
2009/06/03	14.00	14.41	13.91	14.39	40644402	577211584.00
2009/06/04	14.20	14.94	14.10	14.84	59944207	867343232.00
2009/06/05	15.01	15.28	14.44	14.47	51428773	762401728.00
2009/06/08	14.48	14.79	14.00	14.63	34679180	499807328.00
2009/06/09	14.57	14.70	14.05	14.29	24580839	350705248.00
2009/06/10	14.50	14.76	14.40	14.69	30874809	451775616.00
2009/06/11	14.45	14.88	14.45	14.69	29463928	433109184.00
2009/06/12	14.72	14.99	14.02	14.12	31966575	463250752.00
2009/06/15	14.12	14.33	13.80	14.18	17498492	246730688.00
2009/06/16	13.86	14.28	13.82	13.99	12027788	168691952.00
2009/06/17	14.01	14.45	14.01	14.36	14739955	209794368.00
2009/06/18	14.41	14.66	14.30	14.56	24174096	350562464.00
2009/06/19	14.54	14.55	14.27	14.38	16290748	234280128.00
2009/06/22	14.51	14.97	14.36	14.82	32694409	480107392.00
2009/06/23	14.70	15.77	14.63	15.28	71705822	1096377216.00
2009/06/24	15.25	15.97	15.03	15.61	49497167	770227072.00
2009/06/25	15.71	15.98	15.16	15.24	33589528	520414272.00
2009/06/26	15.36	15.65	15.20	15.33	22761968	351092000.00
2009/06/29	15.35	15.68	15.08	15.59	29721697	455414624.00
2009/06/30	15.68	16.37	15.24	16.15	50103232	794819648.00
2009/07/01	15.95	16.44	15.87	16.24	34948790	566701504.00
2009/07/02	16.35	16.44	16.02	16.18	41046678	666741440.00
2009/07/03	16.05	16.28	15.67	16.13	33639948	536594368.00
2009/07/06	16.09	16.55	15.86	16.41	49985849	814144896.00
2009/07/07	16.31	16.32	15.91	15.93	28362697	456330912.00
2009/07/08	15.70	16.00	15.40	15.75	27247061	427265280.00
2009/07/10	15.97	16.56	15.96	16.03	26678935	432547360.00
2009/07/13	15.95	15.97	15.62	15.63	18647816	293540448.00
2009/07/14	15.70	15.93	15.60	15.82	15404118	242831136.00
2009/07/15	15.90	16.45	15.86	16.38	35116082	567495488.00
2009/07/16	16.53	16.97	16.22	16.34	46526421	776287488.00
2009/07/17	16.49	17.65	16.18	17.62	63888638	1093086336.00
2009/07/20	17.95	18.68	17.75	18.40	58220680	1058320960.00
2009/07/21	18.40	18.47	17.56	17.66	37714256	674281024.00
2009/07/22	17.60	19.19	17.51	18.77	56316340	1049931264.00
2009/07/23	18.82	20.65	18.82	20.64	75739756	1539775488.00
2009/07/24	20.64	21.65	20.10	21.33	53857637	1122656000.00
2009/07/27	21.20	22.58	20.79	22.33	46118516	1007765184.00
2009/07/28	22.10	23.29	21.39	21.89	42045632	940668480.00
2009/07/29	21.59	21.59	19.70	19.87	45480722	933903936.00
2009/07/30	20.21	21.18	19.71	20.86	44826891	920677760.00
2009/07/31	21.40	22.60	21.00	22.37	37483645	812654912.00
2009/08/03	22.59	23.98	22.39	23.57	33698055	784806848.00
2009/08/04	23.90	25.51	23.87	24.49	41922490	1038999360.00
2009/08/05	24.20	25.70	23.33	25.66	37577938	916656704.00
2009/08/06	25.12	26.80	24.15	24.39	56942578	1453651456.00
2009/08/07	23.70	23.97	22.30	22.94	50920051	1183953536.00
2009/08/10	23.50	24.37	22.60	23.68	35474880	831509696.00
2009/08/11	23.69	23.69	21.96	22.38	25371635	573570368.00
2009/08/12	21.90	22.14	20.20	20.29	39142975	820462272.00
2009/08/13	20.73	21.66	20.20	21.35	33216808	696286592.00
2009/08/14	21.25	22.49	20.90	20.93	46324908	1004061440.00
2009/08/17	19.79	19.97	18.84	18.84	37621392	722831936.00
2009/08/18	18.82	19.74	18.43	19.58	30720584	591259264.00
2009/08/19	19.45	19.56	17.71	17.99	30548520	564590912.00
2009/08/20	18.10	19.79	17.94	19.79	36426228	683322560.00
2009/08/21	19.32	20.59	18.82	20.17	54842522	1077622784.00
2009/08/24	20.60	21.56	20.30	21.32	48343323	1017101504.00
2009/08/25	20.71	21.30	19.30	20.77	43085240	867132096.00
2009/08/26	20.29	21.35	19.90	20.62	44108325	916768320.00
2009/08/27	20.17	20.59	19.48	19.71	30344946	606418176.00
2009/08/28	19.88	20.17	18.55	18.71	35375907	675820608.00
2009/08/31	18.32	18.32	16.84	16.84	38372339	658330304.00
2009/09/01	16.53	16.97	15.88	16.15	30375813	496755584.00
2009/09/02	16.00	16.78	15.80	16.66	30419093	498587072.00
2009/09/03	16.66	18.33	16.66	18.24	47377096	842678272.00
2009/09/04	18.34	19.10	18.25	18.29	49913535	930248768.00
2009/09/07	18.31	18.77	18.00	18.45	37439070	689126976.00
2009/09/08	18.35	19.00	17.80	18.95	35223401	652103616.00
2009/09/09	19.50	19.91	19.18	19.68	46991487	921919296.00
2009/09/10	19.48	19.84	18.99	19.28	26761355	519150112.00
2009/09/11	19.00	19.80	18.90	19.40	26714329	520955168.00
2009/09/14	19.10	20.15	19.00	19.76	28754452	567704384.00
2009/09/15	19.80	21.69	19.54	21.02	58484235	1204571008.00
2009/09/16	21.10	22.49	20.70	21.98	67649106	1451607936.00
2009/09/17	22.10	22.45	21.53	22.11	47075666	1040493888.00
2009/09/18	21.98	22.15	20.06	20.48	40778511	861263616.00
2009/09/21	20.10	22.30	19.60	22.05	51504312	1077774976.00
2009/09/22	21.91	22.19	20.92	21.09	37374312	807474368.00
2009/09/23	21.09	21.66	20.10	20.33	29720667	619202304.00
2009/09/24	20.00	20.87	19.39	20.37	30454692	611752064.00
2009/09/25	19.90	20.58	19.62	19.96	19794727	396934976.00
2009/09/28	19.99	20.30	18.25	18.50	23194987	444421792.00
2009/09/29	18.52	18.69	17.69	18.22	18430740	333608384.00
2009/09/30	18.37	19.39	18.31	18.71	18503061	349691776.00
2009/10/09	20.20	20.58	19.71	20.58	32764785	667232000.00
2009/10/12	20.80	20.82	19.91	20.52	24573448	500180448.00
2009/10/13	20.50	21.09	20.18	20.99	23655712	491881888.00
2009/10/14	21.00	22.10	20.82	21.54	33932137	728304256.00
2009/10/15	21.65	22.00	21.26	21.35	21515797	464466240.00
2009/10/16	21.28	21.47	20.50	21.02	22331324	466814272.00
2009/10/19	21.05	22.37	20.80	22.20	39830983	871337920.00
2009/10/20	22.49	23.20	22.33	22.69	42752843	969881472.00
2009/10/21	22.56	23.15	22.10	22.70	32146622	731615552.00
2009/10/22	22.88	23.17	22.21	22.27	26002576	591801856.00
2009/10/23	22.33	22.99	22.33	22.65	22288093	504924640.00
2009/10/26	22.49	23.20	22.18	23.01	33296805	757689152.00
2009/10/27	22.58	22.58	21.30	21.64	38510411	848632832.00
2009/10/28	21.30	21.83	21.00	21.59	21303344	456640416.00
2009/10/29	20.90	21.59	19.88	20.30	34182841	700031232.00
2009/10/30	20.71	21.18	20.50	20.59	24457830	510211840.00
2009/11/02	19.70	21.10	19.65	21.04	20780264	427766080.00
2009/11/03	21.22	21.69	21.16	21.35	19553105	419125536.00
2009/11/04	21.62	21.90	21.30	21.49	21194175	457986400.00
2009/11/05	21.53	21.68	21.17	21.31	17203017	366706784.00
2009/11/06	21.53	22.30	21.31	21.95	30547679	668431552.00
2009/11/09	22.00	22.49	21.75	22.25	22354803	495427616.00
2009/11/10	22.50	22.60	21.81	21.85	22613342	498952512.00
2009/11/11	21.87	21.94	21.38	21.63	15087982	326427200.00
2009/11/12	21.72	22.01	21.37	21.48	15611947	338915328.00
2009/11/13	21.38	21.49	20.66	21.41	26317757	555444672.00
2009/11/16	21.58	22.51	21.53	22.27	33461271	738945216.00
2009/11/17	22.62	22.90	22.15	22.28	29893874	672156736.00
2009/11/18	22.28	22.48	22.01	22.36	21466019	478302848.00
2009/11/19	22.48	22.51	22.09	22.21	23877248	530645536.00
2009/11/20	22.11	22.14	21.63	21.79	26687539	582013632.00
2009/11/23	21.87	22.59	21.62	22.50	46073267	1015452480.00
2009/11/24	22.50	22.98	21.63	21.78	59194125	1332227328.00
2009/11/25	21.68	22.40	21.20	22.21	31027060	678667968.00
2009/11/26	22.61	23.18	22.00	22.08	57514363	1302465408.00
2009/11/27	21.40	21.68	20.62	20.81	30580464	647090688.00
2009/11/30	20.87	21.36	20.71	21.34	23365938	491995680.00
2009/12/01	21.22	21.45	20.80	21.33	28138481	595050944.00
2009/12/02	21.58	22.28	21.45	22.22	39093415	853728256.00
2009/12/03	22.08	22.16	21.40	21.65	25441566	552693952.00
2009/12/04	21.51	21.77	20.80	21.31	28474029	605585600.00
2009/12/07	21.00	21.29	20.90	21.27	21967513	462436800.00
2009/12/08	21.33	21.50	20.68	21.14	22281219	469673824.00
2009/12/09	20.80	20.97	20.38	20.51	23792209	491421472.00
2009/12/10	20.60	20.78	20.50	20.64	14910326	307095776.00
2009/12/11	20.65	20.95	20.65	20.72	11211805	233000096.00
2009/12/14	20.72	20.86	20.00	20.80	15371870	313914816.00
2009/12/15	20.80	21.00	20.56	20.61	12922361	268715712.00
2009/12/16	20.51	20.65	20.16	20.25	11910978	242585328.00
2009/12/17	20.43	20.52	19.35	19.46	17545226	348501312.00
2009/12/18	19.20	19.20	18.30	18.36	20871963	389685152.00
2009/12/21	18.46	18.68	18.06	18.55	13066337	240538096.00
2009/12/22	18.57	18.65	17.58	17.60	14061629	253458272.00
2009/12/23	17.61	18.22	17.61	17.94	15174798	271936960.00
2009/12/24	18.21	18.91	18.08	18.81	16999508	314884576.00
2009/12/25	18.82	19.04	18.60	18.82	12565159	236681456.00
2009/12/28	18.83	19.45	18.83	19.14	13516802	259899344.00
2009/12/29	19.15	19.28	18.80	19.05	9252150	175780544.00
2009/12/30	19.05	19.14	18.75	19.02	13889239	262795840.00
2009/12/31	19.00	19.10	18.80	19.06	12876739	244095376.00
2010/01/04	19.20	19.25	18.80	18.81	11262557	213015936.00
2010/01/05	18.90	19.74	18.90	19.53	26978475	523650752.00
2010/01/06	19.56	19.98	19.32	19.45	17552502	346172896.00
2010/01/07	19.70	20.25	19.00	19.29	26947958	534061696.00
2010/01/08	19.10	19.10	18.49	18.88	19218092	359870400.00
2010/01/11	19.10	19.50	18.61	19.00	16469596	312502368.00
2010/01/12	19.08	19.26	18.60	19.17	18310758	346624704.00
2010/01/13	18.80	18.80	18.12	18.31	21953026	404829088.00
2010/01/14	18.39	18.61	18.19	18.51	10819303	199986640.00
2010/01/15	18.50	18.65	18.30	18.63	11850236	219403888.00
2010/01/18	18.80	19.71	18.70	19.70	33116147	643527808.00
2010/01/19	19.84	20.30	19.82	20.15	33593130	673802368.00
2010/01/20	20.20	20.22	19.11	19.31	19279405	377765120.00
2010/01/21	19.12	19.39	18.63	18.88	12493051	236580896.00
2010/01/22	18.58	18.78	18.00	18.50	14460598	264960464.00
2010/01/25	18.45	18.74	18.18	18.26	8634085	158692544.00
2010/01/26	18.26	18.45	17.10	17.38	18173900	318806016.00
2010/01/27	17.40	17.48	16.69	16.95	14490859	245839472.00
2010/01/28	16.88	16.99	16.52	16.84	10302612	172667328.00
2010/01/29	16.80	17.22	16.68	16.92	10051607	170250992.00
2010/02/01	16.71	16.80	15.87	16.14	11289220	183646656.00
2010/02/02	16.50	16.94	16.35	16.44	14377020	239026944.00
