603019 中科曙光 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/11/06	7.62	7.62	7.62	7.62	64400	490728.00
2014/11/07	8.38	8.38	8.38	8.38	10722	89850.36
2014/11/10	9.22	9.22	9.22	9.22	15600	143832.00
2014/11/11	10.14	10.14	10.14	10.14	20500	207870.00
2014/11/12	11.15	11.15	11.15	11.15	21900	244185.00
2014/11/13	12.27	12.27	12.27	12.27	35300	433131.00
2014/11/14	13.50	13.50	13.50	13.50	42600	575100.00
2014/11/17	14.85	14.85	14.85	14.85	81400	1208790.00
2014/11/18	16.34	16.34	16.34	16.34	153500	2508190.00
2014/11/19	17.97	17.97	17.97	17.97	191100	3434067.00
2014/11/20	19.77	19.77	19.77	19.77	181896	3596084.00
2014/11/21	21.75	21.75	21.75	21.75	249440	5425320.00
2014/11/24	23.93	23.93	23.93	23.93	213870	5117909.00
2014/11/25	26.32	26.32	26.32	26.32	346780	9127250.00
2014/11/26	28.95	28.95	28.95	28.95	325219	9415090.00
2014/11/27	31.85	31.85	31.85	31.85	223550	7120067.50
2014/11/28	35.04	35.04	35.04	35.04	467125	16368060.00
2014/12/01	38.54	38.54	38.54	38.54	310850	11980159.00
2014/12/02	42.39	42.39	42.39	42.39	342290	14509673.00
2014/12/03	46.63	46.63	46.63	46.63	254205	11853579.00
2014/12/05	51.29	51.29	51.29	51.29	3727642	191190752.00
2014/12/08	56.42	56.42	56.42	56.42	8985418	506957280.00
2014/12/09	53.21	59.00	50.78	51.08	41207596	2198130944.00
2014/12/10	50.81	54.99	48.02	52.26	22329358	1162966784.00
2014/12/11	52.90	57.49	52.28	57.49	15662476	869555136.00
2014/12/12	61.50	62.99	52.00	53.32	28227799	1632089856.00
2014/12/15	50.90	53.60	48.88	52.91	14823289	757639552.00
2014/12/16	51.90	52.60	50.00	50.18	10458371	532569856.00
2014/12/17	48.80	51.88	48.50	50.00	10191263	512167872.00
2014/12/18	49.65	53.90	49.50	51.22	12493404	648177088.00
2014/12/19	50.11	50.60	46.10	46.10	13879452	660479424.00
2014/12/22	45.23	45.99	41.49	41.49	8930014	378905408.00
2014/12/23	39.82	43.50	39.28	40.20	9581748	396107616.00
2014/12/24	41.07	42.09	40.11	40.97	7300372	299836192.00
2014/12/25	41.20	45.07	39.99	43.64	11535670	493290240.00
2014/12/26	42.50	45.00	42.30	43.74	8295756	363550208.00
2014/12/29	43.00	44.00	40.72	43.42	10759338	455276032.00
2014/12/30	42.87	44.55	42.00	43.91	9094753	397619808.00
