603020 爱普股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/25	29.48	29.48	29.48	29.48	23300	686884.00
2015/03/26	32.43	32.43	32.43	32.43	9402	304906.88
2015/03/27	35.67	35.67	35.67	35.67	63800	2275746.00
2015/03/30	39.24	39.24	39.24	39.24	128699	5050149.00
2015/03/31	42.00	42.00	39.25	40.50	19728096	798134464.00
2015/04/01	39.50	40.50	39.39	40.23	8677853	347836768.00
2015/04/02	40.25	42.00	40.00	41.43	10051302	413472896.00
2015/04/03	41.00	43.99	40.65	43.32	8639929	360176288.00
2015/04/07	43.32	45.73	43.03	43.68	7312239	322010944.00
2015/04/08	43.80	44.28	41.51	42.30	6269903	267458464.00
2015/04/09	42.37	44.77	41.50	44.27	6631265	285367936.00
2015/04/10	44.09	44.45	43.21	43.95	4600233	202108608.00
2015/04/13	44.65	44.65	43.60	44.09	4716846	207895504.00
2015/04/14	44.20	45.65	44.20	44.37	4759144	213974320.00
2015/04/15	44.05	44.28	42.30	42.54	4097673	176070272.00
2015/04/16	42.40	43.22	41.71	42.69	2410748	102610408.00
2015/04/17	43.15	43.86	42.55	42.80	3611700	155172864.00
2015/04/20	42.80	42.82	41.62	41.78	3524676	148455280.00
2015/04/21	41.52	42.80	41.52	42.77	2416241	102411264.00
2015/04/22	42.90	43.90	42.90	43.44	3179235	138015568.00
2015/04/23	43.44	43.79	42.94	43.44	3281113	142524800.00
2015/04/24	42.71	43.55	42.50	43.09	3107477	133601912.00
2015/04/27	42.89	46.18	42.83	45.17	5868533	259148880.00
2015/04/28	44.80	44.96	43.00	43.28	3577869	156850352.00
2015/04/29	42.89	44.76	42.89	44.45	3697515	163182608.00
2015/04/30	44.41	46.80	43.95	45.94	6258677	284779136.00
2015/05/04	46.00	48.62	45.60	46.88	5393154	254094832.00
2015/05/05	46.81	46.99	45.59	45.84	3755865	173180416.00
2015/05/06	46.20	46.90	44.70	44.96	3513334	161693952.00
2015/05/07	44.88	45.00	43.20	43.21	2579912	113640096.00
2015/05/08	43.90	45.47	43.40	45.41	3497215	154465056.00
2015/05/11	45.60	49.95	45.60	49.95	7106842	342890688.00
2015/05/12	50.88	52.99	50.01	51.46	6836869	351132960.00
2015/05/13	50.05	53.92	50.00	52.82	4914297	257255568.00
2015/05/14	52.50	56.80	51.80	55.48	5037322	277530912.00
2015/05/15	55.01	61.03	55.01	61.03	5616686	325170784.00
2015/05/18	62.79	67.13	62.60	64.65	8054037	521365824.00
2015/05/19	65.00	65.34	60.11	62.02	6545361	407777600.00
2015/05/20	62.02	64.87	61.00	61.17	4403307	276393888.00
2015/05/21	61.00	64.59	60.10	63.76	3994410	249637296.00
2015/05/22	63.65	70.14	62.30	69.61	6288469	414249600.00
2015/05/25	67.40	74.58	66.60	70.13	6589934	472008416.00
2015/05/26	70.00	74.29	69.40	74.19	6989753	504397408.00
2015/05/27	74.15	81.61	72.76	81.60	7872688	614740736.00
2015/05/28	83.66	89.76	73.46	76.98	11647449	1017253312.00
2015/05/29	71.50	80.86	70.00	74.41	8515454	636920384.00
2015/06/01	74.50	75.30	70.00	72.47	6776043	489401216.00
2015/06/02	72.53	79.72	72.50	79.72	5652389	427765888.00
2015/06/03	81.77	82.00	75.12	75.85	4555220	356778304.00
2015/06/04	75.46	75.46	68.27	69.90	5839654	410085920.00
2015/06/05	71.45	72.58	67.62	69.16	3863190	272322752.00
2015/06/08	69.21	72.00	68.01	69.27	3779026	263590592.00
2015/06/09	69.30	71.00	68.31	69.14	2151129	149200832.00
2015/06/10	69.15	71.65	68.50	70.52	3444165	243932992.00
2015/06/11	70.61	72.00	69.40	71.82	4270262	302276032.00
2015/06/12	72.67	74.48	71.58	73.47	4565746	333964224.00
2015/06/15	73.00	73.07	66.46	71.40	5721891	394476480.00
2015/06/16	69.50	69.99	67.50	68.62	2010713	137796960.00
2015/06/17	68.01	70.89	65.22	69.11	2783219	189951024.00
2015/06/18	69.50	69.50	67.28	68.58	1897437	130227864.00
2015/06/19	67.60	67.60	61.72	61.72	1953711	125897032.00
2015/06/23	62.00	62.88	56.03	60.78	2167349	129308216.00
2015/06/24	61.98	63.46	59.58	61.34	2148435	132122328.00
2015/06/25	61.10	61.38	56.56	57.09	2161937	128457960.00
2015/06/26	55.00	55.00	51.38	51.38	2373649	124535840.00
2015/06/29	52.70	52.99	46.24	46.24	3548632	171005472.00
2015/06/30	46.24	50.86	45.25	50.86	4208227	203502528.00
2015/07/01	51.40	55.66	50.86	51.87	4607681	246650512.00
2015/07/02	51.08	53.98	49.60	50.89	4155745	216964848.00
2015/07/03	48.00	53.87	45.80	48.58	4639179	225887264.00
2015/07/06	53.44	53.44	43.72	44.99	5027696	243987776.00
2015/07/07	42.50	43.39	40.49	40.49	2270400	93318984.00
2015/07/08	36.44	36.44	36.44	36.44	277200	10101168.00
2015/07/09	32.80	40.08	32.80	40.08	7255058	261630080.00
2015/07/10	41.50	44.09	40.98	44.09	3332788	144751200.00
2015/07/13	46.88	48.50	45.70	48.50	6576151	312694624.00
2015/07/14	47.01	52.20	46.50	48.67	6830177	336172960.00
2015/07/15	47.00	47.49	43.80	43.80	3789575	171433632.00
2015/07/16	41.53	46.00	40.11	44.26	3044560	133173360.00
2015/07/17	44.40	48.45	44.40	47.29	3054463	141590672.00
2015/07/20	47.33	48.73	46.31	47.26	3326168	157839536.00
2015/07/21	46.86	48.65	45.88	48.59	3362593	160532480.00
2015/07/22	48.56	48.88	46.90	48.02	3484364	167195872.00
2015/07/23	48.00	52.18	47.65	51.49	4903808	245997056.00
2015/07/24	51.00	54.51	51.00	53.07	6966543	368015616.00
2015/07/27	50.20	53.45	47.76	47.76	4602602	233974224.00
2015/07/28	43.60	47.47	42.98	43.84	4808189	212174768.00
2015/07/29	44.81	47.80	41.83	47.59	4296525	190290480.00
2015/07/30	46.99	49.28	45.71	46.07	3861589	183558544.00
2015/07/31	44.23	46.75	43.77	44.78	3579780	160741392.00
2015/08/03	44.55	45.40	41.90	42.70	3038020	132121816.00
2015/08/04	43.48	45.97	42.80	45.92	3307915	146879984.00
2015/08/05	45.50	50.00	45.00	48.70	5983279	285401728.00
2015/08/06	47.00	48.50	46.50	47.09	3692921	175009952.00
2015/08/07	47.30	49.25	47.30	48.59	4062905	197321680.00
2015/08/10	49.21	53.45	48.10	53.45	4994901	255584816.00
2015/08/11	54.49	57.20	52.70	52.97	6610160	358828640.00
2015/08/12	51.88	53.80	50.90	51.05	3087959	161187568.00
2015/08/13	51.11	52.34	49.70	52.31	2687815	137446544.00
2015/08/14	52.27	53.49	51.45	51.70	2177205	113425072.00
2015/08/17	51.30	51.74	50.10	50.98	1711975	87006992.00
2015/08/18	50.52	52.80	45.88	45.88	3821009	186897264.00
2015/08/19	44.99	47.58	41.80	46.78	3300021	148816848.00
2015/08/20	46.00	46.50	44.00	44.22	2081101	94376856.00
2015/08/21	43.01	44.18	41.50	41.76	2961411	125887440.00
2015/08/24	39.80	40.17	37.58	37.58	2568589	98004008.00
2015/08/25	33.85	36.96	33.82	33.82	2785354	96781544.00
2015/08/26	35.00	37.15	34.00	34.95	3882290	137550720.00
2015/08/27	36.10	37.74	35.16	37.67	2825697	102852376.00
2015/08/28	38.25	41.44	37.13	41.44	6056045	241245040.00
2015/08/31	40.61	44.17	40.61	42.88	4945126	211177808.00
2015/09/01	42.50	44.85	40.50	40.82	5109529	221676000.00
2015/09/02	38.00	44.90	37.00	41.80	5448224	232062000.00
2015/09/07	43.00	44.58	42.70	44.43	3285282	143399696.00
2015/09/08	43.70	47.00	43.55	46.49	3255112	146347856.00
2015/09/09	46.80	46.85	45.53	46.50	4574622	211613424.00
2015/09/10	45.80	46.38	44.01	44.51	2542658	114799952.00
2015/09/11	44.78	45.80	43.91	44.56	1952126	87496488.00
2015/09/14	44.97	45.16	40.10	40.10	2281613	95694664.00
2015/09/15	38.90	44.05	37.76	40.74	2529032	99623352.00
2015/09/16	39.50	44.24	39.40	42.56	5848498	243707520.00
2015/09/17	41.91	41.99	39.50	39.78	3805474	156680688.00
2015/09/18	40.02	40.42	38.89	39.33	1774787	70176144.00
2015/09/21	38.90	40.48	38.56	40.32	3150171	126161544.00
2015/09/22	40.60	41.30	39.90	40.25	2424601	98401448.00
2015/09/23	39.50	40.19	39.05	39.40	1778238	70388688.00
2015/09/24	39.42	40.88	39.42	40.47	1911642	77154464.00
2015/09/25	40.48	40.97	38.40	38.96	2002192	79472000.00
2015/09/28	39.17	40.00	38.58	39.85	1230723	48462724.00
2015/09/29	39.05	39.75	39.05	39.28	1128774	44504340.00
2015/09/30	39.58	40.46	39.34	40.29	1410285	56441092.00
2015/10/08	41.55	41.97	40.70	41.68	2368245	98269064.00
2015/10/09	41.58	41.83	41.02	41.73	2102114	87259024.00
2015/10/12	41.90	44.05	41.90	43.67	3441170	148450784.00
2015/10/13	43.01	43.54	42.88	43.34	2317004	100158944.00
2015/10/14	43.10	43.78	42.90	43.02	1890867	81803664.00
2015/10/15	42.82	44.29	42.80	44.22	2624828	114911184.00
2015/10/16	44.46	45.14	43.72	44.60	3011043	134129504.00
2015/10/19	44.77	45.20	43.68	44.01	2140055	94930048.00
2015/10/20	44.08	44.96	43.71	44.92	2044992	90736528.00
2015/10/21	44.95	46.66	42.38	42.67	4702533	210600000.00
2015/10/22	42.61	44.50	42.61	44.46	2602413	113138640.00
2015/10/23	44.60	46.10	44.15	45.82	3188229	144221296.00
2015/10/26	46.00	46.64	45.61	46.43	2884194	133127360.00
2015/10/27	46.00	46.43	44.17	45.94	2589191	117796936.00
2015/10/28	45.90	46.98	44.37	44.70	2648564	121526296.00
2015/10/29	45.00	45.52	44.40	45.00	1618058	72808400.00
