603069 海汽集团 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/07/12	4.58	5.50	4.58	5.50	33500	183238.00
2016/07/13	6.05	6.05	6.05	6.05	17789	107623.45
2016/07/14	6.66	6.66	6.66	6.66	10600	70596.00
2016/07/15	7.33	7.33	7.33	7.33	14288	104731.04
2016/07/18	8.06	8.06	8.06	8.06	32200	259532.00
2016/07/19	8.87	8.87	8.87	8.87	12400	109988.00
2016/07/20	9.76	9.76	9.76	9.76	24489	239012.64
2016/07/21	10.74	10.74	10.74	10.74	27700	297498.00
2016/07/22	11.81	11.81	11.81	11.81	114254	1349339.75
2016/07/25	12.99	12.99	12.99	12.99	233512	3033321.00
2016/07/26	14.29	14.29	14.29	14.29	229856	3284642.25
2016/07/27	15.72	15.72	15.72	15.72	351667	5528205.00
2016/07/28	17.29	17.29	17.29	17.29	354680	6132417.00
2016/07/29	19.02	19.02	19.02	19.02	289779	5511596.50
2016/08/01	20.92	20.92	20.92	20.92	643447	13460911.00
2016/08/02	23.01	23.01	21.81	23.01	52595211	1188076160.00
2016/08/03	23.20	25.31	22.71	25.31	35991158	862077952.00
2016/08/04	25.99	27.59	24.32	24.82	53850485	1394836736.00
2016/08/05	24.24	24.88	23.71	24.38	30684532	742616128.00
2016/08/08	23.61	24.57	23.31	23.85	21451785	512567424.00
2016/08/09	24.15	24.99	23.81	24.80	31869083	777545024.00
2016/08/10	24.36	25.67	23.86	24.72	31381284	775798976.00
2016/08/11	24.35	25.58	24.00	24.71	26086626	644874752.00
2016/08/12	24.79	27.18	24.55	27.18	41160423	1074163712.00
2016/08/15	27.78	27.78	26.30	27.34	43182391	1168691584.00
2016/08/16	26.88	27.98	26.80	26.88	33149996	904270912.00
2016/08/17	26.62	26.79	25.75	26.53	24735551	650280256.00
2016/08/18	26.37	26.76	25.89	26.37	19546590	514368832.00
2016/08/19	26.06	26.20	24.58	24.77	21964966	553818176.00
2016/08/22	24.40	24.53	23.88	23.90	12568060	302521504.00
2016/08/23	24.04	24.60	24.00	24.23	11879752	288294592.00
2016/08/24	24.18	24.33	23.51	23.78	12164593	289823264.00
2016/08/25	23.40	23.77	22.71	23.56	11207851	259864304.00
2016/08/26	23.40	23.90	23.13	23.24	8688464	204157280.00
2016/08/29	23.00	23.40	22.80	23.17	5741655	132825056.00
2016/08/30	23.17	23.85	23.17	23.80	10992130	259719856.00
2016/08/31	23.81	24.19	23.42	23.75	10995904	261061888.00
2016/09/01	23.50	23.60	23.02	23.04	8625657	200971184.00
2016/09/02	23.05	23.19	22.36	22.44	7682910	174584400.00
2016/09/05	22.50	22.67	21.90	21.96	6982481	155221248.00
2016/09/06	21.88	22.37	21.23	22.33	9071529	197196640.00
2016/09/07	22.18	22.20	21.72	21.95	6251481	137342160.00
2016/09/08	21.90	22.65	21.71	22.60	11663869	261076432.00
2016/09/09	22.61	22.85	21.85	21.89	9532695	213138176.00
2016/09/12	21.30	21.30	20.70	20.81	6701036	140657152.00
2016/09/13	20.91	21.20	20.80	20.91	4398994	92202952.00
2016/09/14	20.80	20.92	20.59	20.66	3669416	76095256.00
2016/09/19	20.56	20.88	20.40	20.78	3227273	66839804.00
2016/09/20	20.80	20.85	20.40	20.60	2971187	61175340.00
2016/09/21	20.58	21.00	20.46	20.97	6680124	139168976.00
2016/09/22	20.97	21.05	20.83	20.97	7681267	160970400.00
2016/09/23	20.98	21.20	20.22	20.28	10128089	211154944.00
2016/09/26	19.55	19.80	18.26	18.37	11167912	211845952.00
2016/09/27	18.32	18.46	17.90	18.43	5424400	98754544.00
2016/09/28	18.38	18.39	18.00	18.15	3295209	59851392.00
2016/09/29	18.23	19.00	18.11	18.77	7209379	133481376.00
2016/09/30	18.60	18.90	18.58	18.80	5785387	108768160.00
