603151 邦基科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/10/19	21.54	25.85	21.54	25.00	21569586	537865920.00
2022/10/20	23.00	23.50	22.50	22.50	10528015	238902000.00
2022/10/21	20.52	21.85	20.31	20.81	14137534	294665440.00
2022/10/24	20.99	21.40	20.51	20.56	8689856	181197632.00
2022/10/25	20.15	20.15	18.53	18.65	10646444	202127536.00
2022/10/26	18.28	18.76	18.01	18.23	8854253	162566544.00
2022/10/27	18.23	18.50	18.06	18.33	7056734	129005672.00
2022/10/28	18.19	18.28	17.07	17.09	7531491	132492864.00
2022/10/31	16.83	17.83	16.73	17.82	7118969	123665952.00
2022/11/01	17.61	19.60	17.60	19.60	15657647	300977408.00
2022/11/02	19.12	20.20	19.12	19.34	11328642	221164240.00
2022/11/03	19.42	19.42	18.61	18.84	8481098	160942304.00
2022/11/04	18.74	18.97	18.62	18.76	6024359	112846576.00
2022/11/07	18.81	18.95	18.40	18.55	5889651	110214440.00
2022/11/08	18.67	19.61	18.60	19.60	12238983	233597888.00
2022/11/09	20.66	20.80	19.85	20.14	13643285	277745440.00
2022/11/10	20.66	22.15	20.65	22.15	9021127	195301248.00
2022/11/11	22.73	23.93	21.11	21.50	15237846	346421856.00
2022/11/14	22.00	22.99	21.72	21.79	8680262	192908912.00
2022/11/15	21.22	23.97	21.20	23.97	10205308	231524576.00
2022/11/16	24.80	26.37	23.93	25.58	11865840	298809088.00
2022/11/17	25.10	26.11	24.30	25.30	9130055	227994160.00
2022/11/18	24.98	25.26	23.45	23.92	6649119	163041584.00
2022/11/21	23.99	25.54	23.86	24.90	4608402	114201760.00
2022/11/22	24.91	25.10	24.30	24.64	3599300	89048800.00
2022/11/23	24.48	24.55	23.11	24.01	2424822	57669112.00
2022/11/24	24.00	24.00	23.35	23.82	1923058	45353168.00
2022/11/25	23.80	23.82	22.61	22.81	2519158	57748212.00
2022/11/28	22.20	23.78	22.09	23.30	3692825	84777832.00
2022/11/29	22.86	23.20	22.59	22.62	2156247	49205420.00
2022/11/30	23.11	23.20	22.30	22.73	1835344	41660948.00
2022/12/01	22.73	23.30	22.72	22.82	2122050	48802544.00
2022/12/02	22.67	23.49	21.70	21.74	4082679	91055104.00
2022/12/05	21.80	22.13	21.55	21.94	2405397	52579580.00
2022/12/06	21.93	22.08	21.70	21.80	1643540	35906420.00
2022/12/07	21.87	22.30	21.58	21.71	2138600	46751608.00
2022/12/08	21.53	21.69	21.12	21.17	2106360	44866080.00
2022/12/09	21.16	21.17	20.25	20.40	2993171	61315856.00
2022/12/12	20.36	20.67	20.14	20.45	1801555	36832808.00
2022/12/13	20.47	21.45	20.26	21.13	3083394	64677976.00
2022/12/14	21.13	21.13	20.51	20.78	2254170	46800784.00
2022/12/15	20.81	21.34	20.60	20.63	1415660	29507872.00
2022/12/16	20.71	20.89	20.10	20.79	2517607	51979700.00
2022/12/19	21.10	21.30	20.17	20.63	2775100	57494476.00
2022/12/20	20.62	20.77	20.20	20.22	1587482	32270832.00
2022/12/21	20.01	20.79	19.83	20.21	2031613	41086816.00
2022/12/22	20.24	22.20	20.24	21.00	3900776	83275968.00
2022/12/23	20.69	20.75	19.91	20.06	3203731	64977824.00
2022/12/26	20.08	21.10	20.08	21.06	2987530	62100168.00
2022/12/27	20.78	21.41	20.28	20.77	3337460	68713984.00
2022/12/28	20.90	20.90	20.08	20.14	2446979	49605240.00
2022/12/29	19.90	20.06	19.47	19.80	2621380	51658384.00
2022/12/30	20.00	21.25	19.80	21.04	3607592	74484952.00
2023/01/03	21.00	21.45	20.72	21.32	2036086	42959820.00
2023/01/04	21.11	21.81	20.84	21.53	2268120	48493088.00
2023/01/05	22.02	22.02	21.32	21.55	2187868	47123488.00
2023/01/06	21.46	21.46	20.73	20.91	1313103	27629484.00
2023/01/09	20.84	21.17	20.58	21.06	1422760	29641340.00
2023/01/10	21.20	21.20	20.48	20.50	1174210	24395940.00
2023/01/11	20.33	20.74	20.33	20.36	927309	18984362.00
2023/01/12	20.20	20.24	19.83	19.91	1359564	27230630.00
2023/01/13	19.91	20.35	19.83	20.20	2084367	41929720.00
2023/01/16	20.05	20.83	20.02	20.47	1259270	25608764.00
2023/01/17	20.30	20.43	20.02	20.05	847676	17136642.00
2023/01/18	20.21	20.21	19.51	19.67	1735547	34203576.00
2023/01/19	19.69	20.30	19.55	20.10	2406282	48190772.00
2023/01/20	20.30	20.33	19.90	19.97	1230020	24613636.00
2023/01/30	20.09	21.63	20.08	21.45	4144152	86674264.00
2023/01/31	21.23	21.37	20.73	20.84	1964573	41094068.00
2023/02/01	21.16	21.16	20.59	20.84	2506792	51949216.00
2023/02/02	20.80	21.11	20.67	20.80	3183123	66307456.00
2023/02/03	20.79	20.79	20.25	20.60	1940357	39756288.00
2023/02/06	20.40	20.45	20.16	20.34	1480230	30002098.00
2023/02/07	20.34	20.49	20.22	20.44	1206520	24570612.00
2023/02/08	20.43	21.20	20.40	20.60	3325832	69159064.00
2023/02/09	20.75	21.06	20.40	20.83	2673065	55365184.00
2023/02/10	20.75	21.68	20.71	21.06	3307163	70067144.00
数据来源:通达信
