603191 望变电气 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/04/28	14.23	17.08	14.23	17.08	6786375	115448216.00
2022/04/29	18.79	18.79	18.79	18.79	9224560	173329488.00
2022/05/05	19.50	20.67	19.20	20.67	34765962	694647424.00
2022/05/06	22.74	22.74	22.03	22.74	21513471	488051104.00
2022/05/09	23.00	25.01	20.47	25.01	62581710	1380815744.00
2022/05/10	23.80	27.51	23.80	27.51	42555603	1113761152.00
2022/05/11	29.50	30.26	24.76	25.87	62614273	1737533440.00
2022/05/12	23.28	24.80	23.28	23.28	41022480	973757056.00
2022/05/13	21.85	22.40	20.96	20.97	34129693	736268160.00
2022/05/16	20.60	22.43	20.48	21.96	30285889	649212288.00
2022/05/17	21.40	23.20	21.00	22.20	30943174	678744704.00
2022/05/18	21.70	23.18	21.50	22.05	28136563	627150208.00
2022/05/19	21.38	22.55	21.00	22.03	24070221	526130336.00
2022/05/20	21.92	22.50	21.16	21.23	24259129	527972832.00
2022/05/23	20.70	21.03	20.20	20.21	24370132	498011360.00
2022/05/24	20.38	20.72	18.78	18.82	23480920	462312032.00
2022/05/25	18.61	19.17	18.18	19.17	18008894	335813152.00
2022/05/26	18.96	19.15	18.40	18.51	15081776	281789312.00
2022/05/27	18.50	18.86	18.28	18.31	13105295	242734016.00
2022/05/30	18.31	18.96	18.00	18.72	16961180	313776160.00
2022/05/31	18.66	19.60	18.34	19.29	22411317	428280064.00
2022/06/01	18.98	20.37	18.86	19.79	25648060	502407232.00
2022/06/02	19.52	19.60	18.98	19.00	18424009	352936608.00
2022/06/06	18.80	19.26	18.70	18.93	11575392	219868720.00
2022/06/07	19.04	19.36	18.65	18.71	12023814	228026400.00
2022/06/08	18.55	19.30	18.34	18.83	12111649	227980512.00
2022/06/09	18.50	18.56	17.80	17.87	13494610	245182752.00
2022/06/10	17.89	18.45	17.58	18.06	11181000	201199248.00
2022/06/13	17.83	18.36	17.72	18.12	8378613	151255760.00
2022/06/14	17.85	19.10	17.80	18.73	15152019	278744416.00
2022/06/15	18.55	18.75	18.18	18.20	11031615	203167072.00
2022/06/16	18.08	19.59	18.08	19.09	22819301	431385664.00
2022/06/17	19.60	20.99	19.55	20.66	32859710	671099648.00
2022/06/20	20.33	22.30	20.30	20.30	27206951	571246016.00
2022/06/21	20.19	22.33	20.16	22.33	32130879	680926848.00
2022/06/22	22.59	24.55	21.60	23.22	40649563	947949184.00
2022/06/23	23.00	24.34	22.70	24.00	30626088	722884032.00
2022/06/24	24.30	25.39	23.79	23.87	26876730	658394368.00
2022/06/27	23.46	24.37	23.20	23.54	23229371	549576128.00
2022/06/28	24.50	25.89	24.25	25.89	26012326	650077696.00
2022/06/29	25.71	25.80	23.30	23.30	25623922	616495424.00
2022/06/30	22.00	23.32	21.99	22.80	17257932	393608832.00
2022/07/01	22.93	23.31	22.15	22.32	11319985	255799968.00
2022/07/04	22.20	22.82	21.27	22.69	10073066	223732288.00
2022/07/05	22.39	22.91	21.71	22.08	8716275	193055744.00
2022/07/06	21.99	22.34	21.00	21.16	8669377	186968400.00
2022/07/07	21.26	22.30	21.00	21.95	11512446	250619712.00
2022/07/08	21.95	22.80	21.65	21.67	11269436	250836976.00
2022/07/11	21.78	23.84	21.78	23.84	29528611	694528448.00
2022/07/12	23.78	26.22	23.50	26.22	33686546	834525632.00
2022/07/13	26.69	28.84	24.38	26.75	40494625	1054684416.00
2022/07/14	26.92	28.45	25.93	26.13	32232450	882460032.00
2022/07/15	26.52	28.74	26.52	28.74	26582019	738782144.00
2022/07/18	29.17	30.28	27.32	29.09	33670680	961901824.00
2022/07/19	29.30	31.73	28.21	29.11	26515332	792020480.00
