603269 海鸥股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/17	12.61	12.61	12.61	12.61	11900	150059.00
2017/05/18	13.87	13.87	13.87	13.87	4500	62415.00
2017/05/19	15.26	15.26	15.26	15.26	6276	95772.00
2017/05/22	16.79	16.79	16.79	16.79	11598	194730.00
2017/05/23	18.47	18.47	18.47	18.47	34335	634167.00
2017/05/24	20.32	20.32	20.32	20.32	70076	1423944.00
2017/05/25	22.35	22.35	22.35	22.35	74106	1656269.00
2017/05/26	24.59	24.59	24.59	24.59	66347	1631473.00
2017/05/31	27.05	27.05	27.05	27.05	122944	3325635.00
2017/06/01	29.76	29.76	29.76	29.76	490796	14606089.00
2017/06/02	32.74	32.74	32.74	32.74	5399017	176763824.00
2017/06/05	36.01	36.01	33.00	33.39	9862206	342081184.00
2017/06/06	32.58	36.73	32.20	36.73	17983442	642780928.00
2017/06/07	37.00	40.40	37.00	40.40	8089727	316298112.00
2017/06/08	44.44	44.44	38.40	38.70	19697286	816654080.00
2017/06/09	37.74	39.00	35.38	36.06	13480330	498525088.00
2017/06/12	34.85	35.88	33.32	33.71	9724907	334871520.00
2017/06/13	33.88	34.43	32.88	34.13	8902392	299688800.00
2017/06/14	33.35	33.45	31.15	31.87	8217753	264456576.00
2017/06/15	31.99	32.84	31.66	32.12	6360760	205685376.00
2017/06/16	31.80	31.80	30.80	31.63	5444077	170975984.00
2017/06/19	31.50	32.00	30.90	31.35	3715283	116520824.00
2017/06/20	31.50	31.73	30.92	31.16	3553663	111353488.00
2017/06/21	31.16	32.45	30.91	31.74	4800487	151935536.00
2017/06/22	31.60	32.88	31.21	32.18	6919898	220991344.00
2017/06/23	31.80	32.09	29.51	31.12	6194859	191590448.00
2017/06/26	30.31	31.12	30.22	30.86	2668346	81992624.00
2017/06/27	30.66	31.16	30.10	30.22	2380106	72700776.00
2017/06/28	30.04	30.10	28.90	29.03	2967416	87096752.00
2017/06/29	29.15	29.88	29.02	29.06	2651118	77646528.00
2017/06/30	28.83	29.66	28.65	29.38	2837288	83187480.00
2017/07/03	29.19	29.52	28.88	29.38	1726082	50386048.00
2017/07/04	29.43	29.76	29.32	29.52	1959235	57877016.00
2017/07/05	29.64	30.26	29.40	30.14	2585632	77424512.00
2017/07/06	30.00	31.69	29.89	31.21	4573469	141110176.00
2017/07/07	32.11	33.30	31.30	31.37	5884647	189958992.00
2017/07/10	30.10	30.60	29.50	29.69	3763347	112969048.00
2017/07/11	29.21	29.54	29.01	29.29	2126114	62219400.00
2017/07/12	29.25	29.45	28.66	29.37	1710276	49768400.00
2017/07/13	29.20	29.20	28.50	28.68	1568961	45205428.00
2017/07/14	28.42	28.98	28.10	28.13	999530	28417760.00
2017/07/17	27.47	28.13	25.55	27.41	3088284	82197560.00
2017/07/18	26.36	27.31	26.20	27.03	1471397	39399388.00
2017/07/19	26.50	26.90	26.26	26.61	1153366	30661430.00
2017/07/20	26.61	27.04	26.00	26.38	1169135	31109974.00
2017/07/21	26.28	26.29	25.81	25.99	939535	24438196.00
2017/07/24	25.70	26.23	25.61	26.05	827103	21474974.00
2017/07/25	26.20	26.30	25.96	26.00	744623	19429376.00
2017/07/26	26.04	26.04	25.34	25.66	857123	22003574.00
2017/07/27	25.66	26.49	25.17	26.29	1520130	39601352.00
2017/07/28	26.14	26.38	25.88	26.24	1185661	30897880.00
2017/07/31	27.40	28.67	26.98	27.30	8803847	243570848.00
2017/08/01	26.31	26.65	25.70	25.95	4323844	112525656.00
2017/08/02	25.50	25.73	24.71	24.73	3520513	88577600.00
2017/08/03	24.50	25.00	24.10	24.83	2306664	56708416.00
2017/08/04	24.66	24.73	24.03	24.09	1870292	45484304.00
2017/08/07	24.15	24.58	24.08	24.22	1126408	27321036.00
2017/08/08	24.30	24.30	23.81	24.00	1354195	32482596.00
2017/08/09	24.07	24.16	23.87	23.93	920295	22030220.00
2017/08/10	23.93	23.99	21.54	22.99	1562275	36324448.00
2017/08/11	22.77	23.20	22.54	22.72	1397479	31825982.00
