603313 梦百合 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/13	22.19	22.19	22.19	22.19	30415	674909.00
2016/10/14	24.41	24.41	24.41	24.41	15871	387411.00
2016/10/17	26.85	26.85	26.85	26.85	16481	442515.00
2016/10/18	29.54	29.54	29.54	29.54	22300	658742.00
2016/10/19	32.49	32.49	32.49	32.49	57852	1879611.00
2016/10/20	35.74	35.74	35.74	35.74	301398	10771965.00
2016/10/21	39.30	39.31	36.61	39.31	32271219	1227099392.00
2016/10/24	38.20	43.12	37.60	41.23	28354845	1121678976.00
2016/10/25	40.31	43.00	40.02	40.70	24719867	1025872256.00
2016/10/26	40.00	42.47	39.81	41.30	18091820	746496640.00
2016/10/27	41.19	45.18	40.78	44.47	24535722	1062876096.00
2016/10/28	43.87	46.70	43.08	44.70	25032178	1120716800.00
2016/10/31	44.20	44.20	41.36	41.75	14935948	634903680.00
2016/11/01	41.75	45.93	41.75	45.93	20488056	922853568.00
2016/11/02	47.20	50.52	45.50	50.52	15616305	754631296.00
2016/11/03	54.90	55.57	51.50	51.98	23242286	1255034624.00
2016/11/04	55.24	57.18	53.00	53.96	34010185	1893583616.00
2016/11/07	54.30	55.95	51.00	52.68	24443161	1292595584.00
2016/11/08	52.05	53.76	50.88	52.69	19230475	1010162304.00
2016/11/09	52.08	55.90	51.00	54.98	27446302	1465482112.00
2016/11/10	54.61	60.48	53.78	58.97	30259989	1743993472.00
2016/11/11	58.00	60.25	55.50	55.87	27136449	1566379264.00
2016/11/14	54.18	54.81	51.68	52.50	15492235	824292544.00
2016/11/15	52.52	53.60	52.11	52.82	8838471	466089088.00
2016/11/16	52.70	52.76	50.00	50.18	11848739	602218880.00
2016/11/17	50.04	51.18	49.36	50.36	7415440	375031776.00
2016/11/18	50.28	52.69	50.00	51.16	9447731	486221984.00
2016/11/21	50.80	51.98	49.51	51.59	9948352	504887680.00
2016/11/22	51.49	52.48	51.12	51.70	8990361	465420256.00
2016/11/23	51.50	52.50	50.01	50.26	8529507	438198528.00
2016/11/24	49.82	50.24	47.46	47.94	9603485	468463584.00
2016/11/25	47.50	48.68	46.33	48.45	7057205	336790016.00
2016/11/28	48.40	48.43	46.80	47.00	5101448	242972224.00
2016/11/29	47.00	47.79	45.55	45.65	5631911	261793824.00
2016/11/30	45.50	45.90	45.02	45.38	4268516	193556464.00
2016/12/01	45.72	48.48	45.36	48.22	9064085	424284192.00
2016/12/02	47.63	48.92	47.06	47.35	9232712	443213472.00
2016/12/05	46.07	47.00	45.11	46.19	4810077	222286304.00
2016/12/06	46.48	47.96	46.48	47.40	6022458	285238560.00
2016/12/07	47.40	48.10	46.46	47.80	5691848	269145920.00
2016/12/08	47.63	47.83	46.00	46.07	5599036	262030720.00
2016/12/09	45.90	46.58	45.51	45.83	3675999	168484864.00
2016/12/12	45.80	46.18	41.25	41.29	6853715	296350272.00
2016/12/13	40.50	41.98	40.18	41.57	5148672	211489856.00
2016/12/14	41.28	41.70	39.85	40.27	5061153	205457104.00
2016/12/15	40.00	41.45	39.81	40.77	4352291	177498272.00
2016/12/16	40.79	42.59	40.45	41.96	6132463	255152192.00
2016/12/19	41.80	41.89	40.70	41.08	3820268	157087440.00
2016/12/20	40.70	41.75	40.66	41.24	3512037	144838432.00
2016/12/21	41.17	41.88	40.85	41.69	4165912	172270000.00
2016/12/22	41.72	43.40	41.30	42.61	7451506	316033376.00
2016/12/23	42.20	42.50	40.50	40.63	5141322	212935376.00
2016/12/26	39.91	41.20	38.20	40.99	4547153	180928224.00
2016/12/27	40.88	41.30	40.17	40.22	2997705	121890824.00
2016/12/28	40.25	40.60	39.66	39.79	2211811	88864280.00
2016/12/29	39.80	40.20	39.25	39.31	2560033	101777856.00
2016/12/30	39.23	39.65	38.10	38.39	3499917	135680192.00
2017/01/03	38.49	39.12	38.44	38.99	2959636	114871088.00
2017/01/04	39.13	39.45	38.54	39.14	3460609	135059152.00
2017/01/05	39.80	40.97	39.30	39.38	4972114	199207376.00
2017/01/06	39.01	39.31	36.80	37.17	5246136	199504976.00
2017/01/09	36.81	37.38	36.60	36.97	2465551	91143144.00
2017/01/10	37.00	37.58	36.81	36.97	2523447	93927608.00
2017/01/11	37.00	37.29	36.50	36.56	2186097	80523032.00
2017/01/12	36.76	37.75	36.56	37.04	3694555	137067024.00
2017/01/13	36.94	36.94	33.85	34.37	4711218	166389152.00
2017/01/16	33.38	33.90	30.93	31.55	4718052	152521392.00
2017/01/17	31.20	33.46	30.85	32.90	4940708	158601152.00
2017/01/18	32.50	32.50	31.60	31.74	2862015	91869088.00
2017/01/19	31.50	32.95	30.98	32.14	3795101	121935368.00
2017/01/20	31.99	33.13	31.80	32.88	3471893	113837264.00
