603367 辰欣药业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/09/29	13.99	16.79	13.99	16.79	31371	526607.00
2017/10/09	18.47	18.47	18.47	18.47	14015	258857.00
2017/10/10	20.32	20.32	20.32	20.32	10400	211328.00
2017/10/11	22.35	22.35	22.35	22.35	45698	1021350.00
2017/10/12	24.59	24.59	24.59	24.59	110018	2705343.00
2017/10/13	27.05	27.05	27.05	27.05	185539	5018830.00
2017/10/16	29.76	29.76	29.76	29.76	425313	12657315.00
2017/10/17	30.00	32.73	28.70	32.09	56965891	1777005568.00
2017/10/18	30.01	31.54	29.58	29.60	33670930	1025872512.00
2017/10/19	28.98	30.44	28.36	30.02	23188816	691019968.00
2017/10/20	29.12	29.72	27.05	27.48	27970156	782846656.00
2017/10/23	27.11	27.43	26.20	26.74	17512728	469302976.00
2017/10/24	26.27	26.55	24.63	25.05	21386343	547571520.00
2017/10/25	25.02	26.18	25.02	25.56	14264086	366352576.00
2017/10/26	26.37	26.68	25.71	25.86	16403175	431256320.00
2017/10/27	25.60	25.77	25.10	25.13	10408207	263381760.00
2017/10/30	25.10	25.13	23.68	23.90	11124931	268702560.00
2017/10/31	23.88	24.85	23.88	24.74	9089964	221843104.00
2017/11/01	24.58	25.11	24.40	24.77	8133694	201388656.00
2017/11/02	24.68	26.46	24.52	26.00	18142217	466207712.00
2017/11/03	25.69	26.13	25.31	25.38	10349547	264866592.00
2017/11/06	25.01	25.28	24.03	25.21	11479921	283714944.00
2017/11/07	25.00	25.01	24.30	24.49	9409533	231154608.00
2017/11/08	24.13	25.56	24.11	25.03	12457407	310546336.00
2017/11/09	24.81	24.88	24.28	24.50	9179382	225166704.00
2017/11/10	24.47	24.77	24.15	24.18	8373231	204235136.00
2017/11/13	24.30	24.52	23.87	24.49	7377872	179176736.00
2017/11/14	24.51	24.60	24.01	24.41	6865784	167118016.00
2017/11/15	24.69	24.96	24.41	24.45	8366960	206622272.00
2017/11/16	24.08	24.09	22.90	22.91	12318245	287615648.00
2017/11/17	22.90	22.90	21.02	21.09	10162438	221751168.00
2017/11/20	21.00	21.01	20.11	20.93	5243679	108246880.00
2017/11/21	20.82	21.55	20.59	21.07	5768044	121556472.00
2017/11/22	21.00	21.45	20.74	20.94	5187587	109569704.00
2017/11/23	20.85	20.87	20.02	20.04	5462658	111350936.00
2017/11/24	20.05	20.18	19.65	19.80	4443942	88249736.00
2017/11/27	19.82	20.09	19.70	19.86	3085474	61420764.00
2017/11/28	19.84	20.10	19.82	20.10	3097660	61980712.00
2017/11/29	20.10	20.24	19.40	19.63	4588285	90504064.00
2017/11/30	19.63	19.97	19.52	19.63	3073693	60572876.00
2017/12/01	19.63	19.73	19.46	19.65	2373614	46577428.00
2017/12/04	19.65	19.65	18.00	18.22	6822278	127925472.00
2017/12/05	18.09	18.27	17.16	17.26	5982924	105528792.00
2017/12/06	17.24	17.79	17.19	17.68	4472910	78085672.00
2017/12/07	17.56	17.77	17.36	17.47	3467642	60825808.00
2017/12/08	17.49	18.40	17.42	18.13	5877393	106244368.00
2017/12/11	18.10	18.54	18.00	18.38	4519445	82823024.00
2017/12/12	18.20	18.50	17.53	17.59	4851666	86877640.00
2017/12/13	17.69	18.13	17.68	18.01	3467322	62246964.00
2017/12/14	18.06	18.27	17.96	18.23	3762018	68174056.00
2017/12/15	18.14	18.15	17.87	17.95	2901161	52231548.00
2017/12/18	18.05	18.10	17.53	17.79	2733766	48582876.00
2017/12/19	17.85	18.33	17.85	18.14	4031096	73102480.00
2017/12/20	18.07	18.14	17.63	17.77	2990016	53377028.00
2017/12/21	17.76	18.12	17.40	17.99	4261712	76032496.00
2017/12/22	17.81	18.16	17.81	17.98	3215585	58020592.00
2017/12/25	18.30	19.78	18.07	19.78	13715245	259213632.00
2017/12/26	19.91	21.34	19.78	20.63	22970390	476508384.00
2017/12/27	20.86	20.86	19.90	20.09	14079247	285756736.00
2017/12/28	19.80	20.25	19.48	19.80	10455804	207355968.00
2017/12/29	19.87	20.34	19.80	19.82	6962566	139572544.00
2018/01/02	19.70	20.16	19.62	20.01	6565509	130214848.00
2018/01/03	19.92	20.14	19.71	19.89	6985508	139276064.00
2018/01/04	19.85	19.89	19.63	19.73	5007041	98841224.00
2018/01/05	19.80	20.49	19.71	20.29	8781299	177002176.00
2018/01/08	20.30	20.70	20.03	20.60	9653102	196699904.00
2018/01/09	20.50	21.66	20.26	21.30	17006690	361705120.00
2018/01/10	21.05	21.15	19.80	20.17	11547725	236903920.00
2018/01/11	20.00	22.19	19.85	22.19	10440234	221096560.00
2018/01/12	22.80	23.85	21.70	21.71	27741633	635587840.00
2018/01/15	21.26	22.71	20.68	21.91	18557771	403777120.00
2018/01/16	21.50	22.79	21.21	22.40	15244306	340206208.00
2018/01/17	22.33	22.80	21.80	22.21	10181814	226948800.00
2018/01/18	22.19	22.83	22.00	22.53	10133050	228325776.00
2018/01/19	22.40	22.45	21.40	21.45	10750046	235645232.00
2018/01/22	21.12	21.13	20.20	20.37	8029195	164683296.00
2018/01/23	20.30	20.72	20.21	20.37	4294827	87737696.00
2018/01/24	20.43	20.75	20.31	20.64	4660528	95965136.00
2018/01/25	20.62	20.63	20.30	20.37	4576768	93541744.00
2018/01/26	20.31	20.55	19.95	20.04	4163845	84264816.00
2018/01/29	20.00	20.19	19.13	19.47	5842034	114759976.00
2018/01/30	19.38	19.98	19.38	19.51	3938342	77406528.00
2018/01/31	19.41	19.55	18.58	18.61	5063783	96240448.00
2018/02/01	18.58	18.98	17.97	18.03	4144197	76280872.00
2018/02/02	18.05	18.22	17.51	18.20	3389319	61045928.00
2018/02/05	17.90	18.38	17.80	18.16	2543705	46190308.00
2018/02/06	17.55	17.97	16.80	16.89	4403867	77097832.00
2018/02/07	17.46	17.68	16.32	17.17	3380933	57847860.00
2018/02/08	17.13	17.48	17.01	17.36	2357580	40984540.00
2018/02/09	16.98	17.28	16.59	16.73	3052214	51448184.00
2018/02/12	16.98	17.59	16.90	17.47	2947896	51037640.00
2018/02/13	17.66	17.80	17.30	17.33	2175737	38111552.00
2018/02/14	17.28	17.45	17.13	17.33	1390494	24058808.00
2018/02/22	17.39	18.29	17.39	18.00	2924759	52545720.00
2018/02/23	18.02	18.07	17.60	17.94	2350083	41984688.00
2018/02/26	18.18	18.47	18.11	18.44	3379944	61794096.00
2018/02/27	18.34	18.44	18.11	18.29	2668612	48748620.00
2018/02/28	18.15	18.44	18.03	18.31	2461018	44770864.00
2018/03/01	18.05	18.85	18.05	18.66	3677979	68408200.00
2018/03/02	18.40	18.95	18.34	18.62	3052036	57080300.00
2018/03/05	18.70	18.76	18.20	18.56	2308442	42539404.00
2018/03/06	18.73	18.75	18.49	18.68	2539705	47320540.00
2018/03/07	18.68	18.97	18.61	18.70	2860257	53626280.00
2018/03/08	18.60	20.57	18.55	20.09	14864220	296642368.00
2018/03/09	19.80	20.15	19.46	20.07	10820160	214228848.00
2018/03/12	20.06	20.47	19.88	20.44	7500861	152405632.00
2018/03/13	20.38	20.38	19.91	19.93	4022600	81012944.00
2018/03/14	19.80	20.85	19.53	20.72	8427596	171077344.00
2018/03/15	20.68	22.16	20.65	21.86	17950167	387672928.00
2018/03/16	21.57	22.37	21.57	21.79	10238696	224997840.00
2018/03/19	21.63	22.71	21.60	22.56	12546112	279248384.00
2018/03/20	22.38	23.72	22.23	23.62	15359837	357360064.00
2018/03/21	23.59	23.89	22.78	22.80	11434154	265776352.00
2018/03/22	22.63	23.09	21.65	21.89	10254175	227753712.00
2018/03/23	21.12	22.28	20.60	21.59	11393036	245137008.00
2018/03/26	21.02	23.75	21.01	23.54	14457755	329670080.00
2018/03/27	23.31	25.18	23.30	24.14	21748147	527383648.00
2018/03/28	24.23	25.08	23.58	24.06	17359492	424345824.00
2018/03/29	24.30	26.18	23.95	25.61	16646396	419857984.00
2018/03/30	25.45	27.00	25.06	26.64	16941691	443129888.00
2018/04/02	26.65	27.60	26.07	26.67	13754990	369305280.00
2018/04/03	26.20	27.98	26.10	27.30	12779530	348760320.00
2018/04/04	27.80	28.12	25.02	25.48	15220156	403061280.00
2018/04/09	25.68	27.28	25.68	26.93	12436048	329840992.00
2018/04/10	27.10	29.38	26.66	29.11	16640505	467460800.00
2018/04/11	29.94	30.99	28.22	29.39	19983061	596332096.00
2018/04/12	29.13	30.50	29.08	30.05	13898807	415006528.00
2018/04/13	30.15	31.10	28.46	28.49	13694322	406632896.00
2018/04/16	28.90	29.19	27.86	28.63	12531977	356797024.00
2018/04/17	28.49	28.80	26.45	27.42	13358803	366176800.00
2018/04/18	27.47	28.49	26.82	28.42	10149184	280567040.00
2018/04/19	28.20	28.23	27.36	27.59	7076892	197160032.00
2018/04/20	27.49	28.19	26.86	26.93	6956963	192448304.00
2018/04/23	26.66	27.80	26.12	27.73	6791253	183495392.00
2018/04/24	27.53	28.49	27.53	28.00	8826092	247367808.00
2018/04/25	27.70	30.76	27.66	30.59	12795200	376136128.00
2018/04/26	30.46	30.48	28.47	28.53	10722929	314918720.00
