603551 奥普家居 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/01/15	18.25	21.90	18.25	21.90	362415	7930319.00
2020/01/16	24.09	24.09	24.09	24.09	340488	8202356.00
2020/01/17	25.53	25.53	23.35	23.78	20815579	510227584.00
2020/01/20	22.39	22.39	21.40	21.44	13380704	289843168.00
2020/01/21	20.99	21.14	20.04	20.10	9834774	201537152.00
2020/01/22	19.61	20.55	19.50	20.00	6689285	134871152.00
2020/01/23	19.76	20.26	18.63	18.95	6267972	121328760.00
2020/02/03	17.06	17.06	17.06	17.06	772100	13172026.00
2020/02/04	15.48	16.53	15.48	16.19	6155733	99261992.00
2020/02/05	16.11	16.97	16.11	16.43	5068707	83857496.00
2020/02/06	16.51	16.78	16.28	16.66	4651358	77195544.00
2020/02/07	16.80	17.66	16.61	17.25	5958521	102482416.00
2020/02/10	17.05	17.48	16.82	17.41	4291691	73771312.00
2020/02/11	17.43	17.43	17.01	17.11	3582454	61526372.00
2020/02/12	17.01	17.18	16.88	17.09	3268459	55768736.00
2020/02/13	17.07	17.25	16.62	16.68	3811763	64318016.00
2020/02/14	16.65	18.29	16.61	17.95	8111207	142206624.00
2020/02/17	17.90	19.00	17.70	18.86	8277471	153744624.00
2020/02/18	18.52	18.87	18.23	18.66	6381713	118427232.00
2020/02/19	18.63	18.64	18.13	18.16	4142861	75916728.00
2020/02/20	18.13	18.47	17.81	18.26	3790188	68826904.00
2020/02/21	18.20	18.26	18.02	18.10	3358401	60866872.00
2020/02/24	18.04	18.04	17.60	17.75	4041643	71759096.00
2020/02/25	17.21	17.38	16.77	17.24	4395981	75371824.00
2020/02/26	16.77	17.66	16.77	17.16	3396108	58807568.00
2020/02/27	17.20	17.47	17.05	17.36	2019009	34916396.00
2020/02/28	16.95	17.09	16.55	16.55	3166138	53275364.00
2020/03/02	16.60	17.30	16.60	17.24	2349600	40112944.00
2020/03/03	17.46	17.53	17.03	17.24	2866456	49541572.00
2020/03/04	16.95	18.38	16.88	18.25	5887521	104395120.00
2020/03/05	18.09	18.25	17.76	18.05	4755445	85682792.00
2020/03/06	17.84	18.05	17.61	17.70	3127234	55736744.00
2020/03/09	17.40	17.55	16.90	16.96	3406478	58437712.00
2020/03/10	16.72	17.25	16.63	17.24	2574720	43647664.00
2020/03/11	17.21	17.58	17.05	17.06	2334439	40433824.00
2020/03/12	16.70	17.08	16.67	16.90	2019626	34052020.00
2020/03/13	16.01	16.74	16.00	16.42	2318272	37871792.00
2020/03/16	16.60	16.78	15.88	16.02	2224119	36296912.00
2020/03/17	16.06	16.23	15.49	15.91	2019008	32002952.00
2020/03/18	16.04	16.24	15.73	15.73	1685653	26988418.00
2020/03/19	15.73	16.20	15.61	16.14	1863846	29570112.00
2020/03/20	16.19	16.36	15.98	16.34	1800641	29162904.00
2020/03/23	16.00	16.17	15.70	15.74	1585489	25216516.00
2020/03/24	15.97	16.12	15.77	16.11	1700446	27178988.00
2020/03/25	16.52	16.53	16.18	16.44	2029907	33180712.00
2020/03/26	16.35	18.08	16.17	18.08	8271979	145820864.00
2020/03/27	18.11	19.89	18.11	19.89	12583197	240011360.00
2020/03/30	20.00	20.53	18.18	19.34	17129089	329881216.00
2020/03/31	18.51	18.84	17.51	17.71	11995365	217123776.00
2020/04/01	17.28	17.58	16.52	16.60	9600331	163275248.00
2020/04/02	16.50	16.85	16.33	16.79	5276025	87865944.00
2020/04/03	16.66	17.21	16.43	16.76	5914051	99513464.00
2020/04/07	16.90	17.14	16.74	16.96	5538915	93723496.00
2020/04/08	16.83	18.55	16.75	18.22	10368269	183301088.00
2020/04/09	17.96	17.99	17.46	17.65	6762813	119551872.00
2020/04/10	17.53	17.55	16.94	16.96	4013433	68945968.00
2020/04/13	16.78	17.40	16.74	17.01	2799176	47905352.00
2020/04/14	17.06	17.68	17.06	17.55	4430841	77464944.00
2020/04/15	17.70	17.90	17.10	17.24	4349194	75881040.00
2020/04/16	17.13	17.26	16.81	16.89	3312151	56103940.00
2020/04/17	16.95	17.15	16.84	17.12	3001511	50927380.00
2020/04/20	17.12	17.17	16.93	16.97	2187652	37188988.00
2020/04/21	16.85	16.95	16.48	16.58	2867753	47587496.00
2020/04/22	16.53	16.72	16.39	16.67	1775167	29474626.00
2020/04/23	16.67	16.88	16.58	16.73	2300348	38403728.00
2020/04/24	16.72	16.73	16.07	16.08	2964693	48374492.00
2020/04/27	16.08	16.23	16.00	16.01	1321777	21273310.00
2020/04/28	16.07	16.14	15.00	15.47	2346552	36547732.00
2020/04/29	15.10	15.50	14.99	15.22	2157519	32846656.00
2020/04/30	15.22	15.52	15.22	15.41	1786350	27510410.00
2020/05/06	15.31	15.76	15.13	15.64	1883583	29106876.00
2020/05/07	15.69	15.95	15.52	15.85	2015642	31724976.00
2020/05/08	15.85	16.15	15.63	15.95	2023150	32208416.00
2020/05/11	15.99	16.18	15.80	15.92	1782900	28530722.00
2020/05/12	16.09	16.35	15.90	16.35	2873976	46573348.00
2020/05/13	16.19	16.25	16.00	16.10	1969977	31731268.00
2020/05/14	16.00	16.05	15.72	15.75	1902788	30236584.00
2020/05/15	15.83	16.18	15.75	15.81	1645536	26238604.00
2020/05/18	15.70	15.88	15.50	15.56	1444900	22608852.00
2020/05/19	15.58	16.44	15.58	16.22	3416552	55030016.00
2020/05/20	16.22	16.33	15.98	16.04	2559126	41232472.00
2020/05/21	16.08	17.64	16.08	17.64	6061169	104509784.00
2020/05/22	18.00	18.00	16.50	17.12	9785717	166703312.00
2020/05/25	16.82	17.50	16.34	16.51	5028742	84250744.00
2020/05/26	16.54	17.10	16.33	16.82	5847697	97866800.00
2020/05/27	16.60	18.50	16.58	18.50	11556066	208659408.00
2020/05/28	18.30	19.88	17.44	18.31	13657023	249781040.00
2020/05/29	18.33	19.77	17.75	18.01	14603463	271305856.00
2020/06/01	18.26	18.34	17.34	18.20	10852066	193007984.00
2020/06/02	17.70	17.78	17.16	17.20	7288706	126985792.00
2020/06/03	17.01	17.43	16.86	17.35	5638937	96896080.00
2020/06/04	17.28	17.30	16.81	16.84	3753650	63778508.00
2020/06/05	16.72	17.10	16.72	16.94	2317466	39111700.00
2020/06/08	17.01	17.02	16.66	16.78	2249214	37868112.00
2020/06/09	16.83	17.22	16.70	17.18	3546324	60556532.00
2020/06/10	17.27	17.30	16.85	16.99	2226766	37888832.00
2020/06/11	16.91	17.17	16.52	16.61	3309249	55700824.00
2020/06/12	16.12	16.55	16.11	16.34	2267640	36942916.00
2020/06/15	16.19	16.30	16.10	16.13	1987145	32157212.00
2020/06/16	16.14	16.38	16.14	16.34	1347932	21960720.00
2020/06/17	16.58	16.67	16.21	16.33	1596029	26238484.00
2020/06/18	16.26	16.49	16.20	16.47	1644654	26883466.00
2020/06/19	16.40	16.57	16.35	16.46	1463300	24101650.00
2020/06/22	16.37	16.52	16.23	16.27	1565400	25607904.00
2020/06/23	16.26	16.46	16.05	16.08	1731039	28070468.00
2020/06/24	16.12	16.21	15.81	15.86	1719910	27425456.00
2020/06/29	16.00	16.18	15.65	16.10	1314377	20989888.00
2020/06/30	16.09	16.28	16.09	16.23	1306981	21188310.00
2020/07/01	16.25	16.29	16.06	16.21	1199621	19392972.00
2020/07/02	16.30	16.45	16.18	16.39	1817988	29639968.00
2020/07/03	16.38	16.49	16.31	16.43	1942250	31881660.00
2020/07/06	16.56	16.97	16.45	16.87	3800773	63625144.00
2020/07/07	16.98	17.17	16.68	17.03	4312413	73183672.00
2020/07/08	17.00	17.09	16.80	17.02	3475590	58944776.00
2020/07/09	17.13	17.43	16.94	17.35	4412971	75943408.00
2020/07/10	17.22	17.63	16.97	17.06	3908392	67612888.00
2020/07/13	17.08	17.51	17.00	17.40	4379574	75949880.00
2020/07/14	17.40	17.57	16.91	17.14	3479729	59796600.00
2020/07/15	17.15	17.28	16.65	16.81	3046713	51552588.00
2020/07/16	16.94	16.97	16.10	16.21	2750418	45463752.00
2020/07/17	16.32	16.64	16.20	16.37	1658076	27191276.00
2020/07/20	16.48	16.89	16.45	16.84	2168159	36197928.00
2020/07/21	16.96	17.25	16.76	17.13	3320797	56606500.00
2020/07/22	17.17	17.90	17.13	17.67	7735459	135917408.00
2020/07/23	17.48	17.86	17.41	17.69	5398907	95241464.00
2020/07/24	17.70	18.06	17.52	17.67	6709944	119033008.00
2020/07/27	17.65	17.97	17.52	17.73	4032350	71382136.00
2020/07/28	17.90	19.16	17.80	19.00	10131553	189232128.00
2020/07/29	19.36	20.11	18.81	19.99	10012203	193531920.00
2020/07/30	20.05	20.99	19.71	20.92	14918545	304328416.00
2020/07/31	22.20	22.20	18.83	19.14	22117869	455348352.00
2020/08/03	18.20	18.88	17.85	18.37	12812814	233740976.00
2020/08/04	18.20	18.25	17.83	17.88	7063554	127162248.00
2020/08/05	17.80	17.80	17.32	17.67	5182273	91033888.00
2020/08/06	17.64	17.64	17.39	17.53	3559854	62293100.00
2020/08/07	17.54	17.60	16.91	17.15	4435514	76179056.00
2020/08/10	17.10	17.58	16.89	17.50	3779100	65640192.00
2020/08/11	18.28	19.25	17.83	18.18	11565859	214515136.00
2020/08/12	17.70	17.70	16.95	17.28	6697356	115618272.00
2020/08/13	17.31	17.37	17.00	17.23	2800135	48143620.00
2020/08/14	17.23	17.65	17.12	17.63	3342579	58067196.00
2020/08/17	17.59	17.77	17.40	17.65	3129999	54998332.00
2020/08/18	17.52	17.93	17.45	17.93	3351650	59077208.00
2020/08/19	17.70	17.81	17.54	17.54	2540276	44853140.00
2020/08/20	17.45	17.45	17.22	17.24	2073800	35899776.00
2020/08/21	17.29	17.44	17.22	17.33	1401810	24289080.00
2020/08/24	17.35	17.41	17.20	17.36	1359220	23566964.00
2020/08/25	17.40	17.68	17.38	17.61	2091271	36677128.00
2020/08/26	17.59	17.59	17.02	17.14	2351382	40582956.00
2020/08/27	17.13	17.48	17.05	17.40	1870306	32283774.00
2020/08/28	17.38	17.47	17.16	17.31	1207700	20874104.00
2020/08/31	17.41	17.74	17.23	17.37	2267456	39652304.00
2020/09/01	17.37	17.60	17.31	17.51	1349976	23587872.00
2020/09/02	17.51	17.80	17.45	17.67	2237300	39534956.00
2020/09/03	17.68	17.77	17.38	17.41	1832605	32121528.00
2020/09/04	17.23	17.35	17.08	17.20	1798188	30916420.00
2020/09/07	17.29	17.32	17.08	17.11	1625706	27915122.00
2020/09/08	17.19	17.35	16.89	17.33	1834050	31405024.00
2020/09/09	17.22	17.65	17.15	17.56	2908825	50916472.00
2020/09/10	17.68	18.46	17.60	18.33	8630430	156132448.00
2020/09/11	18.42	18.42	17.87	18.12	5456701	98744480.00
2020/09/14	18.00	18.19	17.89	18.13	3383153	61016680.00
2020/09/15	18.19	18.19	17.45	17.53	3605752	63535832.00
2020/09/16	17.36	17.43	17.15	17.34	2270205	39222368.00
2020/09/17	17.30	17.46	17.10	17.44	2251600	38913816.00
2020/09/18	17.48	17.59	17.20	17.45	1929600	33590432.00
2020/09/21	17.45	18.25	17.33	17.78	4009951	71585072.00
2020/09/22	17.60	17.78	17.18	17.23	2374046	41291552.00
2020/09/23	17.27	17.37	17.13	17.33	1264099	21795776.00
2020/09/24	17.23	17.25	16.48	16.52	2544137	42897444.00
2020/09/25	16.50	16.60	15.90	16.03	2028500	32847780.00
2020/09/28	16.24	16.55	15.60	15.66	2064040	32969018.00
2020/09/29	15.75	15.91	15.63	15.82	986100	15583386.00
2020/09/30	15.82	15.93	15.74	15.76	765840	12132375.00
2020/10/09	15.93	16.14	15.90	16.01	991707	15887622.00
2020/10/12	16.19	16.44	16.06	16.38	1279075	20877336.00
2020/10/13	16.49	16.49	16.12	16.23	1173200	19029548.00
2020/10/14	16.23	16.27	16.05	16.13	1123167	18136312.00
2020/10/15	16.14	16.20	15.92	15.96	920900	14731315.00
2020/10/16	16.01	16.37	15.82	16.19	920640	14755252.00
2020/10/19	16.21	16.27	15.97	16.01	793990	12774063.00
