603663 三祥新材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/08/01	7.60	7.60	7.60	7.60	15700	119320.00
2016/08/02	8.36	8.36	8.36	8.36	4700	39292.00
2016/08/03	9.20	9.20	9.20	9.20	1600	14720.00
2016/08/04	10.12	10.12	10.12	10.12	3600	36432.00
2016/08/05	11.13	11.13	11.13	11.13	18000	200340.00
2016/08/08	12.24	12.24	12.24	12.24	16352	200148.48
2016/08/09	13.46	13.46	13.46	13.46	10400	139984.00
2016/08/10	14.81	14.81	14.81	14.81	12400	183644.00
2016/08/11	16.29	16.29	16.29	16.29	19300	314397.00
2016/08/12	17.92	17.92	17.92	17.92	30407	544893.44
2016/08/15	19.71	19.71	19.71	19.71	35900	707589.00
2016/08/16	21.68	21.68	21.68	21.68	16700	362056.00
2016/08/17	23.85	23.85	23.85	23.85	64283	1533149.50
2016/08/18	26.24	26.24	26.24	26.24	51335	1347030.38
2016/08/19	28.86	28.86	28.86	28.86	55200	1593072.00
2016/08/22	31.75	31.75	31.75	31.75	80864	2567432.00
2016/08/23	34.93	34.93	34.93	34.93	98150	3428379.50
2016/08/24	38.42	38.42	38.42	38.42	128674	4943655.00
2016/08/25	42.26	42.26	42.26	42.26	668219	28238934.00
2016/08/26	46.49	46.49	46.49	46.49	687823	31976892.00
2016/08/29	48.11	49.89	46.01	46.19	20964600	1004727296.00
2016/08/30	46.10	47.80	44.44	44.91	14192216	655939904.00
2016/08/31	44.70	46.93	42.02	45.25	14848173	665807488.00
2016/09/01	44.97	47.88	44.23	46.66	15443489	712681088.00
2016/09/02	45.00	46.49	44.70	45.00	9599004	435857568.00
2016/09/05	45.01	46.12	43.67	45.68	9894086	443924576.00
2016/09/06	45.01	46.95	44.60	46.76	11207076	515152896.00
2016/09/07	46.58	46.80	43.55	43.60	10895639	490535744.00
2016/09/08	42.85	43.39	41.12	41.43	8227057	347267808.00
2016/09/09	41.47	41.84	40.13	40.21	5156453	210615872.00
2016/09/12	38.60	40.20	38.30	39.42	3912172	154006192.00
2016/09/13	39.90	40.22	38.70	39.12	3853182	151573136.00
2016/09/14	38.41	42.22	38.40	40.48	7230137	292176672.00
2016/09/19	41.00	41.68	40.32	40.63	5228935	213303344.00
2016/09/20	40.17	40.88	39.27	39.40	3943590	157690816.00
2016/09/21	39.50	40.40	38.80	40.12	3626779	144290880.00
2016/09/22	40.17	42.00	40.01	41.70	6514428	267926608.00
2016/09/23	41.55	42.27	41.21	41.77	4066604	169699136.00
2016/09/26	41.50	42.14	39.10	39.33	4657463	191795168.00
2016/09/27	39.22	41.33	38.85	41.20	5420331	219983008.00
2016/09/28	41.09	41.40	40.20	41.18	3597349	146657728.00
2016/09/29	40.98	43.50	40.74	42.99	9245283	391486496.00
2016/09/30	42.63	44.46	42.13	43.60	6666126	287327936.00
2016/10/10	43.38	47.50	43.00	45.79	8756336	393995872.00
2016/10/11	45.00	46.85	44.44	45.96	8629443	391971776.00
2016/10/12	45.00	47.00	43.51	43.65	10653027	474948064.00
2016/10/13	43.01	48.00	42.70	46.78	10992587	497513696.00
2016/10/14	46.00	46.52	43.40	43.93	9942179	442452768.00
2016/10/17	43.00	43.95	41.40	41.97	6099664	260163936.00
2016/10/18	41.55	42.45	41.52	42.00	4267163	178961184.00
2016/10/19	42.00	42.48	41.70	42.13	3390924	142479264.00
2016/10/20	42.29	42.42	40.81	41.07	3804189	157282400.00
2016/10/21	41.10	41.36	39.92	41.30	4132009	168270688.00
2016/10/24	41.40	41.84	40.75	41.47	3073976	127107808.00
2016/10/25	41.46	43.28	41.21	42.47	5049730	214395040.00
2016/10/26	42.15	42.47	41.41	42.40	3975108	166347904.00
2016/10/27	42.10	43.49	42.08	43.42	6660501	286955968.00
2016/10/28	43.40	43.40	42.02	42.85	5367549	229516336.00
2016/10/31	42.45	42.60	41.42	42.23	3376625	142151024.00
2016/11/01	42.16	42.98	41.91	42.78	4157941	176343280.00
2016/11/02	42.40	43.45	42.08	42.97	6048051	259352240.00
2016/11/03	42.99	43.80	42.52	42.79	5122685	221216272.00
2016/11/04	42.65	44.74	42.38	44.55	7757413	340294432.00
2016/11/07	45.25	46.59	43.67	43.94	7726094	347554112.00
2016/11/08	43.80	45.57	43.44	44.81	6350384	282435648.00
2016/11/09	44.59	49.29	44.26	49.29	13635095	643366592.00
2016/11/10	51.21	53.60	48.66	52.24	18749961	954992000.00
2016/11/11	51.64	53.60	50.77	51.13	13714768	711740160.00
2016/11/14	50.45	50.45	47.40	47.94	9236626	448627584.00
2016/11/15	48.00	48.80	47.71	48.46	5145709	248082768.00
2016/11/16	48.50	48.90	46.01	46.05	6121798	288472064.00
2016/11/17	45.87	46.68	45.47	46.41	3304026	152509312.00
2016/11/18	46.60	48.00	45.90	46.29	4138816	194965072.00
2016/11/21	46.20	48.37	45.61	48.28	5831901	274350688.00
2016/11/22	48.32	49.26	47.70	48.62	6003162	291596064.00
2016/11/23	48.20	48.28	46.38	47.11	4702520	222182672.00
2016/11/24	46.70	47.16	45.19	45.37	3013720	139019056.00
2016/11/25	45.58	45.59	43.32	45.21	3006878	133790496.00
2016/11/28	45.20	45.68	44.43	44.74	2046396	92046096.00
2016/11/29	44.74	45.18	42.83	42.95	2684028	118635696.00
2016/11/30	42.77	43.55	42.60	43.17	1775126	76409352.00
2016/12/01	43.22	43.90	42.90	43.59	1859864	80706472.00
2016/12/02	43.60	43.95	41.60	41.68	2861428	122043072.00
2016/12/05	41.16	41.71	40.50	40.72	1916526	78667656.00
2016/12/06	40.99	41.56	40.90	41.36	1601375	66095632.00
2016/12/07	41.50	41.60	40.60	41.53	1900167	78232784.00
2016/12/08	41.46	42.48	41.26	41.67	2930458	122901360.00
2016/12/09	41.61	42.12	41.03	41.12	1589622	66046256.00
2016/12/12	40.71	41.13	37.01	37.01	3957328	152055120.00
2016/12/13	36.55	37.47	35.61	37.40	3479095	127536800.00
2016/12/14	37.25	38.48	36.80	37.66	3268984	122953528.00
2016/12/15	37.41	38.45	37.11	38.06	1895522	72128880.00
2016/12/16	38.16	39.25	38.16	38.87	2313792	89892240.00
2016/12/19	38.60	40.82	38.08	39.99	4178081	165404944.00
2016/12/20	39.57	40.17	38.70	39.14	2315459	90731176.00
2016/12/21	39.50	40.03	38.91	40.00	2005498	79214168.00
2016/12/22	39.89	40.58	39.51	39.78	1572729	63095368.00
2016/12/23	39.43	39.77	37.61	37.66	1904044	73135072.00
2016/12/26	37.66	38.39	36.80	38.12	1186804	44742992.00
2016/12/27	38.45	38.57	37.67	37.79	1176100	44594784.00
2016/12/28	37.79	37.88	37.17	37.51	1044577	39193500.00
2016/12/29	37.37	37.99	36.98	37.01	888177	33304284.00
2016/12/30	37.09	37.34	36.50	36.52	937900	34497648.00
2017/01/03	36.55	37.27	36.55	37.24	840273	31140532.00
2017/01/04	37.27	37.86	37.16	37.85	1067541	40143288.00
2017/01/05	37.71	37.88	37.18	37.26	877425	32957072.00
2017/01/06	37.22	37.26	34.93	34.99	2435725	87475272.00
2017/01/09	34.85	34.85	33.82	34.27	1560237	53378264.00
2017/01/10	34.30	34.74	33.98	34.10	896082	30805864.00
2017/01/11	34.10	34.34	32.33	32.57	2012370	66467612.00
2017/01/12	32.58	33.20	31.57	31.83	1707533	55359240.00
2017/01/13	31.70	32.10	29.78	29.99	2394966	73432000.00
2017/01/16	29.90	30.18	26.99	27.43	2522317	71487424.00
2017/01/17	27.51	29.38	26.81	28.89	2552039	71951944.00
2017/01/18	28.71	28.86	28.00	28.38	1218313	34733248.00
2017/01/19	28.19	29.31	27.30	28.53	1692547	47991832.00
2017/01/20	28.23	29.40	28.11	29.18	1717953	50008152.00
2017/01/23	29.18	29.79	29.03	29.37	1183950	34865272.00
2017/01/24	29.36	29.47	28.51	28.69	967308	27987120.00
2017/01/25	28.70	29.25	28.41	29.05	1278400	36994312.00
2017/01/26	29.05	29.38	28.88	29.05	889739	25907944.00
2017/02/03	29.24	29.41	28.92	29.16	761451	22169110.00
2017/02/06	30.30	32.08	29.25	32.08	3304072	101864560.00
2017/02/07	32.63	35.29	32.33	35.29	7587015	259759040.00
2017/02/08	36.50	38.82	35.53	38.82	10141976	382219232.00
2017/02/09	40.61	41.92	39.03	39.87	10847925	436295040.00
2017/02/10	39.90	40.59	37.87	38.46	8458339	332722976.00
2017/02/13	38.00	39.27	37.62	38.44	5140220	197984656.00
2017/02/14	38.00	40.96	37.80	40.67	7340169	291761696.00
2017/02/15	40.00	40.90	38.00	39.92	7877575	311029984.00
2017/02/16	40.75	40.84	39.20	40.17	4996591	200148128.00
2017/02/17	39.55	40.50	38.30	40.01	4929622	194378640.00
2017/02/20	39.50	41.21	39.09	41.13	5916918	239626592.00
2017/02/21	42.50	45.24	40.60	42.77	20264122	877924480.00
2017/02/22	39.00	40.46	38.49	38.50	13946528	544173056.00
2017/02/23	37.18	37.45	36.02	36.33	7690861	281080448.00
2017/02/24	36.25	36.30	35.42	35.83	4946506	177241536.00
2017/02/27	35.98	36.82	35.90	36.13	4255557	154737776.00
2017/02/28	35.89	36.16	35.22	35.63	3749042	133205072.00
2017/03/01	35.76	36.12	35.55	35.77	2606717	93396024.00
2017/03/02	35.61	36.00	35.21	35.38	2356799	83560232.00
2017/03/03	35.38	35.38	34.71	35.02	2266200	79212968.00
2017/03/06	34.91	35.59	34.91	35.49	2303277	81437376.00
2017/03/07	35.47	36.66	35.34	36.61	3837785	137850672.00
2017/03/08	36.61	36.96	36.10	36.22	3239155	117848544.00
2017/03/09	36.10	36.10	35.00	35.00	2672698	94370088.00
2017/03/10	35.00	35.35	34.80	34.96	1619350	56703388.00
2017/03/13	35.05	35.45	33.61	35.43	2334013	80907248.00
2017/03/14	35.60	35.72	35.22	35.46	1932492	68590608.00
2017/03/15	35.49	35.50	34.87	35.03	1488206	52220020.00
2017/03/16	35.10	35.99	35.07	35.87	2907635	103685808.00
2017/03/17	35.80	36.50	35.36	35.43	3926563	141848048.00
2017/03/20	35.20	36.40	34.83	36.37	3035580	108284392.00
2017/03/21	36.37	39.10	36.09	38.16	7534913	283055680.00
2017/03/22	36.99	39.00	36.60	38.65	7894590	300086144.00
2017/03/23	38.38	38.65	36.96	37.79	4906219	185731792.00
2017/03/24	37.11	37.75	36.98	37.28	2837389	105864584.00
2017/03/27	37.20	37.98	37.11	37.89	2726325	102387240.00
