603696 安记食品 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/09	14.54	14.54	14.54	14.54	23600	343144.00
2015/12/10	15.99	15.99	15.99	15.99	2500	39975.00
2015/12/11	17.59	17.59	17.59	17.59	8800	154792.00
2015/12/14	19.35	19.35	19.35	19.35	37700	729495.00
2015/12/15	21.29	21.29	21.29	21.29	34050	724924.50
2015/12/16	23.42	23.42	23.42	23.42	27400	641708.00
2015/12/17	25.76	25.76	25.76	25.76	46300	1192688.00
2015/12/18	28.34	28.34	28.34	28.34	60000	1700400.00
2015/12/21	31.17	31.17	31.17	31.17	128150	3994435.50
2015/12/22	34.29	34.29	34.29	34.29	163391	5602677.50
2015/12/23	37.72	37.72	37.72	37.72	146125	5511835.00
2015/12/24	41.49	41.49	41.49	41.49	589761	24469184.00
2015/12/25	45.64	45.64	45.64	45.64	267020	12186793.00
2015/12/28	50.20	50.20	50.20	50.20	401344	20147468.00
2015/12/29	55.22	55.22	55.22	55.22	1246193	68814776.00
2015/12/30	60.74	60.74	60.02	60.74	9963179	605145408.00
2015/12/31	59.00	60.20	54.67	55.37	19116864	1085827072.00
2016/01/04	52.30	59.99	51.30	53.87	13291202	739571968.00
2016/01/05	52.00	58.50	48.88	58.28	17628493	948555520.00
2016/01/06	56.55	64.11	55.66	64.11	15918673	966240960.00
2016/01/07	64.15	66.10	57.70	57.70	7079800	443306368.00
2016/01/08	59.00	62.87	52.55	57.55	16885284	978121600.00
2016/01/11	52.08	53.78	51.80	51.80	6425981	334443392.00
2016/01/12	47.55	49.80	46.62	46.62	7478717	352641760.00
2016/01/13	44.19	45.50	41.96	41.96	10309899	445418528.00
2016/01/14	39.61	42.99	39.53	42.81	8645227	361572896.00
2016/01/15	42.00	42.78	38.53	38.53	8206535	327985920.00
2016/01/18	35.90	39.74	35.61	38.35	8476962	319844032.00
2016/01/19	37.82	41.00	37.70	39.83	8764633	346916736.00
2016/01/20	39.15	39.75	37.43	37.68	7646448	295078144.00
2016/01/21	36.85	37.30	33.91	33.91	6396834	228665616.00
2016/01/22	34.65	36.84	33.61	36.12	7793572	277048896.00
2016/01/25	36.12	36.70	35.01	36.50	6318229	226766464.00
2016/01/26	35.58	35.66	32.85	32.85	5557029	189028640.00
