603711 香飘飘 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/11/30	17.02	20.42	17.02	20.42	26908	545721.00
2017/12/01	22.46	22.46	22.46	22.46	22572	506967.00
2017/12/04	24.71	24.71	24.71	24.71	123074	3041159.00
2017/12/05	27.18	27.18	27.18	27.18	600716	16327461.00
2017/12/06	29.90	29.90	29.90	29.90	5495292	164309232.00
2017/12/07	32.89	32.89	30.51	31.70	27417317	865069184.00
2017/12/08	31.80	34.87	31.01	34.87	15569958	525547104.00
2017/12/11	37.78	38.00	32.76	33.27	29002074	1012033216.00
2017/12/12	30.31	31.48	29.94	29.94	18278266	556265216.00
2017/12/13	28.51	30.66	28.51	29.86	13403049	396617728.00
2017/12/14	29.02	29.73	28.16	29.20	13524550	389988672.00
2017/12/15	28.95	28.95	27.72	27.85	11103018	314850592.00
2017/12/18	27.76	27.80	25.37	25.66	11687368	307256512.00
2017/12/19	25.21	25.90	25.08	25.75	7651477	195467952.00
2017/12/20	25.50	25.80	24.73	24.77	7835101	196917184.00
2017/12/21	24.70	25.26	24.00	24.86	9519808	234638032.00
2017/12/22	24.63	27.30	24.50	27.06	16354515	429339872.00
2017/12/25	26.35	27.48	25.80	26.75	11611888	307354176.00
2017/12/26	26.40	28.50	26.26	27.18	14953541	409555136.00
2017/12/27	26.91	29.17	26.64	28.59	17979818	503101568.00
2017/12/28	27.80	30.73	27.51	29.35	19491433	563958528.00
2017/12/29	28.70	29.42	26.42	26.57	13651439	380044992.00
2018/01/02	26.75	27.80	25.92	27.15	9608848	259844176.00
2018/01/03	26.83	26.84	25.63	26.30	9817734	256782656.00
2018/01/04	26.00	26.60	25.81	26.05	6026761	157937728.00
2018/01/05	26.05	26.40	25.65	25.70	5181300	134562064.00
2018/01/08	25.69	26.18	25.65	26.11	4901738	127118416.00
2018/01/09	26.16	28.72	25.86	28.72	13386943	368333152.00
2018/01/10	29.00	31.50	28.51	30.79	24203556	722469312.00
2018/01/11	29.70	31.86	28.99	29.89	17240174	520182464.00
2018/01/12	29.20	29.78	28.02	28.58	11707415	335894816.00
2018/01/15	28.03	31.04	27.80	29.83	14403742	422337728.00
2018/01/16	29.39	30.99	29.01	30.62	15743759	477300736.00
2018/01/17	29.88	30.50	29.20	30.07	10007998	299378816.00
2018/01/18	30.06	31.60	29.39	29.66	10187612	310428480.00
2018/01/19	29.00	31.50	28.50	31.23	16355287	496893152.00
2018/01/22	30.30	30.75	29.05	29.89	10225907	306007456.00
2018/01/23	29.33	30.30	29.00	29.44	6935265	205139408.00
2018/01/24	29.67	30.30	29.16	29.85	7369508	219542736.00
2018/01/25	29.50	29.73	28.63	28.69	7624765	222158304.00
2018/01/26	28.08	28.49	26.90	27.23	8008959	221787968.00
2018/01/29	27.22	27.79	26.62	27.47	4679706	127581976.00
2018/01/30	27.16	27.74	27.16	27.71	4007764	110351272.00
2018/01/31	27.91	29.86	27.40	29.34	12529241	363930400.00
2018/02/01	28.60	28.99	26.41	26.44	9766733	266233728.00
2018/02/02	25.00	25.68	24.00	25.11	6500231	161976672.00
2018/02/05	24.72	26.00	24.01	25.38	4760103	119992304.00
2018/02/06	24.18	25.20	22.84	22.84	5133158	122199312.00
2018/02/07	23.66	23.96	21.50	23.07	5945607	136358000.00
2018/02/08	22.65	23.48	22.50	23.07	3230985	74724784.00
2018/02/09	22.20	22.48	20.88	21.07	4264922	92361904.00
2018/02/12	21.66	21.82	21.07	21.44	2914460	62879560.00
2018/02/13	21.58	22.10	21.49	21.63	3368459	73192040.00
2018/02/14	21.63	21.81	21.27	21.38	1921724	41357676.00
2018/02/22	21.56	22.50	21.56	22.30	3257772	72284464.00
2018/02/23	22.40	22.47	22.00	22.38	2835022	63051696.00
2018/02/26	22.58	23.27	22.56	23.25	4343360	99875240.00
2018/02/27	23.25	23.89	22.93	23.40	4194632	98259920.00
2018/02/28	23.25	23.25	22.52	22.63	3100728	70435256.00
2018/03/01	22.35	22.79	22.21	22.70	2955617	66588144.00
2018/03/02	22.52	22.62	22.18	22.20	2750587	61539208.00
2018/03/05	21.99	22.58	21.96	22.56	2510881	56096744.00
2018/03/06	22.58	23.18	22.38	22.97	4273666	97439752.00
2018/03/07	22.80	24.57	22.65	23.96	7770173	183141232.00
2018/03/08	23.61	24.14	23.45	23.81	5826284	138562768.00
2018/03/09	23.90	24.17	23.53	23.97	5233760	125254656.00
2018/03/12	24.10	24.50	23.96	24.42	5285251	128187296.00
2018/03/13	24.44	24.45	23.44	23.49	4985544	118532424.00
2018/03/14	23.33	24.60	23.25	23.91	5151137	122550616.00
2018/03/15	23.35	23.60	22.60	22.89	4272441	98630976.00
2018/03/16	22.89	23.30	22.62	22.71	2284190	52563944.00
2018/03/19	22.71	23.49	22.32	23.22	3251473	75149288.00
2018/03/20	22.85	24.30	22.51	23.67	5531524	129748656.00
2018/03/21	23.56	23.96	22.87	23.06	4571340	107658912.00
2018/03/22	23.02	23.40	22.81	23.18	2865355	66304612.00
2018/03/23	22.01	22.33	20.86	20.86	4894342	105153840.00
2018/03/26	20.45	20.70	19.15	20.64	3381571	67820664.00
2018/03/27	20.81	21.30	20.81	21.05	3079518	64882388.00
2018/03/28	20.76	21.18	20.50	20.73	2191417	45757872.00
2018/03/29	20.85	21.57	20.85	21.30	3530625	74827160.00
2018/03/30	21.46	21.59	21.17	21.51	3401650	72825080.00
2018/04/02	21.73	21.75	21.21	21.31	2786878	59757364.00
