603721 中广天择 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/08/11	8.46	10.15	8.46	10.15	12196	123620.00
2017/08/14	11.17	11.17	11.17	11.17	2507	28003.00
2017/08/15	12.29	12.29	12.29	12.29	4800	58992.00
2017/08/16	13.52	13.52	13.52	13.52	11607	156927.00
2017/08/17	14.87	14.87	14.87	14.87	18641	277192.00
2017/08/18	16.36	16.36	16.36	16.36	31988	523324.00
2017/08/21	18.00	18.00	18.00	18.00	33403	601254.00
2017/08/22	19.80	19.80	19.80	19.80	39521	782516.00
2017/08/23	21.78	21.78	21.78	21.78	44700	973566.00
2017/08/24	23.96	23.96	23.96	23.96	63100	1511876.00
2017/08/25	26.36	26.36	26.36	26.36	191120	5037923.00
2017/08/28	29.00	29.00	29.00	29.00	177014	5133406.00
2017/08/29	31.90	31.90	31.90	31.90	68486	2184703.00
2017/08/30	35.09	35.09	35.09	35.09	167863	5890313.00
2017/08/31	38.60	38.60	38.60	38.60	332127	12820102.00
2017/09/01	42.46	42.46	42.46	42.46	1117420	47445652.00
2017/09/04	46.71	46.71	46.71	46.71	653434	30521902.00
2017/09/05	49.33	49.33	43.50	44.66	16714544	770005504.00
2017/09/06	42.02	43.27	40.41	40.64	11547350	482735776.00
2017/09/07	40.32	43.49	40.32	41.87	9566555	404057920.00
2017/09/08	40.50	42.48	39.65	40.17	8049432	327204704.00
2017/09/11	40.29	41.88	40.01	40.97	6452249	263461888.00
2017/09/12	41.01	45.07	40.97	43.40	11604648	508732160.00
2017/09/13	41.50	43.67	40.52	43.27	7817993	329853248.00
2017/09/14	42.35	45.43	42.35	43.84	8088007	356408576.00
2017/09/15	43.26	47.98	43.11	46.75	10457998	482672928.00
2017/09/18	45.32	46.21	42.08	42.08	9082674	389861216.00
2017/09/19	40.70	41.69	39.55	40.64	6626488	268672736.00
2017/09/20	40.10	41.76	39.88	41.51	5068168	208069296.00
2017/09/21	41.13	41.49	39.55	39.68	4688513	189361184.00
2017/09/22	39.41	40.62	38.02	39.82	3910950	154229376.00
2017/09/25	39.20	40.25	38.80	38.93	2503740	98632040.00
2017/09/26	38.90	38.90	35.60	36.22	4026953	148523184.00
2017/09/27	35.99	36.80	35.95	36.44	1918739	69732792.00
2017/09/28	36.28	36.57	35.02	35.61	1870871	67634672.00
2017/09/29	35.50	35.99	34.78	34.91	2171982	76721904.00
2017/10/09	35.49	36.35	35.14	36.15	1962693	70148512.00
2017/10/10	36.00	37.25	35.84	37.10	2315038	84846104.00
2017/10/11	37.00	38.18	36.20	36.23	2814337	104661984.00
2017/10/12	36.10	36.18	35.11	35.71	1771258	63160880.00
2017/10/13	35.71	38.38	35.66	37.52	3655493	136878624.00
2017/10/16	37.33	37.85	35.96	36.48	2349477	85954080.00
2017/10/17	36.20	37.15	35.95	37.07	2013042	73907624.00
2017/10/18	37.15	37.39	35.72	35.96	1709713	62358752.00
2017/10/19	36.00	36.00	34.83	34.85	1856543	65234568.00
2017/10/20	34.86	35.66	34.68	35.17	1116466	39057044.00
2017/10/23	35.08	36.59	34.80	36.26	2102980	75363432.00
2017/10/24	35.96	36.37	35.08	35.66	1359492	48452168.00
2017/10/25	35.53	36.90	35.34	36.83	1807228	65530752.00
2017/10/26	36.79	37.27	36.21	36.80	2322699	85331840.00
2017/10/27	37.02	37.78	36.52	37.47	2593157	96595808.00
2017/10/30	36.84	37.37	35.31	35.52	2210563	79947680.00
2017/10/31	35.67	36.15	35.26	35.95	1223151	43717816.00
2017/11/01	35.99	37.64	35.82	37.26	2936047	108860088.00
2017/11/02	37.09	40.99	37.09	39.80	6877258	270823360.00
2017/11/03	39.80	39.80	38.02	38.92	4350490	168992368.00
2017/11/06	39.35	39.40	38.55	39.13	2730746	106349344.00
2017/11/07	39.09	39.61	37.70	38.70	3129240	120621248.00
2017/11/08	38.80	39.96	38.21	39.69	4200842	165473792.00
2017/11/09	39.30	39.30	38.30	38.71	2370581	91829480.00
2017/11/10	38.51	38.79	37.85	38.03	2350808	89954488.00
2017/11/13	38.09	38.68	37.37	38.41	1808909	68922088.00
2017/11/14	38.28	38.28	36.36	37.07	2853496	106223984.00
2017/11/15	36.64	37.39	36.25	37.25	1558321	57411664.00
2017/11/16	36.92	38.20	36.32	37.77	2523024	94355160.00
2017/11/17	37.20	37.40	33.99	35.07	3177901	111975360.00
2017/11/20	34.30	36.54	33.38	35.95	1536153	54261780.00
2017/11/21	35.80	36.64	35.04	35.80	1087179	38998108.00
2017/11/22	35.33	36.79	35.33	36.35	1361281	49472536.00
2017/11/23	36.30	36.89	34.50	35.77	1349897	48447568.00
2017/11/24	35.40	35.90	34.60	35.40	1001890	35295416.00
2017/11/27	35.03	35.47	32.71	33.26	1877514	63106792.00
2017/11/28	34.00	34.00	32.83	33.52	938648	31237772.00
2017/11/29	33.65	33.65	31.46	32.71	1713696	55022176.00
2017/11/30	32.28	32.58	31.71	32.30	919561	29591478.00
2017/12/01	32.11	32.50	31.68	32.36	691607	22174758.00
2017/12/04	31.90	31.90	29.50	30.22	1675616	50698484.00
2017/12/05	30.33	30.50	28.41	29.39	1381478	40566984.00
2017/12/06	29.10	29.95	28.61	29.85	1040369	30555340.00
2017/12/07	29.70	30.17	29.33	29.76	517461	15404248.00
2017/12/08	29.76	30.60	29.76	30.22	790010	23878768.00
2017/12/11	30.27	30.39	29.89	30.28	724472	21811324.00
2017/12/12	30.27	30.40	28.90	29.21	1145599	33700216.00
2017/12/13	29.17	29.49	28.93	29.24	545792	15938104.00
2017/12/14	29.20	29.36	28.56	28.86	801471	23087074.00
2017/12/15	28.75	29.20	28.11	28.65	775796	22196428.00
2017/12/18	28.50	28.65	27.15	27.59	1085102	29974576.00
2017/12/19	27.48	27.80	27.26	27.57	940813	25853138.00
2017/12/20	27.50	27.62	25.90	26.79	1719987	45477288.00
2017/12/21	26.53	26.96	26.12	26.68	1090280	28938700.00
2017/12/22	26.53	26.95	26.26	26.58	867403	23004252.00
2017/12/25	26.42	26.54	25.25	25.54	1144103	29376216.00
2017/12/26	25.59	27.45	25.55	27.04	2050527	54882976.00
2017/12/27	26.80	27.47	26.60	27.05	1299810	35175776.00
2017/12/28	27.00	28.87	26.86	27.78	2368506	66316020.00
2017/12/29	27.57	27.88	27.30	27.81	1171828	32263494.00
2018/01/02	27.95	28.16	27.50	27.68	896114	24822710.00
2018/01/03	27.73	27.73	27.09	27.30	993100	27070408.00
2018/01/04	27.10	27.26	26.87	26.94	744499	20106586.00
2018/01/05	26.97	27.15	26.82	26.90	529412	14275188.00
2018/01/08	26.95	27.48	26.95	27.26	733428	19968796.00
2018/01/09	27.33	27.33	26.88	26.99	753900	20399026.00
2018/01/10	27.00	27.00	25.80	26.17	1426025	37360188.00
2018/01/11	26.18	26.90	25.70	26.68	960720	25553080.00
2018/01/12	26.71	28.50	26.51	27.47	1749516	47874740.00
2018/01/15	27.50	27.51	26.02	26.53	919796	24532496.00
2018/01/16	26.20	27.77	26.19	27.45	1645607	44882344.00
2018/01/17	27.78	30.18	27.65	28.45	3259732	94314808.00
2018/01/18	28.53	28.73	27.82	28.56	1707722	48277164.00
2018/01/19	28.48	28.80	27.70	27.83	1471514	41595696.00
2018/01/22	27.63	28.88	26.68	28.62	2200062	61504188.00
2018/01/23	28.11	28.55	28.08	28.13	1102906	31154724.00
2018/01/24	28.23	29.52	28.00	29.06	2526028	73247432.00
2018/01/25	29.04	30.37	28.61	28.62	3059627	90326736.00
2018/01/26	27.60	28.68	27.52	27.72	2175676	60594916.00
2018/01/29	28.19	28.29	26.88	27.11	1317231	36001000.00
2018/01/30	27.00	27.20	26.25	26.60	1130543	30113154.00
2018/01/31	26.54	26.54	25.40	25.55	1282677	33154106.00
2018/02/01	23.92	25.35	23.92	24.32	916869	22646506.00
2018/02/02	24.31	24.37	23.10	23.62	783169	18638256.00
2018/02/05	23.21	23.79	23.01	23.28	478300	11215676.00
2018/02/06	23.00	23.14	20.95	20.96	1251169	27420082.00
2018/02/07	21.64	21.96	20.26	21.34	1025576	21798012.00
2018/02/08	21.11	21.77	21.01	21.53	665332	14337649.00
2018/02/09	21.03	21.58	20.30	20.78	852262	17778116.00
2018/02/12	21.04	21.72	21.03	21.48	853325	18307772.00
2018/02/13	21.68	21.82	21.18	21.28	594575	12734924.00
2018/02/14	21.40	21.54	21.00	21.49	672161	14304957.00
2018/02/22	22.48	22.48	21.61	22.00	734992	16171829.00
2018/02/23	22.04	22.04	21.73	21.99	478700	10476457.00
2018/02/26	22.35	22.88	22.25	22.83	1027911	23234498.00
2018/02/27	22.88	23.46	22.64	23.26	1192073	27490040.00
2018/02/28	22.98	23.00	21.60	22.71	816384	18527962.00
2018/03/01	22.65	23.30	22.62	23.14	714189	16382309.00
2018/03/02	22.94	23.23	22.64	22.67	666777	15309462.00
