603933 睿能科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/07/06	29.09	29.09	29.09	29.09	12400	360716.00
2017/07/07	32.00	32.00	32.00	32.00	2100	67200.00
2017/07/10	35.20	35.20	35.20	35.20	5014	176493.00
2017/07/11	38.72	38.72	38.72	38.72	12420	480902.00
2017/07/12	42.59	42.59	42.59	42.59	156560	6667890.00
2017/07/13	46.85	46.85	46.85	46.85	176592	8273335.00
2017/07/14	51.50	51.54	49.58	51.54	14545179	741052672.00
2017/07/17	50.69	54.00	49.21	49.55	14410623	745814272.00
2017/07/18	47.51	51.40	47.51	49.80	9976719	496514176.00
2017/07/19	50.96	51.82	49.51	50.48	8696916	441674880.00
2017/07/20	49.50	51.05	47.31	47.47	8433272	414053024.00
2017/07/21	46.70	47.56	45.85	46.43	5289090	246208800.00
2017/07/24	46.18	48.68	45.51	47.77	5689827	268713120.00
2017/07/25	47.59	47.80	45.50	45.56	4907237	228288768.00
2017/07/26	45.41	47.18	45.41	46.14	4248468	196283872.00
2017/07/27	45.66	48.18	44.89	47.48	6193190	288627552.00
2017/07/28	47.20	48.80	46.81	47.06	4664977	222025648.00
2017/07/31	46.00	47.46	46.00	47.06	3675261	172071888.00
2017/08/01	47.07	48.96	46.92	48.87	5190816	248915840.00
2017/08/02	48.49	48.73	46.44	46.58	4299363	205009616.00
2017/08/03	46.30	47.44	46.01	46.39	3205901	149885136.00
2017/08/04	46.20	46.56	45.03	45.12	3476953	158739936.00
2017/08/07	45.50	47.00	45.42	46.14	2468504	114085080.00
2017/08/08	45.98	47.09	45.16	47.02	2969487	137031856.00
2017/08/09	46.78	48.89	46.68	48.10	3853029	184637808.00
2017/08/10	47.60	48.60	46.02	46.38	3253872	152954576.00
2017/08/11	45.50	45.77	44.22	44.51	4272846	192492384.00
2017/08/14	44.15	45.30	44.10	45.06	2154638	96758680.00
2017/08/15	44.85	45.69	44.11	44.86	3336705	149515104.00
2017/08/16	44.80	46.87	44.63	46.08	4414185	202646592.00
2017/08/17	45.92	46.80	45.68	46.23	3133511	144830016.00
2017/08/18	45.70	45.91	45.22	45.39	2286601	103946872.00
2017/08/21	45.48	49.31	45.44	48.54	5207846	247647296.00
2017/08/22	48.60	49.99	48.10	48.97	5771132	282893280.00
2017/08/23	48.57	53.50	47.90	51.64	8010122	404755840.00
2017/08/24	51.01	52.60	48.92	49.10	7916454	402756960.00
2017/08/25	49.20	52.18	49.18	51.94	6067802	307361888.00
2017/08/28	52.65	54.66	52.35	53.59	7726077	413546976.00
2017/08/29	53.50	56.53	52.51	52.74	8174175	444992608.00
2017/08/30	51.83	52.90	50.44	51.12	5378228	277564416.00
2017/08/31	51.80	54.49	51.68	54.16	5329629	283428992.00
2017/09/01	54.44	54.57	52.62	53.15	4012429	213975296.00
2017/09/04	52.88	54.88	52.10	52.34	4168295	222513904.00
2017/09/05	52.10	53.56	51.60	53.20	2833824	148935072.00
2017/09/06	52.52	52.80	50.90	51.94	3207846	166130848.00
2017/09/07	51.60	52.92	51.60	51.84	2594609	135771440.00
2017/09/08	51.60	52.84	51.02	52.80	2963426	154311408.00
2017/09/11	53.20	54.80	52.99	54.53	3915936	212259904.00
2017/09/12	54.56	54.56	52.05	52.43	3757307	199321936.00
2017/09/13	52.63	55.80	52.30	55.40	4316488	233689216.00
2017/09/14	55.05	57.66	54.65	55.72	5417766	304262272.00
2017/09/15	55.08	57.49	55.08	55.75	5048173	285123040.00
2017/09/18	55.15	55.50	53.40	54.77	3786205	205010544.00
2017/09/19	54.36	56.90	54.10	56.62	3866786	215318928.00
2017/09/20	56.44	57.58	55.63	57.18	3595862	204163712.00
2017/09/21	56.60	56.99	54.60	54.67	3391942	189363776.00
2017/09/22	54.66	55.93	53.20	55.83	2894644	158663792.00
2017/09/25	55.50	56.86	54.20	54.35	2494997	138959664.00
