605056 咸亨国际 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/07/20	16.38	19.66	16.38	19.66	282605	5547703.00
2021/07/21	21.63	21.63	21.63	21.63	79022	1709245.88
2021/07/22	23.79	23.79	23.79	23.79	481299	11450103.00
2021/07/23	26.17	26.17	24.50	26.17	9984211	259674432.00
2021/07/26	27.97	27.97	23.55	24.50	19641047	490197408.00
2021/07/27	25.59	26.95	24.63	26.95	20509454	540312512.00
2021/07/28	25.10	25.60	24.26	24.26	3459678	85328096.00
2021/07/29	23.22	24.05	22.18	23.72	18045795	413732384.00
2021/07/30	26.09	26.09	25.41	26.09	12416848	323473472.00
2021/08/02	26.30	26.58	24.29	25.50	16417989	412851648.00
2021/08/03	23.33	23.55	22.95	22.95	14810418	341341536.00
2021/08/04	22.80	22.80	21.00	21.65	11651954	251375120.00
2021/08/05	21.23	21.64	20.80	20.81	8212642	173249904.00
2021/08/06	20.65	20.81	19.94	19.95	8522814	172243744.00
2021/08/09	19.85	20.51	19.85	20.07	5474640	110254240.00
2021/08/10	20.01	20.50	19.72	20.28	7625356	152987488.00
2021/08/11	20.22	20.93	20.05	20.79	7479436	153616368.00
2021/08/12	20.53	20.56	19.86	19.94	7103470	142812928.00
2021/08/13	19.90	20.59	19.81	20.45	6757622	137233632.00
2021/08/16	20.35	22.40	20.30	21.42	11719019	249882112.00
2021/08/17	21.05	22.60	20.84	21.93	11710176	253809824.00
2021/08/18	21.54	21.72	20.92	21.45	7281356	154811360.00
2021/08/19	21.35	21.40	19.69	19.90	7593175	153931472.00
2021/08/20	19.70	19.72	18.40	18.60	6150678	115745048.00
2021/08/23	18.60	18.92	18.58	18.74	3016104	56646236.00
2021/08/24	18.63	19.30	18.52	19.23	4268612	80943216.00
2021/08/25	19.10	19.70	18.78	19.55	4668185	89469776.00
2021/08/26	19.60	20.63	19.60	19.99	7406358	149306096.00
2021/08/27	19.57	20.10	19.06	19.45	4960986	96352688.00
2021/08/30	19.45	20.48	19.30	20.02	5414171	109266192.00
2021/08/31	20.01	20.20	19.39	19.62	3312224	65142348.00
2021/09/01	19.62	20.50	18.68	20.03	5457040	105741544.00
2021/09/02	20.03	20.52	19.80	20.38	4818195	97909832.00
2021/09/03	20.24	20.58	19.84	19.85	3778855	76232696.00
2021/09/06	19.92	20.18	19.68	20.04	2572452	51476956.00
2021/09/07	20.16	20.16	19.65	19.76	2695540	53404928.00
2021/09/08	19.66	19.86	19.22	19.34	3121376	60691276.00
2021/09/09	19.34	19.44	19.10	19.19	2103860	40515096.00
2021/09/10	19.19	21.11	19.19	21.11	11800925	243796448.00
2021/09/13	20.20	21.75	19.86	21.18	13263507	270755584.00
2021/09/14	20.46	20.77	20.10	20.10	6764104	138018176.00
2021/09/15	20.50	20.50	19.60	19.90	3840353	76618576.00
2021/09/16	19.90	20.18	19.63	19.63	2970133	59057396.00
2021/09/17	19.47	19.55	18.89	19.04	3351559	64189240.00
2021/09/22	18.80	19.50	18.80	19.36	2076657	39930112.00
2021/09/23	19.33	19.69	19.12	19.38	2286761	44266632.00
2021/09/24	19.38	19.39	18.83	18.90	2483300	47118248.00
2021/09/27	18.97	19.30	17.51	17.99	3161261	57772848.00
2021/09/28	17.61	17.63	17.01	17.21	1779658	30683036.00
2021/09/29	17.03	17.41	16.90	16.95	1573601	26923304.00
2021/09/30	17.15	17.40	16.88	17.27	1429089	24619364.00
2021/10/08	17.35	17.75	17.35	17.53	1440008	25284320.00
2021/10/11	17.53	17.60	17.16	17.40	1805128	31253540.00
2021/10/12	17.40	17.40	16.71	16.91	1585679	26986440.00
2021/10/13	16.94	17.32	16.81	17.28	1225387	20971964.00
2021/10/14	17.28	17.91	17.06	17.60	1718114	30157292.00
2021/10/15	17.50	17.58	17.25	17.35	1016999	17667712.00
2021/10/18	17.34	17.50	17.20	17.46	915644	15918583.00
2021/10/19	17.59	17.99	17.59	17.65	1543596	27389574.00
2021/10/20	17.52	17.65	17.32	17.33	1229813	21412044.00
2021/10/21	17.18	17.29	16.86	17.10	1425224	24286636.00
2021/10/22	17.00	17.50	16.91	17.45	1626632	28038908.00
2021/10/25	17.56	18.35	17.41	18.26	3693452	66729448.00
2021/10/26	18.00	18.42	17.87	18.20	2743620	49535416.00
2021/10/27	17.95	18.23	17.70	18.07	1706371	30654408.00
2021/10/28	17.19	17.92	16.60	17.88	2461538	42536480.00
2021/10/29	17.89	18.50	17.45	18.30	2328303	41830672.00
2021/11/01	18.30	18.79	18.02	18.75	3549996	65721952.00
2021/11/02	18.60	18.60	18.01	18.15	2566033	46947124.00
2021/11/03	18.33	18.44	17.34	17.67	2359979	41984520.00
2021/11/04	17.60	18.58	17.59	18.30	2795196	50984852.00
2021/11/05	18.26	18.69	18.01	18.07	2071438	38031572.00
2021/11/08	18.00	18.39	17.83	18.31	1486825	26996578.00
2021/11/09	18.31	18.66	18.26	18.51	1770775	32693120.00
2021/11/10	18.50	18.50	18.20	18.40	1208081	22150768.00
2021/11/11	18.23	18.50	18.11	18.15	1432678	26216178.00
2021/11/12	18.06	18.34	18.06	18.28	1252960	22811664.00
2021/11/15	18.13	19.68	18.13	19.16	4818480	92165944.00
2021/11/16	19.25	19.65	19.11	19.36	3670335	71208072.00
2021/11/17	19.15	19.36	19.11	19.27	1642536	31595428.00
2021/11/18	19.27	19.60	19.10	19.11	2924326	56636304.00
2021/11/19	19.01	19.20	18.51	19.07	2003545	37829364.00
2021/11/22	19.09	19.19	18.75	18.76	1919512	36298540.00
2021/11/23	18.92	18.92	18.65	18.71	1248066	23364398.00
2021/11/24	18.71	19.07	18.58	19.01	1866860	35280824.00
2021/11/25	19.22	19.26	18.70	18.72	1723231	32561886.00
2021/11/26	18.78	18.79	18.18	18.22	1632176	29963384.00
2021/11/29	18.01	18.22	17.66	17.79	1448281	25819500.00
2021/11/30	17.95	18.09	17.75	17.88	1069760	19158168.00
2021/12/01	17.87	18.12	17.66	17.89	1085700	19434226.00
2021/12/02	18.12	19.38	17.50	18.67	4555008	83300024.00
2021/12/03	18.58	18.83	18.40	18.68	2295948	42756672.00
2021/12/06	18.80	19.20	18.22	19.07	3407160	63937848.00
2021/12/07	18.94	19.35	18.66	19.35	3742044	71433088.00
2021/12/08	19.42	19.50	19.15	19.20	2458912	47343200.00
2021/12/09	19.20	20.68	19.20	19.89	6728041	134155648.00
2021/12/10	19.83	20.10	19.08	19.36	3951813	76930784.00
2021/12/13	19.29	19.38	18.70	18.81	3888782	73656176.00
2021/12/14	18.81	19.22	18.51	18.96	2010745	37831836.00
2021/12/15	18.84	20.86	18.70	20.86	5205758	106160800.00
2021/12/16	21.57	21.95	19.95	20.29	9245837	192170672.00
2021/12/17	20.47	20.97	19.88	20.40	5544666	112903296.00
2021/12/20	20.00	20.25	19.17	19.40	4578584	89975808.00
2021/12/21	19.26	19.93	19.20	19.78	2887582	56720060.00
2021/12/22	19.75	19.89	19.29	19.35	2635877	51459076.00
2021/12/23	19.35	19.81	18.70	19.55	4318661	83081896.00
2021/12/24	19.54	19.71	18.50	19.11	3705835	71767576.00
2021/12/27	19.10	19.10	18.61	18.82	1587990	29935556.00
2021/12/28	18.93	19.03	18.52	18.58	2404355	44824040.00
2021/12/29	18.68	19.23	18.52	18.98	2171265	40979500.00
2021/12/30	18.90	19.15	18.67	18.95	1717000	32584662.00
2021/12/31	18.93	19.16	18.73	18.78	1490215	28125388.00
2022/01/04	18.54	18.92	18.50	18.84	1134746	21238636.00
2022/01/05	18.71	19.26	18.52	19.13	2948176	55991432.00
2022/01/06	19.02	19.21	18.93	18.96	1733052	33011992.00
2022/01/07	18.95	19.15	18.78	18.92	1385503	26266188.00
2022/01/10	18.96	19.10	18.59	18.85	1049630	19721630.00
2022/01/11	18.82	19.09	18.76	18.81	1303700	24666618.00
2022/01/12	18.86	19.12	18.86	19.05	1440822	27413366.00
2022/01/13	19.13	19.15	18.68	18.69	1327100	25066328.00
2022/01/14	18.65	18.65	17.64	17.86	3141544	56775456.00
2022/01/17	17.81	18.03	17.76	17.96	1381689	24731216.00
2022/01/18	17.99	18.00	17.68	17.74	1201307	21371574.00
2022/01/19	17.65	17.81	17.51	17.68	991024	17486248.00
2022/01/20	17.69	17.72	17.11	17.11	1231428	21274556.00
2022/01/21	17.06	17.12	16.88	16.90	698810	11846872.00
2022/01/24	16.72	16.88	16.70	16.80	643400	10798225.00
2022/01/25	16.80	16.83	15.77	15.80	1460300	23747004.00
2022/01/26	15.81	16.08	15.81	15.87	881412	14023010.00
2022/01/27	15.87	15.88	15.17	15.18	1316900	20280612.00
2022/01/28	15.20	15.59	15.20	15.38	793467	12219582.00
2022/02/07	15.68	16.06	15.47	15.54	726400	11394681.00
2022/02/08	15.68	15.94	15.55	15.86	931534	14709403.00
2022/02/09	15.96	15.97	15.80	15.97	708390	11256293.00
2022/02/10	15.99	15.99	15.80	15.92	615933	9781850.00
2022/02/11	15.88	15.88	15.36	15.46	808400	12615764.00
2022/02/14	15.40	15.82	15.25	15.72	740878	11567111.00
2022/02/15	15.70	15.88	15.52	15.71	665955	10465545.00
2022/02/16	15.72	16.11	15.72	16.03	1107651	17697832.00
2022/02/17	16.10	16.32	15.95	16.06	1152824	18597352.00
2022/02/18	15.98	16.18	15.83	16.15	755333	12057960.00
2022/02/21	16.20	16.23	16.01	16.18	774500	12472221.00
2022/02/22	16.14	16.14	15.82	15.90	927812	14795658.00
2022/02/23	16.02	16.28	15.96	16.20	1037133	16762127.00
2022/02/24	16.06	16.65	15.64	15.81	1565572	25205004.00
2022/02/25	16.14	16.24	15.90	15.97	769910	12362398.00
2022/02/28	16.10	16.10	15.60	15.87	646000	10222514.00
2022/03/01	15.90	16.17	15.85	16.08	678112	10847233.00
2022/03/02	15.97	16.04	15.89	15.97	581761	9277148.00
2022/03/03	15.97	16.11	15.87	16.03	743600	11902065.00
2022/03/04	15.95	16.05	15.77	15.80	709316	11265909.00
2022/03/07	15.75	15.75	15.45	15.56	715100	11120691.00
2022/03/08	15.54	15.57	14.95	15.00	1112340	16859232.00
2022/03/09	15.00	15.08	13.72	14.33	1151816	16659634.00
2022/03/10	14.64	15.09	14.49	14.89	1051900	15580059.00
2022/03/11	15.02	15.02	14.52	14.95	626400	9260643.00
2022/03/14	14.80	15.09	14.59	14.60	592610	8790944.00
2022/03/15	14.50	14.71	13.82	13.87	972712	13854195.00
2022/03/16	14.27	14.42	13.73	14.20	874424	12328898.00
2022/03/17	14.42	14.61	14.20	14.35	770679	11130065.00
2022/03/18	14.43	14.58	14.29	14.48	557234	8047763.00
2022/03/21	14.69	14.75	14.48	14.68	602100	8823038.00
2022/03/22	14.97	15.28	14.67	14.70	1447379	21625080.00
2022/03/23	14.60	16.17	14.59	16.17	1796647	28673224.00
2022/03/24	16.86	16.86	15.88	15.88	6544835	107505968.00
2022/03/25	15.68	15.88	15.08	15.15	3720688	57228300.00
2022/03/28	15.11	15.11	14.66	14.99	1827355	27179412.00
2022/03/29	15.21	15.38	14.36	14.41	2217537	32754838.00
2022/03/30	14.59	14.78	14.34	14.53	1104470	15999447.00
2022/03/31	14.46	14.65	14.23	14.39	1000600	14476951.00
2022/04/01	14.47	14.72	14.09	14.56	1728759	24864106.00
2022/04/06	14.20	14.62	14.20	14.55	902816	13064124.00
2022/04/07	14.51	14.52	14.10	14.13	853263	12192258.00
2022/04/08	14.15	14.46	13.84	14.28	1066639	15096920.00
2022/04/11	14.30	14.30	13.78	13.86	813000	11354594.00
2022/04/12	13.99	14.08	13.67	14.02	580498	8046181.00
2022/04/13	14.11	14.28	13.95	14.11	784100	11085941.00
2022/04/14	14.18	14.39	14.15	14.26	538912	7690176.00
2022/04/15	14.30	14.30	13.82	13.85	918745	12808749.00
2022/04/18	13.85	13.93	13.43	13.92	537750	7377033.00
2022/04/19	13.98	14.13	13.70	14.05	451100	6318693.00
2022/04/20	14.20	14.21	13.85	13.95	462516	6497597.00
2022/04/21	14.15	14.15	13.46	13.46	639034	8739548.00
2022/04/22	13.47	13.68	12.13	13.68	625967	8266281.00
2022/04/25	13.50	13.51	12.61	12.70	747057	9796890.00
2022/04/26	12.64	12.92	11.96	11.96	552300	6871521.00
2022/04/27	11.88	12.19	11.44	12.11	795712	9387424.00
2022/04/28	12.09	12.10	11.66	11.78	543470	6451116.00
2022/04/29	11.97	12.36	11.77	12.18	784000	9503834.00
2022/05/05	12.30	12.93	12.13	12.62	764915	9636590.00
2022/05/06	12.56	12.98	12.17	12.75	922759	11687146.00
2022/05/09	12.80	12.99	12.57	12.83	635481	8126488.00
2022/05/10	12.74	13.28	12.63	13.27	1232150	16053190.00
2022/05/11	13.27	13.54	13.01	13.23	1885845	25077852.00
2022/05/12	13.44	13.44	12.80	12.92	1343745	17417204.00
2022/05/13	12.96	13.12	12.85	13.00	819400	10629278.00
2022/05/16	13.00	13.15	12.83	12.86	546100	7082649.00
2022/05/17	12.96	12.99	12.59	12.80	875271	11180850.00
2022/05/18	12.80	13.11	12.63	12.96	632800	8218569.00
2022/05/19	12.80	13.05	12.75	13.01	581200	7534870.00
2022/05/20	13.10	13.40	12.85	13.12	813299	10703281.00
2022/05/23	13.26	13.34	13.05	13.26	967500	12778142.00
2022/05/24	13.46	13.48	12.68	12.68	917400	11922366.00
2022/05/25	12.68	12.99	12.68	12.95	492672	6340399.00
2022/05/26	12.94	13.14	12.67	13.09	836245	10816746.00
2022/05/27	12.80	13.13	12.68	12.93	1060555	13622980.00
2022/05/30	12.90	12.95	12.69	12.90	707715	9063791.00
2022/05/31	13.00	13.17	12.76	13.13	1290866	16816092.00
2022/06/01	13.11	13.24	13.00	13.19	905400	11927381.00
2022/06/02	13.28	13.45	13.04	13.39	1151800	15325770.00
2022/06/06	13.27	13.64	13.27	13.55	880300	11924722.00
2022/06/07	13.50	13.70	13.33	13.39	654932	8807177.00
2022/06/08	13.39	13.55	13.14	13.31	773500	10328610.00
2022/06/09	13.39	13.44	12.97	13.05	695100	9108648.00
2022/06/10	13.13	13.28	12.98	13.20	540300	7119499.00
2022/06/13	13.15	13.32	13.06	13.21	490100	6468467.00
2022/06/14	13.23	13.32	12.85	13.32	794817	10400820.00
2022/06/15	13.46	13.52	13.15	13.16	897211	11929268.00
2022/06/16	13.16	13.27	13.05	13.07	631300	8293772.00
2022/06/17	13.15	13.25	12.86	13.15	640900	8376632.00
2022/06/20	13.25	14.35	13.10	13.92	3516713	48384820.00
2022/06/21	13.99	14.03	13.57	13.73	1839347	25332964.00
2022/06/22	13.73	13.73	13.26	13.30	972500	13074904.00
2022/06/23	13.38	13.99	13.29	13.90	2165299	29655470.00
2022/06/24	13.90	14.27	13.69	14.07	2812066	39321560.00
2022/06/27	14.10	14.10	13.47	13.77	1669162	23052220.00
2022/06/28	13.82	14.59	13.73	14.34	2942367	41760156.00
2022/06/29	14.24	14.44	13.76	13.79	2135513	29937028.00
2022/06/30	14.06	15.17	13.75	15.17	4569087	66939672.00
2022/07/01	15.30	16.69	14.88	16.69	13022817	206459680.00
2022/07/04	16.81	17.52	15.56	16.01	12633250	206950624.00
2022/07/05	15.20	15.54	14.56	14.85	7456635	112100768.00
2022/07/06	15.00	16.34	14.90	16.34	5546234	88877392.00
2022/07/07	16.64	17.49	16.60	16.69	13331335	227055376.00
2022/07/08	16.44	16.48	15.70	15.95	8041610	128066432.00
2022/07/11	15.94	15.97	15.15	15.50	5271006	81568480.00
2022/07/12	15.60	15.60	14.36	14.40	5388028	79943552.00
2022/07/13	14.34	14.49	14.02	14.13	3643267	51794712.00
2022/07/14	14.10	14.83	13.91	14.67	4064790	58898352.00
2022/07/15	14.53	14.62	14.08	14.10	3146870	44824752.00
2022/07/18	14.15	14.44	14.02	14.32	2444933	34713328.00
2022/07/19	14.31	14.50	14.15	14.46	2899531	41644504.00
2022/07/20	14.35	14.65	14.27	14.64	3846213	55702900.00
2022/07/21	14.63	14.89	14.44	14.56	3436301	50622880.00
2022/07/22	14.45	14.69	14.10	14.20	2744233	39344900.00
