605060 联德股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/03/01	18.71	22.45	18.71	22.45	1240132	27809174.00
2021/03/02	21.80	21.80	20.21	20.21	4774243	99156680.00
2021/03/03	18.27	19.98	18.25	19.35	20396066	388783456.00
2021/03/04	18.50	19.11	18.32	18.75	13701200	254822160.00
2021/03/05	18.54	18.89	18.42	18.66	8021121	149655760.00
2021/03/08	18.67	18.77	18.42	18.45	7861209	145914528.00
2021/03/09	18.30	18.37	17.08	17.40	8815538	155245936.00
2021/03/10	17.46	18.10	17.02	17.72	8229353	144131024.00
2021/03/11	17.65	17.81	17.32	17.64	5235295	92075808.00
2021/03/12	17.53	17.79	17.20	17.36	5229801	91292544.00
2021/03/15	17.30	17.31	17.02	17.05	4311202	73754936.00
2021/03/16	17.18	17.32	17.02	17.21	3580867	61453132.00
2021/03/17	17.21	17.68	17.10	17.48	4741257	82874936.00
2021/03/18	17.32	17.70	17.31	17.66	5111734	89523976.00
2021/03/19	17.50	18.18	17.45	17.92	7791181	139399168.00
2021/03/22	17.80	18.69	17.80	18.69	10061554	184991296.00
2021/03/23	18.60	18.96	18.16	18.29	7562273	139766208.00
2021/03/24	18.10	18.95	18.08	18.74	7696215	143296032.00
2021/03/25	18.76	18.76	18.00	18.15	5092968	93130552.00
2021/03/26	18.20	18.44	18.10	18.22	4906213	89555576.00
2021/03/29	18.25	18.34	17.84	17.88	4724035	85406448.00
2021/03/30	18.00	18.48	17.96	18.22	5357976	97860968.00
2021/03/31	18.36	18.36	17.68	18.03	4131406	74268456.00
2021/04/01	17.99	17.99	17.60	17.80	4385386	77867936.00
2021/04/02	17.80	18.95	17.76	18.60	10716769	198774512.00
2021/04/06	18.58	19.24	18.42	18.52	6395661	119586808.00
2021/04/07	18.50	20.13	18.44	19.64	13390534	258376384.00
2021/04/08	19.43	19.72	18.76	18.78	10048909	193474016.00
2021/04/09	18.76	19.22	18.57	19.01	6648254	125631144.00
2021/04/12	19.09	19.18	18.50	18.81	5555934	103994488.00
2021/04/13	18.65	18.73	18.05	18.23	4921208	90033088.00
2021/04/14	18.08	18.99	18.08	18.68	6011476	111930848.00
2021/04/15	18.58	19.50	18.47	18.92	7954987	151009072.00
2021/04/16	18.95	18.96	18.53	18.74	5838858	109269600.00
2021/04/19	18.60	18.86	18.41	18.70	4667140	87008168.00
2021/04/20	18.60	18.78	18.19	18.25	6595481	121506472.00
2021/04/21	18.20	18.44	17.91	18.17	3831749	69540016.00
2021/04/22	18.15	18.35	18.00	18.07	3116990	56487760.00
2021/04/23	18.07	18.09	17.73	17.77	3259766	58286460.00
2021/04/26	17.81	17.88	17.63	17.87	2044383	36399212.00
2021/04/27	17.83	17.83	17.15	17.32	3384525	58901900.00
2021/04/28	17.22	17.37	17.20	17.34	1900934	32842662.00
2021/04/29	17.28	17.30	17.12	17.13	2096863	36103044.00
2021/04/30	17.18	17.28	17.09	17.20	1532201	26310198.00
2021/05/06	17.21	17.45	17.21	17.32	1679509	29118884.00
2021/05/07	17.30	17.47	17.20	17.22	1867175	32336988.00
2021/05/10	17.30	17.31	16.70	16.74	3110633	52445416.00
2021/05/11	16.69	16.69	16.18	16.46	2449831	40187108.00
2021/05/12	16.38	16.52	16.26	16.51	1455072	23835048.00
2021/05/13	16.40	16.62	16.31	16.45	1339071	22077658.00
2021/05/14	16.40	16.70	16.36	16.68	1792996	29645922.00
2021/05/17	16.67	16.67	16.47	16.48	1418913	23429638.00
2021/05/18	16.48	16.65	16.34	16.54	1521482	25028090.00
2021/05/19	16.49	16.50	16.33	16.35	1453535	23838690.00
2021/05/20	16.35	16.44	16.23	16.44	1445461	23578090.00
2021/05/21	16.36	16.49	16.36	16.41	941521	15445810.00
2021/05/24	16.41	16.80	16.41	16.69	2285464	37994504.00
2021/05/25	16.70	16.79	16.55	16.68	1612807	26864364.00
2021/05/26	16.68	16.80	16.65	16.72	1370032	22886752.00
2021/05/27	16.68	16.76	16.64	16.71	1494792	24974026.00
2021/05/28	16.70	16.72	16.42	16.47	1842047	30538476.00
2021/05/31	16.47	16.60	16.36	16.58	1612006	26560816.00
2021/06/01	16.56	16.75	16.48	16.75	1748696	29194668.00
2021/06/02	16.75	16.93	16.61	16.85	2370649	39798432.00
2021/06/03	16.91	16.91	16.62	16.65	1818242	30481270.00
2021/06/04	16.60	16.69	16.49	16.51	1571866	26014708.00
2021/06/07	16.57	16.60	16.45	16.58	1053902	17393324.00
2021/06/08	16.56	16.58	16.41	16.42	1239734	20413120.00
2021/06/09	16.41	16.54	16.40	16.49	1051110	17305918.00
2021/06/10	16.49	16.51	16.40	16.41	1295535	21290648.00
2021/06/11	16.53	16.80	16.50	16.70	2457839	41028192.00
2021/06/15	16.76	17.06	16.66	16.89	2699184	45523568.00
2021/06/16	16.76	16.87	16.56	16.60	1892207	31464032.00
2021/06/17	16.58	16.68	16.51	16.54	1321730	21886790.00
2021/06/18	16.27	16.27	15.91	15.99	1754783	28064318.00
2021/06/21	16.00	16.00	15.85	15.98	1169245	18620280.00
2021/06/22	15.93	16.23	15.93	16.18	1291220	20759440.00
2021/06/23	16.19	16.20	16.01	16.02	1362593	21869280.00
2021/06/24	15.95	15.99	15.87	15.89	1456973	23166192.00
2021/06/25	15.89	15.96	15.68	15.81	1796536	28358366.00
2021/06/28	15.75	15.87	15.73	15.82	1011831	15983400.00
2021/06/29	15.82	15.82	15.67	15.68	1134103	17816368.00
2021/06/30	15.68	15.81	15.68	15.78	876217	13799860.00
2021/07/01	15.81	16.09	15.72	15.85	2223157	35440904.00
2021/07/02	15.84	15.84	15.61	15.66	1276183	19995584.00
2021/07/05	15.66	15.72	15.55	15.71	831444	13005636.00
2021/07/06	15.71	15.77	15.66	15.77	1047757	16465530.00
2021/07/07	15.77	15.85	15.72	15.80	985556	15575687.00
2021/07/08	15.81	15.81	15.64	15.64	1182959	18571166.00
2021/07/09	15.60	15.75	15.56	15.71	816718	12781188.00
2021/07/12	15.80	15.81	15.69	15.81	1063363	16726786.00
2021/07/13	15.79	15.94	15.75	15.85	1095700	17370114.00
2021/07/14	15.80	15.81	15.68	15.70	955567	15032477.00
2021/07/15	15.67	15.69	15.50	15.56	1196913	18646636.00
2021/07/16	15.56	15.58	15.51	15.57	726539	11292516.00
2021/07/19	15.57	15.57	15.40	15.42	886042	13678603.00
2021/07/20	15.41	15.42	15.19	15.31	1076545	16455728.00
2021/07/21	15.33	15.46	15.29	15.35	848966	13057775.00
2021/07/22	15.41	15.68	15.20	15.55	2027739	31335462.00
2021/07/23	15.60	15.60	15.20	15.22	1534485	23479414.00
2021/07/26	15.19	15.22	14.77	14.89	1425183	21388074.00
2021/07/27	14.88	14.98	14.51	14.53	1437806	21152074.00
2021/07/28	14.53	14.63	13.78	14.09	1488144	20965044.00
