605258 协和电子 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/12/03	31.87	38.25	31.87	38.25	151519	5766892.00
2020/12/04	42.08	42.08	42.08	42.08	93259	3924339.00
2020/12/07	46.29	46.29	46.29	46.29	100232	4639739.00
2020/12/08	50.92	50.92	50.92	50.92	620723	31607216.00
2020/12/09	51.00	55.90	48.20	54.51	14609024	758871552.00
2020/12/10	50.00	52.80	49.06	49.06	9061475	456599872.00
2020/12/11	47.07	47.29	44.15	44.15	8660214	389799520.00
2020/12/14	42.88	43.38	41.68	42.34	6030943	255722960.00
2020/12/15	42.00	46.57	41.68	46.57	6126237	274922304.00
2020/12/16	46.51	47.78	44.38	44.52	8378309	388106304.00
2020/12/17	43.63	44.27	42.00	43.66	5959356	256673904.00
2020/12/18	44.00	44.50	41.70	41.91	5369672	228045184.00
2020/12/21	40.60	41.66	40.03	41.05	3876768	158504624.00
2020/12/22	40.60	40.60	38.38	38.80	4944297	194554336.00
2020/12/23	38.78	39.89	37.58	39.37	4743699	184406000.00
2020/12/24	38.99	39.45	37.62	37.80	3027536	116244776.00
2020/12/25	37.30	38.30	37.10	37.75	2695605	101830360.00
2020/12/28	37.30	37.55	35.50	35.60	3384594	122483560.00
2020/12/29	35.11	37.29	35.11	35.96	2919607	105852296.00
2020/12/30	35.51	36.66	34.65	36.04	2957485	105191736.00
2020/12/31	36.05	37.32	35.92	36.53	2601690	95239936.00
2021/01/04	36.60	37.10	35.95	36.61	2495089	91222864.00
2021/01/05	36.60	38.64	36.20	38.09	3893033	147130112.00
2021/01/06	37.32	37.76	35.97	36.02	2910109	106524304.00
2021/01/07	35.78	35.78	32.81	33.52	3418129	117115440.00
2021/01/08	33.00	34.20	32.68	33.02	1829472	61101868.00
2021/01/11	33.49	35.30	33.11	33.98	2503780	85774640.00
2021/01/12	33.98	34.18	32.72	32.98	2080550	69011184.00
2021/01/13	32.92	32.92	31.48	31.72	2402363	76839048.00
2021/01/14	31.50	32.88	31.39	32.18	2080842	66945896.00
2021/01/15	31.91	33.66	31.70	33.12	2727810	89975736.00
2021/01/18	32.80	33.57	32.58	33.03	1974970	65465484.00
2021/01/19	32.79	34.39	32.79	33.48	2331323	78450960.00
2021/01/20	33.40	35.05	33.18	34.17	2221682	75932160.00
