605303 园林股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/03/01	19.66	23.59	19.66	23.59	16996218	392244992.00
2021/03/02	23.28	23.28	21.23	21.23	2714900	58611136.00
2021/03/03	19.18	20.66	19.18	19.91	14851178	294842464.00
2021/03/04	19.27	19.65	19.03	19.08	10007204	191991792.00
2021/03/05	19.00	19.01	18.52	18.70	7286328	136086224.00
2021/03/08	18.78	18.94	18.61	18.82	6175496	115816816.00
2021/03/09	18.70	18.75	17.58	17.76	6207199	111978928.00
2021/03/10	17.87	18.66	17.50	18.19	6428269	115962096.00
2021/03/11	17.98	18.59	17.67	18.29	5832218	106098688.00
2021/03/12	18.10	19.30	18.00	18.43	7001842	130218624.00
2021/03/15	18.31	18.50	17.76	18.07	5207654	93871368.00
2021/03/16	17.91	18.35	17.78	18.17	4577229	82692512.00
2021/03/17	18.17	18.96	18.13	18.45	5796250	107443512.00
2021/03/18	18.34	18.99	18.16	18.92	7065589	131200976.00
2021/03/19	18.79	19.53	18.52	19.29	9515941	182078576.00
2021/03/22	19.90	21.22	19.01	21.22	11936323	246869248.00
2021/03/23	23.32	23.34	22.30	23.34	13937976	324840128.00
2021/03/24	25.48	25.67	25.48	25.67	6683374	171284640.00
2021/03/25	25.67	28.00	23.10	24.15	26923680	660531200.00
2021/03/26	23.00	26.57	22.62	26.57	26839398	678691392.00
2021/03/29	25.78	28.25	24.72	28.25	27134820	714374848.00
2021/03/30	25.59	26.49	25.43	25.43	15168128	388771072.00
2021/03/31	23.68	26.50	22.95	23.70	13913682	341915328.00
2021/04/01	23.10	23.50	21.66	22.03	13839356	310706464.00
2021/04/02	21.80	22.99	21.70	22.53	11276771	251692432.00
2021/04/06	22.32	23.30	22.13	22.83	10980058	250176144.00
2021/04/07	22.50	25.11	22.43	25.11	17037329	413708352.00
2021/04/08	24.78	24.99	23.07	23.33	14728309	348492704.00
2021/04/09	22.95	23.39	22.26	22.34	8309791	189013552.00
2021/04/12	22.00	22.35	21.31	21.98	7436439	162435600.00
2021/04/13	22.00	22.08	20.31	20.55	8130332	170187632.00
2021/04/14	20.36	21.28	20.18	20.93	6841899	142226624.00
2021/04/15	20.80	21.50	20.47	21.09	5630921	118242384.00
2021/04/16	21.05	21.08	20.50	20.70	4723455	98034720.00
2021/04/19	20.66	21.18	20.38	20.89	4537939	94729544.00
2021/04/20	20.92	21.74	20.90	21.60	7387764	157795152.00
2021/04/21	21.98	22.63	20.90	21.10	6412338	138240224.00
2021/04/22	20.45	20.80	19.88	20.08	7023728	142528400.00
2021/04/23	20.29	20.35	19.21	19.31	5820057	114004864.00
2021/04/26	19.20	19.50	18.92	19.29	3508968	67442248.00
2021/04/27	19.29	19.29	18.48	18.72	3750489	70212544.00
2021/04/28	18.72	19.17	18.46	19.00	3292557	62096816.00
2021/04/29	18.94	19.00	18.51	18.55	3172395	59492716.00
2021/04/30	18.55	18.62	18.08	18.26	3364005	61449000.00
2021/05/06	18.31	18.53	18.24	18.27	2696407	49575320.00
2021/05/07	18.32	18.64	18.21	18.46	3171545	58428560.00
2021/05/10	18.44	18.75	18.25	18.72	3184315	59022300.00
2021/05/11	18.55	19.23	18.51	19.16	4206547	79438504.00
2021/05/12	19.00	19.00	18.70	18.91	3167774	59641868.00
2021/05/13	18.90	18.90	18.45	18.49	2920410	54477312.00
2021/05/14	18.48	18.78	18.45	18.49	2938625	54644176.00
2021/05/17	18.47	18.47	17.88	17.95	3343725	60241616.00
2021/05/18	17.89	18.24	17.87	18.15	2300567	41687292.00
2021/05/19	18.16	18.79	18.08	18.68	4258515	79115976.00
2021/05/20	18.50	20.00	18.42	19.18	5748412	110322448.00
2021/05/21	19.15	19.98	18.89	19.49	6070447	118095584.00
2021/05/24	19.71	20.51	19.31	20.48	9028745	181072592.00
2021/05/25	20.30	20.30	19.50	19.69	7688614	151950240.00
2021/05/26	19.31	19.75	19.12	19.43	4699019	91254304.00
2021/05/27	19.49	19.66	19.23	19.57	3839225	74776296.00
2021/05/28	19.37	19.65	18.95	19.08	4250706	81903680.00
2021/05/31	18.97	20.40	18.97	19.92	7684213	152742832.00
2021/06/01	19.80	20.38	19.45	19.98	6285059	124169864.00
2021/06/02	19.98	20.28	19.71	19.85	4187815	83620384.00
2021/06/03	20.20	20.38	19.37	19.44	5185111	102767592.00
2021/06/04	19.21	19.35	19.01	19.02	3298166	63061800.00
2021/06/07	19.00	19.20	18.83	18.87	2329481	44173924.00
2021/06/08	18.87	18.92	18.10	18.40	3958108	73151712.00
2021/06/09	18.51	18.51	18.28	18.40	1689906	31050024.00
2021/06/10	18.36	18.63	18.31	18.43	1971595	36364936.00
2021/06/11	18.91	20.27	18.73	20.27	7517096	149001056.00
2021/06/15	20.39	22.18	19.48	20.79	13939258	285095680.00
2021/06/16	19.91	20.14	19.24	19.59	7128453	140319440.00
2021/06/17	19.32	20.23	19.23	19.52	5836111	114900456.00
2021/06/18	19.23	19.54	18.82	19.26	4724923	90927808.00
2021/06/21	18.99	19.23	18.76	18.98	4117092	78078608.00
2021/06/22	18.89	19.43	18.88	19.42	4742730	90778376.00
2021/06/23	19.45	19.66	18.91	18.94	4911430	94623016.00
2021/06/24	18.82	19.10	18.55	18.71	3391420	63816188.00
2021/06/25	18.66	18.97	18.52	18.84	2834124	52997872.00
2021/06/28	18.83	18.93	18.61	18.78	2255075	42238308.00
2021/06/29	18.75	18.97	18.62	18.69	2360527	44268420.00
2021/06/30	18.63	18.74	18.37	18.43	2630160	48691144.00
2021/07/01	18.40	18.92	18.40	18.62	2941921	54861072.00
2021/07/02	18.62	18.66	18.27	18.32	2108143	38724636.00
2021/07/05	18.27	18.38	18.24	18.37	1440562	26379308.00
2021/07/06	18.35	18.41	18.11	18.22	1781074	32517666.00
2021/07/07	18.18	18.28	18.17	18.25	1672034	30484840.00
2021/07/08	18.26	18.26	17.90	17.91	2486310	44882820.00
2021/07/09	17.92	18.12	17.88	18.03	1409950	25384234.00
2021/07/12	18.27	18.27	18.03	18.11	1417956	25671816.00
2021/07/13	18.08	18.38	18.00	18.36	2466722	44931356.00
2021/07/14	18.46	18.78	18.14	18.17	2347296	43125924.00
2021/07/15	18.15	18.15	17.78	17.89	1871407	33543216.00
2021/07/16	17.85	17.94	17.66	17.69	1649409	29254842.00
2021/07/19	17.56	17.60	17.09	17.20	1991423	34349248.00
2021/07/20	17.13	17.28	16.88	17.24	1631075	27778842.00
2021/07/21	17.24	17.44	17.20	17.26	1132451	19593914.00
2021/07/22	17.28	17.30	17.10	17.15	987322	16936660.00
2021/07/23	17.18	17.35	16.80	16.84	1721486	29221440.00
2021/07/26	16.84	16.84	16.20	16.38	1959205	32163412.00
2021/07/27	16.37	16.48	16.23	16.28	1148468	18803440.00
2021/07/28	16.23	16.25	15.36	15.54	1609983	25202070.00
2021/07/29	15.63	15.74	15.54	15.58	1091236	17031330.00
2021/07/30	15.58	15.78	15.21	15.66	1590684	24618888.00
2021/08/02	15.65	16.25	15.50	16.18	2098876	33401402.00
2021/08/03	16.21	16.22	15.95	15.96	1471295	23649634.00
2021/08/04	16.04	16.29	15.87	16.13	1369865	22075142.00
2021/08/05	16.12	16.13	15.81	15.87	1330578	21218670.00
2021/08/06	15.76	15.94	15.75	15.77	855910	13517652.00
2021/08/09	15.92	16.20	15.88	16.16	1588218	25520230.00
2021/08/10	16.23	16.43	16.14	16.21	1380287	22396494.00
2021/08/11	16.17	16.28	16.11	16.18	1397736	22643992.00
2021/08/12	16.17	16.33	16.11	16.14	1063824	17216860.00
2021/08/13	16.25	16.25	15.83	15.85	1423365	22699676.00
2021/08/16	15.80	16.15	15.80	16.13	1319615	21123896.00
2021/08/17	16.10	16.23	15.79	15.79	1516906	24281490.00
2021/08/18	15.80	16.13	15.68	16.12	1375879	21914950.00
2021/08/19	16.11	16.23	15.86	15.87	1131740	18083440.00
2021/08/20	15.87	15.96	15.48	15.58	1453770	22738734.00
2021/08/23	15.69	15.95	15.63	15.91	1386674	21980918.00
2021/08/24	16.04	16.13	15.82	16.06	1517230	24283176.00
2021/08/25	16.18	16.30	16.04	16.15	1478981	23914956.00
2021/08/26	16.13	16.19	15.93	15.93	1212416	19435564.00
2021/08/27	15.70	15.90	15.52	15.60	1789414	27888694.00
2021/08/30	15.57	15.75	15.35	15.36	1308200	20219432.00
2021/08/31	15.38	15.66	15.37	15.65	1269217	19658150.00
2021/09/01	15.67	15.73	15.39	15.67	1563934	24314222.00
2021/09/02	15.68	15.90	15.56	15.71	1427880	22411004.00
2021/09/03	15.65	15.78	15.59	15.71	1254208	19658308.00
2021/09/06	15.70	15.79	15.60	15.75	1192525	18725278.00
2021/09/07	15.79	15.83	15.71	15.81	1065636	16807052.00
2021/09/08	15.81	16.10	15.81	16.06	1875865	29938158.00
2021/09/09	16.07	16.24	15.91	16.17	1971933	31815128.00
2021/09/10	16.17	16.18	15.92	15.96	1369025	21929652.00
2021/09/13	16.23	16.23	15.98	16.15	1287934	20767156.00
2021/09/14	16.18	16.18	15.81	15.86	1497516	23915020.00
2021/09/15	15.81	15.94	15.80	15.81	783845	12411586.00
2021/09/16	15.88	16.07	15.81	15.88	1325865	21139372.00
2021/09/17	15.88	15.90	15.55	15.63	1137330	17817896.00
2021/09/22	15.62	15.68	15.37	15.56	861965	13347126.00
2021/09/23	15.65	15.95	15.59	15.86	1182505	18716924.00
2021/09/24	15.82	15.90	15.61	15.65	965716	15172552.00
2021/09/27	15.61	15.77	15.21	15.40	1104792	17005548.00
2021/09/28	15.40	15.51	15.34	15.49	580702	8954169.00
2021/09/29	15.45	15.45	15.11	15.13	879865	13387454.00
2021/09/30	15.13	15.36	15.13	15.25	497800	7593858.00
2021/10/08	15.29	15.50	15.29	15.42	633193	9753727.00
2021/10/11	15.57	15.57	15.38	15.43	614559	9493490.00
2021/10/12	15.44	15.44	15.21	15.24	571985	8750177.00
2021/10/13	15.24	15.44	15.21	15.39	769300	11785417.00
2021/10/14	15.47	15.47	15.35	15.40	623420	9603920.00
2021/10/15	15.41	15.43	15.20	15.27	620165	9510341.00
2021/10/18	15.27	15.28	15.18	15.26	480260	7308063.00
2021/10/19	15.30	15.32	15.21	15.22	522710	7974726.00
2021/10/20	15.28	15.29	15.16	15.18	527600	8019373.00
2021/10/21	15.18	15.23	14.98	15.02	689600	10417552.00
2021/10/22	15.01	15.02	14.80	14.81	740841	11026028.00
2021/10/25	14.81	14.89	14.69	14.73	549757	8095559.00
2021/10/26	14.74	14.80	14.65	14.72	480530	7075701.00
2021/10/27	14.74	14.74	14.32	14.37	796220	11510362.00
2021/10/28	14.37	14.37	13.89	14.00	997550	13999662.00
2021/10/29	13.75	13.99	13.62	13.94	1192408	16453077.00
2021/11/01	13.94	14.17	13.82	13.98	717910	10038303.00
2021/11/02	13.98	14.02	13.55	13.62	1133876	15552210.00
2021/11/03	13.76	13.76	13.60	13.69	579717	7914053.00
2021/11/04	13.64	13.78	13.61	13.76	589700	8099860.00
2021/11/05	13.80	13.90	13.67	13.77	840940	11563514.00
2021/11/08	13.77	13.94	13.76	13.93	717814	9955215.00
2021/11/09	13.93	14.23	13.91	14.18	1013577	14291621.00
2021/11/10	14.23	14.23	14.02	14.17	630659	8893326.00
2021/11/11	14.16	14.29	14.16	14.23	836059	11905481.00
2021/11/12	14.21	14.28	14.09	14.22	572200	8102501.00
2021/11/15	14.33	14.64	14.23	14.56	1179786	17094616.00
2021/11/16	14.60	14.64	14.46	14.48	878400	12775692.00
2021/11/17	14.56	14.65	14.50	14.65	710171	10371103.00
2021/11/18	14.61	14.65	14.29	14.32	931510	13453427.00
2021/11/19	14.41	15.50	14.39	14.78	1866010	27813090.00
2021/11/22	14.77	14.77	14.55	14.64	895500	13105659.00
2021/11/23	14.63	14.72	14.55	14.62	620105	9056781.00
2021/11/24	14.57	14.67	14.46	14.64	753637	10971837.00
2021/11/25	14.56	14.65	14.54	14.63	469611	6851998.00
2021/11/26	14.65	14.65	14.50	14.52	545476	7928422.00
2021/11/29	14.38	14.55	14.29	14.45	635700	9163316.00
2021/11/30	14.58	14.64	14.45	14.50	389505	5666346.00
2021/12/01	14.49	14.78	14.46	14.78	896972	13141497.00
2021/12/02	15.20	15.41	14.81	14.85	2414180	36478792.00
2021/12/03	14.78	14.95	14.70	14.71	1017265	15032332.00
2021/12/06	14.75	14.80	14.36	14.37	930365	13498399.00
2021/12/07	14.49	14.64	14.37	14.57	834710	12130856.00
2021/12/08	14.50	14.60	14.45	14.57	579710	8416828.00
2021/12/09	14.58	14.71	14.54	14.69	843715	12367004.00
2021/12/10	14.70	14.88	14.64	14.83	906627	13388163.00
2021/12/13	14.76	14.94	14.70	14.78	612700	9062548.00
2021/12/14	14.82	15.00	14.82	14.89	932610	13901558.00
2021/12/15	14.84	15.29	14.82	15.03	1585410	23869494.00
2021/12/16	14.96	15.20	14.94	15.13	1087829	16427662.00
2021/12/17	15.14	15.38	15.04	15.33	1705900	25998304.00
2021/12/20	15.40	15.75	15.20	15.62	2890454	44784176.00
2021/12/21	15.62	16.38	15.42	16.10	4366242	69390832.00
2021/12/22	16.00	17.17	15.91	16.43	6770377	111919600.00
2021/12/23	16.10	16.98	15.90	16.16	5675315	92995176.00
2021/12/24	15.92	16.00	15.35	15.67	4635486	72497736.00
2021/12/27	15.63	15.67	15.13	15.27	2014118	30790112.00
2021/12/28	15.28	16.38	15.28	16.04	3748220	59431368.00
2021/12/29	15.92	16.17	15.59	15.98	2597420	41381072.00
2021/12/30	16.04	16.06	15.67	15.76	1679012	26513350.00
2021/12/31	15.89	15.89	15.53	15.64	1311612	20504072.00
2022/01/04	15.70	15.94	15.55	15.91	1769400	27897668.00
2022/01/05	15.95	16.08	15.66	15.98	2026367	32143156.00
2022/01/06	15.88	16.36	15.85	16.23	2969810	48105332.00
2022/01/07	16.26	16.40	16.00	16.04	2218167	35965636.00
2022/01/10	16.05	16.19	15.82	16.15	1465810	23459104.00
2022/01/11	16.14	16.15	15.82	15.91	1143300	18262620.00
2022/01/12	15.98	16.04	15.86	15.99	1058700	16894716.00
2022/01/13	16.04	16.07	15.70	15.88	1794669	28422800.00
2022/01/14	15.85	15.85	15.41	15.52	2145053	33386246.00
2022/01/17	15.52	15.70	15.47	15.63	838310	13056910.00
2022/01/18	15.63	15.79	15.55	15.69	1087000	17020220.00
2022/01/19	15.59	16.19	15.53	15.99	2865105	45645452.00
2022/01/20	15.98	15.98	15.18	15.35	2470900	38358088.00
2022/01/21	15.29	15.50	14.81	14.88	1377320	20725904.00
2022/01/24	14.77	14.97	14.60	14.75	735800	10857246.00
2022/01/25	14.80	14.80	14.10	14.10	1090400	15578100.00
2022/01/26	14.16	14.27	14.01	14.22	693700	9819886.00
2022/01/27	14.21	14.21	13.62	13.73	1193510	16495012.00
2022/01/28	13.87	14.01	13.60	13.89	603700	8363608.00
2022/02/07	14.00	14.38	14.00	14.31	810010	11527697.00
2022/02/08	14.28	14.89	14.20	14.81	1559400	22796322.00
2022/02/09	15.00	15.17	14.68	14.78	1314600	19490048.00
2022/02/10	14.81	15.12	14.69	14.81	1149095	17069056.00
2022/02/11	14.80	14.95	14.54	14.61	1129700	16588366.00
2022/02/14	14.60	15.99	14.49	15.25	3940110	60163324.00
2022/02/15	15.16	16.78	14.93	16.78	9073537	147856096.00
2022/02/16	16.80	18.46	16.44	17.95	17915982	316735072.00
2022/02/17	17.15	18.63	16.91	16.99	13663937	240033952.00
2022/02/18	16.35	17.90	15.84	17.17	12078905	200578096.00
2022/02/21	16.75	17.20	16.43	16.91	7849047	132402672.00
2022/02/22	16.83	18.35	16.83	17.61	12513839	219440576.00
2022/02/23	17.15	17.34	16.60	16.79	8182094	138093472.00
2022/02/24	16.74	16.75	15.15	15.51	7807080	124815624.00
2022/02/25	15.51	15.73	15.22	15.23	4762750	73409792.00
2022/02/28	15.18	15.18	14.53	14.81	3724826	55136376.00
2022/03/01	14.94	14.96	14.71	14.87	2283817	33909608.00
2022/03/02	14.71	15.15	14.68	15.08	2631480	39379552.00
2022/03/03	14.80	15.11	14.74	14.89	2670180	39738492.00
2022/03/04	14.80	14.80	14.23	14.30	3156770	45737588.00
2022/03/07	14.43	14.54	14.22	14.29	1657710	23829080.00
2022/03/08	14.29	14.62	13.83	14.40	2827900	40474964.00
2022/03/09	14.22	14.42	13.14	14.05	3167279	44231964.00
2022/03/10	14.22	14.40	14.02	14.16	1875279	26622468.00
2022/03/11	13.97	14.08	13.57	13.97	2137477	29451318.00
2022/03/14	13.82	13.99	13.59	13.62	1327267	18317492.00
2022/03/15	13.62	14.26	13.22	13.35	3044597	41793680.00
2022/03/16	13.39	13.84	13.22	13.83	2900610	39272216.00
2022/03/17	13.63	14.19	13.63	14.00	2547945	35685088.00
2022/03/18	13.70	14.60	13.51	14.32	4061936	58245720.00
2022/03/21	14.53	15.38	14.13	14.98	6357155	93411376.00
2022/03/22	14.79	14.79	14.38	14.47	3778912	54908284.00
2022/03/23	14.44	14.55	14.15	14.20	2011300	28766264.00
2022/03/24	14.16	14.21	13.96	14.06	1309900	18401378.00
2022/03/25	14.01	14.19	13.98	13.98	1266810	17835600.00
2022/03/28	13.85	13.97	13.62	13.94	1063400	14689976.00
2022/03/29	13.95	14.05	13.64	13.66	1157500	15938087.00
2022/03/30	13.69	13.90	13.68	13.81	1085100	14992900.00
2022/03/31	13.80	14.08	13.76	13.94	1401500	19519228.00
2022/04/01	13.87	13.94	13.65	13.90	1162965	16018052.00
2022/04/06	13.94	14.22	13.89	14.14	1518900	21432484.00
2022/04/07	14.15	14.19	13.72	14.05	1359610	18960416.00
2022/04/08	14.02	14.44	13.82	14.43	3045145	43433620.00
2022/04/11	14.35	14.79	14.15	14.26	2858952	41079308.00
2022/04/12	13.89	13.94	13.35	13.94	2549957	34746756.00
2022/04/13	13.85	13.85	13.38	13.41	1735400	23454424.00
2022/04/14	13.41	13.53	13.38	13.48	923200	12404282.00
2022/04/15	13.48	13.50	13.14	13.22	1087200	14405159.00
2022/04/18	13.15	13.25	12.94	13.12	610400	7990221.00
2022/04/19	13.12	13.26	13.08	13.15	464320	6104270.00
2022/04/20	13.15	13.23	13.03	13.19	680175	8939875.00
2022/04/21	13.13	13.13	12.52	12.80	1273300	16307826.00
2022/04/22	12.70	12.70	12.42	12.51	693315	8688576.00
2022/04/25	12.49	12.49	11.34	11.60	1349710	15986374.00
2022/04/26	11.57	11.66	11.02	11.14	767500	8755274.00
2022/04/27	11.10	11.53	11.05	11.45	1301432	14753536.00
2022/04/28	11.30	11.52	10.91	11.17	1109900	12409980.00
2022/04/29	11.16	11.78	11.14	11.69	1469049	16952860.00
2022/05/05	11.72	12.00	11.63	11.88	1042200	12348793.00
2022/05/06	11.76	11.84	11.50	11.75	687000	8066759.00
2022/05/09	11.90	12.93	11.88	12.93	1022410	13167714.00
2022/05/10	13.32	14.22	13.02	14.22	6452744	88515240.00
2022/05/11	14.97	15.64	13.76	13.84	10970491	163060352.00
2022/05/12	13.48	15.09	13.48	14.44	8099344	115246560.00
2022/05/13	14.44	14.44	13.70	13.89	5450686	75577552.00
2022/05/16	13.82	14.00	13.55	13.93	3840002	52953720.00
2022/05/17	13.82	13.86	13.28	13.39	2902362	38952284.00
2022/05/18	13.33	13.78	13.32	13.47	2403510	32579016.00
2022/05/19	13.36	13.75	13.18	13.72	2604700	35406864.00
2022/05/20	13.72	13.73	13.36	13.48	1870600	25261376.00
2022/05/23	13.52	13.55	13.25	13.38	1270500	16943412.00
2022/05/24	13.70	13.72	12.52	12.54	3104000	40376436.00
2022/05/25	12.29	12.73	12.25	12.65	1362000	17152616.00
2022/05/26	12.89	13.13	12.67	12.82	1734365	22359968.00
2022/05/27	12.99	12.99	12.71	12.85	1103865	14180343.00
2022/05/30	12.81	12.91	12.57	12.65	1143630	14492153.00
2022/05/31	12.65	12.80	12.40	12.65	909820	11398039.00
2022/06/01	12.41	12.59	12.35	12.44	706265	8811492.00
2022/06/02	12.48	12.52	12.25	12.38	980361	12117983.00
2022/06/06	12.38	12.58	11.96	12.57	1139914	14250082.00
2022/06/07	12.60	12.67	12.28	12.35	1058265	13100089.00
2022/06/08	12.30	12.46	12.04	12.19	1109900	13582344.00
2022/06/09	12.20	12.27	12.00	12.01	957900	11587415.00
2022/06/10	12.01	12.09	11.90	12.04	1087500	13072476.00
2022/06/13	12.15	12.15	11.85	11.95	768000	9166569.00
2022/06/14	12.04	12.04	11.64	11.90	963100	11348642.00
2022/06/15	11.91	12.06	11.89	11.92	1308127	15654553.00
2022/06/16	11.95	12.05	11.89	12.03	939200	11252179.00
2022/06/17	12.00	12.00	11.68	11.88	1216000	14388982.00
2022/06/20	11.90	12.02	11.87	12.00	838465	10031105.00
2022/06/21	12.03	12.34	12.00	12.13	1518900	18434624.00
2022/06/22	12.16	12.22	11.76	11.84	994700	11886944.00
2022/06/23	11.88	11.93	11.74	11.92	619600	7344172.00
2022/06/24	11.99	11.99	11.90	11.97	613700	7331187.00
2022/06/27	12.00	12.08	11.98	12.07	675627	8129282.00
2022/06/28	12.04	12.26	12.00	12.23	1006000	12250030.00
2022/06/29	12.25	12.45	12.21	12.26	1752400	21588766.00
2022/06/30	12.22	13.49	12.15	12.85	3766080	48139600.00
2022/07/01	12.88	12.91	12.32	12.36	3280822	41002528.00
2022/07/04	12.36	12.36	12.00	12.12	1516163	18393404.00
2022/07/05	12.10	12.27	12.05	12.09	1021802	12392737.00
2022/07/06	12.01	12.12	11.88	11.93	908928	10886849.00
2022/07/07	11.93	12.08	11.89	11.91	519459	6204891.00
2022/07/08	11.98	12.13	11.90	12.05	720700	8690578.00
2022/07/11	12.08	12.08	11.90	11.96	523000	6263848.00
2022/07/12	11.94	12.20	11.88	12.00	655577	7872079.00
2022/07/13	11.74	11.96	11.70	11.93	1256082	14885556.00
2022/07/14	11.80	11.95	11.66	11.68	1007600	11805970.00
2022/07/15	11.64	11.64	11.24	11.26	1136400	12890897.00
2022/07/18	11.26	11.74	11.14	11.72	1200200	13931070.00
2022/07/19	11.76	11.85	11.67	11.84	649300	7646424.00
2022/07/20	11.93	11.94	11.71	11.80	522800	6176816.00
2022/07/21	11.82	11.91	11.74	11.77	435200	5149473.00
2022/07/22	11.80	11.88	11.62	11.82	520100	6124510.00
2022/07/25	11.90	11.95	11.73	11.86	526800	6240255.00
2022/07/26	11.82	11.94	11.65	11.94	608900	7200148.00
2022/07/27	11.87	12.02	11.78	11.97	552582	6602279.00
2022/07/28	11.98	12.09	11.98	12.05	671700	8087327.00
