605388 均瑶健康 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/08/18	16.12	19.34	16.12	19.34	224852	4331430.00
2020/08/19	21.27	21.27	21.27	21.27	68340	1453592.00
2020/08/20	23.40	23.40	23.40	23.40	134300	3142620.00
2020/08/21	25.74	25.74	25.74	25.74	331827	8541227.00
2020/08/24	28.31	28.31	28.31	28.31	3576111	101239704.00
2020/08/25	29.72	31.14	29.10	31.14	28174377	856580800.00
2020/08/26	31.20	32.25	29.04	29.90	40965701	1250810752.00
2020/08/27	28.43	28.55	26.91	26.93	30603712	833264512.00
2020/08/28	26.60	28.80	26.40	27.52	24702342	682995200.00
2020/08/31	27.29	29.11	27.27	28.31	20328897	573444224.00
2020/09/01	27.85	28.15	26.64	27.07	16200389	440795392.00
2020/09/02	26.90	27.77	26.78	26.99	14022528	382293632.00
2020/09/03	27.10	27.29	25.41	25.55	15112535	393552128.00
2020/09/04	24.60	24.95	24.12	24.22	10070190	246016384.00
2020/09/07	24.20	24.26	22.74	22.79	10745546	251588080.00
2020/09/08	22.79	23.00	21.98	22.35	8441752	189193344.00
2020/09/09	21.78	22.98	21.66	22.14	9199307	205905552.00
2020/09/10	22.16	22.67	20.10	21.10	8205535	179072448.00
2020/09/11	20.55	21.50	20.55	21.18	6466699	136380864.00
2020/09/14	21.19	21.38	20.67	20.80	5924418	124429768.00
2020/09/15	20.69	21.78	20.66	21.66	8044681	172436080.00
2020/09/16	21.40	22.73	21.04	22.31	10082995	220672848.00
2020/09/17	22.01	22.55	21.75	22.07	7182439	159317264.00
2020/09/18	21.88	22.56	21.71	22.21	6564012	144959120.00
2020/09/21	22.23	22.23	21.76	21.80	3977319	87284480.00
2020/09/22	21.46	21.50	20.81	20.82	5291273	111663360.00
2020/09/23	20.97	22.65	20.88	22.00	8962557	196083584.00
2020/09/24	21.75	22.71	21.70	22.07	9104477	202690448.00
2020/09/25	22.09	22.68	21.22	21.46	6517887	143671296.00
2020/09/28	21.52	21.67	20.43	20.60	5374567	111524800.00
2020/09/29	20.66	21.02	20.40	20.75	3820794	79059344.00
2020/09/30	20.76	20.95	20.34	20.40	3663880	75394800.00
2020/10/09	20.67	21.28	20.65	21.10	4489927	94240776.00
2020/10/12	21.20	21.88	21.19	21.73	5060759	108884064.00
2020/10/13	21.73	22.22	21.45	22.00	5183007	113355200.00
2020/10/14	21.92	22.16	21.60	21.68	2984273	64980176.00
2020/10/15	21.44	22.10	21.28	21.92	5092331	110684376.00
2020/10/16	21.79	21.96	20.82	21.09	6504872	137942784.00
2020/10/19	20.93	21.23	20.71	20.92	2591292	54317752.00
2020/10/20	20.67	21.35	20.67	21.27	3137915	66134984.00
2020/10/21	21.28	21.89	20.92	21.57	5111785	109473296.00
2020/10/22	21.60	21.99	21.21	21.26	5130242	110503064.00
2020/10/23	21.01	22.01	21.01	21.65	6700086	144948960.00
2020/10/26	21.53	21.66	20.00	21.00	4789259	101109200.00
2020/10/27	21.04	21.18	20.23	20.46	4063122	83480264.00
2020/10/28	20.33	20.60	20.03	20.23	3320767	67172672.00
2020/10/29	19.49	19.50	18.21	18.58	9919114	185434864.00
2020/10/30	18.54	18.54	17.57	17.63	5559976	100282208.00
2020/11/02	17.57	17.80	17.45	17.68	2894671	50996112.00
2020/11/03	17.70	18.16	17.60	18.14	3368835	60578116.00
2020/11/04	18.20	18.21	17.70	17.74	2894821	51661432.00
2020/11/05	17.89	18.10	17.78	18.06	3352017	60172376.00
2020/11/06	18.00	18.30	17.90	18.05	3155554	56917152.00
2020/11/09	18.10	18.45	18.00	18.39	4048336	74039792.00
