688052 纳芯微 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/04/22	250.00	275.02	240.00	259.58	12594538	3224625920.00
2022/04/25	240.99	247.60	232.22	237.35	4847227	1167893632.00
2022/04/26	235.97	241.87	224.00	235.81	3082622	719871360.00
2022/04/27	233.00	268.03	233.00	263.96	2962990	741817664.00
2022/04/28	260.00	260.98	245.00	251.00	2066680	519339968.00
2022/04/29	248.90	277.91	248.90	267.90	1945878	521848224.00
2022/05/05	263.96	275.58	256.00	269.90	1452794	387975040.00
2022/05/06	259.97	271.50	254.00	269.10	808970	214163456.00
2022/05/09	265.00	286.69	252.18	255.03	1721182	462366720.00
2022/05/10	250.01	281.50	248.01	270.28	1701667	457191744.00
2022/05/11	273.00	296.00	266.56	281.80	1839618	519197376.00
2022/05/12	281.70	286.92	274.20	282.99	941031	264118672.00
2022/05/13	281.42	294.98	275.25	289.01	1292794	371369984.00
2022/05/16	289.00	314.88	287.01	296.99	1825460	548997184.00
2022/05/17	296.88	319.88	290.24	319.03	1476914	457003648.00
2022/05/18	313.16	317.53	302.00	311.85	1243436	384598432.00
2022/05/19	307.46	313.80	298.00	306.98	1425303	435381696.00
2022/05/20	307.63	317.98	303.30	313.00	772074	240633056.00
2022/05/23	310.52	316.00	305.00	314.97	528912	164618928.00
2022/05/24	314.00	316.00	298.88	299.20	599299	183415200.00
2022/05/25	296.00	307.26	293.44	305.00	540341	162875440.00
2022/05/26	302.91	315.80	294.11	305.51	694339	210108576.00
2022/05/27	304.98	317.99	304.98	314.80	568327	177682560.00
2022/05/30	313.09	315.39	301.01	308.16	703375	215989952.00
2022/05/31	302.02	312.00	295.33	304.99	1532511	464010944.00
2022/06/01	306.98	306.98	293.09	297.50	1079139	322346816.00
2022/06/02	295.08	326.00	295.08	325.00	1536472	485366208.00
2022/06/06	329.80	349.51	323.10	337.15	1214027	410436512.00
2022/06/07	335.97	338.72	323.88	331.25	678578	223988224.00
2022/06/08	328.81	347.11	310.23	324.87	1012530	330407520.00
2022/06/09	322.67	326.99	310.00	313.20	656739	207110160.00
2022/06/10	312.00	333.00	308.80	322.60	875194	280068640.00
2022/06/13	318.00	324.72	304.00	316.00	1029435	322853760.00
2022/06/14	310.00	321.90	303.80	314.96	900620	279999136.00
2022/06/15	313.30	332.00	310.18	321.37	961764	312524544.00
2022/06/16	321.34	342.05	321.34	334.98	806398	271094848.00
2022/06/17	331.34	344.61	328.00	340.00	561484	189433920.00
2022/06/20	340.00	344.00	329.30	335.50	630203	211201904.00
2022/06/21	332.48	336.80	325.03	329.87	359281	118295608.00
2022/06/22	328.98	343.87	325.21	336.90	463217	157045392.00
2022/06/23	337.94	386.00	336.90	377.98	946396	345202016.00
2022/06/24	375.44	377.00	360.36	367.26	760815	280689120.00
2022/06/27	366.24	373.00	356.91	367.77	555301	202444976.00
2022/06/28	367.77	383.10	363.01	370.50	507267	189852720.00
2022/06/29	369.50	383.00	360.00	363.00	536167	198597248.00
2022/06/30	364.68	388.00	364.68	378.96	380801	144725376.00
