688121 卓然股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/09/06	35.50	43.47	35.00	39.23	31332828	1186149376.00
2021/09/07	40.13	43.16	39.20	40.98	23617370	968013760.00
2021/09/08	42.17	47.97	41.66	46.28	20984485	933190528.00
2021/09/09	44.79	48.50	44.44	46.15	10741548	500437536.00
2021/09/10	47.70	47.99	40.52	44.10	11332720	495744576.00
2021/09/13	43.00	46.88	40.18	46.70	10009502	431971520.00
2021/09/14	45.80	46.50	43.10	43.10	6108428	272846784.00
2021/09/15	42.48	44.88	42.00	43.60	3723714	161317008.00
2021/09/16	43.03	46.68	42.42	44.02	4982629	222804288.00
2021/09/17	43.00	44.94	41.60	43.75	3532959	152672144.00
2021/09/22	42.80	44.50	39.90	41.35	4809605	201988784.00
2021/09/23	41.28	42.20	39.12	39.77	3092144	125433712.00
2021/09/24	39.40	39.68	36.04	36.04	5038314	187686128.00
2021/09/27	35.70	35.78	33.63	34.69	3819653	132669936.00
2021/09/28	34.73	35.73	33.90	35.02	2416322	83935632.00
2021/09/29	34.03	34.52	32.50	32.54	3005874	101061104.00
2021/09/30	32.54	33.80	32.20	33.25	1242762	41337924.00
2021/10/08	33.58	35.03	33.41	34.54	2310205	79867888.00
2021/10/11	34.22	34.54	32.82	34.15	1208771	40760732.00
2021/10/12	34.13	35.16	31.41	32.10	2208501	72459312.00
2021/10/13	32.00	32.61	31.70	32.09	1381335	44275960.00
2021/10/14	32.10	33.00	31.88	32.80	1544322	50021944.00
2021/10/15	32.52	33.55	31.50	32.34	1744147	56653272.00
2021/10/18	32.75	34.59	31.83	33.71	2446379	81907584.00
2021/10/19	33.90	35.30	33.60	34.23	2811772	97390032.00
2021/10/20	34.34	35.90	33.99	35.50	4443829	157016048.00
2021/10/21	35.00	35.30	33.95	34.33	3471268	119115600.00
2021/10/22	34.05	35.20	33.73	33.86	2276650	78517088.00
2021/10/25	33.38	33.47	32.15	32.55	2771280	90378336.00
2021/10/26	32.97	32.99	31.66	32.20	1482961	47843120.00
2021/10/27	32.05	32.05	27.90	28.28	4716349	138467072.00
2021/10/28	26.01	26.33	23.80	24.44	5637991	139487568.00
2021/10/29	24.40	24.97	24.21	24.42	2786640	68490712.00
2021/11/01	24.58	25.51	24.43	24.80	2729357	68168712.00
2021/11/02	24.78	25.25	24.39	24.50	2314254	57321288.00
2021/11/03	24.41	25.08	24.38	24.75	1837608	45442512.00
2021/11/04	24.84	26.89	24.59	26.87	4393436	112611368.00
2021/11/05	26.55	26.55	25.33	25.71	2651192	68126784.00
2021/11/08	25.95	25.97	25.21	25.72	2032227	51939760.00
2021/11/09	25.92	26.15	25.54	25.94	1217342	31426006.00
2021/11/10	25.89	26.66	25.89	26.26	1564721	41113360.00
2021/11/11	26.51	26.79	26.02	26.58	1074527	28414298.00
2021/11/12	26.57	27.59	26.32	27.30	1684541	45666412.00
2021/11/15	27.44	27.87	26.84	27.15	2059554	55916656.00
2021/11/16	27.05	27.09	26.21	26.47	1389585	36976000.00
2021/11/17	26.47	28.22	26.24	28.02	2331016	63831308.00
2021/11/18	28.53	28.98	27.90	28.23	2132111	60743796.00
2021/11/19	28.60	29.48	28.10	29.21	1777685	51200632.00
2021/11/22	29.18	31.68	29.18	29.99	3801122	115883104.00
2021/11/23	29.99	30.60	29.37	29.99	1980072	59507112.00
2021/11/24	30.18	30.50	29.65	29.84	1685698	50806936.00
2021/11/25	29.87	30.25	29.30	29.40	1865504	55751632.00
2021/11/26	29.71	29.72	29.08	29.11	1494865	43851852.00
2021/11/29	29.10	30.70	28.70	30.00	2349724	70486456.00
2021/11/30	30.30	32.69	30.30	31.94	3796048	120520008.00
2021/12/01	31.63	33.18	31.57	31.90	2326907	75139488.00
2021/12/02	32.00	32.68	31.80	32.00	1887614	60850476.00
2021/12/03	32.00	32.69	31.50	32.41	1501295	48280440.00
2021/12/06	32.33	32.55	30.88	31.08	1980980	62529816.00
2021/12/07	31.71	31.71	29.81	30.26	1648767	50181516.00
2021/12/08	30.23	31.86	30.21	31.52	1169263	36732192.00
2021/12/09	31.77	31.89	31.07	31.75	1104535	34657376.00
2021/12/10	31.15	31.80	31.14	31.35	557522	17502012.00
2021/12/13	37.59	37.60	32.80	33.36	6025127	212714496.00
2021/12/14	34.20	34.31	31.81	32.49	3403289	111705136.00
2021/12/15	32.67	34.77	32.27	33.13	2012513	67101884.00
2021/12/16	33.17	34.07	32.67	33.75	1329612	44354600.00
2021/12/17	33.75	34.20	32.90	33.12	1497274	50074628.00
2021/12/20	32.86	33.57	32.18	32.84	1236612	40815460.00
2021/12/21	32.85	35.30	31.71	34.52	2184669	72650472.00
2021/12/22	34.36	35.16	33.85	34.19	1140112	39047456.00
2021/12/23	34.30	34.81	33.54	34.54	1303040	44740908.00
2021/12/24	34.68	35.32	34.30	34.69	1165412	40637280.00
2021/12/27	34.57	36.28	34.20	35.57	1398485	49675664.00
2021/12/28	35.50	36.31	35.10	36.00	632255	22713024.00
2021/12/29	35.70	38.30	35.70	37.50	1695195	63169144.00
2021/12/30	37.30	37.72	36.76	37.31	1193220	44542204.00
2021/12/31	36.86	39.08	36.50	38.45	2025041	77506128.00
2022/01/04	38.45	38.47	36.85	37.48	1171777	43932196.00
2022/01/05	37.35	37.54	34.71	36.05	2273512	81154568.00
2022/01/06	36.10	37.85	36.00	37.33	1326552	49051120.00
2022/01/07	37.21	37.45	35.50	37.11	1777411	65161668.00
2022/01/10	36.41	38.02	36.01	36.79	1578438	59011120.00
2022/01/11	36.84	37.39	36.06	36.59	772703	28319360.00
2022/01/12	36.20	37.16	35.97	36.11	482228	17463676.00
2022/01/13	36.21	36.21	33.82	34.35	1504968	52057872.00
2022/01/14	34.49	34.85	33.63	33.67	1109942	37925728.00
2022/01/17	33.43	34.20	33.28	33.36	868895	29197692.00
2022/01/18	33.55	33.61	32.40	33.20	1130864	37277680.00
2022/01/19	33.45	33.48	32.00	32.50	539001	17577918.00
2022/01/20	32.10	34.78	31.40	32.55	3442380	115046624.00
2022/01/21	32.25	33.54	31.70	32.26	1325152	43187600.00
2022/01/24	32.58	33.33	31.20	32.26	1221395	39220084.00
2022/01/25	31.60	32.17	29.03	29.58	1360458	41538180.00
2022/01/26	28.22	31.20	28.22	30.66	1051541	31906752.00
2022/01/27	31.49	31.49	29.47	30.56	1123421	33851316.00
2022/01/28	30.56	31.20	29.80	30.80	594772	18166768.00
2022/02/07	30.88	31.72	30.66	30.82	246708	7631294.00
