688138 清溢光电 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/11/20	20.22	21.00	18.36	19.55	45499376	883172864.00
2019/11/21	18.45	18.45	16.25	16.29	33049120	563179584.00
2019/11/22	16.39	17.48	16.16	16.36	23345692	391262816.00
2019/11/25	16.56	16.70	15.08	15.30	20034905	313977088.00
2019/11/26	15.32	15.82	14.86	14.95	14406776	219764304.00
2019/11/27	14.91	15.18	14.83	15.06	9790603	146781856.00
2019/11/28	15.15	15.80	15.08	15.10	12136871	186233072.00
2019/11/29	14.99	15.55	14.87	15.40	10826586	165526080.00
2019/12/02	15.98	16.16	15.29	15.29	11149533	174476192.00
2019/12/03	14.90	14.90	14.43	14.81	12199802	179254816.00
2019/12/04	14.68	15.10	14.64	14.80	7701891	114183552.00
2019/12/05	14.76	15.67	14.65	15.58	13909122	210145488.00
2019/12/06	15.35	15.58	15.02	15.09	10103999	154188592.00
2019/12/09	15.19	15.72	15.09	15.53	11062698	170794864.00
2019/12/10	15.43	16.82	15.37	16.38	21218322	343476000.00
2019/12/11	16.11	16.48	15.65	15.78	10903921	174526176.00
2019/12/12	15.95	16.46	15.81	16.03	11086076	179351680.00
2019/12/13	16.11	16.22	15.61	15.80	9135719	144494048.00
2019/12/16	15.86	16.34	15.73	16.33	8554335	137525248.00
2019/12/17	16.31	16.69	16.14	16.40	11015657	180481728.00
2019/12/18	16.55	17.32	16.48	17.28	15337405	261110848.00
2019/12/19	17.35	17.35	16.80	17.00	8355689	141950880.00
2019/12/20	17.00	17.18	16.77	16.85	6812808	115454056.00
2019/12/23	16.65	16.74	15.83	15.90	8144228	132466392.00
2019/12/24	15.95	16.36	15.93	16.30	5591845	90310192.00
2019/12/25	16.31	17.20	16.21	16.98	9937201	167403584.00
2019/12/26	16.99	18.26	16.86	17.48	13352374	235219600.00
2019/12/27	17.28	17.48	16.83	16.92	8807472	151091216.00
2019/12/30	16.72	17.11	16.31	17.09	5719097	95800056.00
2019/12/31	16.96	17.22	16.74	16.97	4138782	70170992.00
2020/01/02	17.10	17.35	16.90	17.27	6325399	108366176.00
2020/01/03	17.23	17.43	16.94	17.22	6570895	112833856.00
2020/01/06	17.00	17.24	16.87	17.12	5352694	91381712.00
2020/01/07	17.60	17.99	17.26	17.51	8958572	157603808.00
2020/01/08	17.37	17.93	17.06	17.30	10148073	177102224.00
2020/01/09	17.60	17.85	17.39	17.80	8155116	143707072.00
2020/01/10	17.94	18.18	17.61	17.87	7883027	141207520.00
2020/01/13	17.80	18.78	17.70	18.70	9459980	173128928.00
2020/01/14	18.62	19.44	18.50	18.79	10895588	205866112.00
2020/01/15	18.80	19.51	18.50	19.51	10235904	195319088.00
2020/01/16	19.52	20.77	19.38	20.32	12587387	253777552.00
2020/01/17	20.60	21.50	20.11	20.48	16170605	336108192.00
2020/01/20	20.68	22.55	20.48	21.47	16107712	344487488.00
2020/01/21	21.20	21.20	19.61	19.66	13653103	278328704.00
2020/01/22	19.45	21.29	19.44	21.29	11897061	243734480.00
2020/01/23	20.70	21.89	19.93	20.33	12072996	253016912.00
2020/02/03	16.55	17.70	16.26	16.26	10940963	182262256.00
2020/02/04	16.73	18.51	16.70	18.33	11524115	203604368.00
2020/02/05	18.20	19.89	18.20	19.14	12845674	244333376.00
2020/02/06	18.78	20.22	18.77	20.17	12333798	241641120.00
2020/02/07	20.02	22.68	19.84	21.58	16731895	353183968.00
2020/02/10	21.42	22.19	20.75	21.26	10806556	229987248.00
2020/02/11	21.49	22.06	20.45	20.83	9564949	202862032.00
2020/02/12	20.63	22.52	20.50	22.10	14316748	308046624.00
2020/02/13	22.17	23.63	21.70	22.30	16410407	371624512.00
2020/02/14	23.99	26.45	23.01	24.01	22291960	546037248.00
2020/02/17	23.68	24.97	23.29	24.56	16167418	391751200.00
2020/02/18	24.62	26.83	24.38	26.29	16082268	408739424.00
2020/02/19	25.88	27.80	25.40	25.68	15344476	403046368.00
2020/02/20	25.87	26.38	24.12	25.20	13232021	332592224.00
2020/02/21	24.77	25.65	24.51	24.56	10384672	259718048.00
2020/02/24	24.35	26.49	24.31	26.49	12393520	314738432.00
2020/02/25	25.80	26.78	24.48	25.85	12584555	324010912.00
2020/02/26	25.85	25.85	22.68	23.20	13406485	322428640.00
2020/02/27	23.30	23.57	22.65	22.80	6066135	139953104.00
2020/02/28	21.43	21.65	20.27	20.38	8983916	189243392.00
2020/03/02	21.00	22.51	20.60	22.20	7740949	167137440.00
2020/03/03	22.88	23.54	21.95	22.24	8582664	195452784.00
2020/03/04	21.90	22.35	21.10	21.70	5847973	127242768.00
2020/03/05	22.14	22.36	21.31	21.98	5835977	127048392.00
2020/03/06	21.52	21.88	21.32	21.54	3641791	78566688.00
2020/03/09	21.10	21.12	19.85	19.89	6462806	131410184.00
2020/03/10	19.90	21.22	19.90	21.22	6556446	135323744.00
2020/03/11	21.22	21.47	20.30	20.30	5426126	113259248.00
2020/03/12	19.73	20.77	19.71	20.37	3658253	74127192.00
2020/03/13	19.12	21.08	19.09	20.75	5965328	121393296.00
2020/03/16	21.11	21.83	19.70	19.99	7501253	157548272.00
2020/03/17	20.60	21.58	20.01	21.20	8476927	177024256.00
2020/03/18	21.53	22.35	21.01	21.15	9142584	199159952.00
2020/03/19	21.41	22.45	20.80	22.23	8592413	186326368.00
2020/03/20	22.50	23.20	21.90	22.15	7249729	162643632.00
2020/03/23	21.25	21.65	19.50	19.78	7005495	144064928.00
2020/03/24	20.16	20.45	19.40	20.24	4693934	94222048.00
2020/03/25	21.07	21.09	20.23	20.40	4724477	97645184.00
2020/03/26	20.20	20.39	19.55	19.66	4052524	80773448.00
2020/03/27	19.96	20.16	19.02	19.09	3380223	66159104.00
2020/03/30	18.50	18.53	17.19	18.00	4986282	89308056.00
2020/03/31	18.48	18.59	17.83	18.06	2852940	52083772.00
2020/04/01	17.92	18.64	17.90	18.22	2857117	52489248.00
2020/04/02	18.03	19.24	18.00	19.20	4253463	79580000.00
2020/04/03	18.94	19.12	18.46	18.60	3516671	65800136.00
2020/04/07	19.16	19.19	18.81	19.05	2998183	57064104.00
2020/04/08	18.94	19.39	18.82	18.96	2486576	47370788.00
2020/04/09	19.08	19.32	18.73	18.86	2537440	48053912.00
2020/04/10	18.88	18.88	17.78	17.93	3366947	61208984.00
2020/04/13	17.70	17.85	17.33	17.40	1823384	31992264.00
2020/04/14	17.59	17.80	17.56	17.80	1773680	31400252.00
2020/04/15	18.06	18.15	17.60	17.60	1885771	33730136.00
2020/04/16	17.47	17.98	17.40	17.80	1843303	32729046.00
2020/04/17	17.99	18.60	17.87	18.34	4238681	77605616.00
2020/04/20	18.51	18.51	18.10	18.42	3251669	59284976.00
2020/04/21	18.17	18.40	17.72	17.96	1968986	35406360.00
2020/04/22	17.70	18.58	17.51	18.53	3946308	72573440.00
2020/04/23	18.56	18.75	18.18	18.26	3026767	55511792.00
2020/04/24	18.12	18.75	18.10	18.35	3359383	61826124.00
2020/04/27	18.18	18.33	17.53	17.65	2538745	45568048.00
2020/04/28	17.76	17.97	15.25	16.70	4063615	68389832.00
2020/04/29	16.65	17.16	16.62	16.99	1794650	30444624.00
2020/04/30	17.14	18.97	17.07	18.67	6127299	111716160.00
2020/05/06	18.38	22.15	18.22	21.75	13165017	268400272.00
2020/05/07	21.40	21.55	20.58	20.68	9443550	198695072.00
2020/05/08	20.94	22.22	20.88	21.21	8606283	185436304.00
2020/05/11	21.20	22.18	21.02	21.63	6624275	142925856.00
2020/05/12	21.37	21.60	20.02	21.18	6617001	138409824.00
2020/05/13	21.13	21.28	20.68	21.03	4489285	94209904.00
2020/05/14	20.94	22.97	20.72	21.95	12812471	284533632.00
2020/05/15	21.99	23.78	21.66	23.08	12349213	282697824.00
2020/05/18	23.95	24.58	22.75	23.42	14490970	343602944.00
2020/05/19	23.38	27.15	23.23	26.76	19974156	500108448.00
2020/05/20	26.04	26.28	24.18	24.74	18559645	470277120.00
2020/05/21	24.65	24.93	22.65	23.01	13243636	312236128.00
2020/05/22	22.90	23.44	22.04	23.09	9515390	216571168.00
2020/05/25	22.90	24.15	22.63	23.15	9095951	213385296.00
2020/05/26	22.91	24.30	22.91	24.03	10174848	241331552.00
2020/05/27	24.08	24.46	23.25	23.56	8707359	207277504.00
2020/05/28	23.32	23.44	21.78	22.77	9858068	222248432.00
2020/05/29	22.44	25.70	22.40	24.18	15043368	366398848.00
2020/06/01	24.36	25.80	24.20	25.16	12677294	320324992.00
2020/06/02	25.51	27.90	25.13	26.55	16823091	448713216.00
2020/06/03	26.16	27.77	25.51	25.57	16202409	429455776.00
2020/06/04	26.00	29.32	25.67	28.10	21510273	587796160.00
2020/06/05	27.76	28.36	26.80	27.18	14104418	386504096.00
2020/06/08	27.52	29.24	27.13	27.80	13731454	386369152.00
2020/06/09	27.50	27.50	25.80	26.54	11354278	299424064.00
2020/06/10	26.30	27.01	25.55	26.82	9428647	246996400.00
2020/06/11	26.60	27.57	25.75	25.82	10450721	278286176.00
2020/06/12	24.75	25.53	24.50	24.93	8818180	220795728.00
2020/06/15	24.59	25.29	23.89	23.90	8441424	206972784.00
2020/06/16	24.55	24.97	24.10	24.61	6385797	157033184.00
2020/06/17	24.94	25.75	24.21	25.40	7778099	196103552.00
2020/06/18	24.97	25.82	24.97	25.29	5859110	148861904.00
2020/06/19	25.36	25.45	24.88	25.15	4736585	118964960.00
2020/06/22	25.66	27.46	25.66	27.08	10486859	280052576.00
2020/06/23	26.75	27.53	26.60	27.34	7830161	212111120.00
2020/06/24	27.30	27.88	27.03	27.20	6441599	176235328.00
2020/06/29	26.89	27.00	25.85	26.12	6733912	177528480.00
2020/06/30	26.41	27.95	26.41	27.66	9919414	272052576.00
2020/07/01	27.49	28.00	26.51	27.36	8569125	233431232.00
2020/07/02	27.35	29.56	26.89	28.81	11704558	335063008.00
2020/07/03	28.80	29.19	27.70	28.30	7372900	208476976.00
2020/07/06	28.69	31.84	28.69	31.80	14337407	437734784.00
2020/07/07	33.00	35.16	30.88	30.95	16441938	539203520.00
2020/07/08	31.70	36.50	31.34	35.50	17416754	580287552.00
2020/07/09	36.66	41.80	34.10	41.70	18991412	734431680.00
2020/07/10	40.57	45.48	39.65	43.99	16320620	713722880.00
2020/07/13	44.01	46.48	42.06	45.69	15621874	693550144.00
2020/07/14	44.65	46.40	38.01	42.80	17051849	735068352.00
2020/07/15	42.21	42.57	38.33	39.02	14064557	564031808.00
2020/07/16	38.18	38.97	33.01	33.70	12947508	460939616.00
2020/07/17	34.14	35.50	33.30	34.80	7843762	272046784.00
2020/07/20	35.10	35.69	33.38	35.30	7196794	249724880.00
2020/07/21	34.89	35.85	34.03	34.42	5986537	208963600.00
2020/07/22	34.41	37.99	34.16	37.01	9980747	361596416.00
2020/07/23	36.20	36.84	34.65	36.02	7085452	253871856.00
2020/07/24	35.22	35.69	31.05	31.31	9519702	316146624.00
2020/07/27	31.92	32.65	30.17	31.40	4874106	153102992.00
2020/07/28	31.75	32.64	31.14	31.90	3918153	125054768.00
2020/07/29	31.80	35.37	31.27	35.37	7393728	249007984.00
2020/07/30	35.06	36.68	34.78	35.21	7579006	270497792.00
2020/07/31	34.88	37.68	34.60	36.50	8013269	292399104.00
2020/08/03	37.22	38.42	36.37	37.00	9604024	358738272.00
2020/08/04	37.20	37.37	35.01	35.31	7482372	267035632.00
2020/08/05	37.31	37.85	35.85	36.13	7146694	262355072.00
2020/08/06	35.20	36.44	34.82	35.65	5072714	180497136.00
2020/08/07	35.04	35.43	32.50	33.09	6942828	233076480.00
2020/08/10	33.00	33.61	32.18	33.10	4687829	153693088.00
2020/08/11	33.00	33.38	31.66	31.70	3737636	121605000.00
2020/08/12	31.85	33.08	31.85	32.96	4975803	161958768.00
2020/08/13	33.39	34.39	32.50	32.58	4848372	162521344.00
2020/08/14	32.15	33.49	32.02	33.23	3825438	124691616.00
2020/08/17	33.40	33.66	32.71	33.48	3762845	125048376.00
2020/08/18	33.88	33.88	32.54	32.83	3615395	119167752.00
2020/08/19	32.99	33.05	31.13	31.47	4301857	136208160.00
2020/08/20	31.00	32.20	30.53	31.30	2945295	92678056.00
2020/08/21	31.77	32.10	29.89	30.15	3456177	106426760.00
2020/08/24	30.26	30.68	28.50	29.95	3497906	103253360.00
2020/08/25	30.00	30.33	29.23	29.47	2501728	74305184.00
2020/08/26	29.49	29.98	28.26	28.55	3396738	98357216.00
2020/08/27	28.95	31.17	28.09	30.21	5700901	171296784.00
2020/08/28	30.00	30.60	28.89	29.37	3738869	109836072.00
2020/08/31	29.23	30.10	29.23	29.36	2782523	82769368.00
2020/09/01	29.31	29.68	28.71	29.09	2341913	68209248.00
2020/09/02	29.35	29.35	28.15	28.39	2853848	81589688.00
2020/09/03	28.25	29.05	27.69	28.40	2937093	83142600.00
2020/09/04	28.01	29.65	27.88	29.08	3364182	97689632.00
2020/09/07	28.51	29.49	28.42	28.63	3313840	96454512.00
2020/09/08	28.72	29.48	28.31	29.48	3164629	92146688.00
2020/09/09	29.40	29.40	26.80	26.92	5093300	141826976.00
2020/09/10	27.10	27.75	25.21	25.66	3760645	99652344.00
2020/09/11	25.11	26.42	25.02	26.37	2777574	71492208.00
2020/09/14	27.00	27.73	26.60	27.57	3236203	88541224.00
2020/09/15	27.58	29.47	27.13	29.16	5036594	144128608.00
2020/09/16	29.10	29.55	28.46	28.68	3231936	93552024.00
2020/09/17	28.78	30.46	28.43	29.89	6684151	198530720.00
