688184 帕瓦股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/09/19	40.80	45.92	40.20	40.59	14381356	602914816.00
2022/09/20	42.50	44.82	41.26	42.07	10957392	470297984.00
2022/09/21	40.72	43.33	39.55	41.42	6663748	274273024.00
2022/09/22	40.99	43.00	40.33	42.13	5322568	222872960.00
2022/09/23	42.79	44.60	40.81	41.22	5724251	245100480.00
2022/09/26	40.22	41.12	38.81	39.67	5181950	206275552.00
2022/09/27	39.70	40.30	38.96	39.83	3160584	125069656.00
2022/09/28	39.72	39.93	37.42	37.45	3778316	144861936.00
2022/09/29	37.60	38.06	36.66	36.95	2261203	84535880.00
2022/09/30	36.88	37.46	35.49	35.63	1923012	69594016.00
2022/10/10	35.80	35.98	34.52	34.70	1535154	54021696.00
2022/10/11	35.03	35.50	34.65	35.12	1317089	46224940.00
2022/10/12	35.18	36.21	34.66	36.20	1825586	64832920.00
2022/10/13	35.81	36.49	35.70	35.71	1813898	65434072.00
2022/10/14	35.99	36.48	35.93	36.34	1916452	69462704.00
2022/10/17	36.28	37.07	36.00	36.95	1448872	52949968.00
2022/10/18	37.05	38.19	37.04	37.55	1971048	74201088.00
2022/10/19	37.49	38.58	36.92	36.94	1677885	63424740.00
2022/10/20	36.69	37.77	36.11	37.12	1509143	55731992.00
2022/10/21	37.39	37.60	36.62	37.24	1121981	41744116.00
2022/10/24	37.58	37.95	36.50	36.75	1351633	50391348.00
2022/10/25	36.62	36.72	35.24	35.99	1230384	44172616.00
2022/10/26	36.34	37.13	36.16	37.05	1235940	45383708.00
2022/10/27	37.09	37.34	36.30	36.33	1262500	46413872.00
2022/10/28	36.28	36.68	35.03	35.09	1352498	48260896.00
2022/10/31	35.30	36.12	35.02	35.71	934161	33267500.00
2022/11/01	35.83	37.12	35.83	36.91	1519901	55731372.00
2022/11/02	36.60	37.79	36.60	37.25	1716181	64131916.00
2022/11/03	37.10	37.77	37.03	37.64	1302877	48837888.00
2022/11/04	37.64	38.73	37.51	38.33	2237713	85577744.00
2022/11/07	38.33	39.45	38.33	39.00	1965045	76602872.00
2022/11/08	39.20	39.20	38.45	38.71	1148260	44386688.00
2022/11/09	38.77	39.00	38.52	38.57	827815	32078828.00
2022/11/10	38.50	38.71	37.74	37.90	1047543	39936536.00
2022/11/11	38.58	38.97	37.97	38.16	1115179	42763448.00
2022/11/14	38.57	38.57	37.42	37.76	858823	32588852.00
2022/11/15	37.70	38.89	37.53	38.72	1318461	50737416.00
2022/11/16	38.75	39.24	38.41	38.46	1052406	40904588.00
2022/11/17	38.38	38.38	37.74	38.16	759521	28839522.00
2022/11/18	38.67	38.75	37.70	37.78	831223	31669952.00
2022/11/21	37.61	38.10	37.20	37.90	583284	21951848.00
2022/11/22	38.07	38.07	36.79	36.79	1045120	38978304.00
2022/11/23	37.03	37.13	36.25	36.92	617827	22656528.00
2022/11/24	36.92	39.10	36.88	38.09	1427971	54457776.00
2022/11/25	37.90	38.11	37.04	37.11	940943	35268824.00
